	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_11	Calb2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_5	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_118	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_6	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Pvalb_tdTpositive_cell_1	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_54	Pvalb_tdTpositive_cell_59	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_25	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_40	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Sst_tdTpositive_cell_20	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_51	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_53
Iqsec3	0.06	3.06	0.0	0.13	0.0	0.0	0.11	0.3	0.52	0.11	50.15	0.43	0.12	14.85	93.07	0.35	0.0	0.67	0.0	0.14	7.45	8.39	0.0	0.57	0.44	4.42	0.5	13.61	0.0	0.26	8.86	8.98	0.74	0.11	0.09	51.75	36.77	2.34	0.22	0.65	0.08	0.83	2.34	6.94	0.32
Itfg1	0.28	24.33	0.0	0.0	0.0	0.0	0.22	0.1	0.0	0.0	393.86	0.27	0.0	0.89	1.65	6.21	55.51	91.65	0.43	27.55	18.15	39.74	0.19	168.24	84.95	9.53	74.65	92.6	94.18	0.0	1.38	3.23	60.88	60.05	130.55	0.15	71.37	95.81	0.76	2.03	0.14	233.55	123.02	131.85	101.35
Kdsr	128.12	16.64	44.87	0.66	0.31	0.35	68.56	85.65	48.45	62.35	52.08	0.65	0.08	29.34	123.02	86.55	27.85	118.22	25.17	55.71	32.72	71.82	37.74	84.64	0.13	57.15	0.51	112.13	6.87	57.66	11.65	65.06	100.93	76.57	86.83	0.0	91.35	89.77	68.07	3.17	112.07	30.55	99.45	96.52	66.48
Ncdn	50.05	6.66	0.09	0.0	0.0	0.0	0.4	15.07	0.0	4.25	55.66	0.0	0.0	19.4	0.0	7.09	14.21	31.25	50.75	9.35	12.84	2.1	0.0	10.28	0.0	9.29	4.99	50.47	10.41	0.0	53.31	11.6	2.77	0.0	25.3	12.24	24.01	0.0	0.0	0.31	1.92	22.59	79.32	5.22	18.85
Pak2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48	0.0	0.0	0.11	0.0	0.0	21.81	0.0	0.0	0.0	31.42	0.0	0.0	0.2	0.77	0.0	0.69	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.38	0.0	0.0	32.1	0.0	0.0	0.0	18.51	0.0	1.61	0.0	0.0	27.29	0.0
Parg	0.0	0.8	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.5	19.77	0.0	0.0	0.94	0.0	0.0	0.0	45.0	0.11	36.49	5.16	0.02	0.0	13.16	0.0	0.0	0.0	25.08	67.67	31.9	0.07	1.9	38.11	0.0	1.59	10.41	14.45	0.08	0.84	0.0	0.0	0.0	1.18	0.0	0.0
Scg2	7058.23	3394.23	5340.84	2600.39	0.0	0.0	4671.32	6756.41	0.0	6748.89	4590.63	2297.22	5343.16	4631.46	4679.73	3767.59	3919.67	4445.61	5224.44	4235.04	4492.54	6152.45	2378.65	2966.54	6371.6	4687.95	4551.6	649.47	5164.71	5235.75	3014.54	4196.82	3059.6	3686.4	1437.02	10219.12	3212.72	3051.59	2483.36	1889.8	3905.3	5629.99	1885.03	4890.3	5731.37
Snord116	0.0	9.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.06	0.0	0.0	2.42	0.0	0.0	14.89	35.1	0.0	4.79	3.94	1.42	0.0	5.15	0.0	14.98	4.62	6.38	0.0	2.79	2.83	0.0	1.22	0.0	6.43	4.5	16.91	6.06	2.05	0.0	0.0	0.0	4.23	0.0	1.45
Snord116l1	0.0	9.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.06	0.0	0.0	2.42	0.0	0.0	14.89	35.1	0.0	4.79	3.94	1.42	0.0	5.15	0.0	14.98	4.62	6.38	0.0	2.79	2.83	0.0	1.22	0.0	6.43	4.5	16.91	6.06	2.05	0.0	0.0	0.0	4.23	0.0	1.45
Snord116l2	0.0	9.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.06	0.0	0.0	2.42	0.0	0.0	14.89	35.1	0.0	4.79	3.94	1.42	0.0	5.15	0.0	14.98	4.62	6.38	0.0	2.79	2.83	0.0	1.22	0.0	6.43	4.5	16.91	6.06	2.05	0.0	0.0	0.0	4.23	0.0	1.45
Timm13	61.7	116.63	60.83	89.46	0.0	0.0	61.8	268.15	0.0	142.78	57.18	0.0	0.0	202.2	134.89	99.29	149.28	256.17	64.55	189.84	67.55	37.86	59.77	82.78	26.66	175.33	177.38	168.67	215.77	106.95	217.64	152.52	2.93	0.0	149.92	321.76	234.01	367.63	71.8	52.55	181.19	56.0	113.97	57.68	144.51
Txndc15	0.96	131.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	86.11	0.31	0.0	0.0	81.59	4.3	0.0	0.0	111.88	7.74	176.99	34.69	91.45	0.42	1.14	3.53	0.0	3.66	107.32	0.0	0.0	0.73	0.0	0.49	0.0	33.34	224.21	53.98	98.23	0.0	0.0	64.03	247.61	90.97	1.53	0.11
Utp3	18.63	0.0	153.63	0.0	0.0	0.0	187.08	0.0	0.0	0.0	41.16	0.0	0.0	0.0	0.0	168.15	0.0	110.19	205.91	87.99	61.14	82.26	0.0	0.72	62.9	0.0	2.22	158.26	6.4	0.0	19.54	24.58	82.58	0.0	25.27	89.58	163.61	0.43	0.15	0.0	83.27	0.0	58.89	0.84	6.22
Wdfy3	1.83	16.23	0.0	0.0	0.0	0.0	0.0	0.34	0.0	3.16	29.2	5.83	0.0	35.82	0.51	20.84	15.6	7.96	18.89	15.05	27.45	9.85	0.34	22.95	10.21	25.22	10.98	15.3	0.0	0.04	8.95	21.28	19.24	0.0	11.85	0.25	16.18	20.07	19.71	0.12	13.62	2.51	0.0	31.84	13.53
Zcchc7	0.0	33.15	124.59	0.0	0.2	0.0	19.32	110.41	0.0	24.98	206.16	3.26	0.0	32.69	89.15	21.21	24.93	29.99	16.54	44.4	25.52	16.08	18.37	41.02	0.0	32.69	25.21	42.3	125.01	0.24	52.68	0.0	58.12	0.0	79.25	58.17	90.48	27.15	14.15	33.69	9.06	21.58	64.86	139.68	0.13
Zzef1	1.92	5.23	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	6.37	17.31	6.19	0.0	3.58	0.0	0.08	5.63	3.32	3.42	8.97	0.0	0.51	0.88	8.47	18.14	0.08	12.5	2.61	0.0	0.0	16.22	1.05	22.62	3.63	14.8	0.0	0.04	3.16	0.0	118.68	0.04
