	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ryr2	12.42	1.52	17.08	2.05	11.15	0.21	25.24	0.38	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.21	51.84	45.32	51.46
Serpinb6a	1.47	0.0	43.95	88.64	260.63	0.0	204.04	1.15	0.0	0.0	0.0	0.0	119.86	0.0	0.0	23.63	38.9	41.07	39.72
Skiv2l2	0.23	111.05	117.14	83.19	218.61	0.13	147.84	38.34	0.0	0.92	0.0	0.0	9.96	0.78	0.15	0.0	48.29	48.03	48.33
Suds3	0.82	0.0	9.1	0.0	19.85	0.0	12.09	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15	98.23	92.43	94.15
Tmem176b	126.95	0.0	212.62	0.0	429.58	0.0	405.72	373.83	0.0	603.28	0.0	0.0	35.33	0.0	0.0	0.0	37.03	43.85	39.18
Tprgl	133.38	3.07	9.57	100.46	81.83	0.0	1.65	41.71	0.0	6.09	0.0	0.0	21.2	0.0	0.0	43.62	166.3	184.18	170.58
Ttc26	1.77	1.07	0.85	0.88	87.9	2.64	49.34	1.62	0.0	0.53	0.18	1.77	1.07	1.29	3.78	2.49	8.87	7.78	7.86
Urb2	2.26	1.74	19.44	0.05	35.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	7.6	7.3	6.9
Wfikkn1	0.0	0.0	0.0	0.0	15.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.48	0.32
Yars	316.35	333.36	146.78	421.75	569.55	278.59	498.54	327.69	0.0	0.0	0.0	2.57	0.0	359.24	1.22	392.04	82.18	85.23	83.34
Zfp456	0.0	0.0	2.98	0.0	7.05	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.98	1.08
