	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_52	Tac2_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gpr27	0.0	0.0	0.0	18.8	30.35	29.88
Grifin	0.0	0.0	0.0	0.0	0.37	0.2
Grik5	0.0	0.0	0.3	151.06	170.74	170.43
Hlx	0.0	0.0	0.0	1.06	1.0	1.19
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpse2	0.0	0.0	0.0	0.09	0.21	0.05
Hrasls5	0.0	0.0	0.0	0.0	0.18	0.1
Ikzf3	0.0	0.0	0.0	0.02	0.14	0.07
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Irx5	0.0	0.0	0.0	0.12	0.23	0.0
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lhx1	0.0	0.0	0.0	0.0	0.07	0.04
Limk1	0.0	0.0	0.0	41.44	42.72	43.54
Lrp5	0.0	0.0	0.0	5.04	5.64	5.71
Lrrc16b	0.0	0.0	0.0	27.65	27.88	28.75
Ly6h	0.0	0.69	0.89	305.82	367.1	337.26
Lypd2	0.0	0.0	0.0	0.86	1.41	0.0
Mgat4b	0.0	0.0	0.0	53.59	58.57	53.64
Mir1199	0.0	0.0	0.0	1.19	3.35	0.0
Mir149	0.0	0.0	0.0	3.36	3.16	0.0
Mir1900	0.0	0.0	0.0	11.87	24.6	14.7
Mir1901	0.0	0.0	0.0	10.3	9.94	0.02
Mir2861	0.0	0.0	0.0	4.33	14.26	4.47
Mir409	0.0	0.0	0.0	2.32	8.73	2.39
Myod1	0.0	0.0	0.0	0.11	0.4	0.39
Nobox	0.0	0.0	0.0	0.16	0.15	0.0
Nr4a3	0.0	0.0	1.85	22.46	24.73	11.21
Nrg2	0.0	0.0	0.0	6.66	7.42	8.53
Nrxn2	0.0	0.0	0.38	132.61	136.52	147.18
Onecut1	0.0	0.0	0.0	0.16	0.36	0.11
Otp	0.0	0.0	0.0	0.0	0.32	0.18
Prok1	0.0	0.0	0.0	0.26	0.73	0.0
Rap1gap	0.0	0.0	1.78	171.3	186.02	178.43
Rasl10b	0.0	0.0	0.0	176.08	191.44	185.21
Rnf183	0.0	0.0	0.0	0.07	0.07	0.0
S100a14	0.0	0.0	0.0	0.0	0.26	0.11
Scaf1	0.0	0.0	0.64	82.36	94.79	90.63
Scrt2	0.0	0.0	0.45	13.03	14.42	12.11
Scube3	0.0	0.0	0.0	3.64	4.01	4.9
Slc28a2	0.0	0.0	0.0	0.08	0.12	0.0
Slc47a2	0.0	0.0	0.0	0.21	0.08	0.09
Slpi	0.0	0.0	0.0	0.0	0.22	0.12
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfec	0.0	0.0	0.0	0.0	0.11	0.06
Tmprss2	0.0	0.0	0.0	0.06	0.12	0.03
Triml2	0.0	0.0	0.0	0.0	0.13	0.07
Ttc29	0.0	0.0	0.0	0.0	0.27	0.12
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2o	0.0	0.0	1.9	88.4	97.29	91.53
Unc5cl	0.0	0.0	0.0	0.03	0.2	0.11
Vgll2	0.0	0.0	0.0	0.07	0.26	0.07
Wdr38	0.0	0.0	0.0	0.17	0.31	0.17
Zfp428	0.0	0.0	0.0	41.49	46.5	46.86
Zfp771	0.0	0.0	0.0	49.36	68.79	59.63
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c3_tRNA-Arg-AGA	0.0	0.0	0.0	0.0	3.82	2.09
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK140300	0.0	125.06	0.0	1475.61	1565.1	1568.58
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
