	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_19	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_18	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
Blvra	116.04	1.16	0.0	412.71	0.0	99.33	0.0	0.0	170.0	250.61	333.65	183.0	129.24	312.62	91.21	80.43	0.0	22.93	231.07	113.96	0.0	160.85	255.1	202.37	44.18	158.6	99.31	0.0	0.0	0.41	0.0	0.0	0.0	182.49	227.65	13.9
Bub3	179.78	129.64	0.0	8.78	692.15	105.78	0.0	0.0	298.99	182.26	239.65	92.04	109.0	323.89	310.74	243.45	0.0	0.2	0.15	143.55	0.0	218.52	302.59	313.64	459.62	222.8	279.8	0.0	0.0	0.0	0.0	0.0	0.3	0.0	346.93	154.53
Cbfa2t2	302.91	0.28	0.4	25.58	135.44	43.35	2.84	0.0	3.55	129.94	165.32	79.39	61.15	0.67	51.85	77.47	0.06	0.28	210.61	88.52	0.76	0.19	573.1	74.4	81.11	0.06	28.79	0.07	0.0	0.13	0.57	0.0	0.09	0.38	0.08	106.39
Cnr1	878.95	5009.66	518.51	10009.06	631.53	14271.7	0.0	155.35	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	3047.63	480.64	6746.03	17862.67	3106.57	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	0.08	0.0	0.08	0.0	0.0	12766.46	14288.55	25768.68	23267.78
Cog6	0.06	1.16	0.0	24.81	251.12	0.19	0.0	0.0	0.0	40.11	133.58	0.08	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.66	0.0	42.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Copb1	148.18	339.4	0.0	110.77	665.8	62.38	0.15	0.0	165.46	88.29	120.52	111.32	116.03	27.23	80.73	89.72	0.0	0.0	0.09	110.7	0.0	27.94	243.27	47.4	28.72	236.15	74.22	0.0	0.0	0.0	0.0	0.0	89.13	96.76	17.11	117.12
Cpsf7	0.1	0.16	0.0	12.41	5.86	50.72	0.0	0.0	0.0	0.0	84.15	26.32	51.01	0.0	0.0	61.63	0.0	0.0	0.09	12.09	0.0	0.0	149.11	0.0	29.38	48.34	40.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.69
Cstf3	0.26	280.88	0.43	242.2	161.06	83.72	0.19	0.13	108.14	27.92	0.16	141.03	61.3	123.11	0.21	164.76	0.38	0.39	201.5	88.96	0.0	98.58	394.03	3.03	37.84	36.03	84.73	0.0	657.32	0.0	9.08	0.0	98.41	22.23	0.85	274.23
Cutc	0.0	0.0	0.0	0.0	175.96	0.0	0.0	0.0	50.31	0.0	105.42	0.0	9.51	0.0	0.0	9.45	0.0	0.0	0.0	0.0	0.0	0.0	106.99	0.0	0.0	0.0	30.88	0.0	0.0	0.0	0.0	0.0	0.0	161.12	0.0	0.0
Eral1	276.51	161.39	0.0	0.0	251.55	117.13	0.0	0.0	1.67	0.0	0.86	33.98	0.61	1.92	125.73	0.0	0.18	0.2	0.0	0.0	0.0	0.44	286.75	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.79
Gm5424	111.99	351.69	0.0	69.58	437.52	0.0	0.0	0.0	0.0	65.19	145.6	37.24	88.52	131.5	0.0	0.0	0.0	0.0	0.0	59.09	0.0	0.0	249.61	171.61	30.55	105.83	55.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gmfb	0.12	0.14	169.83	260.46	460.92	215.34	0.0	0.0	0.88	249.42	211.99	88.48	288.75	27.14	456.09	363.2	0.08	0.12	207.1	29.01	0.11	0.31	349.72	33.42	297.41	57.26	98.85	0.0	0.0	0.08	0.0	0.0	0.0	94.21	80.29	84.72
Gria1	84.0	39.74	20.06	32.91	207.96	155.65	0.14	0.0	81.07	111.18	99.98	29.62	235.56	182.59	254.52	0.68	8.78	0.65	252.9	73.75	200.17	125.79	253.17	75.29	106.06	53.62	87.5	0.1	0.0	0.16	0.0	0.0	67.42	10.94	226.58	116.1
Gtdc1	17.1	106.58	58.52	17.36	69.85	17.34	0.17	2.62	14.46	8.06	18.6	10.49	47.23	40.47	16.56	12.53	26.0	29.13	29.79	137.41	25.94	14.62	171.47	10.68	8.52	9.45	7.84	11.11	0.0	4.83	9.45	4.21	16.32	20.22	12.12	8.89
Hpcal1	170.51	0.12	0.0	0.0	408.94	0.24	0.0	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0	115.91	203.59	0.0	12.48	0.0	0.0	377.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.68	11.32
Hps5	0.04	9.54	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	60.26	0.61	0.0	0.0	3.44	0.0	0.0	0.0	0.0	47.88	0.0	0.0	153.74	0.06	0.0	0.0	0.0	183.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ift88	0.0	0.0	0.0	88.32	0.0	0.12	0.0	0.0	0.0	6.35	18.88	5.65	0.0	0.0	74.83	0.0	0.0	0.0	116.1	20.54	0.0	0.0	275.51	0.0	50.07	0.0	5.76	0.0	0.0	0.0	0.0	0.0	47.84	0.0	115.25	0.0
Ivd	55.16	0.92	0.0	20.85	256.42	123.39	0.0	0.0	16.73	94.63	0.0	74.85	1.56	0.0	27.05	8.97	0.0	33.65	0.0	0.0	0.0	0.0	394.52	8.78	47.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klhl22	179.79	14.67	217.6	67.88	556.42	354.57	0.0	0.0	207.26	3.89	226.85	185.98	0.07	0.0	199.93	144.48	0.13	74.17	16.81	235.85	2.06	32.18	335.54	396.9	85.55	86.15	51.54	0.0	0.0	0.0	0.0	0.0	18.03	1.11	164.82	187.05
Lsm6	7.31	227.43	13.21	105.46	7.74	104.49	0.71	0.09	110.38	44.48	88.55	32.15	26.66	13.11	45.66	129.73	6.5	11.28	232.42	7.3	3.92	40.03	167.79	54.08	165.52	38.44	11.87	1.08	0.0	0.16	4.52	0.18	5.44	140.31	129.61	21.39
Marcks	263.06	650.33	404.55	401.17	1078.25	263.25	0.0	0.0	383.82	187.72	46.77	80.52	415.55	369.53	282.52	183.34	16.53	462.45	191.0	411.32	89.46	546.39	747.18	438.06	359.08	91.86	144.38	414.38	74.79	0.33	0.5	0.36	361.56	224.55	163.36	325.94
Mier3	332.56	450.14	137.47	16.9	248.53	48.94	0.09	0.0	160.62	23.55	134.45	33.22	121.81	377.25	194.8	51.8	0.0	0.0	0.0	51.38	0.08	216.12	279.26	113.83	41.76	45.19	64.02	0.0	0.0	0.0	184.51	0.0	64.48	111.95	145.41	191.94
Mtap1a	20.45	36.64	0.1	13.37	31.45	51.07	0.26	0.15	9.54	8.58	0.26	10.33	26.29	0.1	1.28	16.92	0.81	11.67	0.8	1.73	0.04	27.9	36.17	0.02	1.62	34.81	26.15	0.26	0.0	0.2	0.0	0.04	0.2	30.72	2.39	18.57
Mterfd1	278.95	74.18	0.0	0.0	157.86	51.81	0.0	0.0	241.32	102.4	196.2	36.64	71.76	0.36	0.0	94.43	0.24	0.0	117.72	180.75	0.0	199.4	395.89	0.0	37.73	71.49	88.15	0.0	0.0	0.0	0.0	354.69	0.0	0.0	0.0	0.0
Naga	111.64	305.16	0.0	143.78	0.0	0.1	0.0	0.0	177.18	0.4	55.56	82.75	0.0	0.0	0.0	98.77	0.0	0.65	0.0	0.0	0.0	0.0	620.92	100.82	95.41	127.73	125.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nap1l1	340.36	283.4	114.99	295.56	336.95	484.03	7.55	0.0	151.13	245.12	9.6	222.56	226.34	84.75	339.28	323.05	5.42	44.07	635.21	158.54	237.0	148.43	723.57	67.33	192.27	139.05	91.2	3.1	0.0	458.64	9.28	1.85	514.13	129.77	679.03	268.24
Nemf	15.94	192.8	0.0	147.09	48.31	117.18	0.14	0.0	149.35	129.67	57.07	52.07	120.08	174.02	6.75	54.27	0.0	0.21	247.82	88.45	11.62	104.45	352.24	78.12	96.94	56.68	84.77	0.12	651.89	0.0	0.0	0.0	113.29	65.71	54.73	23.34
Nmnat2	252.43	729.3	86.04	307.57	41.94	386.71	0.0	0.0	11.07	148.47	276.23	151.79	135.51	114.6	113.46	219.16	29.05	13.79	188.88	90.56	200.48	103.1	604.02	148.18	124.6	181.39	174.67	0.1	0.0	0.0	0.0	0.0	38.16	234.8	206.77	83.87
Nudt14	64.83	0.25	0.0	4.2	366.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69	0.0	0.0	0.0	71.84	0.0	0.0	246.77	0.0	45.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pde8b	0.0	84.85	0.0	0.0	166.52	16.39	0.0	0.0	62.21	0.0	0.0	4.37	37.14	158.54	3.16	0.0	0.0	2.64	0.07	0.0	2.91	30.12	367.51	0.0	0.53	24.22	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdk2	166.51	0.17	0.0	110.2	216.95	0.25	0.0	0.0	0.0	0.0	80.27	32.08	5.27	0.0	115.74	0.0	0.0	0.0	0.0	0.0	0.2	0.2	268.37	0.6	80.94	0.0	2.3	0.0	0.0	0.0	0.0	16.57	0.0	16.98	9.72	3.68
Pknox2	0.1	0.0	0.0	26.53	139.56	0.05	0.0	0.0	0.0	22.75	2.88	0.57	2.61	1.96	97.6	0.0	0.2	0.0	0.0	0.09	0.0	125.07	176.47	0.86	44.9	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	5.22	0.0
Ppm1h	403.86	166.6	177.38	351.95	324.85	413.86	307.37	0.0	291.2	436.58	124.04	244.14	448.8	43.89	297.3	150.97	376.46	265.98	505.61	415.74	285.86	293.29	536.64	285.19	376.51	165.4	321.73	0.0	0.0	0.0	72.42	95.51	242.86	380.68	510.38	478.51
Ptpn5	259.99	190.78	0.0	75.23	206.3	36.57	0.0	0.0	144.52	4.85	110.9	15.9	55.07	204.66	31.08	28.72	0.0	0.0	369.75	268.38	85.86	36.34	123.75	102.8	103.2	99.03	5.65	0.0	0.0	0.0	0.0	0.0	20.27	18.64	23.77	109.95
Rwdd2a	0.15	367.0	378.44	0.0	454.43	250.71	0.0	893.85	0.0	46.02	0.0	44.25	349.52	0.0	102.98	0.0	0.0	0.0	355.05	0.0	0.0	0.0	555.22	72.3	151.84	0.0	39.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529.6	128.47
Sept3	46.86	48.73	23.14	63.49	179.03	19.93	0.54	0.0	21.92	156.45	415.85	83.56	2.42	0.57	61.97	118.08	0.39	43.28	145.74	64.8	0.32	98.49	187.52	86.13	86.28	0.08	92.05	1.5	0.0	0.17	0.48	0.0	33.05	68.8	141.62	24.86
Stau2	110.45	133.93	0.99	0.0	221.46	271.59	0.0	0.0	2.01	43.46	58.96	0.36	54.19	181.15	22.95	211.77	0.0	216.43	72.91	85.47	0.0	125.96	328.35	1.21	122.03	101.94	15.81	0.0	0.0	0.0	0.0	0.0	0.0	51.93	3.88	26.78
Tbpl1	56.62	0.13	0.0	240.63	21.78	15.29	0.0	0.0	64.41	81.1	204.39	34.67	50.45	290.76	0.34	41.28	0.0	17.25	0.0	117.21	0.0	14.09	252.7	13.55	58.84	18.15	34.14	0.0	0.0	0.0	0.0	0.0	21.99	0.0	9.81	3.16
Tial1	392.61	385.64	306.3	121.27	667.29	181.42	0.0	0.08	313.78	102.44	181.59	144.39	151.78	504.07	133.59	116.91	290.02	84.62	184.3	168.31	374.32	223.12	345.83	116.98	142.82	108.24	81.06	211.68	0.0	0.0	118.55	71.91	159.88	156.61	83.17	182.95
Tm9sf3	0.0	58.17	0.09	23.77	116.4	92.55	0.0	0.0	0.0	0.0	30.54	39.74	28.2	0.08	59.14	2.15	0.0	54.14	0.05	13.35	0.07	44.02	325.3	0.04	20.13	0.0	0.73	0.07	0.0	0.0	0.0	0.0	93.92	0.81	51.12	0.0
Tmco3	6.38	11.02	8.24	8.38	11.04	9.6	0.0	0.1	10.43	29.8	19.51	3.54	77.19	11.06	70.46	10.19	14.26	6.47	9.67	6.17	8.93	92.32	132.41	94.31	111.04	3.71	1.73	3.24	2.58	10.05	3.48	6.49	3.03	3.9	8.54	14.61
Usp29	0.2	2.84	0.29	152.98	107.12	31.65	0.0	0.0	0.1	38.41	47.19	18.91	22.25	42.2	48.76	17.85	27.11	20.0	294.51	100.8	0.4	143.65	234.31	32.49	16.17	5.18	19.04	1.26	0.0	0.09	0.2	0.0	2.26	12.02	48.18	59.05
Wdr37	111.82	0.29	0.0	175.55	36.36	68.07	0.13	0.04	72.35	180.25	125.77	181.51	240.31	0.25	210.98	225.63	0.08	41.54	48.5	293.07	0.12	176.36	249.42	78.51	224.12	130.53	195.27	0.12	0.0	0.0	0.26	0.0	192.41	74.28	41.12	100.65
Wwp1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	75.57	0.0	0.0	13.12	0.26	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.11	126.72	0.0	0.0	0.0	6.88	0.0	0.0	0.0	0.0	0.0	0.0	39.84	0.0	0.0
