	Calb2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arhgap23	0.0	0.06	2.13	0.0	0.05	5.81	0.08	0.0	0.0	0.6	0.0	0.0	0.0	0.0	21.38	0.0	4.46	0.09	0.1	1.19	0.07	0.0	0.23	1.13	0.53	0.0	1.95	8.61	0.0	15.34	59.14	63.67	65.13
Arrb1	0.0	0.0	6.66	4.29	0.03	0.07	16.4	13.54	0.0	43.48	14.98	1.36	0.0	0.17	22.42	0.15	30.7	2.29	12.38	1.93	18.12	16.85	8.19	11.47	4.62	16.9	25.99	30.76	0.25	40.15	124.64	121.51	131.79
Atg9a	0.0	40.72	32.0	15.03	2.96	15.53	23.53	24.34	25.3	43.35	8.05	14.41	20.71	0.0	18.71	0.0	20.59	18.32	28.54	30.64	58.96	30.24	31.28	61.64	1.1	15.88	0.0	84.13	17.78	44.34	96.67	101.26	102.1
Atp9a	0.0	0.0	4.85	11.2	22.33	39.22	20.21	15.44	1.72	34.13	1.02	13.55	21.65	3.86	47.51	1.06	34.35	18.75	36.98	3.69	50.59	14.66	33.28	4.22	34.61	38.0	1.37	52.76	29.42	47.28	263.17	276.86	268.06
B130024G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.55	0.52	0.62
BC065397	0.0	18.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	2.91	2.03	3.13
Bcl9	0.0	0.0	0.18	10.48	0.0	15.8	0.0	5.55	0.0	0.0	0.0	0.0	8.6	0.0	0.0	0.0	4.97	0.0	0.0	4.44	14.92	0.0	0.0	0.0	7.33	2.63	4.71	23.82	0.0	1.08	28.0	25.61	27.6
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bmp2k	0.28	0.0	12.86	0.09	0.0	0.0	0.0	0.0	0.0	0.0	6.74	0.2	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.2	0.0	0.0	0.0	0.0	23.62	0.0	5.37	8.64	7.34	8.32
Calcoco1	0.0	0.0	0.15	0.0	0.09	16.91	27.78	22.94	26.01	45.95	48.21	1.15	31.0	0.0	17.41	0.0	61.03	10.88	14.65	61.72	36.18	2.12	0.0	39.09	7.78	0.0	3.82	84.15	0.0	28.88	65.64	68.73	64.28
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Cc2d1a	0.0	0.0	0.0	0.72	0.0	22.73	0.62	0.0	0.0	1.0	2.17	2.36	1.14	0.0	0.0	0.0	6.79	0.0	0.0	0.0	16.23	0.0	0.0	1.13	0.0	1.45	0.0	12.56	0.13	0.0	33.23	35.45	36.01
Ccl27b	0.0	2.09	1.67	0.0	0.0	6.15	2.68	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.56	0.0	9.34	30.63	28.29	22.96
Cd38	3.55	3.8	0.83	2.87	0.18	1.15	1.03	1.65	0.96	3.78	0.41	2.66	0.93	0.93	1.3	0.84	2.0	0.53	1.37	2.91	1.26	2.37	3.38	1.48	3.11	0.95	1.03	3.83	1.71	2.64	8.08	7.82	8.58
Cdc37	0.0	63.05	8.9	1.21	53.96	1.17	25.91	0.52	4.14	9.02	21.22	26.23	6.36	0.0	48.99	0.0	81.8	28.89	13.04	12.84	41.3	14.49	28.79	6.88	31.65	0.81	37.44	116.45	21.93	26.25	104.43	110.99	107.23
Cecr5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	28.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.54	0.0	27.96	0.22	0.0	34.52	98.39	0.0	12.44	29.07	29.94	31.01
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cnn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	13.77	0.0	0.0	96.05	0.0	0.0	0.0	0.0	0.0	0.0	35.51	0.0	0.0	0.0	0.0	49.3	0.0	0.0	0.0	104.29	0.0	0.59	71.84	78.31	72.56
Cul4a	173.2	0.0	16.1	0.0	49.84	0.0	2.9	0.0	22.1	12.73	20.49	2.14	4.91	0.0	0.0	28.84	4.46	10.0	18.51	8.74	1.64	0.14	9.13	2.57	0.0	0.33	0.0	107.1	0.0	15.9	57.84	56.16	56.17
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Efna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.22	0.0	0.0	0.0	0.0	46.19	0.0	0.0	71.12	76.72	69.78
Exosc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.97	0.0	0.0	9.21	1.45	0.0	0.0	0.44	20.85	0.0	0.0	11.59	13.72	13.52
Fam125b	0.0	0.0	0.91	0.24	0.0	5.5	6.56	4.16	0.3	0.11	2.37	0.0	0.0	0.0	2.37	0.1	0.0	6.66	0.0	0.0	4.08	2.08	0.0	11.01	0.33	0.0	0.0	9.52	0.0	0.04	57.54	59.6	60.07
Fam63b	0.31	23.57	0.0	19.63	47.62	21.11	11.75	15.3	43.16	15.31	21.82	8.08	15.48	0.51	10.16	4.75	45.83	11.93	53.49	15.92	47.83	6.72	21.47	57.29	15.94	6.51	13.93	21.82	0.34	48.23	33.04	30.27	31.41
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Galc	0.0	0.0	8.78	0.0	2.54	0.26	6.32	0.34	0.0	3.71	8.66	8.89	0.0	0.0	0.1	0.14	0.41	4.22	0.22	0.0	0.0	3.09	14.26	17.42	15.14	0.0	0.14	43.93	0.0	0.05	21.16	21.38	21.02
Gar1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	8.08	0.0	0.0	6.04	0.0	0.0	0.0	0.0	0.0	0.0	27.72	0.0	4.7	16.55	17.61	15.63
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Git1	0.0	0.0	0.0	0.0	5.97	4.04	1.86	0.17	0.0	1.51	1.14	19.64	0.0	0.0	7.42	1.29	57.29	25.33	0.3	21.67	15.62	0.0	30.26	22.11	28.25	0.0	0.0	28.24	15.39	10.71	228.58	244.29	233.42
Gm13306	0.0	2.09	1.67	0.0	0.0	6.15	2.68	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.56	0.0	9.34	30.63	28.29	22.96
Gm2506	0.0	2.09	1.67	0.0	0.0	6.15	2.68	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.56	0.0	9.34	30.63	28.29	22.96
Gm4827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.25	0.22	0.59
Gpx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.48	0.0	0.0	23.87	0.0	0.0	0.0	0.0	0.0	0.0	40.97	0.0	0.0	9.21	9.97	10.25
Gsn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.85	0.0	0.0	64.68	71.27	66.21
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hk1	0.0	100.7	0.2	14.07	0.72	19.97	48.01	52.05	45.15	41.57	77.07	12.89	55.82	61.43	0.09	26.75	38.62	32.44	12.68	27.41	51.25	45.97	20.17	16.54	0.0	25.2	34.52	39.73	20.5	48.07	221.73	224.48	218.26
Hmg20b	0.0	0.0	0.0	0.0	0.53	0.0	4.1	0.0	0.0	3.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.09	0.0	0.14	18.62	23.12	22.34
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igf1r	0.0	0.0	0.17	4.53	5.7	0.0	0.0	6.78	1.12	6.61	4.91	0.0	0.0	0.0	0.06	0.0	12.7	2.17	0.11	0.44	5.21	2.42	0.86	4.3	2.83	7.75	0.0	10.3	1.04	6.54	15.7	15.06	17.48
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Jph4	0.0	0.0	0.37	1.7	0.44	0.0	2.49	0.0	1.57	0.0	0.53	6.31	0.0	5.13	0.0	4.76	2.3	0.0	0.0	0.0	0.0	0.0	0.48	12.54	2.47	10.82	0.0	15.47	0.0	0.0	201.25	207.8	201.7
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ldhb	7486.96	8550.52	8752.31	8798.32	10118.08	10894.4	8525.9	8517.89	8808.99	8223.21	8574.79	10165.1	9602.81	7061.15	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	11010.48	7724.63	10182.84	11746.38	737.58	774.98	752.92
Limd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.81	0.0	0.0	6.69	6.58	6.87
Lrrc20	3.3	0.67	8.65	0.91	0.09	0.0	0.0	0.53	0.19	0.43	0.54	2.53	0.35	1.43	1.67	3.65	1.62	0.27	0.54	1.38	7.45	1.38	3.1	0.75	1.24	0.27	0.24	76.91	7.7	0.14	23.97	24.08	23.28
Map2k7	0.0	0.0	0.0	17.88	61.6	3.1	14.66	0.75	4.62	24.84	1.76	10.16	14.48	0.0	4.21	0.0	22.27	5.9	12.41	15.46	16.52	19.92	34.57	46.52	32.45	14.62	5.73	38.33	3.86	21.31	58.55	64.67	62.37
Med16	0.96	2.4	0.21	1.78	0.0	4.46	2.28	2.66	1.41	2.13	1.99	1.53	1.26	2.32	1.44	2.28	4.58	1.19	2.36	3.95	2.73	2.7	1.74	2.04	12.78	19.52	1.39	28.27	0.58	1.65	41.23	46.11	45.2
Metrn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.95	0.0	0.0	61.59	63.33	70.47
Mettl13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.21	0.0	0.0	0.0	0.0	0.0	0.0	3.13	0.0	0.0	0.0	14.65	0.0	0.0	9.26	9.76	9.93
Mob3a	0.21	0.0	0.16	2.02	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	15.26	0.32	0.0	9.79	9.59	9.62
Myst4	0.0	4.02	0.69	5.53	10.28	11.13	0.05	0.35	0.21	3.33	5.33	0.0	0.0	0.0	11.04	0.29	14.21	0.29	0.0	0.45	12.58	8.29	0.3	4.31	18.7	0.22	0.37	24.22	0.0	0.13	24.86	24.19	26.41
Neu4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	4.9	5.5	5.31
Nipal3	0.0	0.0	0.17	18.34	0.0	21.66	1.75	9.14	5.79	18.07	19.55	11.29	6.78	0.49	10.6	35.33	19.11	0.14	3.18	0.0	21.85	1.48	0.6	38.0	0.0	16.79	0.0	45.36	25.11	0.0	59.34	62.81	55.55
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Pabpc4	0.0	0.0	0.0	11.94	0.0	0.0	11.34	0.0	9.19	0.0	0.0	2.34	5.68	1.08	0.83	0.0	0.43	0.98	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	5.09	24.27	0.0	13.5	29.6	31.94	31.63
Pank2	0.0	0.0	5.17	20.65	20.83	33.57	0.0	2.81	19.22	0.0	0.32	12.08	0.21	1.23	0.0	10.5	0.0	0.83	0.0	0.0	0.0	10.12	16.82	0.0	4.72	0.0	0.38	28.93	0.0	0.0	32.39	32.48	32.67
Phyhip	0.0	0.0	17.44	14.45	21.68	1.71	0.49	24.6	8.72	8.32	17.56	3.26	10.52	0.15	14.29	22.24	7.15	41.51	21.51	14.35	101.62	49.1	36.03	30.19	19.31	16.98	0.0	52.78	28.34	17.91	399.59	415.43	391.87
Pigz	0.0	0.0	1.16	0.0	6.53	2.64	0.0	0.29	0.0	2.8	7.7	0.0	2.11	0.0	0.0	0.0	48.04	0.0	0.0	0.0	5.17	0.0	0.0	1.15	2.48	0.0	0.0	43.44	7.07	0.0	11.92	12.43	13.53
Ppm1a	0.17	48.73	32.17	37.39	13.03	46.76	38.78	27.33	0.36	11.68	2.12	30.72	1.31	0.0	0.0	29.02	36.96	59.2	2.19	41.44	13.29	47.49	43.08	82.75	11.89	44.93	81.77	100.29	0.0	25.16	150.18	150.39	144.09
Prnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.18	0.41	0.1
Rgmb	0.0	0.24	0.0	0.0	1.32	0.0	13.49	0.0	0.19	0.0	0.0	1.97	0.0	0.0	0.0	0.0	35.58	0.0	0.21	0.0	0.0	0.0	0.0	0.0	18.28	0.0	0.0	100.55	0.0	0.07	37.99	40.82	42.33
Rxrb	0.0	0.0	0.54	12.94	0.09	0.0	0.0	0.0	0.0	6.86	0.0	0.56	10.01	0.18	0.96	22.97	0.0	0.0	0.24	0.0	0.0	1.71	0.0	1.6	21.48	0.85	0.0	65.28	0.0	0.0	56.74	63.91	61.21
Serp1	0.0	51.93	0.0	0.49	0.0	0.0	0.0	1.04	17.22	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	17.56	0.0	0.0	21.77	0.0	0.0	5.88	0.0	12.88	0.0	69.21	0.0	0.0	46.41	47.54	42.93
Slc12a2	0.0	0.0	0.0	0.0	0.0	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	14.18	0.0	4.98	0.0	0.0	0.0	0.0	0.07	7.0	0.0	0.0	0.0	42.55	0.07	16.06	38.31	35.44	39.2
Slc39a8	0.0	3.62	0.12	0.0	0.0	0.0	0.0	0.95	0.3	0.16	0.0	0.11	0.0	0.13	0.0	0.0	0.34	0.0	0.09	0.0	0.18	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.39	3.14	3.04	3.32
Slc7a15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.26	0.07	0.18
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Styk1	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.12	0.16	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.48	0.13	0.0	0.28	0.3	0.27
Suds3	0.0	0.0	10.08	4.26	17.37	21.61	4.7	19.16	0.0	11.45	0.0	20.92	3.75	0.0	9.47	0.0	0.0	22.02	1.44	17.43	0.97	17.44	2.06	1.88	3.01	1.37	0.0	14.56	14.98	9.46	98.23	92.43	94.15
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tatdn2	0.0	0.0	0.63	2.45	0.0	2.5	1.03	0.0	1.15	0.0	0.0	0.0	2.6	2.98	1.97	0.0	0.0	1.08	1.89	1.85	0.0	2.65	0.0	0.71	0.0	2.11	2.45	11.55	2.22	0.0	35.62	36.09	36.28
Tln1	0.0	0.36	0.24	0.0	0.0	1.04	0.31	0.0	0.41	0.0	0.21	0.0	0.0	0.0	0.0	0.06	2.26	0.25	4.32	0.19	0.26	0.17	0.05	0.0	0.05	0.09	0.0	5.28	0.0	0.0	14.41	15.58	15.89
Tm4sf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	11.12	11.41	9.81
Tmem8b	0.57	1.67	1.34	1.23	0.0	7.97	5.14	23.43	2.49	2.25	1.57	1.5	0.68	1.0	1.83	1.13	11.87	14.66	1.04	5.89	11.24	1.13	17.33	14.69	1.39	1.26	1.95	21.16	1.38	0.47	49.17	49.89	49.93
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Uqcrfs1	0.0	44.81	25.84	44.82	50.09	62.6	47.85	12.89	24.5	184.0	56.48	57.7	24.67	0.0	0.0	69.72	81.14	30.11	82.98	2.87	62.46	60.93	45.5	134.86	3.88	20.8	18.5	141.12	40.52	189.08	166.68	179.28	171.66
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.03	0.03	0.06
Ybx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.25	0.0	0.0	5.29	5.34	6.38
