	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_15	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_11	Pvalb_tdTpositive_cell_50	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_10	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_81	Sst_tdTpositive_cell_84	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_68
Eif1ad	0.0	10.05	296.47	66.2	0.0	72.65	16.45	110.91	61.73	0.0	0.49	76.67	0.0	0.0	0.14	0.0	0.0	27.92	0.2	0.0	87.75	0.1	84.16	64.91	7.22	73.89	47.54	62.62	45.97	0.0	135.95	18.62	53.63	0.0	4.77	0.24	33.11	47.25	59.23	0.0	0.0	0.0
Elavl2	0.64	87.74	0.0	0.09	5.42	49.87	64.18	0.0	149.62	1.02	4.38	0.0	33.71	147.75	0.0	0.0	208.89	18.48	35.87	54.68	149.87	69.94	143.02	157.1	67.18	186.95	55.51	73.81	155.31	336.32	174.93	83.31	80.3	82.21	83.91	279.2	129.25	60.37	46.71	64.66	0.21	117.13
Fam168b	0.0	164.83	0.17	0.0	1.75	0.0	46.14	0.06	94.76	4.27	0.0	1.69	0.08	0.0	0.0	0.0	0.0	31.18	0.57	20.55	43.68	49.76	28.03	6.02	83.4	68.6	30.8	67.7	39.81	10.51	26.49	99.84	0.86	0.0	110.67	76.02	124.05	0.0	1.46	3.18	0.39	3.52
Gm1604b	0.0	105.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.31	133.87	26.38	67.89	78.61	37.35	52.87	175.45	52.91	125.02	28.79	127.58	86.43	49.68	49.94	114.33	0.0	0.0	0.0	0.0	4.83
Gria3	84.33	126.24	0.0	0.0	0.2	480.59	97.93	0.07	86.8	1.35	144.28	17.96	0.0	123.39	0.07	0.0	34.21	167.41	154.62	0.0	141.78	0.05	188.22	250.01	326.74	231.71	71.05	221.99	203.3	158.01	486.01	454.34	0.0	228.09	163.17	126.76	256.19	0.0	42.68	0.09	1.03	10.11
Impact	6539.77	6891.15	7007.16	6174.14	6228.16	6826.9	6067.16	7392.12	6201.0	4540.6	6076.78	7253.7	5401.16	6720.17	4671.06	5967.16	5764.63	6840.91	6940.54	5879.64	6228.26	5006.92	4129.3	5542.05	5757.16	6020.42	6867.61	4994.25	6400.32	6279.58	5111.38	3799.87	5786.89	6369.48	5980.71	4127.93	4431.76	4938.25	7015.38	6662.18	5602.4	4786.26
Kcnma1	47.02	1.97	28.41	0.0	0.11	6.29	0.16	78.73	0.18	1.2	4.78	16.62	3.91	0.09	7.08	0.0	2.48	0.0	0.3	0.57	0.06	23.56	100.98	42.76	24.54	19.3	45.32	77.8	0.31	99.23	41.86	62.36	0.0	25.05	0.98	33.34	41.78	0.05	0.0	0.0	0.0	0.0
Klf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.17	0.0	0.0	106.31	81.22	65.73	0.0	59.47	11.2	0.17	0.0	5.34	0.28	10.12	0.0	13.46	53.07	0.0	0.0	0.0	0.0	0.0
Laptm4b	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	135.92	210.21	0.0	330.47	107.45	174.69	318.0	61.69	490.94	220.18	708.2	12.56	184.65	124.59	290.93	310.89	307.89	89.78	21.31	17.71	0.0	0.41	0.0
Lcorl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	12.96	0.0	0.0	0.0	0.99	0.0	0.0	2.74	0.02	0.0	0.0	0.0	0.05	20.59	0.05	0.0	82.53	0.0	0.0
Lpgat1	34.21	2.92	33.37	49.42	216.65	0.08	8.48	0.0	36.25	0.0	38.79	4.52	0.0	0.0	0.05	0.0	93.52	0.0	0.07	21.18	70.32	36.68	67.2	102.26	134.82	43.99	38.99	159.04	48.99	92.61	15.07	12.45	0.07	41.47	9.97	70.34	52.65	49.76	51.03	0.0	0.54	4.34
Nceh1	47.05	0.0	64.77	8.28	0.12	134.05	78.08	0.0	51.9	47.99	0.0	118.27	0.0	0.0	73.87	0.09	182.25	0.0	0.0	71.1	66.82	52.36	253.21	195.1	138.97	92.26	400.92	443.95	221.11	150.82	101.15	138.54	132.99	104.5	215.8	66.88	220.97	54.52	0.0	0.11	0.0	0.0
Nek7	0.25	21.83	0.73	0.0	0.91	0.11	0.26	0.19	0.17	0.0	0.0	0.88	0.0	0.55	0.23	0.58	15.18	0.72	0.26	0.81	0.28	0.14	395.82	69.13	26.15	61.66	32.18	57.27	0.49	0.75	118.07	127.69	18.62	0.44	0.79	176.4	35.26	0.37	0.24	0.38	0.2	0.09
Nme7	87.23	379.32	108.44	76.09	173.75	59.1	92.49	597.77	189.17	138.25	109.48	80.85	182.64	46.42	203.08	91.17	123.74	37.59	58.15	169.16	183.64	90.1	294.35	249.16	168.05	267.03	185.57	290.06	287.56	179.91	179.15	289.48	197.31	225.83	245.91	108.13	320.65	75.34	54.21	26.88	27.81	212.34
Nxph1	0.0	354.23	0.0	0.0	0.3	0.0	0.0	567.6	526.59	0.0	108.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.44	273.95	89.9	494.32	130.19	191.97	145.12	253.55	671.23	264.54	239.13	236.55	298.14	901.8	515.84	150.23	327.07	272.35	0.0	0.1	0.0	0.0	0.0
Pdpk1	0.18	22.08	0.0	0.05	0.07	75.62	0.0	0.0	0.0	0.12	0.36	7.02	0.0	0.0	0.03	1.19	0.11	0.07	165.09	0.08	0.75	0.19	6.59	88.71	0.34	0.19	0.25	42.83	37.47	2.07	0.29	34.5	6.91	0.0	2.53	69.89	42.51	0.05	0.59	46.67	0.1	0.0
Pitpnc1	110.93	111.15	114.11	101.57	13.62	30.26	48.8	38.11	31.84	36.62	0.0	29.95	33.96	89.3	13.28	20.41	70.03	25.37	24.84	65.76	0.05	136.6	102.71	291.22	244.01	219.52	268.39	266.51	229.59	297.0	246.31	140.54	121.41	146.83	194.55	176.97	178.83	13.07	50.5	0.0	0.36	102.82
Ptprm	0.0	46.32	0.0	0.06	0.0	0.11	177.84	0.0	61.74	0.0	84.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.02	0.17	1.91	42.94	76.35	0.38	4.87	21.35	50.91	9.31	26.28	17.21	120.48	11.22	35.33	35.88	0.0	0.0	0.0	0.0	0.0
Rab27b	0.36	80.95	0.74	0.05	125.4	33.35	114.44	56.02	87.14	0.14	178.39	99.59	0.65	0.07	0.16	0.14	79.51	0.29	0.09	0.0	49.43	22.8	98.02	62.4	147.69	85.54	67.46	228.65	64.96	64.81	208.55	266.43	382.3	64.5	141.81	148.04	153.83	51.67	94.16	0.67	0.47	63.38
Rbfox1	82.79	85.73	143.11	0.0	0.05	69.43	40.54	0.0	4.89	64.35	113.53	18.72	0.0	1.45	0.12	0.08	168.48	75.23	3.24	108.09	28.02	15.47	183.0	169.86	102.19	232.05	210.9	158.88	86.2	94.33	162.49	140.86	132.37	62.81	205.34	138.47	167.26	89.05	101.35	16.9	0.44	0.14
Rgs17	144.1	164.03	62.55	0.0	2.02	93.07	6.18	0.0	9.63	36.32	74.97	84.15	0.06	20.79	0.13	0.0	1.27	8.92	43.81	0.0	9.68	41.43	49.92	116.62	164.43	117.7	92.53	112.04	130.33	151.32	163.69	105.24	95.19	12.19	69.93	159.77	83.4	78.98	41.35	0.18	65.42	24.58
Runx1t1	0.14	108.33	0.0	0.0	0.0	34.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	10.4	2.94	0.23	0.0	84.43	37.82	12.82	86.53	28.21	111.67	88.62	51.3	185.71	64.11	114.54	203.44	42.25	100.13	35.18	38.35	97.66	44.66	88.56	12.09	35.58	0.25	94.14	0.1
Satb1	0.0	165.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.36	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.94	17.41	12.59	0.73	30.18	47.14	24.51	35.45	74.56	3.57	99.08	5.49	32.18	154.9	95.15	154.97	0.0	0.0	0.16	0.0	14.38
Sema3a	0.0	85.82	0.25	0.0	0.76	0.07	98.54	0.0	210.75	0.0	0.1	0.28	0.0	0.76	0.12	0.05	0.1	0.01	0.07	0.1	0.09	7.08	194.35	42.2	65.41	46.28	47.91	218.08	16.21	111.03	114.84	140.38	166.61	88.55	53.06	26.71	134.28	0.17	0.03	0.15	0.12	0.0
Slu7	0.0	14.81	93.97	0.0	0.0	0.0	101.54	0.1	114.73	0.0	0.0	103.57	173.65	0.0	0.0	3.95	0.0	56.36	167.77	64.55	53.34	36.45	37.04	0.0	3.41	26.22	64.62	0.0	49.95	39.64	65.2	41.2	27.02	129.56	87.58	89.01	93.99	0.08	0.05	0.53	0.0	0.0
Snx27	49.88	131.15	0.0	59.55	0.0	8.22	0.0	0.0	0.48	0.0	29.27	0.0	0.0	0.0	1.54	0.0	0.0	0.21	3.39	0.0	1.18	0.0	9.36	51.31	11.78	18.23	30.36	41.3	44.52	0.78	73.24	23.7	61.37	182.53	31.35	41.28	1.06	11.67	20.51	1.55	0.0	0.0
Stra13	0.0	0.0	89.22	0.0	149.94	0.0	49.83	0.0	77.96	0.0	0.0	0.0	0.0	0.77	0.0	0.0	16.42	130.58	0.0	0.0	67.81	0.0	52.44	36.98	0.0	0.58	0.0	77.26	0.0	139.86	223.49	32.32	82.34	102.52	98.32	3.02	40.96	0.0	0.0	175.85	0.0	0.0
Tmcc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.87	2.43	0.0	21.22	15.93	9.11	0.08	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.67	35.32	0.0	0.03	0.0	0.0	0.0
Tmem18	0.0	102.74	119.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	113.75	0.0	0.0	0.08	28.1	76.98	0.0	108.34	0.0	103.86	0.1	0.0	159.2	52.87	137.45	0.19	0.0	0.1	0.0	0.0	0.0	0.0	0.0	101.89
Tmem44	0.0	1.12	0.19	0.0	0.11	0.0	0.09	0.0	0.06	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.1	0.12	0.0	0.11	0.0	0.05	16.19	0.0	35.95	34.28	0.1	62.87	15.51	72.26	37.87	30.02	0.12	0.0	0.14	31.23	0.7	0.04	0.0	0.0	0.0	0.0
Usp25	0.0	0.15	25.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.68	39.62	0.0	1.15	0.1	58.82	0.0	0.0	0.16	9.7	2.06	0.0	1.24	34.56	39.68	0.0	0.0	0.0	0.17	0.0
