	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Angpt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.97	4.05
Anks6	0.0	0.0	0.0	3.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.05	0.87	0.0	0.0	0.0	0.0	0.0	0.0	33.61	1.97	0.0	0.0	0.0	0.0	0.75	0.0	0.28	0.72	0.17	0.48	2.04	8.63	8.4	9.75
Ap2b1	13.85	14.01	15.46	0.96	3.48	24.3	63.32	31.59	36.46	104.74	207.66	132.42	7.84	30.16	39.87	28.15	20.15	9.69	12.38	17.01	6.47	15.79	41.46	32.45	39.52	34.05	26.79	4.93	24.45	38.38	9.6	24.66	5.96	140.85	26.39	12.43	29.11	27.59	12.93	34.72	8.92	27.72	17.62	16.14	45.73	51.81	42.06	15.87	30.44	25.58	20.81	16.32	27.96	25.91	38.21	29.52	63.13	44.78	59.15	20.72	54.56	26.67	30.97	17.19	28.17	47.27	12.65	21.34	23.31	168.78	170.81	177.32
Asxl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8	0.0	0.0	3.58	63.65	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	2.98	0.0	0.0	0.0	1.93	0.0	11.14	28.26	0.0	0.0	0.0	0.0	0.0	2.59	0.0	0.51	2.91	0.35	1.24	0.93	3.54	3.53	4.61
C130080G10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.11	0.05
C130083M11Rik	1.94	1.3	1.15	0.0	0.35	0.26	2.33	1.11	2.35	0.32	1.19	9.54	2.25	4.62	1.34	1.41	1.66	0.0	0.33	1.85	0.23	0.17	0.89	0.75	1.25	0.74	2.05	1.38	0.38	1.0	1.24	0.0	0.84	2.92	2.37	1.88	0.87	0.67	0.23	0.72	0.68	0.87	1.24	0.94	0.94	1.94	0.24	1.38	1.84	4.32	1.17	0.92	0.4	0.96	0.31	1.39	2.17	0.6	0.81	0.73	0.59	3.53	1.29	0.97	1.18	1.21	1.87	1.12	0.39	3.38	3.61	4.76
C1qtnf1	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03	0.0	0.0	0.0	0.0	0.0	0.0	6.8	4.41	4.44	4.43	2.75	2.02	2.72	4.22	4.54	4.24
Cables1	0.0	0.0	0.0	27.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.92	0.0	0.0	0.0	73.1	0.0	0.0	0.0	0.29	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.05	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	7.25	0.26	6.34	2.98	1.82	3.18	1.7	15.82	19.13	14.69
Cacna2d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.24	1.25	1.38	1.26
Camk2a	0.0	0.0	10.99	5.52	0.08	0.0	0.15	1.1	15.92	21.91	21.14	69.23	0.19	1.88	0.28	0.14	57.6	0.0	0.0	0.1	0.11	0.17	0.13	0.12	0.05	0.5	0.0	13.02	0.01	7.45	3.79	0.0	0.06	4.04	0.31	7.51	7.54	0.0	0.18	22.08	2.24	0.13	0.25	11.2	0.0	1.43	0.17	40.58	119.89	22.97	0.0	0.0	0.0	19.59	0.13	1.98	0.23	28.88	0.52	0.13	0.2	7.06	46.72	20.7	33.83	42.19	56.96	54.96	47.59	1430.39	1416.19	1497.51
Car15	0.0	0.0	34.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.78	131.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	7.89	2.42	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	7.51	0.0	0.0	3.76	1.4	2.89	7.47	7.11	7.98	8.01
Ccdc104	55.16	93.89	151.25	55.99	34.87	85.76	47.16	7.92	17.46	124.65	151.4	667.89	3.29	268.81	71.3	271.23	164.68	0.0	50.25	16.11	106.47	56.43	6.04	102.64	2.59	133.71	102.07	81.91	176.95	57.89	14.32	4.32	0.0	49.35	47.36	35.8	0.0	52.64	0.0	63.84	66.47	108.02	104.64	73.66	80.97	11.79	25.72	70.6	127.16	112.91	13.78	1.83	28.18	40.71	107.15	56.11	55.97	7.83	184.85	126.52	90.94	261.32	103.33	112.47	98.89	96.05	72.98	56.32	65.42	99.63	99.4	108.53
Cd52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	3.15	5.39
Cdk19	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	49.06	85.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.05	0.22	0.04	0.0	17.88	24.49	13.64	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	18.02	8.22	11.33	11.87	17.36	13.91	10.47	50.67	49.47	49.35
Cdkn2aip	9.3	1.13	0.0	2.16	1.67	0.76	0.0	0.0	0.0	4.63	0.0	118.0	0.0	2.9	0.0	4.11	0.13	0.0	0.0	0.02	0.0	0.0	0.0	1.84	0.16	0.14	0.09	0.0	0.0	13.61	0.0	11.3	0.0	0.0	0.0	0.55	2.05	3.59	0.0	0.07	0.65	3.17	0.0	0.0	1.88	0.73	0.0	0.25	1.51	23.24	5.79	3.39	9.23	19.53	1.34	0.0	1.78	2.67	6.18	0.0	0.0	0.0	8.2	11.88	4.43	8.83	8.92	6.67	6.13	16.64	16.4	14.16
Ceacam2	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.19	0.12	0.0	0.0	0.09	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.97	0.57	0.17	0.72
Celf1	0.95	16.8	9.02	2.71	0.0	4.45	55.58	32.98	19.53	4.67	23.4	211.18	4.17	0.0	20.09	0.03	27.35	0.0	20.43	0.05	0.1	9.01	0.02	1.17	0.07	10.36	1.1	7.94	17.69	14.39	2.81	0.0	10.83	44.99	26.61	10.82	41.69	15.53	0.0	7.19	0.0	0.28	3.75	3.07	25.19	1.23	17.03	10.75	66.72	15.87	2.73	0.19	0.73	27.35	1.72	2.94	10.26	0.17	31.1	17.42	9.96	1.98	13.91	25.71	18.07	24.38	22.94	20.4	15.27	102.29	99.67	102.18
Cep76	0.0	0.0	0.0	0.1	0.18	0.07	0.19	0.06	0.0	2.76	0.0	112.79	0.0	0.18	0.12	48.48	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.06	0.0	0.1	0.07	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.0	16.01	3.14	0.14	2.85	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.1	0.12	0.05	0.0	0.0	2.66	3.59	3.63	0.2	1.12	1.37	4.42	5.28	5.2	4.94
Cks1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.72	0.0	0.0	35.91	12.61	0.0	0.0	0.0	0.0	38.52	0.0	0.0	0.0	119.26	0.0	0.0	0.0	0.0	7.25	4.89	0.0	0.0	1.93	4.38	4.57	3.05	2.78
Cntln	0.0	9.48	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0	26.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.14	0.0	0.0	2.61	0.0	3.68	0.0	0.0	0.91	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	2.73	2.58	4.02	1.42	3.31	7.19	6.25	7.48
Ctxn1	0.0	0.0	0.13	7.31	0.31	2.9	0.0	30.75	97.04	31.4	77.8	455.4	0.83	7.83	16.03	25.26	66.9	0.0	1.41	0.2	28.78	0.28	4.01	0.0	43.3	0.0	0.0	9.46	0.0	17.99	4.55	0.0	0.0	66.4	0.0	3.52	4.22	0.91	0.0	0.0	0.0	1.63	0.24	78.11	28.36	41.04	0.0	152.01	521.26	309.34	6.25	31.44	10.18	29.07	2.7	47.22	12.5	0.0	109.7	22.46	2.29	11.74	387.59	175.53	352.3	367.77	74.32	253.11	253.46	635.52	680.06	633.26
D730005E14Rik	0.71	0.0	0.12	0.0	0.0	0.41	0.29	0.42	0.28	0.36	0.31	1.27	0.0	0.56	0.0	0.2	0.21	0.0	0.09	0.19	0.12	0.0	0.17	0.17	0.0	0.0	0.0	0.0	0.22	0.25	0.12	0.08	0.21	0.36	0.58	0.09	0.15	0.0	0.06	0.28	0.06	0.1	0.08	0.16	0.1	0.4	0.0	0.51	0.55	0.79	0.08	0.25	0.13	0.08	0.08	0.12	0.0	0.0	0.25	0.05	0.08	0.6	0.46	0.17	0.28	0.48	0.33	0.4	0.15	0.78	0.6	0.59
Dclk1	82.45	63.68	50.59	52.88	0.0	43.59	347.98	24.32	293.65	153.64	259.49	400.29	10.52	100.4	426.05	88.46	91.91	0.0	43.0	88.44	72.51	138.79	121.18	14.22	68.43	73.95	44.76	121.6	30.51	84.21	43.57	45.01	88.36	155.59	129.28	21.0	125.15	83.25	51.39	66.36	83.18	120.74	19.14	85.02	54.54	71.64	71.84	285.58	400.95	185.15	44.06	115.1	135.37	71.31	33.08	34.37	67.33	163.33	94.25	78.41	64.95	297.41	318.17	233.7	236.91	187.58	248.84	210.66	215.96	367.79	342.85	374.41
Dda1	0.0	0.0	0.0	0.0	0.0	27.51	1.47	8.97	0.23	67.16	0.74	131.52	1.31	4.0	14.67	0.12	2.65	0.0	0.07	2.27	0.05	0.15	56.11	0.0	0.15	2.24	2.05	7.3	18.84	0.89	5.73	1.74	0.45	0.23	0.0	0.28	0.32	0.0	3.22	1.01	0.28	0.0	36.51	0.0	1.53	0.0	0.11	5.83	7.02	12.34	0.0	0.0	0.0	0.0	0.91	8.2	0.64	0.0	0.0	0.0	0.0	0.0	0.15	11.3	7.61	8.36	1.19	3.95	5.36	61.26	67.17	58.93
Dennd1a	0.0	0.0	0.0	0.46	0.0	0.48	0.2	3.18	0.0	27.56	3.2	56.62	0.0	0.0	1.03	1.14	0.0	0.0	0.0	0.76	0.0	6.71	0.46	0.0	0.0	0.44	0.0	0.63	0.0	2.86	0.0	0.0	0.45	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.33	0.0	0.14	4.13	0.0	1.61	14.58	3.13	0.0	0.0	0.22	0.58	0.0	14.36	0.0	0.0	0.0	0.0	0.0	0.64	2.82	0.13	0.23	1.84	1.29	1.96	0.35	36.88	35.78	35.53
Dido1	7.38	0.0	0.0	0.0	0.47	0.0	0.0	2.84	1.45	57.79	30.85	229.28	0.0	9.62	0.0	10.03	0.9	0.0	23.59	0.0	14.45	0.04	3.09	0.01	1.01	0.0	19.88	0.0	5.69	10.9	0.0	22.12	11.04	49.64	0.0	19.27	0.77	0.0	21.62	0.36	0.89	25.36	8.84	0.0	0.4	0.0	1.1	21.58	18.73	6.32	0.0	12.81	4.23	0.0	18.85	5.41	0.45	46.16	0.19	19.54	1.16	0.0	17.53	28.85	16.42	25.53	10.89	8.5	12.13	34.31	33.36	36.3
Dmp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.08	0.5	0.0	5.18	4.44	5.24
E2f8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.58	0.55
Efcab4b	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.37	0.0	0.0	5.23	72.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	2.0	2.09
