	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_64	Cux2_tdTpositive_cell_63	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_23	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	PvalbD.Slc32a1_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_76	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Cend1	45.86	352.07	2.11	221.17	491.64	415.23	0.0	0.26	0.0	92.18	133.82	0.0	666.01	915.92	1018.15	2.09	186.57	579.16	167.32	284.8	124.39	0.92	470.02	1.22	145.95	472.77	72.75	154.82	147.08	268.97	153.02	419.54	0.27	64.96	10.58
Ciapin1	12.45	0.0	0.0	2.37	80.46	50.8	65.66	92.77	1.5	0.0	1.38	0.0	31.25	76.81	92.34	0.78	0.0	29.91	23.05	0.25	11.95	56.76	1.58	95.51	133.25	77.6	0.13	41.86	27.68	0.0	55.43	0.22	0.0	50.6	0.5
Clec16a	0.07	0.0	0.0	0.0	22.13	5.37	0.0	90.38	0.43	0.0	0.0	0.0	14.97	38.02	5.64	0.0	0.0	13.68	0.09	0.09	0.06	0.0	0.03	0.0	0.08	72.39	0.0	15.68	12.91	0.0	0.0	0.38	0.0	0.0	0.0
Clip4	0.0	180.89	11.68	0.0	42.2	27.73	6.01	58.4	0.0	24.68	0.0	0.1	40.24	47.96	67.98	0.0	11.19	5.27	13.66	0.0	0.0	0.0	10.79	0.0	0.24	0.0	0.0	8.85	6.04	0.0	0.0	0.0	0.0	0.0	37.16
Cntnap5c	204.42	0.0	0.0	111.62	0.55	0.0	0.0	0.0	75.55	0.0	0.0	0.0	2.77	0.1	14.75	0.86	8.21	15.8	0.0	0.0	0.0	0.0	0.18	0.0	0.0	4.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cox15	24.2	0.88	0.49	0.0	52.02	0.12	0.31	0.0	93.77	0.0	0.0	0.0	35.94	24.32	69.58	0.98	1.59	31.61	0.08	0.11	0.1	0.0	0.16	0.09	0.24	0.12	0.13	22.31	26.73	0.19	0.12	13.0	0.11	0.37	0.1
Ddt	267.47	0.0	212.77	0.0	111.53	158.64	0.4	0.0	0.0	111.15	0.0	0.71	118.32	184.91	138.16	0.0	135.18	137.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.77	129.59	59.26	43.78	0.0	0.0	44.91	243.5	0.0	0.0
Dnajc12	154.92	151.63	18.44	0.0	0.0	62.71	0.0	0.0	0.0	0.0	8.68	0.0	258.02	40.16	124.04	0.0	0.0	154.23	139.06	142.56	0.0	377.89	37.37	269.13	225.16	0.0	149.0	23.8	18.35	0.0	0.0	0.0	0.0	0.0	0.0
Dnajc27	84.7	0.0	43.32	4.21	80.76	45.31	0.0	0.0	0.0	0.0	0.0	0.0	112.41	97.56	107.3	0.0	61.27	0.0	32.77	4.17	18.63	0.0	0.62	86.46	0.0	15.29	1.39	16.64	13.22	0.0	0.06	0.0	0.19	4.79	48.16
Entpd7	0.0	11.59	0.0	0.0	72.58	9.8	0.0	0.0	47.66	0.05	0.0	0.07	25.77	56.91	57.17	10.64	1.25	48.02	2.5	0.36	0.0	0.0	11.2	0.0	3.16	2.41	8.04	18.41	23.35	10.03	0.09	2.47	20.34	3.03	0.04
Fam134b	0.0	0.0	0.0	10.17	99.81	92.03	0.0	0.0	0.0	0.0	0.0	0.0	110.03	80.22	254.32	47.38	1.59	92.08	93.71	120.57	0.0	0.0	203.98	203.36	100.5	127.15	104.82	38.67	33.4	51.88	0.09	84.48	0.0	43.5	54.81
Fam84a	55.19	0.0	69.75	0.0	97.95	21.75	0.0	0.0	0.0	0.0	0.0	0.0	47.48	101.44	194.02	36.89	52.49	127.58	194.71	3.73	0.0	0.0	0.1	0.0	119.78	198.95	0.33	1.52	3.38	0.0	0.0	0.0	0.0	0.0	0.0
Fgf9	55.43	24.15	1.06	0.62	122.0	2.71	0.58	30.51	0.47	0.16	0.37	0.0	101.72	79.33	25.93	9.23	58.19	46.97	0.2	1.19	5.37	0.0	52.18	1.1	0.0	88.2	22.68	9.74	12.99	0.0	0.34	0.23	95.75	0.22	8.96
Fndc5	0.0	108.52	88.61	0.0	74.77	8.43	0.0	0.0	0.0	0.0	0.0	0.0	118.97	80.27	53.36	0.0	62.74	72.69	6.74	0.0	0.0	0.0	22.12	0.0	0.36	0.34	95.37	3.69	4.37	0.0	0.0	0.0	0.0	0.0	0.0
Galntl6	255.26	258.22	72.91	276.5	409.94	163.67	93.16	639.27	139.85	0.0	0.06	0.2	442.7	515.27	693.18	0.17	44.48	53.32	0.62	225.89	0.48	561.93	383.58	340.95	215.77	397.25	113.82	1.8	2.09	0.2	0.11	0.54	0.0	0.6	0.48
Gm14430	19.76	0.0	0.0	0.16	21.47	5.49	0.0	0.24	0.29	1.47	0.0	0.0	7.61	23.53	13.13	14.85	0.0	5.1	0.72	0.0	1.61	0.04	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.0	0.0	0.0
Gm14431	0.21	0.0	0.64	0.0	2.35	5.77	0.33	0.0	1.23	0.0	1.02	0.0	6.7	3.74	0.2	0.88	0.07	0.0	0.0	4.7	0.0	0.0	6.73	0.84	0.0	1.14	2.97	0.9	1.65	1.51	0.0	0.0	0.0	0.37	3.49
Gm14434	19.76	0.0	0.0	0.16	21.47	5.49	0.0	0.24	0.29	1.47	0.0	0.0	7.61	23.53	13.13	14.85	0.0	5.1	0.72	0.0	1.61	0.04	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.0	0.0	0.0
Gm4724	19.76	0.0	0.0	0.16	21.47	5.49	0.0	0.24	0.29	1.47	0.0	0.0	7.61	23.53	13.13	14.85	0.0	5.1	0.72	0.0	1.61	0.04	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.0	0.0	0.0
Gm561	250.4	0.0	0.0	429.17	157.23	88.04	1.11	0.0	587.07	80.26	64.73	0.0	9.46	39.81	229.75	2.47	248.51	170.96	1.4	276.19	8.96	0.91	112.72	0.0	0.0	382.08	118.7	108.97	69.47	2.78	2.07	57.05	1.08	124.84	37.54
Gm8898	0.21	0.0	0.64	0.0	2.35	5.77	0.33	0.0	1.23	0.0	1.02	0.0	6.7	3.74	0.2	0.88	0.07	0.0	0.0	4.7	0.0	0.0	6.73	0.84	0.0	1.14	2.97	0.9	1.65	1.51	0.0	0.0	0.0	0.37	3.49
Gpnmb	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.3	80.95	37.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr125	0.0	0.0	0.0	0.0	35.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.4	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.06	0.0	0.0	0.21	0.0
Gpr176	0.0	0.0	0.0	0.0	142.78	0.05	228.26	0.0	0.0	0.0	0.0	0.1	49.45	112.02	56.71	0.0	0.0	49.79	0.0	0.0	0.21	0.0	2.19	0.0	0.0	137.5	97.68	2.62	1.85	0.0	0.0	0.0	1.57	0.0	0.0
Hcn1	44.19	0.0	0.0	0.0	68.36	0.0	0.0	30.78	0.29	0.13	0.0	0.0	27.87	16.23	43.98	12.69	11.03	23.28	2.01	0.14	0.0	0.0	59.18	0.0	1.87	0.63	0.14	11.07	10.0	14.14	0.04	0.0	0.0	4.66	31.54
Heatr7a	0.17	0.26	1.39	0.12	41.7	0.1	0.09	0.0	1.34	0.55	0.0	0.0	30.87	47.3	21.16	40.49	6.96	1.78	16.46	0.21	0.0	0.07	0.69	0.16	0.73	0.95	1.14	4.41	2.54	0.61	0.11	0.09	1.98	0.31	0.09
Kazn	0.0	0.0	19.98	0.0	15.55	15.11	174.48	0.0	0.0	0.0	89.77	7.57	31.34	39.05	22.36	0.0	3.49	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.14	0.8	0.16	6.49	4.27	0.0	0.0	5.06	0.0	0.0	0.0
Kcnc1	2.64	0.17	3.95	0.92	81.1	29.69	4.2	0.27	0.25	12.16	0.03	0.05	94.07	120.33	88.93	29.39	35.53	1.18	10.25	5.93	37.1	0.0	33.05	0.55	2.86	0.11	0.12	4.02	3.45	0.04	0.07	0.0	0.0	1.68	7.23
Kcnc2	110.83	41.86	110.29	90.17	201.56	176.52	0.0	49.38	145.73	0.0	0.0	0.06	381.32	423.09	840.33	0.11	67.57	149.87	224.85	107.65	0.0	28.07	81.94	222.33	9.81	96.74	66.47	1.7	1.5	0.0	0.0	0.0	0.0	0.0	0.0
Kcnk3	0.11	0.0	0.0	36.87	136.83	0.0	0.06	0.0	0.0	0.0	0.0	0.1	0.83	119.63	113.54	100.08	35.86	0.09	35.51	115.47	0.08	0.0	0.0	0.0	0.0	0.0	0.47	9.98	10.16	37.58	0.0	0.0	0.0	0.24	0.31
Lancl3	0.0	0.0	0.0	31.57	37.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.66	4.73	7.16	0.0	0.0	85.76	0.15	0.0	0.0	0.0	0.09	189.92	0.0	39.89	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Laptm4b	129.25	0.0	54.69	0.0	157.41	89.06	0.0	0.0	0.0	9.48	0.0	10.67	530.92	469.65	262.63	14.91	138.34	318.0	0.1	169.28	0.0	0.0	17.71	100.73	0.0	0.24	0.0	12.09	19.59	154.39	0.0	0.0	0.0	0.0	0.0
Maf	0.0	35.52	0.0	3.71	184.33	164.65	84.93	102.65	0.0	0.0	0.0	0.0	14.06	13.9	42.17	294.28	272.03	479.56	20.32	20.45	74.37	0.0	219.57	148.9	233.56	233.19	0.3	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0
Mme	0.0	0.0	0.0	0.0	24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.87	54.75	61.82	0.0	0.0	3.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0
Mrpl12	250.05	206.2	233.58	373.35	179.47	107.07	0.0	193.42	204.55	144.04	33.87	0.0	518.92	196.74	214.53	339.63	0.0	129.82	127.8	1.21	0.0	0.0	121.87	223.87	0.0	0.51	223.44	83.52	101.45	5.31	0.0	2.12	2.9	0.0	36.15
Nacc2	0.35	1.44	1.06	0.62	52.17	43.85	2.23	0.71	0.52	0.18	0.16	0.79	20.36	60.79	7.55	61.95	0.18	16.15	12.13	2.2	0.72	0.11	0.49	2.61	0.4	0.37	2.16	0.12	0.63	0.3	0.0	0.18	0.92	0.11	0.08
Ndufaf2	341.55	0.0	191.66	0.0	168.1	51.19	300.95	0.0	0.0	0.0	105.45	0.63	289.5	300.14	409.05	184.83	242.55	195.12	90.21	50.35	0.64	0.0	220.63	168.03	0.0	0.0	244.39	134.22	140.94	0.0	0.0	0.0	18.72	466.36	376.9
Nek7	0.13	0.48	0.21	0.19	180.05	0.0	1.6	0.0	0.55	0.0	0.0	0.11	154.27	150.48	85.71	182.05	123.73	61.66	8.87	0.25	0.0	0.11	0.24	0.04	0.0	0.37	0.35	2.58	1.21	0.09	0.25	0.0	0.0	0.0	0.37
Nme7	125.08	101.57	91.8	216.38	301.27	160.05	34.38	182.64	46.42	68.88	117.47	1.97	298.26	388.41	417.01	73.99	180.71	267.03	102.79	68.92	189.04	69.57	54.21	62.74	63.52	114.79	58.29	149.13	141.89	85.02	211.1	247.52	180.78	212.4	251.89
Nrip3	422.69	194.55	918.62	278.62	109.49	246.85	171.7	491.19	24.64	0.0	155.46	0.0	176.05	418.92	323.79	80.8	158.52	459.46	155.29	167.35	0.48	164.46	279.4	0.81	184.19	153.13	449.88	56.44	53.03	0.14	0.0	156.56	0.11	207.1	0.0
Nudt19	0.0	18.42	0.0	0.0	47.96	81.26	0.0	0.0	0.0	0.0	0.0	46.96	70.73	119.77	0.22	0.0	7.18	129.83	57.83	0.29	0.0	0.0	35.9	4.38	0.51	0.24	158.19	32.34	36.97	30.02	0.0	0.13	0.0	0.0	10.84
Nxph1	0.0	0.0	0.0	0.0	396.54	0.21	0.13	0.0	0.0	0.0	0.0	0.0	729.64	314.17	291.6	195.34	222.48	145.12	260.15	375.65	0.0	0.0	0.1	0.23	0.0	0.52	0.31	2.34	0.39	0.0	0.0	0.0	0.0	0.0	0.0
Pcp4l1	133.2	0.0	171.92	3.33	673.75	651.5	0.15	512.42	30.41	0.0	0.0	0.0	624.23	846.41	518.35	0.22	52.1	0.22	0.12	78.61	87.23	0.0	535.37	0.0	63.1	101.88	54.43	4.22	2.69	0.0	0.0	0.0	0.0	0.0	0.0
Pde5a	0.6	0.0	0.5	0.1	56.69	70.39	0.26	0.48	23.69	0.28	0.11	0.18	68.57	18.75	84.8	1.86	0.21	1.17	0.2	0.52	0.41	0.06	1.75	67.09	0.41	66.91	5.68	0.08	0.0	0.44	0.0	0.14	0.18	0.07	0.0
Plxna4	0.0	35.45	0.0	0.05	13.24	12.82	0.31	0.07	0.0	0.0	0.0	0.0	15.03	9.37	26.59	2.87	0.03	0.05	0.0	6.72	0.0	0.0	0.05	0.03	9.27	13.16	18.87	2.31	2.74	0.0	0.0	0.02	0.03	0.0	0.0
Prss23	0.12	0.0	0.0	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.0	0.0	360.64	71.43	168.55	0.0	0.0	47.48	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	49.12	37.29	0.0	0.0	76.91	0.0	0.0	0.0
Rbms3	46.27	0.0	33.38	1.81	58.95	78.97	0.0	48.81	0.0	0.0	0.0	0.0	52.94	87.27	6.14	0.0	0.22	31.21	23.52	44.97	0.05	7.63	9.32	53.39	4.13	2.51	6.04	0.28	0.56	0.0	0.0	0.0	0.0	0.0	0.0
Rcan2	415.55	470.87	0.65	327.09	1103.57	1055.91	0.14	103.55	0.41	0.8	111.94	304.32	610.85	798.1	460.06	607.72	618.47	630.34	75.04	482.75	15.66	44.07	587.71	38.61	304.6	413.67	355.59	221.24	247.65	148.8	14.74	84.8	1.56	3.37	198.26
Rnd2	2.63	0.0	0.0	0.0	339.99	52.63	0.0	0.0	0.0	0.0	0.0	0.0	81.01	278.16	133.9	0.53	117.41	174.65	1.49	0.0	0.0	0.0	0.0	249.51	297.39	84.92	0.0	3.76	2.71	0.0	0.0	0.0	0.0	0.0	0.0
Rrn3	161.08	0.0	214.25	108.7	198.21	143.17	64.98	60.74	254.98	110.27	35.32	112.81	220.56	155.67	230.89	139.71	200.86	201.87	141.32	164.24	0.34	41.93	122.01	196.46	147.53	234.19	123.03	179.08	190.78	39.69	54.43	12.1	44.06	32.28	16.33
Scn1a	78.24	150.11	4.45	1.27	228.9	39.87	27.0	27.9	9.81	94.8	6.99	0.0	163.38	266.65	200.55	81.57	157.77	92.96	26.4	0.9	23.58	108.87	29.88	46.36	57.3	9.37	278.53	36.04	29.88	2.31	9.72	4.06	5.52	22.93	40.44
Slc32a1	2.4	3.91	11.58	0.0	23.44	11.65	2.08	9.18	0.0	0.0	0.0	0.0	20.98	17.17	11.26	0.0	12.63	10.81	17.0	0.2	2.48	0.0	26.75	0.28	17.43	14.51	11.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord116	0.0	0.0	5.93	0.0	0.0	6.77	2.03	13.32	8.3	0.0	4.88	0.0	6.43	7.07	11.17	3.64	6.12	6.26	1.71	6.5	3.58	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	0.0	0.0	0.0
Snord116l1	0.0	0.0	5.93	0.0	0.0	6.77	2.03	13.32	8.3	0.0	4.88	0.0	6.43	7.07	11.17	3.64	6.12	6.26	1.71	6.5	3.58	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	0.0	0.0	0.0
Snord116l2	0.0	0.0	5.93	0.0	0.0	6.77	2.03	13.32	8.3	0.0	4.88	0.0	6.43	7.07	11.17	3.64	6.12	6.26	1.71	6.5	3.58	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	0.0	0.0	0.0
Sucla2	67.52	92.83	332.05	8.32	372.88	328.34	0.11	244.2	47.19	321.19	26.13	0.96	622.36	571.78	615.31	333.42	227.8	355.32	120.9	285.02	0.2	0.0	336.17	769.63	267.03	8.57	260.25	335.01	332.58	5.84	31.05	4.82	4.2	80.72	45.29
Tmem25	157.9	0.0	0.0	0.0	236.74	167.62	0.0	97.05	0.0	0.0	0.0	0.0	92.75	99.39	175.45	0.0	0.0	90.69	0.08	0.7	0.0	0.0	0.07	97.98	0.21	0.39	0.0	53.42	56.84	21.83	0.12	0.1	0.0	2.85	0.0
Tmem50b	0.0	3.43	188.92	494.15	0.37	153.05	75.15	0.19	380.02	0.15	89.19	13.78	157.42	459.05	555.67	227.62	0.3	311.54	47.13	139.63	0.0	0.0	152.36	275.91	0.0	0.0	372.81	226.93	200.41	3.34	0.26	0.11	356.02	27.78	57.13
Tnfrsf12a	0.0	0.0	203.27	0.0	327.21	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	150.34	70.64	0.0	0.0	0.0	0.23	0.6	0.0	0.0	150.79	0.49	0.0	0.56	0.67	3.35	8.24	0.0	0.0	0.0	1.08	0.0	6.74
Trove2	0.1	0.2	2.65	49.46	34.38	0.14	0.41	37.35	14.87	23.41	0.07	0.05	87.95	18.27	75.78	38.18	3.79	17.9	13.43	30.2	0.41	0.04	0.24	0.5	45.7	14.04	38.33	13.0	12.04	43.08	0.06	0.17	0.1	0.38	29.26
Ttc39b	43.63	0.31	0.2	0.28	48.08	37.31	4.58	0.04	0.15	0.38	17.33	0.12	70.75	40.89	85.47	0.12	0.3	21.38	0.02	0.18	0.1	0.0	13.2	0.05	0.3	0.16	17.06	12.95	14.33	6.34	8.77	33.04	0.37	1.75	13.68
Ubash3b	0.26	0.0	0.0	0.0	117.94	36.12	76.72	16.36	0.0	0.0	0.0	0.0	0.0	17.55	165.87	7.86	199.77	200.32	0.0	0.0	0.0	0.0	32.69	0.0	0.15	90.81	0.0	5.08	2.99	0.0	0.0	0.0	0.0	0.0	0.0
Ubb	32253.84	31101.69	32217.54	29141.15	17074.73	31186.09	30998.2	33033.08	31728.87	26433.34	28296.97	29549.68	20174.34	14835.33	15881.36	31623.03	31415.92	26408.07	30046.08	32576.6	32905.97	34072.44	35368.68	33803.89	38561.98	34059.86	33756.05	27147.21	27451.26	31907.29	31090.16	29072.44	35026.92	33691.16	30646.34
Uqcc	145.27	47.97	115.63	0.0	222.94	138.54	0.0	302.23	118.24	92.74	63.16	0.3	195.06	99.23	144.82	0.0	215.98	36.5	153.96	0.83	0.0	0.0	0.0	207.24	0.36	159.1	196.34	49.54	47.53	0.11	60.45	64.31	77.95	0.0	39.8
Vamp1	0.0	0.0	0.0	0.0	37.66	49.72	0.0	0.0	0.0	0.0	0.0	0.0	6.82	135.33	152.17	0.12	0.0	4.48	4.27	0.41	0.0	0.0	20.58	0.0	0.0	0.0	0.0	4.39	8.23	0.0	0.0	0.0	0.0	0.0	21.11
mt_AK131591	87.62	166.65	84.2	100.74	190.79	0.0	0.0	29.39	17.02	54.83	0.0	95.21	89.09	64.58	200.77	53.72	0.0	4.5	45.48	67.2	77.36	84.05	39.76	0.0	204.28	95.45	139.24	17.74	10.62	3.49	0.0	2.93	11.01	1.87	10.14
mt_AK154943	104.83	39.04	230.64	31.75	205.34	72.43	20.53	83.24	95.82	41.82	149.18	130.8	220.89	281.3	280.44	264.0	132.97	151.63	170.99	85.71	41.94	63.39	64.12	48.31	95.7	94.39	46.19	172.42	160.03	170.79	85.1	262.01	133.18	242.0	112.98
