	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atg16l1	0.0	0.0	539.11	13.62	0.0	0.1	0.0	0.0	16.5	0.0	0.0	4.54	11.6	0.0	0.0	0.89	37.97	0.4	0.0	0.93	5.19	2.78	27.7	18.79	28.52	3.67	2.35	37.99	49.31	48.42	49.31
B4galnt4	0.0	0.0	0.0	0.0	0.0	0.0	29.59	0.0	0.0	12.14	0.0	12.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.35	10.72	0.0	59.99	69.88	63.3
Bbs12	0.0	0.0	0.0	120.47	0.0	113.57	10.91	0.0	18.7	22.1	30.98	0.0	65.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.54	1.39	0.0	0.0	0.0	0.0	0.0	4.72	4.09	5.09
Bcl7b	0.15	0.0	0.0	0.0	0.0	6.06	51.97	0.0	15.58	1.86	22.22	95.19	83.76	0.0	89.68	39.91	71.69	47.2	85.38	40.03	32.63	21.61	36.18	40.02	27.26	85.66	72.32	46.14	50.31	58.65	53.83
Bfar	46.67	0.22	0.18	0.0	0.19	235.8	110.86	88.15	75.24	65.46	54.87	144.06	75.4	34.62	0.46	59.75	120.79	85.68	40.19	84.6	68.23	38.01	57.26	86.84	103.95	82.75	98.5	27.54	29.2	25.96	28.87
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bphl	0.0	0.0	0.0	29.13	2.16	298.95	76.41	65.41	103.28	69.98	0.46	137.88	32.56	0.66	210.84	142.69	21.23	50.06	54.55	63.23	135.12	26.38	114.63	100.69	0.71	148.51	293.86	38.15	35.96	37.97	34.24
Bri3bp	39.9	1.9	2.42	53.43	57.89	67.96	59.85	17.59	38.49	12.3	46.02	79.15	112.34	77.5	40.92	99.3	93.97	63.8	96.18	54.49	44.59	71.59	56.64	52.45	45.8	106.86	70.94	74.98	46.77	47.29	46.86
C2cd4c	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.02	0.0	7.37	7.59	7.28
Cacna2d2	0.0	0.0	0.0	1.27	0.03	7.96	0.09	0.34	5.35	0.0	6.06	9.01	0.7	0.0	0.0	2.39	7.42	7.51	8.0	5.88	2.19	8.82	3.9	4.37	5.43	0.77	0.41	2.37	25.53	24.2	26.92
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chaf1a	0.0	0.0	0.0	13.38	0.0	8.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	4.51	4.95
Chd9	20.99	0.0	0.0	11.23	0.0	29.51	0.09	0.0	2.19	1.24	10.15	12.0	15.92	7.48	0.0	12.9	11.15	19.39	15.15	4.76	2.54	0.0	2.11	9.45	0.5	2.55	11.0	7.75	18.86	15.68	19.52
Ciita	0.0	0.0	0.0	8.75	0.0	12.89	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.55	0.48	0.46
Cln5	0.0	0.0	8.24	0.0	0.0	56.69	0.0	0.0	2.94	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.14	0.0	3.52	0.0	0.0	41.58	0.0	0.0	0.0	53.68	53.54	11.71	13.05	11.92
Col15a1	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59	3.11	3.63
Coro6	0.0	0.0	0.0	0.24	0.0	24.55	0.0	0.0	28.06	12.05	0.0	21.61	0.0	4.27	0.0	0.72	31.97	5.56	0.0	21.62	0.0	35.26	25.77	20.66	29.83	22.17	0.0	2.38	47.85	45.52	53.63
Csta	0.0	0.21	0.0	0.0	0.0	41.85	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.13	0.0	0.0	0.61	0.0	0.0	0.21	0.09	0.1	0.12
Cyb5r2	0.0	0.0	0.0	0.0	0.0	3.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.38	0.19
Cyp46a1	0.0	0.0	0.0	24.49	2.65	20.48	22.36	5.67	36.93	9.27	41.42	18.73	5.86	0.0	21.32	0.0	9.56	0.96	0.73	17.33	0.0	3.1	11.21	12.09	0.2	2.05	0.86	15.06	251.55	268.78	265.67
Dhx16	0.0	0.0	0.0	0.0	0.89	0.0	23.04	0.0	0.4	0.36	0.0	0.19	0.57	0.0	0.0	0.0	0.0	14.19	0.0	0.0	0.08	4.08	0.0	0.64	0.37	0.63	0.0	0.0	19.51	21.69	20.11
Dll1	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	5.04	5.08	4.75
Dnm3os	0.0	0.0	0.0	0.0	0.0	8.02	0.0	0.0	0.0	0.0	0.0	4.58	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54	0.0	0.0	6.49	0.0	0.0	0.04	0.0	0.01
Ece2	19.61	0.0	0.0	0.0	0.0	137.04	0.0	0.0	0.0	0.0	4.86	0.42	10.44	0.0	0.0	54.27	4.66	0.0	0.0	0.0	18.68	5.36	7.52	25.07	0.0	28.48	5.25	0.0	20.48	24.05	25.74
Efha1	0.0	0.0	0.0	8.35	0.0	0.0	0.0	0.0	0.0	42.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.85	42.96	0.0	0.0	23.96	0.0	23.4	22.71	21.26
Epb4.1l1	0.0	0.0	0.0	3.66	0.08	37.93	19.04	37.5	10.86	12.77	5.63	39.97	23.26	15.19	5.59	10.64	5.68	12.06	34.25	20.56	55.65	33.16	9.94	26.43	17.11	31.62	15.79	16.54	226.35	219.82	236.74
Esyt1	0.0	0.0	0.0	0.0	0.0	30.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	8.12	7.6
Exosc5	0.25	0.0	0.0	0.0	0.0	102.86	2.25	44.21	19.22	42.92	12.6	3.2	29.37	0.0	0.0	0.0	0.0	0.0	60.21	35.96	46.38	50.92	27.49	0.0	42.95	0.0	38.65	42.38	17.53	20.94	15.77
Faah	0.0	0.0	0.0	0.0	24.99	58.96	0.0	0.25	14.85	0.0	5.68	7.12	0.68	5.63	0.32	24.01	3.3	0.0	8.71	7.82	0.0	0.0	0.59	0.0	10.15	27.82	26.48	1.52	61.41	67.27	64.45
Fbxl18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.61	0.0	0.0	0.0	0.0	16.34	16.76	19.49
Fbxo16	0.0	0.0	0.0	0.0	0.0	88.7	0.0	26.36	17.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	40.61	40.37	0.0	0.0	0.0	0.0	0.0	13.39	12.93	12.05
Fbxw22	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fmn1	0.04	0.0	0.0	0.05	0.09	42.87	0.1	11.06	3.55	17.97	5.35	22.52	2.22	13.62	0.0	6.26	2.58	0.07	8.59	2.8	14.85	1.87	0.84	4.25	8.77	0.26	18.73	11.45	5.95	5.89	6.37
Gabrb1	2.4	9.14	0.0	0.0	0.0	59.11	0.14	0.0	10.38	0.33	0.0	0.0	0.0	0.0	5.27	0.0	0.0	0.0	0.0	3.11	0.0	0.0	5.29	0.0	0.0	0.0	0.0	0.0	32.51	26.05	33.46
Gm3317	0.0	0.0	0.0	0.0	0.0	11.17	0.08	1.47	0.32	0.78	0.19	1.2	8.61	0.0	0.37	3.68	6.91	0.74	0.0	13.29	12.46	0.0	0.0	0.2	0.0	0.0	0.0	5.01	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	11.17	0.08	1.47	0.32	0.78	0.19	1.2	8.61	0.0	0.37	3.68	6.91	0.74	0.0	13.29	12.46	0.0	0.0	0.2	0.0	0.0	0.0	5.01	2.38	2.75	2.9
Gm5567	0.26	0.4	0.0	0.0	0.18	43.22	22.81	0.0	0.04	0.2	0.54	0.4	3.35	2.99	0.0	0.59	0.0	0.13	0.22	0.23	0.19	0.06	0.09	1.1	0.0	28.43	0.0	6.82	44.49	38.34	51.32
Gm5607	7.5	8.43	7.78	4.35	5.09	20.56	0.08	5.25	4.58	6.96	19.83	4.27	4.72	6.55	7.11	4.74	5.77	5.51	7.24	1.97	9.66	6.48	6.85	15.03	8.16	6.28	4.89	7.16	10.94	9.85	11.52
Gm6194	0.0	0.0	0.0	0.0	0.0	1.21	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.07	0.0
Gm6225	0.0	0.0	0.0	0.37	0.0	4.31	0.0	1.07	1.22	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	4.6	0.37	0.43	2.65	0.0	0.45	1.04	0.5	2.25	2.69	1.15	2.97	2.27	3.5
Gm8348	0.0	0.0	0.0	0.0	0.0	38.0	84.85	4.35	2.29	0.0	0.0	3.6	14.02	0.0	8.18	0.0	0.0	0.0	0.0	76.84	30.1	0.0	0.0	0.0	1.69	0.0	0.0	86.53	1.48	6.31	1.91
Gm88	0.0	0.0	0.0	0.0	0.0	0.0	13.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.9	0.45	0.0	0.0	0.0	0.28	0.32	0.0	0.8	0.0	0.0	47.98	56.84	50.95
Gna11	0.0	0.0	0.0	0.0	0.0	39.97	0.0	0.15	20.44	0.19	0.0	35.34	69.62	0.0	18.89	5.88	61.04	9.05	1.03	32.33	67.81	33.69	64.42	11.17	0.0	72.02	32.85	36.07	93.39	96.94	92.94
Gorasp2	0.22	0.0	169.08	1.08	0.0	74.93	0.0	0.0	2.75	0.0	39.47	64.2	4.98	1.56	0.0	26.18	0.16	0.0	3.22	20.09	15.92	0.0	0.0	4.97	0.0	0.44	5.47	6.92	87.7	92.01	90.81
Grm7	0.0	0.0	0.0	0.0	0.0	29.84	0.0	0.0	7.86	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.09	38.61	37.39	39.11
Hdhd3	0.0	0.0	0.0	0.0	0.0	117.47	0.0	0.0	42.02	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	19.64	36.87	0.0	0.0	0.0	0.0	0.0	0.0	47.88	0.0	8.0	9.2	6.24
Heca	0.0	0.0	0.0	0.0	0.0	19.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.02	17.53	17.71
Hist1h3f	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hmgcs1	171.13	0.0	0.0	137.86	120.48	107.83	34.91	94.97	128.04	171.35	134.93	162.8	190.36	34.89	20.43	74.61	182.49	116.58	107.13	157.33	114.59	140.34	125.5	162.83	105.59	367.51	151.24	175.99	224.67	228.37	233.13
Hmgn1	3.56	1.5	1.2	0.53	83.11	28.42	0.64	4.91	1.75	17.24	2.8	43.6	0.0	10.58	67.02	14.93	0.0	5.91	7.72	11.64	0.0	72.75	5.46	19.77	33.4	3.7	0.77	0.0	78.31	81.84	78.71
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Htr5b	0.0	0.0	0.0	0.0	0.0	44.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	2.28	1.89
Ipo13	0.07	1.25	0.0	0.0	0.0	0.0	0.0	2.25	12.97	0.85	0.0	10.93	32.41	35.29	0.17	0.0	16.95	0.0	26.47	6.94	26.19	23.79	6.44	0.0	0.11	0.0	35.83	24.92	61.91	67.32	63.81
Iscu	0.0	6.79	0.0	0.0	0.0	38.45	50.54	6.77	12.48	53.98	13.5	41.3	61.28	0.0	61.53	66.5	0.0	2.88	2.9	15.2	22.55	54.45	15.91	19.01	16.64	8.96	81.48	34.83	120.15	141.31	125.66
Kcnn1	0.06	0.25	0.61	0.0	0.0	20.4	0.0	0.0	0.04	0.0	0.08	0.15	0.32	0.0	0.0	0.23	0.15	0.1	0.45	0.0	0.0	0.0	0.04	0.0	0.1	0.0	0.0	0.05	9.26	11.18	10.81
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
LOC432958	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lama1	0.0	0.0	0.0	0.0	0.0	14.69	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	1.38	1.12
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ldhb	8970.97	4317.46	5274.92	6819.53	8204.16	6604.57	10118.08	10894.4	8525.9	7234.97	8217.62	8517.89	10165.1	9166.61	7814.88	9602.81	11261.44	7829.53	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	11010.48	10182.84	11746.38	737.58	774.98	752.92
Lins	0.14	0.0	0.24	0.06	0.1	27.96	0.0	12.47	12.77	0.47	16.32	1.11	0.47	0.3	0.0	0.0	0.72	0.39	7.19	0.1	0.17	0.39	15.55	10.62	0.34	0.7	0.0	0.15	5.41	5.27	5.47
Lrfn5	0.0	0.0	0.0	0.58	0.0	16.89	0.0	0.64	0.18	0.0	1.74	5.26	1.21	0.0	0.0	11.63	6.57	0.0	9.5	1.14	15.35	29.98	26.22	5.93	0.0	0.0	6.75	12.3	33.06	33.08	33.97
Lrrc69	0.0	0.0	0.0	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.26
Lztr1	10.52	0.0	0.0	32.88	0.0	6.58	0.96	36.5	21.9	27.01	1.05	13.26	18.75	0.0	36.0	0.0	0.0	37.27	45.6	6.42	23.11	25.92	81.97	64.01	0.67	2.77	99.17	0.25	125.19	126.43	125.91
Malt1	1.06	3.57	2.99	1.73	4.44	36.11	0.6	3.14	2.0	1.78	2.68	2.73	1.63	3.23	1.37	0.81	4.21	1.85	2.3	1.76	5.98	1.86	3.63	3.97	1.91	3.51	1.73	2.2	7.04	4.96	6.17
Man1a	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.69	20.68	22.67
Mbd1	18.35	0.0	0.0	1.04	0.0	74.16	0.0	0.0	9.33	0.0	3.47	5.95	1.7	33.8	0.0	1.03	0.0	4.71	0.0	0.27	5.2	1.68	31.83	20.06	0.0	0.0	3.05	0.0	26.97	25.65	26.81
Mir297a-4	0.0	0.0	0.0	0.0	29.57	12.46	0.0	0.0	0.0	0.0	14.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir719	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.46	2.21
Mir9-2	0.0	0.0	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.59	0.0	8.79	2.62	5.74
Mkrn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	2.06	1.46	2.0
Mmp11	0.0	0.0	0.0	0.0	0.0	63.08	0.0	0.0	27.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	1.33	1.32
Ncoa7	0.05	0.0	0.0	0.0	0.69	93.47	22.58	23.9	26.37	30.66	15.42	27.44	56.88	75.28	0.0	2.4	3.47	2.91	63.8	17.64	53.93	28.45	1.82	0.68	0.45	32.09	59.91	3.62	45.83	42.59	45.53
Ndufaf1	0.0	0.0	0.0	0.0	283.95	267.13	163.71	0.0	167.82	0.0	128.99	103.19	85.74	169.66	0.0	66.37	95.84	75.02	105.24	127.11	180.74	0.56	185.23	76.17	0.29	100.0	133.63	96.39	26.5	25.74	28.0
Nedd1	0.0	0.0	0.0	0.0	0.0	43.47	0.0	34.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.04	16.51	0.0	0.0	0.0	35.25	0.0	0.0	0.0	0.0	3.29	2.99	3.1
Neurl1b	0.04	0.0	0.0	0.0	0.08	12.08	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	23.14	25.67	23.69
Neurod2	0.0	0.0	0.12	0.0	0.0	0.96	0.0	0.15	0.0	0.0	0.0	0.2	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.0	0.0	0.0	0.0	0.0	61.43	70.53	58.22
Nfasc	0.0	0.06	0.0	11.63	0.0	25.19	0.0	20.38	15.88	7.16	6.97	16.64	1.09	1.13	0.0	11.18	0.04	8.52	2.35	15.19	11.79	22.92	7.32	19.94	18.72	14.72	25.26	24.73	91.43	82.44	99.71
Noa1	0.0	0.0	0.0	1.21	0.0	38.9	1.63	1.25	2.38	1.06	0.0	3.33	0.0	0.0	0.0	0.2	0.16	2.83	0.13	28.68	0.0	0.71	1.31	1.33	0.18	2.59	0.39	0.0	19.29	22.09	20.09
Ntn3	0.0	0.0	0.0	0.0	0.0	10.8	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	6.99	7.01
Ostm1	0.0	0.0	0.0	13.93	0.1	42.19	1.16	20.29	40.76	1.01	67.98	62.19	71.93	0.0	103.58	45.63	59.23	19.12	65.87	46.01	46.16	0.41	5.22	3.47	2.06	45.62	75.57	39.29	50.93	52.99	50.1
