	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_16
9830132P13	1.09	0.0	0.52	8.06	27.52	23.2	0.44	1.9	3.02	15.29	0.0	2.95	0.77	1.03	5.86	0.04	0.76	1.36	18.58	12.8	1.27	4.68	1.0	0.0	0.55	0.68	0.17	0.0	0.0	2.22
AI646023	13.02	12.04	7.0	11.67	56.32	32.32	24.61	27.0	5.09	84.86	0.58	49.27	0.04	40.01	42.36	0.32	1.17	0.82	52.22	25.58	2.85	128.87	0.21	6.72	0.52	0.59	7.82	0.0	7.08	0.32
Abhd3	0.0	513.84	0.0	1998.52	1395.68	3378.39	1.09	623.85	0.56	116.25	0.0	0.0	369.42	0.65	0.34	0.0	0.0	0.0	0.0	0.0	1027.58	0.0	0.0	0.0	0.0	0.0	0.0	537.26	0.0	0.0
Acsm2	0.65	0.47	0.84	4.08	4.3	2.8	0.17	2.32	3.58	18.5	0.59	2.32	0.27	0.44	0.85	0.48	2.13	0.34	2.08	4.11	0.77	5.1	0.11	1.37	0.62	0.2	0.52	0.0	0.79	0.0
Bcmo1	0.44	0.4	0.19	1.98	3.54	2.79	0.29	2.76	1.05	26.36	0.83	0.72	0.33	0.0	3.74	0.16	3.91	1.95	4.7	6.99	0.68	3.14	0.21	0.31	0.0	0.0	0.0	0.23	0.55	0.16
Bri3bp	0.62	0.55	0.08	4.12	3.74	1.73	1.6	1.31	2.25	6.29	0.9	1.22	0.27	1.24	2.93	2.03	3.27	1.08	2.93	80.21	2.45	47.46	0.81	0.61	0.4	1.06	0.23	0.15	0.89	0.06
Btbd16	20.16	6.13	15.92	44.35	92.75	34.35	3.94	30.47	93.88	145.4	12.84	60.0	13.64	28.11	53.0	19.06	18.56	17.33	75.72	61.99	20.17	95.79	9.0	5.48	5.37	11.99	5.64	0.32	1.52	6.39
Camk4	1.63	3.74	1.74	7.16	4.09	6.16	3.03	5.58	9.65	127.16	4.05	3.4	1.65	2.96	3.06	1.18	4.39	1.44	5.04	62.75	3.01	44.62	1.33	1.22	0.93	0.37	1.01	0.16	1.63	0.06
Chd4	0.0	0.0	0.0	428.49	513.21	0.13	0.0	20.76	0.0	0.0	0.1	0.0	0.0	0.0	40.84	0.0	14.93	8.47	0.0	126.49	0.11	21.26	0.0	0.0	0.16	9.48	0.0	0.05	0.0	0.0
Cln3	0.0	0.0	243.36	0.51	758.41	0.0	0.0	2.01	878.34	0.0	0.29	0.24	0.0	36.18	0.0	3.45	139.54	0.08	0.2	10.31	0.47	27.91	0.0	0.41	0.0	0.0	0.26	0.0	0.0	0.0
Cst3	66199.78	54799.87	61505.62	11352.91	10478.59	22142.28	64380.72	32254.6	7635.39	0.0	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	129.71	28488.27	145.91	80478.24	68326.69	95318.24	75159.39	84616.84	421.98	72517.08	0.0
Cxcr2	79.57	37.22	32.76	106.63	233.91	179.58	40.96	67.23	76.7	465.16	48.96	51.18	60.99	141.56	31.65	21.7	88.22	27.55	68.71	100.32	124.27	209.72	137.68	46.47	40.45	37.76	57.45	27.61	15.08	4.08
D030040B21Rik	0.44	3.29	0.63	13.69	14.41	7.22	3.39	10.98	22.51	19.97	5.91	3.04	3.15	4.26	3.12	1.25	3.68	3.42	3.82	6.59	12.22	14.14	4.08	0.71	1.17	4.71	1.22	0.0	5.1	0.0
Ddx17	0.0	94.79	0.0	405.28	599.0	341.75	0.66	469.2	403.5	145.01	0.0	0.13	1.67	0.0	50.18	0.09	38.45	0.0	123.26	492.29	0.15	738.71	0.0	0.0	12.74	0.15	0.0	0.0	0.0	0.0
E130008D07Rik	17.95	3.07	1.35	18.42	38.19	34.15	1.62	5.94	10.85	48.79	21.21	5.28	0.55	7.99	23.85	3.46	19.43	14.88	21.63	6.67	23.55	18.15	1.33	5.29	7.0	5.41	6.24	0.0	11.34	0.11
Eif2ak2	13.78	14.43	27.9	184.24	69.79	49.14	16.65	53.37	58.75	373.62	37.12	40.91	31.58	11.12	19.65	22.77	49.82	18.1	44.45	106.88	29.11	172.84	8.75	19.14	6.04	23.31	13.53	0.0	8.43	0.08
Epb4.1l5	0.07	0.0	0.21	0.0	155.75	5.53	0.24	98.11	0.16	0.53	0.52	0.1	0.08	0.17	0.2	0.27	0.0	0.04	0.12	0.33	0.34	74.79	0.0	0.12	0.0	0.0	0.0	0.08	0.0	0.0
G730013B05Rik	0.62	12.32	13.23	55.6	73.22	24.29	13.06	78.66	121.9	80.72	1.54	13.32	11.68	35.08	29.39	10.08	21.95	18.73	43.89	67.93	35.71	96.9	9.67	0.0	19.53	13.52	17.66	0.0	11.42	2.06
Gabrb1	0.0	0.0	0.0	288.56	2338.18	199.3	0.0	0.0	501.78	1.03	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	54.78	52.5	16.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gcnt4	0.0	0.0	0.0	610.7	624.56	0.0	0.0	0.0	0.0	0.73	0.0	0.29	0.0	0.0	0.0	0.25	0.12	0.24	0.0	1.11	0.33	0.49	0.1	0.3	0.0	0.0	0.0	0.0	0.25	0.0
Gm10190	1.44	2.98	5.48	14.98	19.2	8.82	4.0	1.32	10.05	18.46	5.17	1.54	0.82	8.78	6.91	3.21	7.38	0.95	0.25	6.36	8.6	3.71	0.58	1.28	2.94	2.71	1.19	0.09	0.0	0.0
Gm10789	5.73	1.11	1.47	10.66	18.44	14.91	0.0	4.87	19.55	26.05	5.04	5.46	1.83	2.71	2.12	0.31	6.8	0.79	33.01	7.91	4.68	8.14	2.93	0.0	0.0	0.8	0.0	0.0	0.0	0.08
Gm17821	182.26	118.44	143.33	776.07	431.75	393.71	110.94	553.92	800.36	2668.83	340.85	408.73	166.66	185.72	311.91	194.75	333.46	153.85	518.02	785.03	458.2	1354.52	149.06	137.54	135.95	214.21	162.4	29.62	183.94	24.98
Gm19782	5.49	1.62	3.74	25.83	47.75	17.74	8.08	13.87	16.31	83.33	4.65	6.95	7.35	9.26	0.16	1.18	2.42	1.74	6.31	22.71	6.73	10.08	0.1	3.09	0.0	3.6	0.0	0.0	1.31	0.0
Gm6300	31.34	19.2	51.07	283.63	117.59	115.58	23.92	212.66	233.22	1032.68	97.93	211.23	49.26	74.2	65.64	62.41	136.0	51.84	164.63	331.95	194.06	310.83	55.22	47.94	32.08	89.17	47.51	1.33	42.37	0.08
Gm6307	0.24	0.36	4.67	4.65	8.02	5.47	1.58	11.97	31.19	29.19	4.65	0.38	1.68	1.06	7.89	5.96	4.07	5.14	15.77	9.01	5.0	17.69	3.54	0.59	0.51	2.22	1.17	0.0	3.25	0.0
Gpr174	0.28	0.09	0.87	1.31	2.41	2.49	0.2	2.77	3.48	4.18	0.0	1.05	0.67	0.0	0.26	0.06	0.16	0.34	0.33	3.59	0.84	2.38	1.23	0.59	0.0	0.3	0.93	0.0	0.96	0.0
Gss	0.0	0.0	0.0	1119.95	919.36	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	2.33	0.2	18.26	0.0	0.0	0.0	0.0	0.0	11.24	0.69	0.0
Hmmr	34.74	6.08	2.16	38.03	52.3	40.05	0.0	22.12	20.84	109.9	19.9	4.44	0.48	3.43	47.56	5.34	30.15	31.79	56.71	24.01	20.47	18.33	3.5	8.05	9.6	26.46	13.21	0.0	18.83	0.19
Ifi203	0.72	1.38	1.69	2.9	8.23	4.13	0.75	6.22	14.57	17.51	0.21	2.62	0.76	0.0	0.71	0.0	4.23	0.56	0.87	13.09	2.62	16.36	1.47	1.71	1.49	0.3	0.0	0.0	0.0	0.21
Itgb1bp3	0.6	2.12	0.65	15.22	60.53	43.47	3.31	19.14	30.41	34.69	4.37	6.87	5.06	0.0	2.03	2.68	3.89	5.84	2.52	11.73	13.72	16.89	2.7	1.22	1.53	1.9	4.04	0.21	0.06	2.57
Kcnq1ot1	34.25	20.37	33.61	184.01	101.49	77.75	23.06	131.78	186.56	644.25	91.51	121.82	36.63	107.17	79.94	38.02	85.22	30.85	115.77	193.24	129.21	389.16	41.22	106.36	23.43	50.91	34.79	4.8	32.86	6.01
Lhx5	1.53	0.0	0.73	1.85	6.8	6.68	0.8	1.39	5.86	2.84	0.0	0.13	0.76	2.09	1.43	1.12	1.57	0.07	1.41	1.42	2.43	5.19	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0
Lnp	0.0	0.0	0.0	0.0	290.86	18.14	0.08	0.1	1.42	42.03	0.08	8.56	0.04	0.0	0.01	0.04	0.18	9.87	0.1	12.19	0.33	78.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msi2	53.24	0.0	0.0	13.44	185.21	157.1	5.78	282.0	23.83	63.27	95.87	0.05	0.0	0.0	0.0	0.0	0.0	21.91	0.0	156.37	104.6	0.04	0.0	0.0	0.0	0.0	0.0	0.0	21.19	0.0
Pappa	0.0	0.0	0.0	0.0	0.09	0.07	0.0	0.17	0.0	0.34	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.02	0.0	0.1	0.0	0.14	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0
Pbld1	71.76	37.65	17.16	343.1	469.32	214.75	120.65	50.27	141.83	402.67	128.19	66.58	51.45	52.2	84.65	63.42	94.75	30.18	107.69	63.84	70.27	127.26	116.32	16.42	43.07	97.5	22.56	80.92	14.8	35.27
Pde4c	1.83	5.06	1.81	12.24	10.53	2.52	2.81	7.42	15.86	25.91	3.62	4.1	4.77	6.35	6.45	5.89	2.87	1.79	6.51	13.5	4.53	17.24	0.52	0.87	1.45	6.24	0.49	0.36	0.0	0.31
Sgsm1	2.44	5.85	2.93	8.11	60.6	11.9	2.71	19.94	11.87	75.69	8.04	38.57	2.92	7.55	13.3	16.0	3.99	6.55	57.41	48.09	12.57	53.15	5.36	0.3	5.93	4.09	3.92	0.0	2.93	0.62
Slc25a42	20.52	15.66	8.55	179.07	79.27	50.63	17.86	24.38	159.5	120.3	16.6	16.35	4.8	12.28	3.85	7.89	14.41	6.44	20.32	36.93	27.07	87.9	2.77	31.86	5.71	2.63	7.42	1.25	10.84	0.0
Slc35e2	2.47	10.93	3.95	28.37	373.63	14.35	9.46	22.88	45.13	42.75	3.96	11.02	156.87	3.11	8.22	3.87	2.52	2.17	7.7	50.36	20.5	108.7	1.58	2.69	0.89	5.97	2.03	69.34	0.86	101.56
Spna2	0.0	0.11	0.0	214.4	199.05	0.21	29.5	7.82	1.82	7.73	0.17	0.08	0.0	0.0	0.08	0.22	0.0	0.02	0.0	98.84	0.09	33.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Strbp	0.39	0.27	0.17	466.9	246.1	122.75	0.79	2.1	8.38	613.32	1.46	3.33	0.19	0.99	3.75	0.74	0.63	0.61	1.14	19.32	3.16	94.42	0.61	0.39	0.55	0.21	0.07	0.0	0.21	0.17
Stxbp5l	0.1	0.08	0.08	0.13	0.76	0.65	0.0	0.06	0.46	181.84	0.39	0.34	0.34	0.55	0.42	0.11	0.4	0.37	1.13	18.65	0.22	94.32	0.07	0.13	0.0	0.17	0.29	0.03	0.11	0.0
Tmem229a	0.0	0.0	0.0	686.89	606.88	374.43	0.0	66.19	314.59	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.04	0.0	74.44	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ube2a	0.0	0.0	0.0	6.66	1389.0	0.0	0.0	0.0	476.7	0.0	0.83	0.39	0.0	0.0	0.39	0.43	0.0	0.11	0.0	0.15	0.68	0.0	0.0	0.0	0.0	39.57	0.0	0.0	236.81	0.0
Vmn1r58	64.13	59.84	36.92	297.62	219.96	342.52	36.63	258.96	373.05	1844.19	64.5	83.95	70.18	34.82	145.84	121.36	178.55	94.23	293.96	526.97	376.35	697.38	18.03	27.95	63.62	68.7	40.25	36.0	160.12	2.02
Vmn2r-ps54	0.0	0.0	0.0	22.51	54.01	47.06	0.0	0.0	46.56	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr37	291.88	5.14	0.0	17.51	555.84	288.97	0.68	0.0	1.49	46.18	0.81	0.72	0.0	0.0	169.47	0.35	12.4	0.24	0.3	19.93	200.68	7.71	0.0	75.72	0.27	0.0	0.82	0.0	218.89	0.08
Zfp605	14.49	3.38	6.15	21.89	70.78	18.61	13.75	52.53	62.11	147.06	10.95	13.88	17.42	4.95	18.7	2.19	13.68	2.29	45.9	190.38	14.76	21.26	2.71	2.21	13.57	11.38	7.25	1.97	0.93	0.0
