	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Prelid1	368.63	0.0	177.18	19.96	219.6	174.96	330.68	93.66	96.19	138.71	116.66	345.05	243.54	342.64	143.6	0.0
Prkcc	68.5	0.0	0.0	0.0	0.0	0.0	37.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rpusd1	111.61	0.0	99.54	71.36	0.0	77.25	184.09	0.0	110.3	37.85	60.75	92.22	56.78	42.74	15.5	0.0
Sema4f	9.23	0.0	3.53	42.81	0.0	0.79	5.26	0.0	0.0	0.0	12.3	0.13	16.73	0.34	0.0	0.0
Sil1	97.86	0.0	0.0	2.85	0.0	0.0	88.31	0.0	110.21	13.59	47.5	109.07	0.0	0.0	4.17	0.0
Tmem194b	41.73	0.0	0.0	0.0	0.0	4.06	27.12	0.0	25.11	0.0	0.0	61.67	0.0	2.82	0.0	0.0
Tom1l2	130.56	0.0	8.74	14.37	4.23	57.71	77.01	34.86	74.31	16.91	28.83	35.71	7.25	49.11	40.38	0.0
Trove2	98.22	0.0	19.16	13.73	3.31	57.82	38.91	2.1	72.4	25.81	31.95	57.64	44.59	47.06	24.17	0.67
Ube2g1	56.32	0.0	0.13	22.9	8.1	41.2	43.58	0.0	47.08	5.25	26.98	19.85	54.77	26.21	34.26	0.0
Wbp4	66.1	7.19	9.49	26.71	0.4	2.44	42.55	0.35	52.22	34.49	24.87	14.76	39.78	32.02	9.61	1.37
