	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Boc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.31	12.25	13.07	13.82
C330007P06Rik	0.57	0.0	56.57	0.0	0.0	34.02	0.0	0.06	33.35	108.52	338.37	16.26	74.4	41.73	112.5	0.11	37.35	33.21	97.08	72.56	73.21	30.88	87.68	28.62	240.38	83.26	6.87	4.28	70.13	0.0	28.02	37.59	0.08	0.0	135.53	27.02	76.23	0.07	35.56	47.15	123.87	0.55	0.0	55.11	66.97	53.08	58.53	37.65	37.57	39.26
Ccdc134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.61	0.08	43.07	0.0	28.39	0.0	0.0	0.0	0.0	48.86	90.73	35.61	0.0	1.79	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	2.93	0.0	0.0	84.54	0.15	0.0	15.69	5.73	5.93	4.45	9.89	9.32	10.03
Ccl27b	0.0	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.32	0.0	0.0	31.22	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	5.37	1.98	0.0	0.0	4.8	0.77	0.0	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	40.26	0.0	4.89	0.0	0.0	4.36	7.83	0.0	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Cdk3-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82	0.0	4.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	2.51	1.52
Cenpe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.11	0.0	0.7	0.45	0.34	0.67
D030025P21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08	0.04
D130043K22Rik	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.02	0.45	0.03	0.0	0.0	0.0	0.19	0.0	0.0	16.57	0.0	29.45	0.0	2.67	1.15	0.0	0.0	0.0	2.38	0.0	0.0	0.0	0.98	0.0	0.27	0.0	0.0	0.0	1.21	0.0	4.62	2.43	3.97	3.73	32.58	30.09	31.08
D430036J16Rik	0.0	0.0	0.0	0.0	0.0	5.32	0.0	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.28	0.0	0.0	0.0	0.0	0.0	23.09	0.0	2.76	1.03	2.02	4.99	5.36	4.71	3.62
D730040F13Rik	0.38	0.38	0.26	0.14	0.12	2.48	0.05	0.45	0.9	0.32	0.43	1.35	0.63	0.46	0.38	0.66	0.56	0.58	0.13	0.44	0.32	0.28	0.4	0.41	5.33	19.65	0.94	0.34	0.34	50.47	7.02	0.82	43.61	17.51	0.5	5.92	0.13	0.39	1.7	0.41	0.91	0.16	1.03	0.67	2.14	2.69	3.04	22.62	16.53	21.26
Dlg1	17.16	0.0	2.18	0.0	1.28	1.93	0.0	10.98	0.05	0.0	57.81	88.87	0.08	20.73	4.09	66.43	0.12	0.07	26.76	3.17	16.28	45.95	15.7	26.32	62.93	0.88	13.27	0.0	0.9	0.0	0.5	11.02	0.48	3.02	17.59	63.61	7.8	29.41	49.19	0.0	13.89	51.13	0.0	67.83	145.4	92.26	97.42	109.25	98.77	107.43
Dydc1	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.1
Dydc2	0.0	0.0	0.0	0.0	0.0	52.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	1.89	0.0	0.7	0.5	0.54
E330033L03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.11	0.05
Efcab9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.4	0.5	0.83
Ern1	0.32	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	5.24	6.03	6.84
Espn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	2.81	2.98
Fam177a	6.75	5.31	0.66	0.32	0.76	3.78	2.15	5.1	16.25	49.44	4.73	6.68	7.92	4.6	0.97	5.07	14.74	10.07	22.21	2.3	10.01	10.53	5.51	4.19	26.95	5.27	9.6	1.07	3.41	11.48	11.15	2.03	3.87	12.08	5.45	16.78	18.26	23.92	4.82	15.19	21.12	6.64	12.49	11.21	13.41	14.19	19.02	17.56	16.4	17.92
Gdf15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.18	0.1
Gen1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.96	0.85	1.18
Gm10046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	19.95	0.0	0.0	0.0	0.0	19.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.61	0.72	0.65	0.42
Gm11549	0.15	0.2	1.04	0.0	0.0	0.06	0.0	0.0	0.17	0.24	0.26	0.0	0.45	0.16	0.0	0.16	0.29	0.05	0.2	0.27	0.17	0.0	0.26	0.3	71.06	0.28	0.1	0.1	0.0	0.0	0.22	0.21	0.22	0.02	0.18	91.12	0.0	0.19	0.78	0.1	1.1	0.19	1.22	155.72	236.96	244.21	213.97	31.51	32.7	35.16
Gm13306	0.0	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.32	0.0	0.0	31.22	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	5.37	1.98	0.0	0.0	4.8	0.77	0.0	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	40.26	0.0	4.89	0.0	0.0	4.36	7.83	0.0	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Gm15417	1.07	0.0	2.49	0.45	1.06	0.96	0.0	3.66	0.46	2.96	3.76	1.53	4.07	2.22	1.14	0.39	0.5	1.8	0.78	2.11	0.5	0.68	0.98	1.52	72.15	1.59	13.86	1.16	1.66	0.81	1.67	1.04	0.89	4.44	0.0	2.67	2.95	0.43	4.39	1.48	3.23	1.83	4.08	2.19	1.71	2.5	2.72	4.59	3.99	3.66
Gm17455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.78	0.98
Gm2506	0.0	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.32	0.0	0.0	31.22	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	5.37	1.98	0.0	0.0	4.8	0.77	0.0	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	40.26	0.0	4.89	0.0	0.0	4.36	7.83	0.0	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Gm608	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.69	2.86	12.97	0.16	0.0	0.0	21.33	0.03	0.03	0.0	0.0	0.0	25.81	0.0	0.0	0.0	0.02	10.61	1.91	0.0	0.0	6.85	4.53	0.83	0.04	0.09	0.0	0.0	2.66	18.17	0.0	2.6	4.63	2.68	2.68	21.07	18.69	21.54
Gm8179	0.0	0.0	0.0	0.0	0.26	0.13	0.0	0.68	0.47	0.0	0.0	0.16	0.0	0.24	0.39	1.26	0.46	0.68	0.0	0.0	0.72	0.14	0.0	0.0	12.33	0.0	0.15	0.0	0.0	1.03	0.0	0.39	0.18	0.49	0.0	1.33	0.0	0.36	1.41	1.39	0.0	0.0	0.0	0.36	0.19	0.43	0.66	0.49	0.31	0.35
Gm9962	0.53	0.36	0.0	0.0	0.0	0.15	0.15	0.39	0.82	1.22	36.09	1.11	0.57	0.66	0.14	0.11	0.07	0.22	0.19	1.6	0.57	0.98	0.64	0.0	73.87	7.72	0.0	0.39	0.0	0.35	0.0	0.25	0.18	0.04	0.8	0.72	0.0	0.0	2.78	0.0	0.0	0.19	0.0	0.5	8.43	13.01	3.35	3.1	4.43	5.0
Golga5	0.0	0.0	0.77	0.0	23.93	9.16	0.13	13.96	2.28	0.0	0.0	12.16	0.0	3.26	0.0	0.0	8.66	0.0	0.0	7.31	23.66	0.08	0.0	0.0	50.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	2.71	0.0	0.0	0.0	1.82	94.34	0.0	0.0	7.3	3.13	7.34	5.72	25.49	30.03	28.82
Gpr137b	35.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	13.82	63.75	42.51	0.0	0.0	17.35	0.37	0.14	0.0	0.0	0.77	0.71	0.0	0.0	3.43	131.81	0.0	15.88	0.0	0.0	31.28	3.32	0.0	0.0	0.0	87.64	10.97	0.0	0.0	0.0	0.0	0.15	0.0	0.0	7.78	6.81	7.63	3.26	11.6	11.93	17.24
H2-Eb2	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.06	0.0	0.0	0.0	0.07	0.11	0.07	0.04	0.05	0.0	0.08	0.22	0.18	0.36	0.0	0.0	0.3	0.53	0.0	0.07	0.13	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.31	0.0	0.15	0.0	0.0	0.34	0.0	0.22	0.1	0.09	0.19	0.08
Hes6	0.0	0.0	0.0	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68	0.0	0.08	0.0	0.0	0.0	0.0	0.66	0.0	0.0	43.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.79	0.0	17.77	17.94	16.57
Hist1h2bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39
Hist1h2bj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.68	0.93
Hist1h2bq	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.1	0.08	0.03	0.0	0.15	0.05	0.0	0.15	0.0	0.0	0.0	0.04	0.46	0.0	0.11	0.0	0.03	0.0	0.07	0.0	0.0	0.06	0.0	0.19	0.0	0.0	0.13	0.0	0.23	0.0	0.0	0.07	0.07	0.11	0.53	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.1	0.08	0.03	0.0	0.15	0.05	0.0	0.15	0.0	0.0	0.0	0.04	0.46	0.0	0.11	0.0	0.03	0.0	0.07	0.0	0.0	0.06	0.0	0.19	0.0	0.0	0.13	0.0	0.23	0.0	0.0	0.07	0.07	0.11	0.53	0.38	0.28	0.38
Hps6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	28.25	29.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.22	0.23	0.0	0.0	0.44	0.0	0.9	6.08	5.86	6.42
Ispd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.67	0.0	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.0	0.0	0.0	20.33	0.0	0.0	0.0	92.54	0.0	33.71	0.0	0.0	0.0	0.0	42.27	0.0	22.39	0.0	11.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21	5.1	3.97	2.07	6.93	6.26	6.36
Itgb3bp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.35	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.47	0.0	0.0	30.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	6.59	0.0	1.37	3.47	0.0	0.0	1.55	13.62	6.63	2.64	3.55	2.77	2.07	2.46
Kank4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.27	0.0	12.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.43	2.49	2.35	3.02
Kcnh2	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.1	0.41	0.0	0.0	0.09	2.98	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.55	0.0	0.0	5.97	0.0	0.0	0.0	0.69	0.0	0.0	5.97	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.32	0.0	19.62	22.17	23.49
Kctd7	3.13	0.0	0.0	0.0	0.0	0.0	0.0	0.44	3.08	0.0	0.0	0.47	0.0	2.69	0.0	1.25	0.02	0.03	3.14	0.0	7.82	0.0	1.83	0.92	54.1	0.0	5.91	0.0	0.0	0.0	1.81	0.0	2.99	5.68	0.0	2.77	0.0	2.39	1.49	2.11	0.54	0.0	0.0	0.47	0.56	2.08	4.52	9.0	9.62	9.0
Kif18a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62	6.26	0.0	0.31	0.47	0.61	0.63
LOC329427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.43	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.2	7.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	2.04	1.44	1.19	3.75	4.93	4.4
Lgals4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	2.29	1.36	3.17
Lrrc55	0.0	0.0	34.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.04	0.05	5.71	24.18	0.0	0.0	4.07	7.15	0.0	0.0	0.0	0.0	61.04	0.33	0.0	0.0	0.0	0.0	13.3	0.0	0.0	32.04	0.0	0.09	0.0	0.0	33.33	0.08	0.0	0.0	0.0	3.56	29.28	18.25	22.96	21.18	20.37	21.13
Ltbp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	6.92	0.0	0.0	0.0	33.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	1.16	1.34	0.34	37.04	41.64	39.41
Map3k11	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	14.65	18.28	16.03
