	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_97	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_45	Scnn1a.Tg3_tdTnegative_cell_21	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_42
Eif6	0.0	0.0	0.0	100.14	0.0	122.76	18.17	74.71	119.65	81.65	0.0	0.0	0.0	23.66	0.0	10.32	142.39	47.94	0.0	0.0	0.0	49.06	0.0	18.69
Farsb	107.93	161.83	2.89	483.79	15.74	143.45	108.22	0.0	531.22	0.0	232.75	256.05	0.0	0.38	50.07	127.1	165.03	149.99	0.0	207.11	0.0	39.42	0.36	2.0
Gatad1	65.9	29.61	55.74	164.49	248.22	224.02	165.16	298.67	331.78	119.19	26.2	56.87	0.0	125.16	223.5	205.33	153.96	115.62	9.62	44.14	7.1	1.13	0.0	96.17
Glo1	147.37	68.62	0.0	105.29	249.76	63.52	110.8	189.85	322.02	151.7	183.59	358.15	0.0	200.19	205.74	57.75	324.92	221.41	164.77	193.9	423.84	152.91	259.25	9.64
Gm12191	8.99	188.04	213.86	193.77	575.63	737.38	326.16	370.73	725.3	320.53	86.53	290.27	197.93	213.16	616.41	795.75	181.9	463.83	0.0	894.7	281.58	559.45	590.71	244.97
Hmgxb3	44.17	1.56	0.0	0.69	64.15	27.9	0.08	0.0	69.3	0.0	0.0	0.43	0.0	4.86	0.0	15.04	11.06	0.96	55.38	5.81	0.0	0.0	5.52	0.0
Hprt	968.28	517.16	932.64	332.07	1271.45	1067.44	1116.16	1176.77	2240.17	1208.11	694.29	819.43	674.25	1246.77	971.9	1537.8	1086.39	1040.62	2062.97	1592.7	881.39	816.61	1733.56	656.23
Ilf2	10.92	157.16	12.92	380.78	229.8	173.44	161.58	268.91	541.54	19.73	147.67	248.37	0.0	107.35	133.67	429.42	172.58	301.79	161.91	479.55	272.73	238.72	193.0	17.17
Lin7b	19.54	0.29	184.44	461.39	242.44	107.82	110.23	234.72	320.09	0.0	0.0	122.86	0.0	0.0	131.38	68.78	230.79	99.18	65.6	0.0	0.66	173.67	0.0	0.0
Luc7l	0.15	14.46	0.0	53.7	117.95	69.86	43.51	0.31	110.93	13.82	13.11	56.85	0.0	83.75	52.73	60.51	163.47	27.05	18.39	0.06	0.09	26.96	0.0	21.85
Mettl3	0.0	90.5	0.0	0.0	0.0	1.25	159.01	0.0	128.85	0.0	0.0	25.59	0.0	0.0	141.36	0.0	0.0	5.97	0.0	2.12	0.0	0.0	0.0	0.0
Mkl2	227.31	171.79	129.06	213.37	288.71	314.3	239.04	291.23	309.86	234.42	62.5	113.21	3.4	247.47	356.23	159.43	260.82	202.76	150.42	276.04	140.68	206.77	145.56	334.97
Mrfap1	576.41	163.66	282.84	364.58	384.83	452.67	705.3	605.69	1267.82	721.14	1021.56	609.38	218.88	382.22	901.83	787.81	781.81	405.31	452.09	214.09	838.0	727.38	1046.95	459.17
Mrpl28	259.24	44.94	286.61	173.43	363.42	289.62	187.04	285.81	778.49	171.45	244.06	490.98	0.0	0.0	344.05	408.9	406.94	296.17	0.0	369.22	543.26	1.87	400.47	193.67
Mrpl40	0.0	51.53	1.81	0.12	120.65	4.44	0.45	208.24	248.34	109.32	0.0	183.5	0.0	62.82	161.28	82.84	1.88	148.45	0.0	209.48	83.14	0.0	267.11	0.9
Ndufa7	774.59	463.14	731.13	247.97	788.82	532.25	508.02	749.41	1236.07	545.42	212.94	421.76	0.0	568.34	370.15	1191.88	562.65	798.08	1279.93	1237.79	1127.89	1708.69	334.48	619.16
Ndufs6	180.33	104.29	465.88	420.68	838.86	531.55	394.55	543.45	1277.86	284.91	605.56	869.01	0.0	492.89	366.53	889.79	500.2	695.24	461.1	1721.18	324.64	619.7	335.22	494.88
Nrcam	18.8	34.55	2.67	98.23	139.7	43.39	33.6	68.16	87.74	57.99	4.72	56.34	0.25	72.16	60.69	125.65	81.9	24.09	57.2	15.12	1.3	7.88	73.48	17.15
Nup214	0.23	0.52	0.1	0.25	20.16	6.16	0.14	12.44	35.81	24.74	0.22	17.77	0.22	5.08	11.69	19.08	28.74	4.09	0.11	0.07	0.0	0.06	61.44	0.44
Phyh	269.79	313.91	492.4	206.05	102.89	267.27	135.68	190.69	543.45	0.0	400.65	0.31	0.0	102.17	180.04	32.58	311.32	227.8	158.66	0.0	101.96	375.32	0.0	0.15
Ppp1r7	51.14	34.05	73.01	61.1	103.33	79.58	79.26	75.48	199.12	235.21	34.09	6.48	0.4	78.42	108.31	81.68	129.36	63.15	195.84	2.25	177.96	35.77	153.36	23.43
Ppp6c	0.0	0.0	299.41	183.6	147.25	11.32	0.0	122.12	247.92	222.24	172.63	126.35	0.0	70.1	287.61	103.82	122.35	91.2	76.21	0.0	0.57	0.0	0.0	112.55
Psmb1	605.9	558.8	8.43	508.83	1039.42	816.02	816.72	434.27	1384.65	594.7	946.34	940.26	0.0	476.01	574.17	1069.33	982.21	1042.89	1759.48	1439.66	1585.13	763.02	1003.61	321.13
Ptges3	1368.35	901.45	994.72	808.06	1227.2	978.17	1584.24	1434.77	1621.16	1308.64	820.5	626.53	383.14	1208.96	1044.18	1462.23	1494.59	967.26	1314.62	1756.88	1506.02	1749.93	490.01	795.67
Rcc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59	67.57	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.2	0.0	0.0	0.0
Rps8	512.18	383.04	732.37	381.86	315.75	405.36	399.8	523.81	974.06	278.05	321.32	76.07	0.0	151.81	270.52	459.66	524.25	437.25	448.86	189.82	488.2	681.59	352.86	45.47
Scamp4	185.01	0.0	0.0	37.27	289.42	25.76	0.0	286.82	165.97	0.19	2.42	0.0	0.0	94.75	214.46	381.32	230.39	144.22	214.16	116.17	21.25	66.04	75.92	0.0
Sdhb	1147.94	742.18	1112.9	407.68	1464.65	856.73	117.53	1655.67	2151.13	1163.43	1015.38	56.68	0.6	1361.41	1239.39	1722.49	1420.72	1119.07	733.11	1232.64	1016.37	1863.91	353.8	600.57
Sec11c	0.0	126.8	0.0	29.26	77.69	157.65	46.55	75.23	192.76	91.75	371.32	1.21	1.7	37.74	465.23	439.22	333.44	143.32	407.63	0.0	0.0	7.92	0.0	324.85
Set	419.2	432.34	303.94	799.15	794.71	651.27	638.75	841.52	799.9	404.89	770.74	443.05	3.23	712.0	1119.08	1264.96	1142.08	486.8	546.89	340.27	844.16	327.58	861.67	549.28
Slc4a8	11.01	3.86	55.49	0.0	25.29	2.47	3.35	16.71	32.51	0.99	1.5	29.97	0.0	1.01	4.89	1.19	0.0	5.01	5.89	4.98	0.0	0.14	20.64	6.96
Spin1	389.32	417.51	141.63	554.44	546.32	456.73	783.24	608.87	749.12	460.29	356.08	123.03	0.0	979.87	628.02	706.21	546.83	447.88	749.23	856.65	942.12	970.23	854.36	870.45
Spnb2	140.9	137.15	153.19	255.05	154.63	251.57	263.23	63.83	258.13	136.31	137.84	101.95	0.0	195.66	199.82	143.61	199.5	81.04	272.77	447.73	84.62	250.39	213.22	126.67
Ssb	509.71	279.93	348.55	243.78	463.91	132.81	142.41	377.93	567.32	186.72	108.33	44.16	0.0	318.54	249.81	277.69	240.6	279.81	153.6	548.91	250.2	433.9	393.04	154.75
Tex264	0.0	36.08	0.0	236.53	0.0	174.92	141.18	0.0	141.04	106.43	0.0	0.95	0.0	130.8	0.0	124.3	264.82	131.81	292.17	13.32	0.0	90.2	0.0	118.44
Tmem126a	21.86	92.05	530.17	178.01	34.54	239.44	147.14	19.47	186.03	116.22	349.46	105.65	7.21	373.98	152.88	189.45	380.84	153.35	25.96	131.82	59.69	544.29	727.97	6.13
Tomm6	272.65	246.13	458.87	267.25	275.95	303.37	309.41	251.11	473.0	125.13	144.81	284.07	45.89	242.8	242.71	483.27	300.25	332.72	297.98	171.39	400.94	255.22	379.55	182.23
Ubl5	72.49	107.17	28.3	74.48	138.82	161.19	131.14	173.84	287.97	109.15	41.61	161.09	0.0	196.71	110.04	214.0	202.07	112.55	138.07	151.63	124.85	217.17	99.98	78.45
Ubqln2	0.0	3.05	9.18	27.02	36.74	47.33	35.99	91.61	85.58	18.35	0.35	29.26	0.0	0.0	6.0	64.06	35.09	11.77	0.0	0.08	0.0	16.46	32.07	3.81
Ubxn6	0.46	0.23	0.0	0.0	111.32	47.17	0.0	26.94	79.12	51.7	0.0	0.0	0.0	0.0	0.0	7.02	9.43	21.3	10.5	0.0	0.0	0.0	0.0	0.0
Zfp120	1.83	2.42	0.43	45.76	0.22	2.17	0.1	134.55	80.42	1.05	0.3	0.42	0.0	61.54	64.26	61.11	62.93	13.15	1.17	78.7	1.63	0.6	1.24	115.23
Zfp91	0.0	13.38	0.0	0.0	43.18	12.65	7.65	0.33	67.1	2.95	0.0	0.08	0.0	2.71	28.65	18.26	12.74	19.68	0.05	46.04	0.0	2.41	0.07	0.47
mt_AK136262	0.0	0.0	0.01	0.0	0.61	0.44	33.84	29.26	75.42	0.05	0.0	0.0	0.0	0.07	3.34	0.07	0.64	19.33	1.14	52.84	4.5	0.0	240.38	83.8
mt_AK142003	0.0	0.0	0.01	0.0	0.61	0.44	33.84	29.26	75.42	0.05	0.0	0.0	0.0	0.07	3.34	0.07	0.64	19.33	1.14	52.84	4.5	0.0	240.38	83.8
mt_AK166798	0.0	0.0	0.01	0.0	0.61	0.44	33.84	29.26	75.42	0.05	0.0	0.0	0.0	0.07	3.34	0.07	0.64	19.33	1.14	52.84	4.5	0.0	240.38	83.8
mt_AK166978	0.0	0.0	0.01	0.0	0.61	0.44	33.84	29.26	75.42	0.05	0.0	0.0	0.0	0.07	3.34	0.07	0.64	19.33	1.14	52.84	4.5	0.0	240.38	83.8
