	PvalbF.Gad2_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_4	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rin3	0.0	0.0	0.0	1.63	2.16	1.51
Sdr42e1	0.0	0.0	0.0	6.71	7.47	8.4
Serpinb1a	0.0	0.0	0.0	9.94	10.09	11.12
Shank3	0.0	0.0	0.0	90.7	90.32	94.66
Sox4	2.88	0.0	0.0	13.85	16.57	19.85
Stim2	0.47	0.0	0.0	35.91	34.42	33.73
Stk33	0.0	0.0	0.0	0.83	1.01	1.15
Stk40	20.52	0.0	0.0	28.92	28.46	24.06
Taf10	0.0	0.0	0.0	59.35	69.95	69.08
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfap4	0.0	0.0	0.0	2.63	2.34	2.37
Tsen54	0.0	0.0	0.0	7.6	8.72	8.1
Tsku	0.0	0.0	0.0	1.77	2.05	1.52
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txnrd2	6.95	0.0	0.0	14.91	14.84	15.71
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vcan	0.0	0.0	0.0	7.15	6.63	7.15
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r84	0.0	0.0	0.0	2.24	2.0	1.71
Vps13b	7.82	0.0	0.0	18.49	16.74	18.73
Wdtc1	5.61	0.0	0.0	38.86	41.97	41.45
Zfp518b	0.0	0.0	0.0	8.11	7.78	8.32
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zxdb	0.07	0.0	0.0	12.65	12.38	12.06
c19_5S	0.0	0.0	0.0	4.0	2.53	6.4
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
