	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_13	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
Amy2a4	0.03	0.0	0.09	0.2	0.48	0.0	0.14	0.04	0.29	0.4	0.17	0.18	0.29	0.04	0.07	0.14	0.07	0.14	0.7	0.24	0.23	0.42	0.16	0.41	0.09	0.0
Ctla2a	24.67	54.49	55.54	54.23	95.75	0.58	45.77	46.77	68.79	60.41	61.09	63.12	113.16	29.87	86.79	84.87	46.21	50.09	74.11	86.11	100.1	80.4	66.49	76.62	60.83	0.43
D830005E20Rik	2.44	5.88	14.61	23.4	39.07	0.14	23.41	24.37	23.82	26.62	18.33	44.83	39.32	21.2	59.91	53.67	17.94	18.51	30.83	23.12	27.05	41.7	48.77	23.04	50.7	7.71
Eif2ak2	7.01	13.47	11.92	12.28	19.54	0.0	12.52	17.8	36.09	12.92	22.36	17.59	20.38	17.7	23.84	24.96	13.13	14.09	22.27	24.93	33.13	23.44	26.45	27.3	17.91	2.01
Fyco1	1.88	5.42	3.33	6.82	11.33	0.16	2.53	3.95	11.36	10.44	7.13	11.89	24.98	10.95	18.63	5.91	7.5	6.46	20.27	9.76	15.82	18.62	9.19	12.18	5.1	0.14
Gm17821	52.23	74.97	89.98	113.76	157.06	7.38	130.69	98.61	162.92	98.73	114.83	134.52	175.98	119.55	201.28	175.45	90.35	102.89	159.33	169.64	208.64	171.82	205.46	157.67	177.04	14.67
Gm6300	18.02	18.06	25.35	41.56	55.55	0.56	41.98	32.57	57.53	35.34	42.83	45.33	43.73	34.98	75.22	62.52	32.97	38.14	52.3	60.82	63.9	64.44	69.62	54.51	64.82	9.94
Grk4	75.28	74.13	143.1	203.42	281.09	2.33	204.09	160.63	280.89	161.2	215.01	235.15	303.51	175.41	345.67	287.62	150.62	196.8	259.83	343.18	379.29	287.45	290.42	251.96	304.94	16.44
H2-Q4	6.83	30.98	50.84	51.3	59.82	12.74	51.53	58.95	56.74	59.92	76.28	48.57	63.87	55.38	75.93	53.17	37.18	34.38	41.03	61.1	70.94	65.9	73.23	56.3	63.83	0.0
Kcnq1ot1	14.32	11.64	24.66	33.61	42.89	0.7	31.83	26.61	47.72	24.68	33.41	31.35	48.53	30.11	57.25	49.69	27.65	26.28	36.97	44.37	54.43	47.71	58.98	38.91	50.28	3.59
Ldhb	6607.22	8970.97	7326.56	8798.32	8750.45	10118.08	10894.4	8525.9	8583.06	8808.99	8574.79	10165.1	9166.61	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	11010.48	10182.84	11746.38	4283.85
Mc1r	0.7	0.97	0.71	1.7	0.76	0.07	0.69	0.26	1.18	0.18	1.15	0.74	0.87	0.26	1.9	1.38	0.5	0.54	0.31	0.39	1.31	0.97	0.7	0.14	1.31	0.0
Med28	0.16	0.0	15.47	5.15	43.35	0.05	3.22	1.85	22.92	5.28	18.67	30.02	13.39	0.1	14.89	23.64	3.57	0.3	47.63	8.45	63.33	27.09	10.77	21.47	16.3	1.73
Olfr613	26.26	12.31	34.47	45.18	75.27	2.28	30.6	44.91	59.32	49.02	56.54	52.52	54.15	44.48	77.59	72.69	39.08	37.29	47.57	78.19	52.61	66.54	56.41	52.79	62.68	0.0
Psg28	3.3	0.87	3.62	5.78	7.35	0.0	7.55	3.22	7.25	5.27	9.1	12.67	13.31	5.78	10.86	7.9	5.93	3.85	12.19	10.02	13.56	6.81	12.09	11.18	17.84	0.0
Slc10a1	10.05	8.01	5.29	9.7	8.72	1.85	9.76	9.63	20.01	6.07	8.39	5.56	25.08	8.65	16.19	11.96	6.72	10.29	8.78	10.0	12.28	35.51	8.02	12.92	8.12	0.25
Slfn9	1.95	3.26	9.71	7.32	11.19	0.65	7.2	7.14	10.61	7.2	8.77	9.77	12.54	5.09	15.42	9.8	3.95	6.21	8.87	7.57	14.51	10.62	18.14	11.78	4.27	0.93
Strbp	17.39	28.58	101.8	125.4	158.06	43.8	72.63	114.89	205.27	144.0	176.49	232.74	264.02	158.91	280.47	224.49	104.84	104.21	103.23	193.37	175.9	166.7	235.54	160.8	192.03	65.16
Tnfrsf10b	8.11	14.72	8.36	12.32	19.33	0.11	13.38	12.36	45.2	11.92	14.67	14.86	22.13	13.98	21.84	22.6	14.2	7.74	14.48	20.62	29.93	16.03	14.55	15.24	18.37	0.86
Tyms	8.66	21.28	25.92	32.63	60.58	9.3	35.71	28.16	43.2	28.11	38.08	30.27	58.83	34.61	52.06	45.44	31.13	28.86	40.24	57.49	63.83	47.42	58.92	27.2	90.14	0.82
Ube1y1	1.99	4.99	5.65	6.09	9.5	0.0	4.57	4.44	9.77	7.22	7.66	9.47	10.15	8.06	10.18	9.41	5.95	5.82	6.17	10.56	13.71	11.53	5.19	7.06	8.33	0.0
Vmn1r58	34.26	37.86	55.26	78.24	79.09	0.3	60.82	50.29	95.09	77.55	76.49	72.88	68.43	84.21	109.04	98.24	37.9	44.41	72.97	76.66	149.46	97.81	77.37	90.79	98.29	0.25
Zfp488	75.69	30.19	103.76	144.68	197.53	7.05	97.66	124.75	170.27	128.77	141.04	133.83	137.6	124.53	223.33	217.94	114.26	86.37	126.71	179.13	188.74	182.53	148.8	160.38	162.66	5.44
Zfp71-rs1	22.11	16.32	53.69	61.12	117.04	1.21	33.35	26.5	51.95	27.26	40.91	41.6	44.82	28.58	70.2	68.72	48.02	35.29	42.97	55.64	92.83	64.92	53.23	56.18	59.2	0.36
