	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_5	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_19	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_77	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	Pvalb_tdTpositive_cell_86	Pvalb_tdTpositive_cell_88	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_3	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_106
Hcn1	0.0	0.0	0.0	16.46	16.46	0.0	0.0	68.41	20.71	0.0	32.93	23.33	112.2	25.39	68.65	45.0	66.87	34.64	7.17	3.26	62.9	20.24	0.0	0.0	0.0	16.2	0.0	30.53	16.87	17.97	15.97	17.29	43.91	22.44	0.0	0.0	0.0	0.0	31.9	9.29	35.62	47.23	25.09	15.91	0.37	88.92	26.85	7.0	77.02	24.8	49.57	25.95	23.96	15.99	19.04	0.0	0.0	0.0	0.0	25.59
Htr2a	0.0	0.0	0.0	105.93	0.0	0.0	0.17	0.0	8.12	0.0	56.3	30.36	0.0	81.41	52.43	5.89	0.0	115.33	39.54	0.07	16.11	0.0	0.0	0.0	0.0	0.0	0.0	72.31	0.0	7.83	0.0	0.0	72.49	31.42	0.0	0.0	0.0	0.0	5.8	82.19	0.0	135.39	28.98	40.09	0.67	0.05	37.94	0.62	19.96	0.0	101.67	0.0	0.0	0.0	49.61	0.0	0.0	0.0	0.0	32.68
Kcnc1	0.0	0.15	0.0	22.02	56.76	0.0	0.3	26.23	58.08	0.12	61.53	2.99	129.83	83.07	29.47	119.53	25.44	0.17	46.09	32.83	31.62	22.61	0.08	0.0	0.37	54.53	26.45	0.03	17.36	16.99	10.16	6.53	26.71	12.48	0.64	0.0	0.0	0.08	50.34	55.69	39.93	56.55	2.12	24.23	41.82	10.43	25.28	19.22	21.43	10.45	37.66	60.76	53.57	86.24	106.94	0.13	0.01	0.14	0.08	98.67
Lpgat1	0.0	0.0	0.0	35.0	61.91	0.0	0.0	8.83	74.32	0.0	60.22	16.39	75.86	39.23	26.35	30.32	57.37	36.25	1.73	13.4	22.25	30.55	0.0	0.04	0.0	27.97	21.18	155.04	65.78	70.32	10.49	6.7	28.87	53.02	0.18	0.0	0.25	0.0	15.18	36.3	30.9	73.15	38.27	113.75	80.51	21.61	74.61	57.26	55.62	4.31	128.26	87.74	75.89	129.28	84.76	0.1	0.29	0.0	0.11	47.04
Mapk8ip2	0.0	0.0	0.0	29.98	0.1	0.0	0.0	50.47	45.37	0.0	0.43	36.37	36.77	6.31	0.0	19.53	0.0	0.0	19.01	9.23	31.53	67.59	0.0	0.0	0.0	16.44	0.0	0.04	52.17	0.0	0.04	9.99	3.38	10.64	0.0	0.0	0.0	0.0	0.39	0.46	18.32	75.66	39.27	5.54	29.05	2.37	0.0	0.0	7.71	0.0	73.77	0.0	2.05	2.57	5.51	0.0	0.0	0.0	0.0	0.0
Myo5a	0.04	0.0	0.08	40.91	25.68	0.0	0.0	20.72	34.88	0.2	35.71	47.08	52.34	50.48	68.42	73.3	1.07	3.51	68.81	34.85	43.89	51.03	0.06	0.05	0.0	52.32	46.77	4.2	43.87	92.2	20.83	6.5	36.13	7.47	0.81	0.0	0.44	0.0	55.66	28.24	35.62	139.79	21.66	41.8	23.2	4.15	95.99	42.43	46.45	0.38	33.39	32.69	72.84	46.63	95.3	0.14	0.11	0.0	0.03	59.66
Nat8l	0.0	0.0	0.0	56.91	0.0	0.18	0.0	23.64	25.55	0.0	28.21	11.01	27.95	25.09	10.36	44.36	27.43	0.55	0.24	11.31	64.35	48.1	0.0	0.0	0.0	8.56	4.24	0.0	19.56	0.18	0.14	0.0	2.28	1.2	0.19	0.0	0.18	0.0	6.06	33.84	59.11	4.96	65.94	2.06	0.08	0.04	2.34	23.58	0.01	0.0	46.08	0.56	9.42	22.22	26.91	0.06	0.06	0.0	0.06	5.59
Pclo	0.0	0.13	0.02	34.88	0.5	0.07	0.0	47.85	27.79	0.34	41.55	16.02	70.12	39.25	43.09	60.03	45.61	1.95	20.82	7.59	27.17	1.17	0.13	0.14	0.14	20.23	30.0	2.8	5.77	8.21	20.94	9.76	58.06	28.39	0.4	0.29	0.54	94.49	7.12	28.06	38.08	19.88	35.15	25.06	18.91	41.72	42.15	19.63	29.45	9.39	37.51	12.61	13.6	84.36	36.67	0.26	0.21	0.11	0.08	13.11
Pi4ka	2.19	0.0	0.0	62.14	49.97	0.0	0.0	8.71	48.9	0.15	20.09	22.11	45.48	35.14	46.42	185.36	14.22	12.89	49.92	14.88	6.24	27.44	0.52	0.04	0.0	65.22	10.38	5.09	3.3	13.2	3.15	44.28	1.34	37.32	0.0	0.0	0.18	0.0	45.28	42.79	49.04	37.48	4.88	18.44	52.14	10.73	60.46	10.26	5.28	4.86	171.92	91.95	22.84	21.84	87.94	0.11	0.19	0.08	0.0	0.11
Plekhj1	0.0	0.0	0.0	0.63	90.99	0.0	0.0	47.11	40.26	0.0	12.82	0.0	106.28	11.37	5.31	0.0	1.04	0.3	0.0	43.34	63.82	13.02	0.0	0.45	0.0	0.0	0.0	0.12	12.6	2.16	21.59	0.0	0.25	54.38	0.0	0.0	0.0	0.0	94.83	37.51	42.99	31.11	0.0	69.09	69.7	0.36	54.58	1.67	0.0	17.81	58.03	0.0	0.18	0.0	0.0	0.0	275.7	0.44	0.0	0.28
Psd	0.0	0.0	0.0	12.26	1.34	0.0	0.0	7.25	10.87	0.0	3.92	12.75	29.5	18.29	4.99	4.62	24.92	33.9	18.3	23.96	21.11	17.45	0.0	0.07	0.0	24.0	6.86	12.91	14.6	17.08	8.07	20.37	20.16	9.8	0.0	0.0	0.76	0.0	3.87	10.76	17.73	13.73	11.68	7.43	12.82	8.88	13.96	13.21	0.0	4.34	6.48	19.39	31.19	20.89	11.45	0.0	0.0	0.27	0.0	1.6
Reps2	0.0	0.07	0.0	35.16	9.63	0.0	0.0	62.76	63.71	0.11	45.25	15.08	2.59	8.23	59.46	113.14	122.78	50.56	6.24	55.43	100.65	28.75	0.0	0.05	0.0	28.68	36.75	0.01	23.25	6.26	7.74	5.92	50.3	52.75	0.32	0.0	0.08	0.0	5.24	45.94	57.95	41.83	0.1	13.49	85.27	32.13	155.08	22.01	18.14	39.08	23.46	19.64	2.35	58.99	31.45	0.0	0.0	0.0	0.05	26.17
Rusc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	64.06	0.0	176.83	0.0	43.79	28.84	0.0	120.73	45.57	127.88	41.13	0.0	21.47	0.0	0.0	0.0	0.0	0.49	4.84	25.61	4.75	0.0	116.05	0.0	42.47	0.0	0.0	0.0	0.0	0.0	0.0	32.01	126.17	98.81	33.76	125.31	91.06	0.13	107.52	0.12	0.0	0.0	162.47	0.0	47.5	0.0	39.1	0.0	0.0	0.0	0.0	0.0
Slc32a1	0.0	0.0	0.0	5.76	21.84	0.0	0.0	31.03	9.33	0.0	2.56	3.24	28.78	14.59	17.43	26.69	11.81	0.0	18.02	6.44	26.49	29.38	0.0	0.0	0.0	13.23	4.9	0.83	3.44	7.79	11.46	2.31	19.94	0.45	0.0	0.0	0.0	0.0	13.53	20.42	9.45	17.22	16.04	21.28	2.77	51.32	2.43	41.0	8.21	0.14	6.8	2.03	12.43	5.26	10.72	0.0	0.0	0.0	0.0	4.85
Slc6a1	653.16	2140.67	2989.89	4198.17	3342.07	2850.1	995.62	4091.34	3430.24	1685.97	5514.67	3929.52	3905.72	4140.23	4709.35	3231.39	3379.48	3969.64	4123.17	3173.05	3721.29	3453.96	1482.65	2219.32	1732.48	3714.71	3585.88	4926.53	4483.73	4296.52	6302.16	4487.92	4437.83	4810.11	1196.59	1862.72	2396.91	2148.71	3693.59	2216.92	2504.7	2598.8	2688.88	3002.17	2597.73	2798.92	2655.62	2658.91	2533.66	3182.47	2714.72	3973.93	3627.52	2813.06	2930.34	2416.65	3516.65	1588.29	1575.52	3213.71
Slc6a17	0.0	0.0	0.0	55.58	19.76	0.0	0.0	73.43	95.56	0.0	75.74	13.64	93.13	12.57	25.62	18.2	28.09	0.37	6.2	26.9	10.43	22.71	0.21	0.08	0.41	22.91	16.5	0.14	1.04	3.05	9.41	10.79	26.45	10.38	0.47	0.0	0.28	0.08	19.03	0.77	12.43	48.66	32.37	38.36	31.21	55.82	22.46	20.61	24.57	16.57	25.6	0.05	22.28	24.4	83.77	0.02	0.07	0.0	0.06	30.24
Spock1	0.0	0.15	0.26	32.12	28.96	0.0	0.0	49.2	348.33	0.0	277.63	82.11	744.1	60.51	29.34	164.25	112.78	98.11	127.02	80.96	301.87	170.85	0.0	0.0	0.0	61.73	54.51	158.42	59.23	92.13	19.38	96.59	119.68	4.53	0.91	0.0	0.38	0.0	41.51	46.14	86.94	113.1	79.67	20.36	65.88	93.26	88.69	21.04	31.26	20.24	121.04	27.63	39.0	109.51	83.01	0.23	0.27	0.0	0.28	96.44
Tbc1d30	0.0	0.0	0.0	0.8	5.82	0.0	0.0	18.67	20.36	0.17	48.22	7.56	11.16	1.36	8.5	0.11	0.0	0.06	0.0	0.0	3.35	0.08	0.0	0.0	0.0	0.0	0.0	2.83	11.65	0.0	0.0	4.99	0.57	18.36	0.22	0.0	0.1	0.0	15.34	0.52	0.0	16.76	0.0	7.56	0.89	0.05	18.57	0.08	0.06	0.0	9.58	3.16	0.0	0.55	0.07	0.0	0.08	0.09	0.0	7.75
Unc13a	0.06	0.0	0.0	6.06	0.39	0.0	0.0	7.62	5.44	0.0	1.21	0.89	7.27	1.39	2.36	1.78	30.76	0.27	1.82	0.97	4.43	6.91	0.0	0.0	0.0	4.94	1.35	2.0	3.57	2.23	2.62	1.52	6.7	5.87	0.0	0.0	0.0	0.0	3.85	2.58	3.29	2.89	2.32	3.99	0.47	1.56	4.14	7.58	0.09	9.04	5.53	0.04	2.36	2.42	3.39	0.0	0.05	0.0	0.1	8.71
Unc80	0.0	0.0	0.0	30.59	2.16	0.0	0.0	5.78	19.02	0.0	88.39	15.82	0.03	31.37	34.03	4.54	16.6	34.57	8.13	2.92	2.37	13.73	0.0	0.0	0.0	26.06	13.03	0.39	42.78	41.75	2.72	13.52	15.06	33.19	0.09	0.0	0.17	0.0	11.44	13.94	14.56	18.93	16.1	58.9	7.94	1.62	20.67	0.25	1.74	3.65	37.13	19.7	13.13	59.5	27.28	9.72	0.09	0.0	0.03	0.28
Zbtb7a	0.0	0.0	12.56	1.84	3.96	0.45	0.37	3.27	13.37	0.0	4.24	0.36	0.41	4.24	2.65	17.6	22.13	2.86	0.05	3.36	10.43	0.13	0.0	0.0	0.0	5.38	9.39	1.72	9.48	13.06	11.59	13.08	2.71	9.41	0.67	0.36	27.2	0.67	17.8	6.02	6.38	7.78	11.42	10.88	5.18	0.24	20.19	8.79	0.0	0.3	22.87	5.11	4.25	5.58	5.04	0.0	50.53	0.14	0.0	33.54
