	Gad2_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
9530026F06Rik	0.0	12.1	4.24	3.59	2.2	2.55	16.46	1.0	0.88	0.4	0.36	1.47	0.22
A630020A06	0.0	8.21	3.67	4.66	5.13	15.97	9.16	12.16	1.7	3.2	2.06	2.12	1.48
A630055G03Rik	1.92	75.73	39.32	28.65	30.94	88.17	103.88	58.03	14.49	13.18	9.25	10.38	9.71
A630075F10Rik	1.86	65.6	43.2	29.45	15.14	129.53	83.53	45.27	6.57	9.4	5.01	5.34	5.62
AA536875	0.0	4.3	5.03	5.05	2.95	3.29	13.6	9.28	0.86	0.33	0.36	0.91	0.94
AU018091	0.0	2.61	1.96	1.15	0.23	2.43	4.85	2.1	0.06	0.24	0.06	0.0	0.11
AU022754	0.0	5.78	8.1	1.9	1.78	4.8	8.5	14.2	0.1	0.97	0.28	1.83	0.36
Acnat1	0.0	48.95	47.96	30.52	33.17	61.34	89.8	42.64	8.36	6.22	4.68	4.51	5.72
Acsm2	0.11	8.04	7.13	2.28	0.96	5.1	11.9	4.52	0.2	0.2	0.36	0.22	0.19
Ankle1	0.14	14.75	8.27	4.47	5.29	12.46	23.76	5.98	1.32	1.93	0.18	0.46	0.21
B020014A21Rik	0.53	37.33	34.29	22.22	23.42	111.59	111.72	61.2	2.94	4.97	3.91	6.17	3.35
Bambi-ps1	0.0	67.87	56.26	59.42	18.17	88.52	196.54	28.47	7.4	17.39	4.5	6.02	8.69
Barhl2	0.0	2.14	1.29	0.57	0.25	0.85	4.62	1.28	0.06	2.16	0.01	0.0	0.0
Ccdc82	18.6	512.76	383.42	269.11	187.58	295.96	546.02	238.77	91.18	94.19	71.03	72.83	74.01
Ccl27b	1.03	344.85	411.12	93.01	34.54	14.7	274.48	171.5	17.69	2.83	34.21	4.38	27.11
Ccr2	0.0	5.22	13.81	5.21	3.92	10.29	12.36	5.61	0.64	1.16	0.2	0.31	1.75
Cd3d	0.0	35.78	35.34	10.14	2.45	24.1	15.54	19.15	2.36	1.71	1.31	1.27	2.22
Cnga3	0.0	9.33	4.53	3.0	1.98	15.23	19.73	2.67	0.91	0.81	0.85	1.49	0.7
Crp	0.0	1.42	1.22	1.12	1.25	5.78	2.94	2.52	0.18	0.41	0.0	0.0	0.6
Cyp4a31	0.0	1.86	2.52	0.53	0.32	3.32	8.92	0.79	0.35	0.18	0.08	0.05	0.21
Cytip	0.1	0.56	0.58	0.37	0.12	0.24	1.89	0.28	0.0	0.0	0.0	0.0	0.0
D630045M09Rik	0.0	32.21	30.26	11.56	11.47	88.74	143.16	17.52	4.95	2.34	1.89	1.22	3.53
D830005E20Rik	0.0	439.1	171.73	94.37	78.34	524.86	750.87	124.05	7.76	9.63	6.85	7.48	31.64
Dkk1	0.0	4.27	3.64	0.86	1.28	2.76	8.77	2.54	0.64	0.32	0.12	0.06	0.13
F830016B08Rik	1.35	152.11	41.13	24.57	26.9	149.75	202.52	102.24	9.37	12.08	8.41	6.98	4.35
Gm10389	2.07	93.56	101.63	158.75	39.72	127.22	158.58	396.3	12.28	15.69	13.35	10.74	15.15
Gm10390	0.0	0.77	0.73	0.08	0.74	0.95	4.95	0.24	0.07	0.02	0.04	0.07	0.65
Gm13306	1.03	344.85	411.12	93.01	34.54	14.7	274.48	171.5	17.69	2.83	34.21	4.38	27.11
Gm19619	0.44	21.6	29.54	16.47	8.64	59.27	42.49	50.77	3.94	2.2	2.55	2.58	2.88
Gm20597	0.0	1.82	9.37	2.88	1.39	6.79	12.29	7.33	0.7	0.91	0.44	0.68	1.53
Gm2506	1.03	344.85	411.12	93.01	34.54	14.7	274.48	171.5	17.69	2.83	34.21	4.38	27.11
Gm4791	0.0	134.89	61.32	63.63	41.72	118.25	197.31	66.91	20.83	17.53	7.49	10.38	10.14
Gm4841	1.05	61.93	36.33	29.15	10.4	51.59	102.41	74.71	7.24	3.74	3.79	1.96	2.31
Gm5934	0.0	6.54	6.92	2.23	2.45	8.68	10.9	3.1	0.66	0.88	0.07	0.05	0.01
Gm6313	2.6	55.14	48.15	31.79	20.23	37.2	110.06	28.79	11.16	8.37	6.94	8.02	7.54
Gm6634	0.0	15.46	22.96	11.23	13.53	33.46	24.79	23.2	1.87	3.01	0.55	1.99	1.68
Gpr157	0.18	29.39	21.62	12.29	9.94	30.57	57.86	8.38	3.13	3.05	2.32	2.81	2.24
Gpr174	0.65	4.43	3.09	1.23	1.11	2.38	8.2	4.02	0.28	0.19	0.54	0.37	0.23
Il5ra	0.0	17.12	38.34	26.66	16.89	15.6	52.4	22.88	2.07	7.29	1.13	6.08	3.59
Kcnj15	0.2	0.87	0.9	0.22	0.21	1.35	4.17	0.54	0.11	0.11	0.05	0.05	0.0
LOC622124	0.0	1.88	3.44	0.72	0.64	2.09	5.01	1.59	0.13	0.25	0.08	0.16	0.1
Mageb16-ps1	0.0	18.31	13.67	7.54	8.89	33.13	26.79	11.35	5.13	1.83	2.44	1.97	3.1
Msx2	0.0	3.62	2.45	1.63	1.08	4.92	15.34	3.6	0.08	0.2	0.32	0.0	0.34
Oas3	0.7	10.53	8.1	4.46	4.12	15.85	20.12	6.37	3.21	2.41	1.64	0.81	1.81
Olr1	0.0	7.5	11.44	1.45	8.37	1.86	1.27	4.75	0.73	0.03	0.06	0.08	0.0
Onecut3	0.07	2.55	0.58	1.48	1.38	4.96	5.41	1.84	0.61	0.47	0.56	0.51	0.45
Pi15	5.79	86.51	62.77	43.48	21.25	94.14	119.68	61.27	13.44	9.9	10.25	6.98	8.57
Pirt	0.0	6.01	4.08	1.61	0.84	3.45	5.76	5.2	0.51	0.16	0.04	0.16	0.25
Pot1b	0.0	95.89	114.11	49.72	62.0	187.99	294.87	54.68	17.67	23.3	14.99	10.22	15.2
Psg28	1.2	44.61	38.96	18.47	25.01	88.87	102.01	51.35	4.32	7.59	4.3	8.03	2.68
Psg29	0.0	0.52	2.99	0.64	0.77	0.67	4.3	1.04	0.76	0.43	0.4	0.35	0.15
Rdh9	0.0	8.86	34.69	10.15	2.45	63.87	3.17	1.63	2.73	6.11	4.81	8.08	0.92
Saa4	0.15	10.05	3.44	1.86	1.03	2.36	3.08	4.78	0.3	0.36	0.0	0.0	0.14
Serpina1a	0.97	53.83	21.44	8.21	4.82	42.56	40.45	10.99	1.91	1.65	0.0	1.4	0.73
Slfn8	0.0	9.76	14.48	7.22	15.14	28.93	86.55	11.06	1.1	2.91	2.61	2.71	1.37
Slfn9	0.0	81.84	45.79	30.35	24.14	163.75	133.82	46.99	5.99	5.23	3.03	5.9	4.08
Sp110	0.27	69.11	86.34	32.7	19.8	89.39	159.85	51.08	8.44	5.48	1.54	1.3	2.16
Tigit	0.0	124.32	88.15	40.43	37.03	126.15	248.07	38.27	4.51	9.12	2.59	3.82	3.08
Tmprss11g	0.0	8.24	4.31	1.23	1.52	14.07	10.78	1.48	0.81	0.5	1.22	0.93	1.08
Tnfrsf10b	0.48	93.75	62.07	48.22	36.16	76.11	163.76	56.29	10.69	12.09	7.97	9.22	9.81
Trappc9	5.35	136.82	95.44	113.65	82.23	93.04	171.35	219.32	104.19	21.24	70.38	63.4	87.65
Tyms-ps	0.0	0.0	3.28	2.49	1.68	5.08	2.92	1.3	0.88	0.23	0.14	0.62	1.16
Ube1y1	0.0	42.57	32.06	32.07	14.84	37.93	51.89	34.65	3.47	4.89	3.66	3.25	2.74
Utp23	5.05	97.88	69.12	55.65	27.29	57.38	170.92	60.72	9.51	33.15	9.46	6.47	8.26
Veph1	0.0	12.77	15.21	10.0	7.64	21.03	45.63	8.49	3.56	2.76	2.71	2.61	2.08
Zfp385c	0.0	2.95	2.42	0.74	0.6	2.34	0.54	0.31	0.9	0.31	0.59	0.45	0.15
Zfp71-rs1	1.73	216.28	242.05	105.32	85.0	338.68	399.21	241.24	19.86	30.91	21.01	22.76	19.8
c17_SSU-rRNA_Hsa	3087.81	32310.68	18100.4	15042.54	15720.15	62935.79	39573.42	23420.99	22437.39	28697.02	15731.79	28103.63	31264.04
