	Gad2_tdTpositive_cell_47	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Psmd3	0.0	46.25	0.0	0.0	0.0	4.96	128.29	138.98	132.76
Pvr	0.0	35.79	0.0	0.0	0.0	0.0	7.31	7.36	6.8
Rab5a	16.64	121.59	94.36	0.0	0.16	2.06	136.28	136.51	137.41
Rara	0.1	5.06	0.0	0.0	0.34	0.0	7.44	8.33	7.77
Rhbdd2	4.43	44.28	2.37	0.59	1.97	0.58	41.7	42.13	41.64
Rps6ka3	0.0	59.77	0.0	0.0	0.0	0.0	35.0	26.79	33.58
Rsph9	0.0	1.95	0.0	0.0	0.0	0.0	17.32	19.15	18.1
Rtn4rl1	15.52	60.01	31.49	0.0	0.0	0.0	47.79	51.38	53.56
S100a11	0.0	50.23	0.0	0.0	0.0	0.0	16.87	19.44	13.77
Sfi1	1.3	26.32	0.0	0.0	2.15	5.61	22.34	18.29	17.07
Shisa4	8.01	14.48	20.66	22.01	14.11	0.0	164.99	179.46	180.47
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slit3	0.0	22.37	0.0	0.0	1.5	0.0	25.89	25.15	27.05
Stk16	0.12	81.61	0.0	0.0	0.0	0.0	33.59	37.07	34.43
Syvn1	6.06	31.94	10.97	0.0	1.22	11.98	39.85	39.11	39.72
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tecta	0.0	0.83	0.0	0.0	0.0	0.0	0.15	0.21	0.12
Tef	0.0	67.25	0.0	0.0	44.92	41.43	235.69	246.71	214.72
Tex261	0.0	51.9	2.93	0.0	29.98	0.0	34.55	35.72	39.92
Tgm4	0.0	1.59	0.0	0.0	0.0	0.0	1.68	1.44	1.1
Trex1	0.0	162.13	0.0	0.0	0.0	0.0	18.04	16.98	15.85
Trp53bp2	0.07	28.57	0.0	0.0	0.0	0.0	18.69	19.47	17.47
Tsta3	138.03	114.87	0.0	0.0	1.19	0.0	26.56	26.99	29.08
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Tuft1	0.0	61.28	0.0	0.0	0.0	0.0	1.81	1.49	1.67
Unc5b	0.0	1.94	0.0	0.0	0.0	0.0	13.9	14.29	16.85
Utp18	0.83	27.0	5.95	0.0	0.91	0.0	18.72	18.41	17.52
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vps13d	0.09	15.57	1.3	0.0	7.39	0.03	28.71	24.75	31.22
Zbtb7b	0.0	22.33	0.0	0.0	0.0	0.0	10.02	10.89	9.43
Zfp462	0.0	8.6	1.57	0.17	0.0	0.0	13.35	12.9	14.56
Zkscan17	0.0	28.25	0.0	0.0	0.0	0.0	8.67	9.1	9.52
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c15_tRNA-Gly-GGG	0.0	40.26	0.0	0.0	0.0	0.0	3.48	6.28	3.59
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	22.53	5.86	18796.57	17507.83	18655.33
mt_BC104337	12.16	0.0	22.08	25.82	0.0	0.0	9032.87	8417.95	8583.15
