	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_127	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36
Ccdc136	0.6	0.0	9.86	3.81	0.0	45.4	0.0	23.19	0.0	27.04	14.72	35.59	0.0	3.25	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08
Ccdc92	0.0	102.44	0.09	0.0	0.0	9.25	0.0	0.0	5.95	4.56	18.68	0.0	0.0	10.3	0.0	94.21	42.88	0.0	0.0	0.0	0.0	0.17	20.99
Cdr1	21.84	72.27	20.68	59.88	29.55	98.74	0.0	42.56	115.69	96.58	79.93	144.7	107.19	34.21	6.72	0.25	0.0	26.74	0.0	9.24	23.89	51.19	4.36
Cend1	164.58	128.28	388.5	197.18	352.74	239.73	133.82	97.54	452.14	896.54	564.87	544.36	310.56	242.49	322.58	268.97	153.02	397.46	0.27	64.96	10.58	228.54	562.73
Chchd2	358.69	345.86	92.18	83.91	407.44	406.91	220.33	154.74	1.21	461.37	469.87	330.2	547.8	73.08	260.96	131.4	87.18	29.97	1.01	28.31	30.35	191.7	72.95
Cisd1	339.13	138.63	105.22	27.24	564.1	785.27	268.43	0.8	374.65	594.67	409.66	504.35	571.22	291.09	240.4	1.23	6.36	90.18	0.48	59.74	16.11	21.63	219.2
Cntnap1	0.0	9.26	0.0	4.87	2.24	14.4	0.0	18.39	0.65	8.26	4.22	18.07	5.23	1.71	10.61	38.83	0.0	0.0	0.08	0.0	0.1	0.0	7.39
Cox6a1	985.92	1025.1	33.83	185.42	1190.08	1327.36	107.12	120.86	241.02	1683.87	1645.69	1485.11	1262.48	1122.17	719.66	7.04	0.0	104.5	19.91	0.0	291.72	894.13	448.39
Cox8a	727.49	1152.57	81.69	147.15	1407.09	619.84	35.55	162.47	127.09	1069.01	831.57	842.23	644.87	463.1	529.91	16.59	30.14	78.1	0.0	155.98	186.41	566.55	381.56
Cs	57.17	0.39	92.8	381.7	89.84	110.32	1.04	140.62	173.35	308.19	209.95	162.21	403.73	121.44	283.66	45.11	141.07	111.45	72.33	102.82	204.31	204.0	151.2
Dfna5	0.0	0.0	83.3	150.57	0.0	0.0	70.61	0.12	72.8	58.44	58.33	62.21	39.19	51.09	71.76	0.0	0.0	3.49	0.0	33.99	40.89	0.0	0.0
Dld	122.39	273.7	372.31	294.28	385.17	5.8	304.79	254.04	312.35	450.94	293.1	287.13	402.37	165.38	200.15	380.12	136.04	167.59	250.84	99.84	107.78	259.82	395.3
Entpd4	0.75	0.72	0.0	129.87	0.11	9.36	0.0	51.52	0.0	27.6	47.93	112.83	0.0	3.84	7.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extl2	37.87	307.24	237.86	245.86	87.45	198.85	78.18	44.81	74.43	339.32	267.41	141.93	228.85	80.7	143.25	13.76	85.3	0.21	0.0	19.18	16.43	177.97	96.04
Fam164a	113.44	0.77	388.56	79.99	73.34	0.0	0.0	44.09	186.55	64.14	112.53	148.87	298.49	96.86	189.47	42.12	0.08	1.05	0.0	35.01	106.44	191.18	115.08
Fam19a2	31.19	32.62	35.18	57.39	0.0	0.0	0.0	0.0	0.0	24.99	105.15	108.66	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07	80.9	0.0	0.0
Fam43a	0.0	0.0	0.08	0.0	0.0	0.0	0.09	0.0	0.0	0.11	11.67	1.53	0.0	2.12	0.0	0.0	20.16	0.0	0.0	0.1	0.0	0.0	0.0
Fam73b	20.31	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	39.33	39.29	21.9	0.0	4.09	32.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	22.41
Fbxo44	0.0	119.39	210.59	133.95	0.0	113.82	5.54	128.62	235.91	321.03	228.36	244.42	129.06	110.6	0.0	0.0	10.15	0.19	184.1	50.89	106.04	415.87	247.15
Fosl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrd	55.94	146.81	33.58	10.5	0.0	94.64	0.0	0.13	1.32	109.51	145.53	283.31	0.98	17.53	0.29	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.16
Galntl6	0.42	0.29	0.21	0.56	0.17	0.41	0.06	0.37	0.15	258.84	275.75	291.08	25.79	5.03	0.23	0.2	0.11	0.06	0.0	0.6	0.48	0.08	41.22
Gars	0.16	0.16	61.96	68.19	33.55	0.0	0.0	0.31	0.15	26.21	152.51	131.76	22.89	25.72	3.58	86.53	91.62	0.0	0.0	0.0	8.77	14.23	97.52
Glrb	339.56	127.77	410.44	77.48	78.23	104.1	0.0	120.25	71.43	169.66	279.89	153.63	130.46	51.56	0.18	170.9	68.19	0.0	49.46	1.42	58.88	224.07	57.93
Gm5177	18.3	16.84	37.31	43.28	31.2	37.92	29.83	45.47	34.05	51.25	52.24	28.27	28.35	34.34	28.77	39.3	28.88	30.33	38.58	42.59	35.49	20.45	24.09
Gnas	80.28	147.67	609.57	427.92	333.99	910.81	808.9	309.18	581.98	1001.22	625.6	890.59	464.21	570.8	37.91	615.54	830.2	496.75	146.64	419.93	211.98	465.8	282.31
Got1	580.13	583.55	873.95	819.96	1384.57	1265.46	529.03	1021.17	1658.28	1623.35	1678.1	1694.6	948.53	953.31	1568.05	992.56	443.47	587.55	416.46	376.52	321.17	1235.4	1245.28
Haghl	0.63	0.6	60.83	160.5	0.0	0.28	0.0	186.78	65.49	326.39	109.38	569.31	102.48	51.1	250.07	141.71	99.54	100.71	0.0	0.0	0.0	0.0	226.66
Hapln4	39.53	1.34	0.06	87.15	0.0	2.52	26.8	0.0	0.0	23.79	69.88	248.6	11.56	4.24	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.08
Hcn1	0.05	0.52	0.0	16.57	19.1	14.77	0.0	5.36	1.71	34.43	22.52	50.65	9.36	9.48	1.8	14.14	0.04	8.9	0.0	4.66	31.54	22.72	28.31
Hs3st1	0.0	156.25	81.43	134.8	0.2	0.0	0.0	0.0	0.0	119.07	174.09	363.08	0.0	31.51	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	2.01
Idh3b	684.78	542.71	1048.35	290.25	476.85	460.08	842.23	614.69	282.13	963.02	1016.51	630.76	502.1	448.4	11.44	257.43	850.27	886.85	359.34	160.43	444.87	492.81	571.76
Immt	63.59	0.43	144.96	212.89	116.57	381.06	38.94	75.12	241.6	289.6	131.75	326.32	178.45	106.65	126.24	21.55	21.86	20.58	69.98	11.29	75.78	0.0	118.71
Ina	8.26	0.0	41.46	44.99	0.0	129.34	21.12	22.2	37.22	55.55	7.72	91.36	70.68	84.22	73.83	102.18	248.6	19.76	5.51	24.64	29.57	159.9	78.45
Iqsec1	17.03	7.65	4.4	0.0	20.75	12.91	6.0	1.04	13.76	81.62	61.5	107.86	29.35	5.06	19.22	5.05	19.32	39.25	16.01	0.8	0.68	4.05	11.99
Kcna2	41.14	1.08	27.14	24.12	0.17	23.27	0.25	0.15	4.19	35.57	68.09	107.95	39.03	9.77	0.27	9.9	0.07	25.22	47.89	1.85	18.9	23.37	57.33
Kcnab3	10.85	0.15	1.03	0.0	0.0	0.0	0.0	1.27	63.17	68.59	100.67	103.06	1.95	5.46	0.0	0.0	0.0	20.11	0.0	0.0	23.4	0.0	19.57
Lifr	9.25	106.66	17.52	8.43	2.85	9.17	1.37	2.66	5.93	26.08	86.94	196.3	44.07	8.98	12.11	3.51	3.56	0.7	2.18	3.44	0.57	7.87	54.97
Luzp1	81.15	0.44	7.35	18.65	8.62	3.21	0.0	0.03	15.12	32.65	50.62	34.91	3.48	7.4	0.14	27.09	12.7	11.6	0.0	1.31	0.31	92.82	0.08
Lynx1	33.23	0.0	6.61	198.36	32.91	36.21	14.63	112.59	43.85	75.41	37.39	162.26	79.24	50.81	176.54	34.09	80.87	12.51	0.0	66.79	29.51	24.9	29.05
Mpi	0.0	0.21	337.89	0.0	12.32	126.54	0.0	23.47	0.0	186.96	107.96	114.37	80.31	90.3	0.0	0.0	12.38	0.17	313.76	0.0	0.0	18.21	175.81
Mtfp1	63.58	466.11	0.0	100.27	209.84	180.87	439.9	0.54	223.46	148.26	590.15	171.95	244.36	69.13	56.25	470.66	2.9	390.33	347.47	2.22	303.22	145.19	410.05
Myl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nat8l	40.04	0.06	48.38	142.49	30.65	17.77	26.29	8.79	24.21	25.97	48.27	161.43	26.9	14.19	3.71	1.35	0.34	1.76	0.0	1.06	25.02	34.86	20.75
Nceh1	54.88	190.17	37.58	46.4	54.42	125.7	31.43	100.56	18.1	285.55	153.62	291.46	39.34	77.12	124.68	109.69	124.65	56.16	0.0	120.0	82.0	269.34	34.74
Ndst3	0.0	0.14	0.04	0.0	0.0	1.52	0.0	0.0	0.0	15.13	35.86	0.07	11.65	2.98	0.0	7.59	0.09	0.05	0.0	0.11	0.05	0.0	13.57
Ndufaf4	90.8	25.53	76.51	49.14	51.89	137.2	52.86	39.26	42.76	88.7	63.4	55.84	58.6	49.08	49.41	0.0	0.54	16.22	0.0	0.0	38.27	0.0	13.99
Ndufs2	239.22	276.29	97.14	143.99	594.22	420.28	8.14	212.12	127.59	546.73	545.93	586.42	480.6	267.09	350.42	5.04	18.9	156.97	69.33	96.91	54.66	239.29	388.64
Nek7	0.0	0.24	0.0	0.17	0.29	0.21	0.0	0.17	0.04	150.38	212.73	365.21	0.19	0.18	0.01	0.09	0.25	0.18	0.0	0.0	0.37	0.13	0.45
Nme7	103.13	73.59	455.26	93.72	125.28	102.9	117.47	96.78	188.01	434.55	494.46	462.72	279.43	145.28	56.21	85.02	211.1	343.36	180.78	212.4	251.89	152.46	352.92
Pacsin2	8.45	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	139.71	219.93	170.66	4.18	4.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pde5a	0.15	1.0	0.45	0.23	0.19	0.3	0.11	0.23	0.21	28.61	9.23	31.05	0.2	0.12	0.18	0.44	0.0	0.23	0.18	0.07	0.0	0.06	0.21
Pdha1	140.41	246.3	375.74	321.75	148.96	390.56	76.04	216.76	432.5	488.6	527.34	469.89	400.26	227.5	131.24	288.51	17.51	276.5	77.15	8.47	262.92	199.85	296.78
Pdhb	211.72	816.52	490.05	399.62	476.1	1.17	751.27	756.14	475.16	784.01	862.37	1042.23	722.55	541.57	332.92	216.35	714.75	127.2	309.57	528.13	187.12	706.19	564.68
Pgam1	456.41	155.0	201.33	273.4	496.52	362.67	109.38	169.87	315.23	570.78	568.09	616.66	474.53	482.48	125.48	9.41	112.82	60.98	356.36	219.59	100.42	558.54	539.61
Pgk1	938.86	649.58	1561.37	960.27	1010.41	940.48	1505.18	1551.1	2027.0	1483.1	1297.7	1573.9	1342.88	1224.76	860.73	1381.36	661.27	1064.12	943.95	451.3	1387.29	946.95	1328.71
Pnpo	0.0	25.38	161.14	0.0	0.0	103.3	88.27	94.27	108.25	348.56	109.72	196.48	199.01	97.9	141.25	0.0	83.54	0.15	28.54	157.08	169.8	0.0	55.08
Ppp1r16b	79.51	154.4	126.6	109.81	77.86	140.76	16.15	34.29	76.83	300.42	327.17	236.65	147.16	77.51	158.66	11.69	44.45	17.96	4.26	11.1	20.21	50.4	87.93
Psme3	0.0	28.27	58.75	0.0	0.0	0.0	0.0	0.0	0.94	16.44	32.07	6.23	0.0	5.14	0.2	0.0	27.45	0.0	0.0	1.51	0.0	0.0	24.29
Rmnd5a	4.22	0.06	18.43	0.0	13.07	20.25	5.38	36.16	0.0	1.31	65.41	69.08	58.4	12.07	107.59	123.71	92.19	0.0	47.83	14.57	68.65	0.12	11.8
Samhd1	0.0	0.0	0.11	0.17	0.0	0.08	0.0	0.06	0.18	7.69	28.83	0.52	21.42	0.1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0
Scn1a	49.19	56.0	231.1	63.35	67.91	16.13	6.99	97.04	124.33	242.13	227.08	284.84	29.37	27.35	154.6	2.31	9.72	60.38	5.52	22.93	40.44	39.1	200.73
Scn8a	20.08	21.59	31.41	45.99	0.26	0.03	3.15	16.46	84.12	49.68	45.92	88.05	26.72	33.12	10.66	13.84	11.38	30.07	28.83	47.96	16.25	67.79	70.01
Sdr39u1	322.17	125.03	119.2	203.5	177.11	0.0	156.07	129.02	452.35	175.68	129.52	319.59	195.72	195.84	0.0	361.16	42.86	0.25	117.26	424.24	170.92	320.08	356.78
Slc25a11	58.8	1.41	1.92	60.39	1.22	123.58	0.15	271.05	335.85	407.11	156.26	112.7	227.41	138.78	155.45	19.14	0.0	3.78	158.04	80.09	243.29	206.43	197.98
Slc4a3	0.0	0.08	0.0	0.0	8.08	0.0	0.0	27.63	0.0	15.45	5.84	19.59	25.23	1.06	15.85	0.13	0.0	0.0	0.0	0.2	0.0	0.09	3.53
Sncb	153.44	190.1	49.37	73.74	33.95	120.67	120.65	64.35	198.87	267.02	267.29	226.75	131.02	128.91	42.25	26.65	36.25	12.74	31.49	12.36	31.6	45.08	85.54
Srgap3	4.71	24.6	6.24	14.48	0.07	0.3	0.0	0.14	0.1	29.1	53.4	72.16	7.68	2.23	0.11	0.03	0.09	1.38	0.05	0.0	0.03	0.22	19.48
St8sia1	0.18	0.29	0.1	0.68	0.0	29.05	0.23	0.09	0.18	4.8	1.17	46.04	1.68	0.26	0.14	0.03	0.16	0.03	0.15	1.03	0.16	0.13	0.1
Stmn3	554.35	579.07	1526.93	1888.66	1089.05	828.47	1921.97	1785.83	868.88	1948.62	1756.47	1641.5	1026.83	1213.3	446.41	921.6	478.96	295.95	499.05	289.96	95.73	740.08	1046.59
Sv2a	63.54	6.0	65.68	282.14	1.84	89.32	16.62	40.35	0.27	100.06	214.23	277.08	25.84	40.4	67.69	0.22	35.09	8.41	0.0	66.93	76.79	100.47	1.93
Tmem25	0.0	173.65	76.67	176.45	0.14	0.0	0.0	0.0	76.3	179.68	77.8	194.64	78.03	40.78	136.99	21.83	0.12	0.0	0.0	2.85	0.0	0.0	62.1
Tmem65	0.0	0.1	40.88	44.58	45.52	10.6	0.0	0.0	0.1	63.81	44.17	133.74	10.63	4.91	0.0	32.85	0.08	8.33	0.12	37.67	0.06	0.0	0.0
Ttll7	30.8	0.06	20.31	50.62	0.0	3.93	8.95	0.0	2.98	50.64	65.32	67.4	8.37	10.28	44.18	7.4	43.72	0.0	0.57	7.07	36.26	0.0	38.39
Uqcrc1	178.67	545.97	89.07	360.63	142.65	497.12	69.17	196.27	464.9	1325.96	649.66	722.74	927.74	638.07	572.62	78.25	0.52	0.73	5.66	0.37	0.0	472.82	648.09
Vdac1	413.02	601.58	876.9	419.72	393.23	464.01	500.29	241.39	522.8	778.37	844.39	706.29	1083.15	641.72	610.37	797.38	478.86	599.09	47.43	336.07	179.33	236.98	268.05
Yaf2	34.74	14.78	58.63	7.71	94.97	84.22	0.0	28.36	0.16	106.86	66.48	142.12	60.8	31.52	7.63	13.98	3.43	0.13	0.0	0.14	0.0	0.0	31.67
mt_AK141672	117.93	40.17	138.06	88.34	62.11	191.4	137.82	99.64	148.75	198.66	203.76	173.81	153.99	119.44	53.04	100.64	104.75	123.99	87.12	162.65	369.34	58.5	130.27
