	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_52	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Copa	11.55	30.91	87.39	126.96	14.87	146.65	72.1	45.26	148.41	248.23	86.09	56.94	62.07	116.85	40.75	61.01	17.93	35.55	131.89	134.61	133.73
Cpm	0.9	0.12	0.21	0.13	0.49	0.23	0.0	0.07	0.0	2.52	0.0	0.37	0.07	0.12	0.0	0.23	0.15	0.0	5.67	4.86	5.2
Crb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	2.67	2.67
Ctns	11.32	0.0	48.83	0.0	0.13	1.72	0.0	0.0	62.82	106.17	0.98	0.0	0.0	0.0	0.0	0.0	0.57	60.84	13.1	13.57	13.97
Cyp2d22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.18	21.16	19.79
D2hgdh	0.0	0.06	0.05	0.0	0.0	0.02	0.0	0.0	0.0	46.31	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.34	10.41	10.44	9.61
Dclre1b	0.2	0.09	0.44	0.14	0.5	0.24	0.14	0.61	0.0	3.42	0.14	0.0	0.28	0.0	0.0	0.0	0.01	0.0	5.02	4.38	4.91
Dem1	0.0	0.0	42.48	0.0	0.0	0.0	0.0	0.0	0.0	148.76	0.0	0.0	0.0	14.76	0.0	0.0	0.0	0.0	9.09	8.65	7.89
Dicer1	0.0	0.3	1.05	0.38	0.01	12.37	3.04	0.04	0.0	25.09	0.0	0.0	0.0	1.2	0.0	5.11	0.0	0.0	20.73	20.39	20.97
Dpp4	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	103.98	0.0	0.0	0.0	0.0	11.43	0.0	0.0	0.0	2.9	2.44	3.01
E230016M11Rik	0.0	0.11	0.12	0.0	0.03	0.0	0.0	42.79	0.19	125.86	0.24	0.0	2.43	0.0	0.0	0.0	0.0	4.73	1.97	1.77	2.74
E230029C05Rik	0.0	2.91	0.05	0.0	0.05	0.0	0.0	0.0	0.0	35.91	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	1.09	0.95	1.61
E330033L03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05
Eif4e1b	0.0	0.0	0.0	0.12	0.0	0.02	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.16	0.36
Fam129c	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	20.58	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	1.87	2.03	2.1
Fndc7	0.0	0.06	0.07	0.03	0.02	0.08	0.0	0.0	0.0	0.17	0.15	0.0	0.0	0.13	0.0	0.0	0.02	0.12	0.29	0.21	0.29
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gaa	0.0	1.12	4.43	60.37	16.41	98.06	2.19	87.12	0.18	206.55	64.93	42.6	55.24	115.53	19.56	51.89	33.37	65.33	201.83	224.67	199.67
Galm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	1.62	1.91
Gas2l1	0.0	6.27	4.12	0.0	6.47	0.0	2.77	0.0	0.0	39.04	0.15	0.0	0.17	0.0	11.27	0.0	0.35	0.0	51.84	56.7	51.4
Gltscr2	0.0	0.0	49.5	4.27	4.48	1.75	4.94	0.0	0.0	189.63	1.1	0.0	0.0	54.59	10.85	1.28	0.0	0.0	82.99	90.06	86.93
Gm10823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.14
Gm20110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.04	0.1
Gm20324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.08	0.28
Gpr180	1.89	5.11	43.81	0.74	0.46	0.22	0.56	0.13	0.12	63.2	0.48	0.0	0.37	0.31	0.34	0.42	0.17	0.54	20.98	19.71	20.62
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hiat1	0.0	0.0	0.37	0.04	0.56	73.89	0.0	0.0	0.12	101.56	11.55	0.0	0.0	2.05	0.0	0.0	0.0	10.79	59.48	58.18	52.07
Hist1h2bn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	1.23
Hras1	0.0	28.8	0.49	26.38	38.67	22.64	0.0	12.38	0.0	72.68	5.83	0.38	0.0	0.0	0.0	0.0	5.43	0.0	97.29	100.13	101.06
Hsf4	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.92	17.21	16.08
Igf2bp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.97	1.26
Il17re	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.02	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.25	0.29
Ints9	0.0	7.04	175.94	8.03	59.06	13.63	0.0	0.0	125.02	197.82	0.0	0.0	7.67	70.53	62.58	0.0	0.0	62.2	11.21	14.85	11.9
Jph3	0.0	0.05	0.02	2.88	3.43	0.54	0.0	2.66	1.67	47.22	4.43	0.0	0.15	0.32	0.0	0.0	0.0	16.92	145.11	164.46	159.09
Lpcat4	2.91	0.21	37.7	37.82	6.27	0.4	0.21	113.42	2.09	183.36	76.88	0.82	0.0	69.61	3.86	61.45	43.68	0.31	125.99	137.81	128.9
Matk	0.0	73.61	58.13	0.06	58.79	58.72	4.88	30.14	0.0	229.37	158.06	8.55	0.0	0.37	71.67	105.04	5.33	37.09	183.11	197.53	192.68
Mir17hg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.64	1.22
Mir344b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir5113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0
Mir684-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	1.4
N4bp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	12.97	12.51	11.7
Ncoa6	0.0	32.57	25.93	1.19	0.01	14.41	0.3	0.0	13.43	50.23	7.54	1.57	0.77	0.0	9.49	0.0	0.12	2.37	32.74	31.16	34.66
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Odf2	0.0	22.6	66.04	26.21	1.58	28.7	0.71	3.88	28.73	206.18	16.78	3.79	7.53	0.16	0.65	36.82	0.08	23.06	70.41	66.17	69.7
Paox	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.53	7.07	8.04
Paqr6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03	7.36	7.01
Pcdhb12	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	330.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98	10.23	7.24
Piga	0.0	0.44	0.27	0.38	0.28	1.09	0.0	0.1	0.0	112.78	0.0	0.0	0.19	0.23	0.0	0.18	0.0	0.32	6.93	6.16	6.41
Pion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	4.46	4.51
Pla2g4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	3.1	3.57
Plch2	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	10.15	0.0	0.0	1.42	0.0	0.0	0.0	0.0	0.46	49.35	50.0	54.36
Plin3	2.47	1.7	3.29	2.81	1.89	1.98	2.44	2.16	1.56	12.26	2.54	4.14	1.77	0.0	2.03	1.39	1.52	1.37	13.57	14.59	15.22
Prox1	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47	8.41	9.93
Ptar1	0.0	0.0	3.71	69.7	0.02	71.37	0.0	0.0	0.0	143.23	0.0	12.78	0.0	0.0	0.0	100.21	0.08	11.58	11.91	8.59	12.89
Pth1r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	6.19	5.62
Ptprh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	1.17	0.81
Ptprz1	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.04	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.78	60.39	76.37
Rab11fip2	0.0	40.19	1.5	0.0	0.01	1.52	0.0	7.35	0.0	108.45	56.15	8.93	0.56	2.72	0.19	45.74	0.0	27.6	41.52	36.24	39.33
Rara	0.0	0.0	0.05	0.0	0.05	0.02	0.0	0.0	0.0	26.48	0.0	0.66	0.0	0.0	0.0	1.01	0.0	0.0	7.44	8.33	7.77
Rasa4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56	5.17	4.58
Rasl2-9-ps	0.0	0.2	0.0	0.12	0.1	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.5	0.64
Rassf2	22.87	3.81	0.14	0.26	0.11	6.15	4.94	1.22	0.0	33.47	2.03	0.71	1.65	0.26	0.0	0.0	1.32	0.24	29.35	29.69	31.74
Rerg	0.0	0.0	0.03	0.05	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	12.25	10.11
Rgmb	0.0	3.43	0.0	0.04	0.0	21.1	0.0	0.0	0.0	101.65	0.0	0.29	2.52	0.0	0.0	0.0	47.18	0.0	37.99	40.82	42.33
Rpusd3	0.0	0.0	0.0	0.0	0.04	0.95	0.0	0.0	0.0	114.96	0.0	0.0	51.72	0.0	0.0	0.0	60.8	0.0	9.4	10.72	10.56
Sall2	0.0	0.0	0.0	0.0	0.01	0.78	0.0	0.0	0.0	29.67	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.63	29.51	30.11
Sfrp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	1.86	1.58
Shisa3	2.01	0.46	0.18	0.39	0.3	0.39	0.0	0.19	0.09	1.31	0.74	0.2	0.0	0.26	0.13	0.13	0.31	0.0	1.13	1.59	1.33
Shox2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
Slc27a1	1.25	6.74	0.79	1.12	0.81	5.52	1.37	0.09	0.0	87.07	0.63	1.25	0.44	0.42	0.19	0.81	0.37	1.0	59.69	63.37	60.96
Slc44a1	0.0	0.0	14.2	1.88	0.0	0.0	0.0	9.96	0.0	24.21	0.0	7.93	0.0	0.0	0.0	0.34	0.0	0.0	53.42	53.04	59.96
Slc47a1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	3.07	1.74
Slc7a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	2.04	2.13
Smap2	0.0	37.0	102.11	110.03	91.05	32.61	61.17	131.6	4.3	177.0	133.12	59.61	108.57	137.65	82.24	121.22	2.81	53.99	140.44	138.22	141.36
Snn	0.0	0.13	10.29	0.23	13.73	29.33	72.37	50.76	0.0	221.63	23.96	0.0	47.75	0.0	0.0	1.8	2.43	0.0	193.32	197.85	194.31
Snora16a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.92	0.93	1.01
Snord72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sstr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.52	0.0	0.0	57.85	0.0	0.0	0.0	0.0	0.0	28.88	26.29	20.77
Stk32b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	2.1	2.19
Stox2	0.0	0.02	17.21	0.02	0.69	5.38	31.77	18.7	7.16	32.54	0.54	0.0	4.85	9.58	0.0	0.06	0.71	13.7	37.81	34.32	35.05
Tctn2	0.0	0.42	58.49	0.2	0.06	46.91	0.0	9.64	0.0	110.07	0.0	2.54	0.0	0.0	0.0	0.0	0.12	0.0	20.4	19.69	20.58
Thap11	0.0	0.0	0.0	0.0	0.0	0.77	2.18	0.0	0.0	96.88	0.0	0.0	0.0	37.41	0.0	0.0	0.0	0.0	35.85	37.53	37.39
Thbd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.85	11.46	10.75
Tmem146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.87	0.87
Tnfaip8l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.82	11.11	12.22
Tnfrsf11b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	1.25	1.23
Tstd2	0.0	0.02	51.49	0.32	0.5	0.66	0.32	1.53	0.0	106.03	0.53	0.81	0.62	0.0	1.63	0.0	0.93	0.0	10.84	10.38	9.95
Ttc39a	0.0	0.0	1.75	0.0	0.0	0.06	0.0	0.0	0.0	3.04	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	2.24	2.78	3.26
Ulk3	1.43	2.66	2.36	3.97	3.28	3.1	1.98	1.27	0.69	128.96	20.14	7.6	2.22	2.71	1.3	3.62	1.86	2.44	22.58	23.52	24.84
Vav3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.01	3.88	4.06
Wnk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	3.08	3.86
Wnt5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.1	0.11	0.0	1.77	0.0	0.0	0.0	0.0	0.0	5.32	5.5	4.73
Xpa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.76	12.19	10.62
Zbtb4	0.0	0.91	20.73	34.66	0.63	6.63	0.0	0.18	0.0	41.97	7.4	0.01	7.08	2.87	0.0	0.0	0.18	0.15	45.98	45.72	45.3
Zfr2	0.0	0.0	0.04	0.0	0.0	1.39	0.12	1.89	0.1	36.71	0.0	0.0	0.54	12.47	0.0	0.0	10.37	0.0	38.45	42.82	46.79
Zufsp	0.0	1.41	0.0	23.1	0.04	120.24	6.59	32.19	0.14	149.44	0.36	0.0	0.0	74.75	0.0	0.28	0.0	0.0	7.0	6.35	6.35
c14_tRNA-Ala-GCA	0.0	33.05	47.63	0.0	6.47	7.83	0.0	0.0	0.0	147.11	0.0	0.0	0.0	0.0	0.0	0.0	11.62	0.0	3.73	7.2	0.0
c17_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	4.19
mt_AK131586	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK138994	0.0	0.0	0.0	0.0	0.0	4.37	0.0	0.0	0.0	38.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK142712	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK143357	6.1	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2324.22	1112.25	1527.41
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	6.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.13	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
