	Chrna2_tdTpositive_cell_41	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_63	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_30	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Zfyve1	0.45	0.0	0.0	0.15	0.09	0.63	0.07	66.9	0.0	83.43	0.09	32.39	34.07	32.01
Zmynd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.86	0.0	0.0	0.0	37.25	34.94	34.39
Zswim6	0.0	0.0	0.0	0.05	0.0	9.52	0.0	35.85	0.0	0.0	0.0	17.74	17.91	16.61
c10_LSU-rRNA_Hsa	0.0	2.92	0.54	1.17	2.64	0.0	0.0	114.19	0.74	0.0	0.0	25.24	24.45	31.24
c3_tRNA-Thr-ACY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.68	0.0	0.0	0.0	0.0	3.53	0.0
c5_tRNA-Cys-TGY	0.0	14.52	0.0	21.49	7.44	10.0	10.15	54.75	9.4	23.29	16.4	60.51	60.74	63.12
mt_AK018737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.52	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	9.9	0.0	0.0	21.99	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	17.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
