	Chrna2_tdTpositive_cell_43	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_15	Rbp4_tdTpositive_cell_43	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_84	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_30
BC048546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.62	0.0	0.0	0.0	9.43	0.0	0.0	0.0	0.0	7.0	0.11	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	0.0	1.71	3.59	0.0	0.0	13.63	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.36	0.0	12.21	18.02	0.0	25.52	4.86	12.84	12.52	20.83	17.55	9.88	0.0	21.28	22.74	4.31	16.53
Camk2b	64.34	0.0	95.04	6.75	12.92	0.07	8.54	17.24	18.44	37.51	4.31	27.32	17.38	56.96	3.27	21.46	51.14	35.01	48.95	63.74	29.1	43.59	32.88	23.36	29.72	32.39	49.82	104.19	20.59	4.92	65.01	15.03	38.62	14.16	36.09	84.4	44.43	48.67	53.19	39.24	2.53	107.09	9.51	72.86	53.1	16.45	42.83	77.19	66.09	167.3	76.67	77.5	12.64	195.27	84.26	192.14	75.2	153.59	200.96	95.56	0.0	80.06	161.99	189.73	132.13
Cckbr	0.0	0.0	1.02	0.0	9.38	0.0	8.46	50.95	61.95	66.52	0.0	29.62	24.22	58.05	0.0	4.1	21.69	3.72	0.0	75.2	34.79	0.24	30.14	0.31	0.19	0.0	2.61	0.0	0.0	55.05	40.73	0.45	27.65	0.0	0.76	1.17	93.85	119.94	0.0	0.0	0.0	6.62	0.91	0.0	0.0	0.0	1.42	32.46	43.97	138.61	65.76	67.32	2.9	7.07	158.23	44.35	25.53	56.43	156.82	179.05	0.0	31.53	0.79	0.0	9.25
Ccl27b	2.97	0.0	0.0	5.57	2.09	0.0	1.67	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.0	0.0	1.08	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.75	0.0	0.0	0.0	2.37	0.0	13.22	2.17	0.0	22.84	86.52	83.97	99.91	184.7	9.34	56.11	61.5	36.42	43.1	27.0	49.86	210.22	0.0	57.7	52.01	17.76	91.89
Celf5	0.37	0.18	0.0	0.11	0.0	0.0	1.04	0.13	0.39	0.0	0.0	7.34	0.17	0.0	0.0	0.0	4.46	5.39	0.34	1.52	0.0	0.08	0.0	1.74	5.78	7.62	0.07	0.0	0.0	0.5	0.28	0.08	0.23	0.29	6.73	12.09	8.01	0.49	0.0	0.51	15.12	0.0	2.6	3.22	0.25	0.08	0.22	0.38	24.45	6.03	20.7	16.86	0.05	40.45	6.87	5.49	23.96	18.26	47.82	36.1	0.0	9.08	25.49	23.71	20.36
Coro1a	30.22	1695.07	0.0	0.0	0.0	0.0	79.21	43.34	0.0	0.16	0.0	0.0	0.0	0.0	154.61	0.0	46.24	15.53	0.0	67.99	0.0	0.0	0.0	106.46	0.0	0.0	34.94	99.98	0.0	0.0	0.0	0.0	45.47	0.0	1.98	81.22	0.0	0.0	0.0	0.0	55.4	0.0	88.22	0.0	0.0	0.0	0.0	0.21	237.66	297.29	181.33	308.78	0.0	132.53	92.0	172.7	208.8	158.57	466.99	281.64	3437.47	62.11	154.27	201.31	40.5
Dpcd	0.0	19.54	111.61	0.0	0.0	0.0	198.1	41.2	161.54	124.55	145.17	109.34	222.87	165.23	422.61	0.0	82.43	144.38	145.93	146.6	58.44	92.49	116.26	108.52	102.23	46.48	93.71	240.99	164.29	102.67	161.41	53.49	71.42	138.52	37.25	68.94	129.97	11.82	181.61	94.58	219.69	73.53	94.82	83.73	142.3	60.77	78.08	146.8	235.2	155.88	117.92	116.76	56.99	139.2	313.39	268.73	268.21	66.99	99.89	124.37	0.0	122.5	258.63	278.6	145.01
Dusp3	78.57	90.16	316.25	81.02	196.71	0.27	230.68	143.35	153.6	76.1	85.81	110.09	198.75	204.03	382.99	217.27	191.87	253.82	106.73	137.51	162.42	240.42	101.08	284.51	168.82	260.21	199.33	108.7	112.49	67.45	200.24	365.1	151.86	194.21	69.34	215.6	129.21	132.98	239.17	186.38	59.41	233.36	114.7	158.78	97.27	202.54	154.94	412.43	377.65	614.18	633.71	692.27	166.01	447.1	415.29	386.95	425.43	324.84	477.34	334.39	0.39	663.05	314.61	290.65	259.85
Fam131a	0.0	0.0	0.0	0.22	93.17	0.0	11.31	21.23	2.48	0.0	0.0	17.81	15.33	7.72	0.0	2.81	0.7	0.0	0.9	0.0	0.0	4.76	0.0	0.0	0.0	0.0	32.31	56.08	18.97	0.0	17.52	6.13	7.58	9.05	6.87	57.77	14.26	0.0	0.0	0.0	7.71	0.0	7.36	2.53	0.0	22.84	6.08	4.63	540.08	422.46	207.7	227.76	45.67	741.67	256.84	356.56	245.09	386.3	271.87	390.67	0.0	408.85	339.79	382.83	270.85
Fam19a1	0.0	0.0	0.0	0.16	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1093.92	556.66	475.65	687.1	0.24	663.1	715.58	1105.27	493.25	739.74	688.82	420.83	0.0	908.0	779.86	634.95	1417.58
Flrt1	0.04	0.0	0.0	5.22	46.02	0.0	16.86	8.3	14.55	4.03	30.08	22.74	27.41	14.85	0.0	0.0	0.8	9.42	0.61	11.77	20.99	4.13	0.0	12.1	10.45	14.54	39.6	12.34	4.48	10.82	23.42	21.69	13.37	0.96	4.43	17.43	12.56	6.65	31.1	7.34	29.8	38.04	23.45	1.52	14.33	0.0	3.22	42.77	112.5	76.4	49.8	93.38	28.51	56.07	26.34	13.1	23.22	32.21	90.44	123.34	0.0	36.8	46.76	54.92	68.09
Gm13306	2.97	0.0	0.0	5.57	2.09	0.0	1.67	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.0	0.0	1.08	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.75	0.0	0.0	0.0	2.37	0.0	13.22	2.17	0.0	22.84	86.52	83.97	99.91	184.7	9.34	56.11	61.5	36.42	43.1	27.0	49.86	210.22	0.0	57.7	52.01	17.76	91.89
Gm2506	2.97	0.0	0.0	5.57	2.09	0.0	1.67	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.0	0.0	1.08	0.0	0.0	1.16	0.0	0.0	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	8.14	1.75	0.0	0.0	0.0	2.37	0.0	13.22	2.17	0.0	22.84	86.52	83.97	99.91	184.7	9.34	56.11	61.5	36.42	43.1	27.0	49.86	210.22	0.0	57.7	52.01	17.76	91.89
Gnb5	0.0	0.0	281.9	185.8	218.19	0.24	92.19	259.87	228.62	97.83	153.93	190.32	263.19	110.76	616.31	229.08	148.38	352.04	75.51	56.87	138.51	151.84	249.99	2.68	88.16	120.28	256.4	79.35	245.61	60.13	334.25	275.39	264.22	139.77	80.99	288.58	310.22	64.03	0.54	157.98	243.05	449.09	183.8	413.91	227.03	123.83	218.17	378.36	387.92	573.94	410.06	688.42	159.77	515.1	455.32	513.47	644.37	390.81	617.53	775.32	0.0	316.37	542.2	348.81	164.69
Gucy1b3	220.53	0.0	192.65	14.16	196.37	0.0	54.64	82.67	37.17	221.32	62.93	105.26	111.46	191.9	45.76	40.72	124.24	79.33	88.2	158.98	5.79	149.67	59.32	287.33	126.11	280.1	0.85	72.37	67.21	59.78	77.39	89.9	172.59	126.42	92.52	47.79	73.36	106.98	3.06	60.8	6.92	139.75	67.43	92.42	127.8	79.25	123.45	96.03	247.1	266.98	288.73	205.86	96.42	339.28	289.09	193.51	348.59	441.9	304.22	220.49	0.0	482.51	311.08	270.33	323.43
Itm2c	3.27	0.0	11.36	0.0	0.16	12.98	20.66	31.28	3.49	0.25	0.0	13.59	2.3	8.28	0.0	19.3	23.6	1.08	0.25	7.33	0.0	16.36	44.28	0.0	0.23	0.37	42.63	0.0	10.68	20.18	44.33	22.0	23.65	60.48	46.29	24.15	2.35	7.52	1.86	53.08	43.14	5.57	29.74	0.76	14.65	10.64	44.06	13.79	48.89	89.07	133.26	117.22	44.43	170.82	56.65	183.29	70.74	77.26	46.55	92.29	0.0	24.18	90.1	45.2	70.7
Klf10	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.25	75.26	49.2	107.03	0.0	221.67	29.59	58.56	128.43	43.6	89.96	91.1	1044.32	106.2	65.0	141.5	50.49
Klhl23	0.06	0.0	0.0	3.38	0.0	0.0	0.0	17.57	0.0	4.38	0.0	0.0	0.0	52.84	0.0	0.0	24.46	0.7	0.0	0.0	0.0	23.22	0.14	0.0	0.0	0.08	0.0	16.81	5.99	0.06	0.0	5.55	0.0	0.0	15.31	0.0	1.36	0.0	0.0	0.0	0.0	0.0	8.06	0.33	0.0	0.13	0.0	32.22	48.81	81.04	14.16	11.98	39.57	120.1	93.71	44.64	0.0	72.35	131.97	34.29	0.51	46.82	82.52	2.72	10.93
Ldhb	8138.08	5274.92	9309.63	8204.16	8550.52	5876.73	8752.31	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8583.06	8302.41	8517.89	9220.91	9343.6	8808.99	8620.64	8223.21	8574.79	10165.1	9166.61	9602.81	11261.44	10004.69	8757.21	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	11010.48	8671.45	10182.84	7750.55	7739.08	9082.37	7441.82	7844.79	7830.1	8111.86	8330.83	4716.17	4222.68	4880.65	5013.36	11746.38	4853.28	6354.2	4645.65	6019.71	3868.41	5281.52	4284.04	5577.5	4904.05	4219.18	4569.52	5760.17
Lmo7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.16	0.0	5.86	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.77	6.01	6.62	17.15	0.0	38.76	17.2	70.02	43.48	88.37	61.27	38.09	0.0	28.29	9.87	24.35	38.13
Mkl2	0.19	2.44	21.45	34.88	43.78	2.25	12.66	21.74	22.48	14.75	1.24	29.59	25.87	20.28	98.89	30.85	33.66	12.51	16.73	44.56	13.75	25.23	32.52	0.97	18.97	45.42	21.15	19.3	16.36	11.14	18.53	5.29	4.59	22.72	31.63	19.39	28.62	27.98	31.37	29.95	18.51	11.85	13.16	0.98	19.26	27.99	14.49	15.75	137.0	176.15	132.45	140.53	21.59	240.32	156.69	338.35	218.46	178.35	287.75	201.3	1.13	164.29	321.05	155.59	113.01
Mtap9	0.0	0.0	25.32	38.23	0.1	0.04	29.79	15.45	21.72	24.05	0.0	20.77	35.63	14.8	30.14	16.26	59.87	22.84	25.6	55.49	49.26	28.49	13.31	28.44	6.85	64.98	66.17	2.06	12.16	14.04	1.3	14.88	35.76	21.32	74.77	32.15	0.64	20.95	0.59	6.53	24.33	28.55	41.9	20.69	9.05	13.13	62.6	34.0	16.69	68.58	63.73	82.8	47.74	60.85	32.2	65.89	102.41	121.29	62.22	36.48	0.0	95.69	34.13	21.1	45.93
Mtmr7	155.53	0.0	3.1	80.37	0.0	0.0	29.67	0.0	66.66	1.22	60.49	25.03	0.0	75.55	0.19	87.91	43.14	27.94	48.49	123.9	142.19	116.75	45.21	17.07	81.09	124.5	108.95	0.0	79.46	18.36	0.73	82.77	33.57	114.71	121.15	46.94	51.09	0.0	58.21	50.51	88.88	94.11	57.98	60.11	5.23	0.0	45.09	99.53	80.72	132.23	64.32	57.9	26.02	87.16	200.41	106.91	303.69	326.61	179.33	187.92	0.0	178.76	194.32	123.52	144.43
Ncan	0.29	0.14	3.58	0.2	26.8	305.82	22.79	15.03	12.64	21.02	28.44	3.06	4.78	16.09	0.45	10.42	15.56	24.2	18.08	17.62	7.67	15.67	10.83	24.56	18.91	27.4	5.13	12.36	8.4	2.46	13.23	15.37	16.75	16.23	0.61	13.2	5.67	0.0	0.09	7.16	4.77	24.63	36.55	2.56	32.91	28.52	4.1	11.62	95.78	82.56	89.99	116.37	30.28	184.06	108.13	68.02	88.24	225.11	188.44	111.41	0.16	141.63	169.41	204.3	99.92
Nedd4l	0.0	0.0	22.0	105.62	3.48	0.1	7.67	6.66	0.42	6.52	17.89	3.41	14.04	4.22	0.0	8.29	5.15	27.87	26.75	17.18	0.98	20.27	0.0	0.0	2.05	0.05	12.35	0.17	12.35	0.9	0.0	6.22	10.03	0.75	25.85	9.97	8.03	0.2	4.53	2.35	5.67	10.05	7.32	3.78	40.88	0.04	6.81	29.92	55.42	26.67	53.79	17.15	0.03	50.5	32.74	26.71	32.36	30.38	9.71	37.78	0.0	38.43	28.35	22.29	26.53
Nr3c1	0.0	0.0	0.0	24.72	0.0	0.0	30.57	0.74	0.22	11.31	0.0	0.27	0.0	0.0	0.0	17.16	13.56	2.03	0.0	46.38	0.09	1.21	2.64	42.86	5.58	29.32	0.0	0.05	3.24	0.0	23.79	16.55	0.08	0.14	26.49	21.36	20.2	0.0	0.0	11.49	13.38	0.0	2.19	18.6	10.47	0.91	0.0	24.53	58.53	86.6	84.52	49.6	0.0	25.04	101.3	38.01	62.76	38.08	93.49	24.24	0.0	80.65	41.71	38.26	51.98
Pgm2l1	93.98	0.0	72.88	0.0	2.43	0.03	52.17	30.61	36.83	19.34	31.92	37.44	26.5	29.15	27.6	40.29	6.23	71.59	28.2	66.67	33.42	20.22	7.72	79.01	114.54	55.35	13.37	44.39	42.64	38.06	30.64	45.78	4.11	27.12	29.52	15.44	51.54	83.05	9.58	31.42	46.51	26.62	53.2	62.19	8.18	66.97	89.37	33.45	225.98	208.27	197.97	177.59	31.75	255.22	215.23	158.61	227.62	118.97	172.53	207.04	0.0	232.48	127.12	259.41	319.09
Psd3	0.0	0.0	1.61	0.45	7.64	0.0	7.94	0.37	1.81	0.0	7.48	1.58	29.94	22.25	22.29	11.21	13.4	8.84	49.07	18.12	11.83	14.47	42.81	0.25	0.12	16.61	7.96	0.04	5.47	0.08	6.59	0.08	10.59	10.76	2.29	11.93	1.27	19.53	0.56	0.16	9.27	0.86	2.42	0.0	4.01	4.95	0.08	26.23	51.73	139.94	113.67	92.65	0.47	85.78	215.33	53.41	217.82	33.14	274.24	33.88	0.08	41.18	89.04	79.22	149.04
Rab3c	44.29	0.06	59.7	14.92	22.15	0.43	52.18	79.92	60.51	77.42	61.89	87.57	89.79	66.08	19.34	62.87	53.54	95.23	13.9	32.78	69.28	58.63	23.24	22.93	22.51	58.92	58.73	52.37	41.2	26.11	51.46	24.51	70.82	79.37	117.58	121.79	150.54	32.08	10.89	65.8	142.11	220.8	106.83	140.86	60.63	94.07	36.43	82.86	253.32	214.05	275.85	251.02	45.32	404.09	397.28	406.02	328.04	357.24	450.67	241.47	0.0	319.64	233.21	336.14	257.45
Rabl5	254.76	0.0	68.34	125.84	229.46	0.0	152.52	72.72	36.18	0.0	80.57	136.2	0.0	93.45	158.49	0.0	139.69	102.15	67.44	0.0	82.35	159.01	62.42	42.49	132.01	13.68	87.34	81.93	105.83	86.05	62.42	167.53	181.82	155.31	83.04	13.32	0.46	89.65	94.02	242.56	137.31	70.14	127.0	127.98	87.25	68.97	62.28	83.69	254.35	295.94	238.32	268.77	104.99	245.08	103.63	186.33	332.39	165.17	241.7	253.63	0.0	41.8	170.23	397.39	160.8
Ralyl	0.45	0.0	78.14	0.0	0.0	0.0	45.21	11.59	209.29	0.0	0.0	31.17	0.0	0.0	0.0	0.0	0.0	88.29	0.0	0.0	12.13	40.89	0.0	0.77	209.88	0.0	4.7	0.0	146.08	0.0	156.87	154.93	0.0	0.0	39.96	56.81	0.2	0.0	75.01	52.31	58.84	0.0	14.97	132.12	0.0	78.85	105.3	102.7	239.96	138.12	272.04	385.1	0.0	192.85	297.2	354.24	285.85	179.64	430.5	130.16	0.0	352.03	447.04	77.67	584.36
Rap2b	2.85	0.0	0.3	0.0	3.71	0.0	1.69	4.35	0.0	0.59	0.0	3.23	4.92	0.39	0.0	0.9	2.62	5.26	7.79	0.0	10.06	0.0	8.45	8.57	0.0	0.09	2.25	3.73	3.04	2.69	0.0	2.83	0.24	0.72	2.95	5.59	0.0	7.78	0.29	1.92	0.0	2.38	0.0	0.0	0.0	0.43	2.75	3.52	38.87	67.13	58.46	47.76	2.2	90.31	89.54	64.71	74.51	122.37	86.28	44.85	0.0	140.68	127.24	103.28	68.66
