	Calb2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_29	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Gys1	0.0	0.08	0.0	0.0	15.81	0.39	3.43	0.29	2.82	35.57	0.0	0.3	25.27	0.15	10.53	0.0	0.37	6.18	0.47	0.1	41.86	0.21	38.01	27.38	11.97	1.54	52.85	36.77	0.1	39.03	24.1	0.21	0.0
H2-Eb2	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.33	0.23	0.0	0.08	0.0	0.0	0.12	0.0	0.0	0.0	0.05	0.0	0.67	0.37	1.07	0.35	0.12	0.18	0.37	0.0	0.11	0.12	0.42	0.11	0.0
Hrsp12	0.0	0.0	0.0	0.0	3.64	164.34	258.68	80.6	3.9	96.61	160.9	342.08	100.74	181.44	45.44	0.0	0.0	70.39	152.58	0.77	222.52	116.0	216.88	1.25	8.53	64.56	73.13	311.07	313.09	113.28	145.6	124.63	0.71
Kcnc1	0.16	58.19	0.0	0.0	77.82	74.02	65.88	75.47	46.31	69.72	4.17	80.3	61.05	52.3	66.95	40.31	85.62	56.11	136.16	40.86	101.42	24.45	88.99	63.24	120.33	99.23	89.17	63.33	81.49	148.59	53.47	73.73	0.0
Ldhb	7486.96	8550.52	1744.47	815.4	10118.08	10894.4	8517.89	9343.6	11261.44	10004.69	6837.62	13571.31	12546.17	11010.48	7057.76	7891.81	7750.55	7070.46	9082.37	7352.41	7441.82	6343.21	7928.56	7199.93	7910.47	6628.6	7844.79	8351.44	7830.1	6907.68	8111.86	11746.38	5577.5
Lypla1	0.2	268.75	0.0	1.52	71.7	188.15	126.86	181.3	176.81	124.16	194.93	217.17	132.87	89.54	190.02	94.77	105.65	239.84	249.97	107.03	172.6	66.23	387.58	308.09	233.47	95.81	97.85	193.2	96.81	67.51	363.34	188.88	1.58
Mtfr1	0.44	31.27	0.06	0.64	0.09	36.14	0.84	0.57	1.86	0.95	1.52	0.24	0.0	2.31	1.43	13.6	0.43	0.39	0.22	1.62	62.27	0.31	52.06	1.66	0.55	1.44	48.01	1.07	1.89	1.93	50.4	9.1	1.2
Pno1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.64	0.0	38.12	0.0	32.7	4.51	2.1	76.62	3.15	1.79	33.65	31.21	0.72	30.2	0.0	4.07	19.27	8.59	112.25	6.35	41.67	0.71	0.0	79.8	80.42	0.0
Polr2i	0.0	0.0	0.0	0.0	0.0	135.34	79.8	37.0	0.0	124.84	0.0	51.18	100.12	0.0	91.98	15.67	58.94	28.37	58.79	0.0	113.78	27.92	91.29	60.88	104.07	73.43	141.03	65.85	21.85	19.87	57.3	7.21	0.0
Ppp4r1	0.0	0.08	0.0	0.0	0.0	0.13	0.5	27.11	36.77	33.34	0.0	27.98	24.37	20.32	26.35	0.0	18.32	6.47	20.93	3.18	45.12	0.72	93.26	36.5	38.63	25.9	45.12	40.34	36.61	61.99	69.2	0.05	0.0
Prkag2	0.0	71.66	0.0	0.0	0.0	4.04	0.0	20.76	1.82	1.23	0.16	6.8	7.27	73.66	38.25	0.0	0.0	0.0	2.0	32.93	109.04	1.05	0.17	13.97	0.52	117.47	36.91	0.0	42.18	0.0	3.45	1.62	0.0
Psme3	0.0	9.08	0.0	0.0	22.65	10.05	0.0	2.49	0.0	17.13	1.63	16.24	13.74	0.0	38.52	21.7	11.77	0.57	14.24	0.0	95.89	0.75	0.0	45.57	6.83	60.66	0.0	0.0	6.23	34.37	0.67	2.38	0.0
Pvalb	0.0	2914.72	0.0	0.0	1319.97	2144.98	1298.9	1199.86	1740.57	1769.21	107.26	1408.27	1731.8	1295.74	1510.65	2248.99	760.46	1555.2	1681.17	1086.73	1693.91	1839.14	2567.22	1432.88	1689.22	1182.99	1415.72	1830.01	1823.48	1319.97	1749.01	3516.69	0.0
Sh3gl2	0.15	1.51	0.13	0.24	94.61	105.42	102.68	162.43	22.21	200.31	0.82	95.02	32.75	304.11	96.2	0.78	3.51	174.54	90.56	139.2	123.66	180.33	212.94	49.45	103.87	165.53	122.34	152.64	242.91	117.2	157.04	77.84	0.45
Snord116	0.0	5.72	0.0	0.0	0.0	8.69	0.0	10.13	3.39	5.67	0.0	7.64	3.68	9.68	11.12	0.0	0.0	0.0	13.5	3.36	10.44	0.0	10.52	0.0	7.07	0.0	11.1	17.03	0.0	2.8	12.73	1.69	0.0
Snord116l1	0.0	5.72	0.0	0.0	0.0	8.69	0.0	10.13	3.39	5.67	0.0	7.64	3.68	9.68	11.12	0.0	0.0	0.0	13.5	3.36	10.44	0.0	10.52	0.0	7.07	0.0	11.1	17.03	0.0	2.8	12.73	1.69	0.0
Snord116l2	0.0	5.72	0.0	0.0	0.0	8.69	0.0	10.13	3.39	5.67	0.0	7.64	3.68	9.68	11.12	0.0	0.0	0.0	13.5	3.36	10.44	0.0	10.52	0.0	7.07	0.0	11.1	17.03	0.0	2.8	12.73	1.69	0.0
Tmem201	0.19	10.38	0.0	0.57	1.1	0.1	0.7	0.0	1.13	0.0	5.85	2.3	0.0	5.91	1.18	0.0	18.71	3.91	0.14	0.0	67.69	23.35	2.21	38.97	32.96	24.97	36.63	0.0	0.0	19.25	9.7	30.91	0.28
Tnpo2	0.0	3.52	0.0	0.0	2.38	15.96	13.33	2.54	13.43	9.62	0.0	6.67	4.24	9.45	4.38	3.05	20.54	3.54	12.52	9.0	15.04	18.2	19.82	33.67	18.59	26.16	18.54	4.07	23.01	17.8	11.63	28.22	0.0
Ttbk2	0.12	0.99	0.12	0.13	17.88	20.4	34.39	44.42	11.71	50.47	22.21	49.94	20.27	20.23	25.8	7.78	55.57	10.09	20.17	13.02	71.76	28.63	35.83	68.23	38.66	79.82	47.83	20.61	63.37	30.22	20.36	28.82	0.24
Whsc1	0.0	48.78	0.0	0.0	1.61	19.54	67.49	17.84	14.11	18.14	5.64	26.36	6.47	21.31	18.67	11.65	103.54	26.84	23.2	4.15	138.93	8.29	54.58	22.06	32.37	32.37	35.71	19.36	34.03	38.69	15.49	63.95	0.0
Zfp827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	3.21	15.21	15.76	0.0	5.22	0.05	34.53	0.0	0.15	12.67	2.32	26.85	1.42	13.99	12.32	9.32	16.07	5.94	0.07
Zmym2	2.72	0.0	0.0	0.0	21.12	7.73	16.5	5.21	0.48	27.53	2.51	10.55	12.28	7.2	1.96	1.75	0.0	8.88	61.22	0.05	36.12	5.56	1.41	5.72	69.83	54.08	37.13	13.96	54.6	39.19	53.09	18.21	0.0
