	Calb2_tdTpositive_cell_46	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_6	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_57	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175
E130112N10Rik	13.23	4.81	16.66	13.5	9.15	43.75	25.48	38.24	4.92	78.73	48.99	17.14	50.62	163.52	67.72	98.93
Eif2ak2	65.36	25.63	27.22	6.43	79.98	184.24	95.42	69.79	49.2	295.39	193.81	66.39	21.38	128.78	273.75	373.62
Ermap	14.19	0.18	3.7	0.18	18.51	4.79	5.17	7.65	2.71	8.22	19.59	7.48	4.45	8.56	23.92	20.86
F830016B08Rik	86.33	3.02	9.6	2.62	70.0	38.89	101.3	114.0	12.24	249.92	106.84	41.32	54.76	125.68	195.14	253.58
Fam169b	80.51	13.64	17.27	5.4	53.94	51.9	36.72	56.05	57.66	102.77	41.05	165.24	18.43	66.61	30.43	125.98
Fam83a	22.97	9.34	17.75	2.91	16.52	17.72	2.63	49.9	13.89	90.41	66.14	11.91	9.33	74.33	30.19	58.74
Fbxo17	8.99	3.18	17.57	1.5	11.93	27.76	21.85	21.82	1.18	37.19	45.68	8.16	23.78	4.29	46.88	25.13
Fnbp4	0.0	0.0	0.0	59.6	0.14	20.46	0.0	0.0	0.06	267.3	86.71	49.27	0.0	0.0	16.12	197.27
Foxl2os	2.85	0.0	0.78	0.94	0.32	5.62	2.06	1.46	0.67	8.46	3.54	3.01	0.69	7.55	4.05	19.65
G630055G22Rik	16.02	5.7	8.03	11.3	20.2	22.37	11.08	31.31	4.65	115.24	34.29	57.4	16.99	117.73	91.34	193.21
Gata5	7.45	0.0	4.73	1.34	1.9	12.9	5.04	5.57	1.24	18.56	12.65	9.7	5.66	16.1	17.5	33.78
Glrx2	109.13	22.09	465.47	188.23	154.83	108.79	99.61	107.48	59.27	467.02	296.06	146.12	339.1	148.79	413.27	494.42
Gm10789	12.61	4.59	3.01	0.26	5.7	10.66	2.75	18.44	1.52	20.0	5.47	18.9	3.93	32.29	8.11	26.05
Gm15401	3.8	2.41	6.83	7.11	4.75	2.25	2.58	3.1	0.94	6.92	4.09	1.26	12.57	24.71	16.89	16.63
Gm15663	1.41	0.18	0.0	0.0	4.0	2.6	0.58	0.27	0.0	25.31	5.23	1.57	2.4	5.3	15.14	28.06
Gm17821	448.55	242.28	158.46	73.03	534.94	776.07	484.88	431.75	172.25	1857.36	963.7	675.25	424.15	1348.42	1734.48	2668.83
Gm19619	23.6	0.8	18.21	0.19	34.12	32.35	8.72	7.43	10.26	61.13	72.69	53.62	18.85	37.85	93.04	78.91
Gm19782	17.41	12.85	16.71	7.85	47.46	25.83	29.64	47.75	8.1	44.86	43.75	29.71	15.14	25.8	68.94	83.33
Gm4841	23.96	11.21	12.12	14.73	26.92	40.82	18.7	21.38	7.41	104.21	44.4	24.96	23.68	107.78	40.75	79.01
Gm5607	17.29	8.43	5.04	6.29	5.56	30.29	29.89	11.57	10.16	59.54	33.9	39.9	9.61	37.27	44.51	83.02
Gm6300	117.25	46.87	50.76	22.75	80.19	283.63	86.34	117.59	37.9	589.92	343.93	248.7	94.48	388.13	651.67	1032.68
Gm6602	41.33	4.46	4.77	2.57	43.38	52.45	25.42	21.39	38.61	200.8	110.47	16.69	16.16	58.55	116.81	169.13
Gm6634	4.09	9.01	1.03	0.46	0.76	12.78	6.76	2.18	2.95	32.48	19.62	11.37	14.98	42.3	44.78	44.31
Gm8234	60.62	3.72	22.96	0.0	70.73	98.54	73.94	4.63	18.24	136.39	71.54	45.67	44.75	23.02	105.21	253.22
Gpr157	48.08	11.39	16.83	6.47	23.95	29.34	22.19	26.14	23.68	58.43	29.0	30.69	13.23	108.45	44.3	105.48
Grk4	802.21	693.14	264.13	220.53	687.53	1335.61	532.04	522.83	316.81	3785.45	1872.0	1015.81	709.2	2693.25	2967.09	4387.41
H2-Q4	162.16	171.26	65.57	48.88	223.77	167.71	115.0	159.44	160.56	909.51	577.09	232.34	248.83	622.77	583.73	973.26
Hmmr	49.48	8.39	8.45	4.54	51.75	38.03	17.47	52.3	22.31	49.24	18.38	25.21	5.67	19.17	37.97	109.9
Ifnar1	75.24	128.03	152.3	18.89	300.85	258.66	94.0	567.2	48.32	493.89	184.93	88.6	131.82	228.49	384.33	470.17
Il18r1	0.7	0.49	0.78	0.21	0.81	6.07	0.8	0.64	0.57	4.18	2.55	2.65	0.19	1.09	3.99	12.0
Il22ra1	1.79	0.18	0.38	0.35	1.4	1.11	2.09	2.97	0.3	2.87	1.71	0.22	4.17	8.03	3.41	11.27
Intu	23.76	15.32	18.66	2.0	2.83	40.73	59.85	4.45	5.19	107.59	34.31	41.53	65.21	103.74	101.98	129.87
Itga4	13.48	2.89	8.24	4.14	18.7	16.88	13.05	11.68	14.69	64.23	40.11	14.69	11.3	42.42	76.31	75.37
Jub	7.1	0.64	1.59	0.73	3.21	4.89	2.21	6.11	2.85	22.0	10.07	14.69	3.86	6.85	26.06	10.5
Kbtbd10	25.75	4.08	4.9	2.65	18.22	18.35	4.0	25.32	9.54	51.58	14.63	13.21	9.83	77.14	41.71	47.02
Kcnk6	2.95	0.29	2.27	0.58	1.52	2.2	1.54	1.59	3.79	7.48	4.61	6.0	3.16	2.3	7.17	7.09
Kcnq1ot1	105.66	57.76	31.87	18.89	92.55	184.01	88.88	101.49	37.86	430.78	257.44	188.18	112.92	362.6	465.29	644.25
Lgr5	1.18	0.45	0.36	0.16	0.63	2.62	3.79	1.34	2.07	7.84	2.37	13.05	1.8	1.02	7.51	5.4
Lhx5	3.73	0.21	2.99	1.37	1.19	1.85	2.31	6.8	1.22	11.97	8.98	5.84	3.69	6.77	6.42	2.84
Lipi	2.36	0.0	0.0	0.83	1.1	5.31	0.93	3.31	0.19	6.18	1.6	12.04	1.22	18.63	23.78	28.22
Lrrn4cl	20.4	7.53	6.08	7.17	11.43	21.64	26.03	34.78	8.82	86.85	27.31	17.81	31.85	39.03	109.35	120.9
Malat1	39153.4	34629.26	27279.73	15012.66	49997.19	32495.44	36360.95	45771.77	28016.67	44430.42	24777.11	38289.55	41098.96	31123.68	33343.58	24475.33
Mbd4	20.57	10.71	7.46	2.01	15.74	21.25	12.82	10.61	6.92	62.94	33.07	28.83	11.65	48.81	85.8	56.05
Meg3	0.33	0.5	0.0	0.03	0.19	1.55	2.87	0.18	0.24	2116.31	3358.1	2.43	0.05	0.25	3532.04	4664.96
Ncf1	9.39	1.15	3.77	0.15	3.52	4.19	13.05	16.45	3.24	20.69	12.21	3.67	9.11	26.23	24.36	31.63
Nsl1	27.12	10.84	7.25	5.05	27.31	43.39	10.87	27.56	3.1	73.65	32.38	21.05	22.82	49.33	54.8	67.67
Nuf2	4.22	4.22	4.43	0.0	5.01	3.96	6.34	0.84	2.74	19.55	15.94	19.78	3.76	11.38	29.81	35.98
Oas3	10.83	0.33	2.25	2.21	18.16	5.82	8.77	1.76	5.75	26.19	7.61	10.13	5.62	15.97	9.18	23.22
Olfr613	94.08	91.41	28.12	15.93	211.78	163.58	133.41	126.66	105.63	560.75	479.67	137.96	189.27	381.85	402.72	679.38
Onecut3	2.33	0.0	0.22	0.34	1.04	7.92	0.56	1.65	1.68	8.26	2.13	1.89	0.93	4.6	2.92	8.88
Padi2	36.1	22.52	17.47	9.88	53.96	76.43	53.11	20.17	25.19	103.1	24.63	131.92	30.3	92.77	65.97	112.81
Pi15	44.26	9.92	19.68	9.62	91.78	75.95	55.62	35.16	50.8	223.44	113.65	58.9	59.3	83.11	147.8	216.91
Pla2g2d	12.96	0.73	3.04	1.82	8.16	17.36	5.26	9.25	2.92	19.2	8.59	6.03	5.85	1.19	14.65	28.78
Prr5l	1.89	0.51	2.78	0.33	2.96	5.07	4.4	2.19	0.21	12.06	6.61	3.45	3.41	1.16	11.52	10.64
Psg28	36.49	6.18	3.75	6.91	11.06	35.54	20.02	22.63	2.85	62.11	53.57	42.99	18.48	90.28	84.55	150.16
Ptgdr	0.46	0.0	0.0	0.12	0.35	1.48	0.24	0.3	0.16	1.26	0.24	0.43	0.32	0.6	1.25	1.8
Ptgfr	0.57	0.19	0.0	0.12	1.17	0.77	0.67	0.58	0.08	3.47	0.5	1.47	0.0	2.51	5.61	3.03
Rdh1	75.15	18.52	22.51	27.2	64.83	143.46	110.12	44.02	58.56	346.4	177.99	59.56	58.79	136.87	213.95	392.21
Rgs9bp	0.0	0.0	0.13	0.0	0.0	0.08	0.08	0.0	0.45	2.35	0.58	0.0	0.08	1.47	1.35	4.04
Rhbdl2	10.28	7.3	9.96	2.59	5.21	6.29	3.69	1.0	3.34	19.58	10.51	6.76	2.2	6.33	9.56	53.74
Runx3	0.37	0.15	0.0	0.13	1.41	2.49	0.66	0.29	1.05	3.26	1.12	0.74	0.51	2.96	6.27	1.44
Sgms2	1.43	0.0	0.51	0.62	0.12	0.82	1.56	1.86	0.47	1.57	1.38	2.45	1.12	0.35	1.7	1.92
Skint4	13.96	0.43	2.57	3.56	4.43	22.39	7.64	11.02	11.42	47.94	53.02	11.94	4.82	21.75	115.61	101.87
Slc15a1	3.67	0.3	2.58	1.06	3.07	5.66	1.95	9.83	0.75	12.65	4.35	10.05	8.61	9.52	11.07	16.04
Slc23a1	16.25	7.49	4.99	7.18	28.71	19.82	25.05	27.61	12.54	96.77	34.69	34.26	21.16	54.77	60.66	57.73
Slc28a3	4.33	4.03	0.0	1.0	1.47	3.14	3.48	2.37	0.65	23.18	9.76	2.04	1.57	1.38	19.92	20.89
Slc6a18	3.86	16.88	3.45	0.1	16.18	15.65	6.03	2.39	8.51	48.64	25.36	11.44	8.18	26.36	51.11	47.72
Slc6a2	0.89	0.16	0.0	0.08	0.17	0.39	0.24	0.45	0.02	4.04	1.63	0.0	0.36	0.0	1.17	1.3
Slc7a14	59.41	10.03	42.02	11.9	72.18	120.36	64.99	56.74	24.1	195.29	89.03	76.18	71.12	91.43	121.58	354.82
Slfn9	38.31	17.43	19.16	11.56	43.73	78.41	42.55	25.05	6.96	137.88	84.71	31.89	34.31	78.76	151.28	148.85
Snai2	0.47	0.6	0.56	2.16	0.99	7.65	1.33	1.13	3.74	17.46	4.14	3.79	0.0	6.3	10.56	19.96
Soat2	48.91	26.78	14.94	24.4	67.37	91.91	46.86	28.65	22.05	208.64	75.98	91.63	60.95	101.22	184.18	207.28
Sp110	24.58	1.75	8.52	4.89	24.79	20.11	33.24	51.34	5.99	108.25	41.97	20.78	28.31	72.04	59.25	86.64
Sv2c	1.76	1.09	0.25	0.55	1.64	2.33	1.2	2.29	0.35	14.38	5.68	1.34	2.1	24.79	3.56	13.23
Syt15	3.87	4.65	3.03	1.44	7.51	9.37	10.23	2.41	1.81	31.41	4.61	16.37	4.21	9.11	13.32	19.25
Tigit	52.85	5.78	8.72	5.67	14.91	38.51	16.27	14.53	15.91	214.4	113.54	16.07	41.24	168.11	121.62	194.04
Tirap	31.14	12.01	16.2	8.29	16.41	27.61	16.88	42.14	21.27	82.41	32.14	84.54	14.88	53.64	55.3	83.29
Tmem88b	31.28	7.3	4.1	12.08	11.1	51.6	14.2	33.52	5.64	79.41	38.02	38.84	12.22	23.09	58.57	88.83
Tnfrsf10b	60.45	25.37	20.77	12.96	56.76	102.13	78.16	68.28	30.34	230.18	150.74	141.0	115.97	143.33	152.59	268.9
Trim36	15.35	2.03	13.09	4.32	12.9	21.55	9.44	7.03	7.46	51.53	20.64	29.7	14.3	30.05	66.66	61.1
Trim43b	14.44	2.08	13.62	5.33	23.07	52.8	5.5	53.11	9.66	44.74	21.05	20.86	14.71	29.1	21.76	77.73
Trim63	0.0	0.86	1.04	0.0	6.38	1.88	3.41	1.52	0.0	5.49	3.18	4.16	0.69	8.76	3.71	5.36
Tyms	105.96	75.28	58.57	33.61	278.42	160.55	134.29	165.44	108.63	604.82	406.57	114.62	450.36	225.39	441.41	599.79
Vmn1r58	309.95	230.67	50.05	73.99	444.62	297.62	213.17	219.96	85.6	1205.44	546.89	446.91	211.67	757.34	817.27	1844.19
Wfikkn2	0.95	0.0	0.0	0.0	0.38	0.35	0.42	0.37	0.08	4.46	0.27	0.51	3.19	0.59	0.56	4.61
Xcr1	8.64	2.93	4.12	1.1	2.77	9.34	8.58	7.55	5.76	17.0	12.28	7.53	7.36	14.07	16.42	23.55
Xkr8	0.06	0.0	0.0	0.0	1.22	0.0	1.08	0.12	0.34	1.5	1.33	1.54	0.14	1.29	2.54	3.94
Zfp287	4.44	0.11	4.34	5.99	0.94	699.48	3.36	8.68	0.87	6.43	2.87	5.42	4.99	22.51	9.27	24.04
Zfp300	20.34	11.24	25.28	1.26	13.85	46.0	43.54	12.95	16.49	104.83	91.37	55.95	33.58	59.19	102.03	145.34
Zfp459	12.46	1.74	4.5	2.54	12.51	26.33	4.94	12.5	5.35	61.9	25.6	18.48	9.19	60.92	48.35	80.35
Zfp488	315.42	135.6	80.53	14.89	686.62	553.33	313.96	408.43	146.41	1550.99	1152.49	532.8	236.62	1602.09	1916.57	2415.74
Zfp71-rs1	186.83	110.32	25.74	22.06	89.19	223.85	69.04	143.24	66.05	605.58	391.6	117.2	120.48	497.63	415.18	913.56
Zfp874b	9.23	1.57	0.85	0.02	5.31	10.57	5.48	5.46	2.71	18.49	3.2	1.8	5.33	13.01	9.59	15.11
