	Calb2_tdTpositive_cell_38	Cux2_tdTpositive_cell_87	Ntsr1_tdTnegative_cell_55	Pvalb_tdTpositive_cell_52	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_47	Sst_tdTpositive_cell_78	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C2cd4b	0.0	0.0	0.0	0.0	0.0	0.26	0.0	7.9	8.39	7.45
Camk1	0.0	0.0	21.03	66.67	0.0	111.66	0.0	83.62	90.44	84.66
Capn5	0.0	0.0	0.0	0.0	15.13	56.42	0.18	34.6	32.35	35.1
Caps2	0.0	0.0	0.0	0.0	0.0	42.71	0.1	0.36	0.13	0.41
Ccbl2	0.0	0.0	0.0	0.0	0.0	0.14	0.0	5.07	5.11	5.0
Ccdc160	0.0	0.0	0.0	0.0	0.0	69.36	0.0	3.12	2.87	3.02
Ccne1	0.0	0.0	3.01	0.0	0.15	188.71	0.0	19.17	22.12	18.36
Cep192	0.0	2.42	0.0	0.0	0.03	33.96	0.0	4.11	3.65	4.09
Cog4	0.0	0.0	0.0	52.55	31.38	240.76	2.19	41.56	41.13	39.53
Cyp2b19	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.03	0.11
D330028D13Rik	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.85	1.34	1.32
D530049I02Rik	0.0	0.0	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.0
D730048J04Rik	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.76	0.5	0.31
Ddi2	0.0	0.0	0.0	0.08	0.24	60.4	0.0	27.95	26.68	27.82
Depdc1a	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.08	0.07	0.09
Dhx36	0.0	0.0	37.31	8.98	23.15	225.39	18.81	50.53	43.49	47.51
Dna2	0.0	0.0	0.0	0.0	0.0	3.71	0.0	1.38	1.66	1.25
Ears2	0.0	0.0	0.0	21.58	0.0	96.39	0.0	6.62	7.09	8.39
Ecel1	0.0	0.0	0.0	0.0	0.0	46.71	0.0	11.49	15.92	16.13
Elovl2	0.0	0.0	0.0	0.0	0.0	84.34	30.36	13.35	12.02	13.14
Ep400	1.06	0.0	0.21	9.36	4.75	31.82	0.22	26.54	25.34	29.25
Epm2a	0.0	0.0	0.0	0.0	0.0	0.32	0.0	24.19	26.66	26.23
Ero1lb	0.0	0.0	0.0	0.0	0.0	52.28	0.06	15.1	14.1	15.52
Fam57a	0.0	0.0	0.0	0.0	22.03	52.93	0.0	15.81	16.02	16.2
Fat1	0.0	0.0	0.03	0.0	5.56	27.2	0.16	12.35	11.48	14.61
Fbxl12	0.0	0.69	0.0	0.0	0.0	70.25	0.0	11.29	12.2	12.01
Fbxo18	0.0	0.0	0.0	23.78	0.0	82.54	0.0	65.48	66.45	64.18
Fgd1	0.0	0.0	0.0	0.0	0.0	0.95	0.13	10.32	11.83	10.95
Fitm2	0.0	0.0	0.0	0.72	0.0	103.36	0.5	23.58	19.8	20.63
Gcn1l1	1.84	0.0	0.0	14.4	9.26	34.36	0.0	28.17	29.42	31.62
Gfod2	0.0	0.0	0.0	0.0	19.1	103.22	0.0	19.38	20.73	21.99
Gm2002	0.0	0.0	0.0	0.0	0.0	0.08	0.0	1.73	1.86	1.4
Gm4278	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0
Gm9766	0.0	0.18	0.0	0.0	0.0	48.46	0.0	9.76	6.05	9.99
Gpr165	0.0	0.0	0.0	0.09	1.14	38.4	0.0	8.54	7.55	8.69
Gpr173	0.0	0.0	0.0	0.0	0.0	0.1	0.0	10.2	9.13	9.96
Gpr62	0.0	0.0	0.0	0.0	0.0	36.13	0.0	13.97	16.49	18.78
Heatr2	0.06	0.0	0.0	0.0	0.0	76.7	0.0	5.74	5.74	5.71
Hist1h2bb	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.39
Hist1h2bj	0.0	0.0	0.0	0.0	0.0	63.2	0.0	1.48	0.68	0.93
Hist2h3b	0.0	0.0	0.0	0.0	0.0	5.55	0.0	5.97	3.1	5.01
Il11ra1	0.0	0.0	0.0	0.0	32.02	68.05	0.0	28.74	29.46	33.86
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.08	0.0	1.73	1.86	1.4
Klhl32	0.0	0.0	0.0	5.02	0.25	197.83	0.12	7.27	7.34	8.13
Krba1	0.0	0.0	0.0	0.04	12.37	20.19	0.0	18.03	18.34	19.19
Krtcap3	0.0	0.0	0.0	0.0	0.0	5.8	0.0	4.38	2.97	4.87
Lats1	10.09	0.2	0.0	0.0	0.0	48.26	0.04	17.11	15.75	16.63
Ldlrad3	0.0	0.0	0.0	0.0	0.0	9.48	0.0	9.04	7.94	8.8
Lifr	1.65	1.25	3.82	24.05	1.88	107.4	3.6	16.67	14.87	16.92
Lonrf2	22.93	20.09	70.21	49.47	20.38	186.25	53.53	88.16	86.96	85.86
Lrrc42	155.44	0.0	0.0	0.0	2.35	200.24	0.0	23.89	25.49	23.96
Macrod2	0.0	0.0	0.0	0.0	13.06	84.28	14.29	29.11	28.47	30.48
Map2k3	0.0	0.0	0.0	0.0	1.44	170.91	0.13	14.58	15.72	12.6
Med16	1.65	2.58	4.34	2.33	1.76	35.2	1.45	41.23	46.11	45.2
Mepce	0.0	65.61	0.0	0.0	0.0	134.81	0.0	27.75	29.63	26.75
Mettl13	0.0	0.0	0.0	0.11	0.0	112.43	0.0	9.26	9.76	9.93
Mios	0.0	14.59	0.0	0.0	0.08	46.16	0.0	18.47	15.78	17.51
Mir29c	0.0	0.0	0.0	0.0	0.0	39.06	25.55	16.38	20.41	23.0
Mir3471-1	0.0	0.0	0.0	0.0	0.0	6.99	0.0	0.0	2.96	5.25
Mir384	0.0	13.28	0.0	0.0	0.0	46.09	0.0	0.0	1.8	7.88
Mphosph9	0.04	0.0	0.0	0.0	0.0	20.79	0.0	13.86	11.68	13.03
Myadm	0.0	0.0	0.0	0.0	14.81	168.62	11.92	55.98	54.68	53.61
N4bp2	0.0	0.0	0.0	0.0	0.0	1.62	0.0	3.81	3.48	4.38
Nbeal2	0.0	0.0	0.0	0.0	0.0	0.04	0.0	5.47	5.62	5.71
Ncln	0.0	1.8	0.0	0.1	0.2	146.31	0.0	47.27	49.88	47.27
Negr1	43.16	0.23	185.34	36.82	37.34	281.92	136.66	132.03	133.65	130.93
Pcdhgc5	0.0	0.0	0.0	0.0	0.48	181.75	0.24	114.38	115.99	121.96
Pcsk5	0.0	0.0	0.0	0.0	26.19	184.49	0.0	7.95	7.01	8.22
Pdcd2	0.0	0.0	0.0	0.0	0.0	66.8	0.0	18.85	20.59	19.58
Pex6	0.0	0.0	36.35	0.0	0.0	45.08	0.0	43.33	48.21	47.37
Pgrmc2	0.0	0.0	0.0	0.0	20.28	94.16	0.0	62.84	62.1	60.62
Pkdcc	0.0	0.0	0.0	0.0	0.0	0.68	0.0	8.84	9.75	9.6
Plcd1	0.0	0.0	0.0	0.0	0.0	69.03	0.0	12.4	12.81	11.34
Poc1b	0.0	0.0	0.0	0.0	0.0	6.26	0.0	4.52	5.73	5.49
Ppapdc1b	0.0	1.63	0.0	59.1	34.07	188.94	0.0	30.77	30.03	28.08
Ppp1r32	0.0	0.0	0.0	0.0	0.0	6.32	0.0	1.3	1.68	1.41
Ppp1r3a	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.02	0.03	0.01
Ppp1r9a	0.0	36.27	0.0	21.07	1.37	49.13	29.32	116.6	102.97	112.99
Prrg1	0.0	3.54	0.0	0.0	0.0	68.36	0.0	3.5	3.2	4.32
Rasgef1c	0.0	0.0	0.0	0.0	0.0	45.28	0.0	35.74	36.19	39.24
Rbl1	0.0	0.0	0.0	0.0	0.0	2.12	0.0	1.39	1.33	1.71
Rbp1	0.0	0.0	0.0	0.0	0.0	22.97	0.0	7.11	6.8	8.15
Reep4	0.0	0.0	0.0	0.0	0.0	18.09	0.0	3.58	3.54	3.14
Rell1	0.0	0.0	0.0	0.0	6.67	59.5	0.0	12.66	12.3	11.98
Rfx3	8.93	0.0	0.06	2.21	5.16	21.17	3.97	20.96	18.01	21.36
Rilp	0.0	0.0	0.0	0.0	0.0	75.43	0.0	1.88	1.52	2.43
Rnf165	0.04	0.19	1.11	0.0	0.23	22.01	4.68	24.71	25.79	25.0
Rnf19a	0.0	0.09	0.0	0.0	0.0	70.43	0.0	23.71	23.0	21.8
Rrp36	0.0	0.0	0.0	0.0	0.37	76.0	0.0	20.09	24.12	21.85
Sele	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	0.07
Shc4	0.08	0.8	0.23	0.86	0.16	22.64	0.33	3.67	3.72	3.37
Slc35a3	0.0	0.0	0.0	0.06	0.0	55.85	0.07	12.91	11.54	11.36
Slc52a2	0.24	0.22	0.56	0.08	0.07	80.77	0.07	10.97	11.29	11.91
Spata2l	0.0	0.0	0.0	0.0	0.0	112.65	0.0	48.98	51.18	41.3
Spice1	0.0	0.0	0.0	0.0	0.04	69.04	0.0	7.86	9.26	7.98
Ssfa2	0.0	0.0	0.0	0.0	0.0	55.3	19.16	25.24	24.84	25.08
St3gal3	0.0	0.0	0.0	0.0	0.13	6.94	0.0	41.35	41.45	41.69
Sugp2	0.0	0.0	0.0	12.17	10.89	66.15	6.4	63.49	63.87	67.29
Tac4	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.08	0.0	0.08
Tmem110	0.0	0.0	0.0	0.0	0.0	53.37	0.0	17.89	17.99	16.13
Tmem220	0.0	0.0	0.0	0.0	0.0	17.44	0.0	0.79	1.07	2.16
Tmem39b	0.0	0.0	0.0	0.0	1.41	11.04	0.0	10.54	10.74	8.78
Tmem70	1.11	1.67	0.57	1.13	1.0	29.23	0.65	54.91	50.55	49.21
Tpm4	144.93	0.0	5.7	0.0	3.13	93.92	0.0	27.61	29.19	27.81
Trp53i11	0.0	0.0	33.63	0.0	0.11	38.69	0.14	62.11	61.3	67.08
Ttf2	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1.08	1.24	1.14
Ttll11	0.0	0.0	0.0	14.15	26.55	61.71	0.0	33.44	32.55	33.62
Txndc11	44.64	0.0	0.0	0.0	0.0	48.2	1.01	24.06	27.32	24.09
Ube2d2	0.0	110.97	0.0	48.82	157.68	269.33	85.3	136.0	140.14	137.32
Uhrf1bp1	0.0	0.0	0.0	5.88	0.0	36.31	0.0	10.52	9.84	10.13
Usp7	39.84	5.17	0.0	6.2	34.81	122.95	27.54	85.78	84.07	81.9
Vprbp	1.45	2.62	0.64	7.13	1.09	49.66	0.13	16.92	17.02	16.89
Zbtb7b	0.0	0.0	0.0	0.0	0.0	3.97	0.04	10.02	10.89	9.43
Zdhhc14	0.0	0.0	0.0	0.1	0.0	128.91	0.0	32.19	31.16	34.7
Zfp133-ps	0.0	0.0	0.0	0.29	0.0	72.8	0.0	5.01	4.93	5.4
Zfyve19	0.0	0.32	0.22	0.0	0.15	100.06	0.0	16.55	18.61	15.72
Zscan2	0.0	0.0	0.0	0.0	0.0	0.88	0.0	6.66	7.3	5.92
c7_tRNA-Arg-CGY_	0.0	0.0	0.0	0.0	0.0	24.55	0.0	7.48	0.0	0.0
mt_AK131586	0.0	0.0	0.0	0.0	1768.92	0.0	0.0	25813.35	24091.17	24561.45
mt_AK131599	19.83	0.0	0.0	0.0	0.0	13.54	0.0	0.0	2.28	2.61
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
