	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_36	Gad2_tdTpositive_cell_37	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Pvalb_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_97	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_64	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Btbd10	0.36	231.72	0.0	0.0	0.0	32.56	1.12	0.0	4.58	470.34	146.57	0.0	113.7	1.57	2.69	473.7	0.0	0.0	6.1	64.07	0.0	408.9	2.46	427.78	314.02	159.71	450.89	104.15	470.16	0.0	0.0	44.31	3.31	0.0	112.23	260.25	0.0	364.61	0.0	0.2	0.0	58.45	0.0	374.21	639.43	342.6	420.55	334.11	343.95
Ccl27b	0.0	0.0	7.56	0.0	6.45	0.0	10.98	0.0	78.04	29.23	3.5	6.53	0.0	8.16	0.0	0.0	8.28	0.27	0.0	30.44	0.0	409.92	276.37	349.82	127.6	0.59	0.0	0.0	18.96	0.0	0.0	0.0	0.0	23.47	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.52	0.0	164.03	132.22	74.98	61.27	76.52	71.98
Ccng1	50.07	0.0	0.14	0.0	0.0	0.12	0.0	0.0	0.0	72.94	0.02	0.0	0.0	0.12	0.0	3.51	0.0	0.0	7.23	0.86	0.0	168.76	156.33	54.81	1.2	49.07	0.17	77.91	7.17	4.97	0.0	0.0	0.0	0.15	3.94	0.15	0.0	0.26	0.0	0.0	0.0	0.13	0.14	23.86	8.78	4.28	27.25	18.08	18.24
Cdk5r1	0.0	18.82	0.0	0.0	75.86	9.3	0.0	0.0	111.97	40.9	76.96	0.0	2.78	11.22	17.82	27.67	7.66	1.21	61.05	13.45	13.53	33.87	18.92	47.43	3.26	42.77	24.94	57.84	116.07	24.4	2.08	13.49	10.17	17.21	0.0	24.07	7.6	0.0	0.0	2.05	0.18	0.0	10.31	19.69	27.79	31.44	23.43	19.83	22.85
Cecr6	0.19	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.64	1.28	5.25	0.0	0.0	0.0	11.45	0.0	0.0	0.09	37.87	3.46	0.0	0.0	0.36	0.09	1.14	0.29	6.82	14.02	2.7	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	18.16	4.64	8.44	13.65	10.81
Ctxn1	0.38	149.54	0.0	0.0	161.33	0.0	0.0	0.0	79.96	372.69	400.98	0.0	5.38	70.86	95.9	0.0	0.0	0.0	6.51	0.0	0.0	55.41	122.5	20.94	109.1	617.39	715.33	358.36	295.24	0.0	5.73	2.77	65.2	0.0	0.44	0.0	2.04	0.0	0.0	0.42	0.0	0.77	0.0	156.78	387.59	258.53	74.32	253.11	253.46
D6Ertd474e	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43	0.0	13.19	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.19	0.17	0.0	0.0	0.18	0.15	0.0	0.0	0.02	8.28	0.0	5.95	0.5	5.65
Dlg1	0.03	32.25	0.0	101.77	100.02	0.0	0.0	0.0	171.89	227.62	257.58	11.34	3.89	0.0	48.32	27.85	76.72	0.1	191.71	0.34	0.0	85.99	276.53	242.94	153.35	194.92	342.51	116.6	212.47	0.0	0.0	0.0	1.51	0.0	0.0	12.57	41.02	43.12	0.0	0.46	0.0	0.0	0.23	88.94	111.21	111.17	145.4	92.26	97.42
Fam177a	1.59	7.62	10.31	0.69	0.94	4.2	0.08	41.75	9.98	16.17	19.57	0.17	4.98	2.2	29.12	37.31	43.33	0.86	51.95	16.17	1.65	2.12	9.17	0.74	1.53	1.74	0.9	9.98	1.89	4.64	28.2	0.33	1.83	2.52	26.63	6.69	1.03	6.92	0.67	5.88	0.54	2.54	0.12	30.05	9.26	14.42	13.41	14.19	19.02
Fgf10	0.38	0.12	0.29	0.47	0.64	0.69	0.09	0.42	1.15	1.1	0.63	0.15	0.6	1.05	0.92	1.44	0.18	0.39	11.9	0.41	0.11	0.49	0.8	0.42	0.92	0.85	1.39	1.35	0.67	0.58	0.44	0.0	0.27	0.12	0.24	1.46	0.0	0.22	0.48	0.11	0.1	0.36	0.59	5.1	25.86	6.11	28.96	21.82	23.17
Gas7	9.72	495.06	0.0	1.37	30.71	0.6	1.98	0.0	70.84	48.55	144.15	4.65	48.49	11.39	19.37	24.94	6.46	5.1	45.88	32.13	0.0	56.71	77.58	203.14	64.27	127.67	147.79	60.96	70.15	49.54	41.25	11.09	63.54	32.83	5.91	0.15	80.16	0.0	3.03	2.23	1.83	0.33	63.69	120.27	121.57	129.82	518.4	524.85	524.32
Gm13306	0.0	0.0	7.56	0.0	6.45	0.0	10.98	0.0	78.04	29.23	3.5	6.53	0.0	8.16	0.0	0.0	8.28	0.27	0.0	30.44	0.0	409.92	276.37	349.82	127.6	0.59	0.0	0.0	18.96	0.0	0.0	0.0	0.0	23.47	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.52	0.0	164.03	132.22	74.98	61.27	76.52	71.98
Gm2002	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.14	0.01	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.26	0.14	18.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.61	1.13	2.35	1.27	4.28	1.89
Gm2506	0.0	0.0	7.56	0.0	6.45	0.0	10.98	0.0	78.04	29.23	3.5	6.53	0.0	8.16	0.0	0.0	8.28	0.27	0.0	30.44	0.0	409.92	276.37	349.82	127.6	0.59	0.0	0.0	18.96	0.0	0.0	0.0	0.0	23.47	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.52	0.0	164.03	132.22	74.98	61.27	76.52	71.98
Gpr123	15.06	0.17	0.0	0.0	0.0	29.28	0.97	22.53	20.21	9.64	1.25	93.25	159.06	33.4	145.34	163.04	241.31	77.42	25.71	66.22	102.68	23.85	0.06	93.25	9.9	66.82	53.58	13.39	26.0	54.64	2.41	108.59	9.55	48.82	81.38	24.86	8.67	0.0	0.22	39.0	0.0	26.83	168.55	109.78	139.55	121.77	41.43	72.33	61.78
Hpcal4	0.06	95.27	0.0	0.0	117.17	0.0	7.39	0.0	124.51	86.56	136.32	0.0	264.5	20.52	145.53	18.28	17.75	0.09	20.45	0.0	0.0	83.8	55.82	95.86	0.73	186.89	196.84	132.76	90.96	4.04	45.7	10.21	4.73	55.66	0.0	0.0	46.04	0.18	0.0	6.97	0.0	1.57	0.11	145.97	109.57	135.43	152.55	113.48	132.8
Hspa8	22360.42	19865.4	24473.49	17968.45	20649.84	19469.9	16948.06	26297.86	19684.06	17791.57	22558.28	16011.72	20651.28	18482.37	17326.15	23643.2	19634.58	20789.46	20228.05	20908.03	17660.32	22280.51	21295.16	17461.51	18967.67	19043.25	18690.67	18674.14	21156.27	20448.23	19485.43	18482.25	17340.08	21948.63	17737.55	17422.01	18543.08	18338.42	18127.58	18434.51	20378.92	18264.18	21321.96	12563.45	14311.17	13214.62	13901.95	12840.7	12763.15
Il11ra2	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.14	0.01	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.26	0.14	18.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.61	1.13	2.35	1.27	4.28	1.89
Kcnj11	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.59	6.02	1.49	0.0	0.0	0.0	0.0	73.6	1.67	0.0	0.0	0.19	0.0	0.0	0.95	0.0	86.2	62.86	0.0	0.0	0.0	0.0	0.0	0.0	3.03	11.49	0.0	0.0	0.0	0.0	0.0	2.82	0.0	0.35	2.46	7.09	8.16	1.69	10.63	5.68	2.48
Klf13	245.96	229.81	228.51	257.89	145.52	85.23	93.75	307.33	138.7	179.93	194.98	0.72	105.63	147.49	116.37	77.99	186.92	406.19	231.7	144.22	250.74	137.71	91.07	180.92	203.68	401.11	202.97	265.19	208.29	75.47	137.03	151.77	147.39	392.58	149.02	127.43	249.98	138.19	181.23	110.14	374.31	373.24	177.7	451.23	420.02	489.37	725.89	549.33	602.3
Klhl8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	0.0	0.0	79.23	98.65	0.0	0.0	0.0	142.78	0.11	0.0	23.72	6.28	0.17	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	6.6	6.86	5.01	5.64	3.97	3.17
L3mbtl2	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.2	0.0	0.0	0.0	7.61	119.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.12	0.0	0.0	0.0	0.0	0.0	0.0	301.53	0.0	0.0	0.0	15.04	11.17	25.76	35.07	34.16	28.22
Lonp2	41.85	8.81	0.0	0.0	37.77	83.01	294.61	170.07	305.84	357.44	202.68	0.0	319.21	0.0	98.5	250.0	0.0	162.74	229.19	0.98	135.69	317.95	6.34	274.37	278.22	169.06	3.21	139.59	39.41	0.0	100.96	24.36	76.36	0.0	485.18	26.1	119.32	0.0	0.18	0.0	0.0	108.14	216.75	122.57	94.34	68.54	95.56	101.96	91.52
Lrrn3	121.76	427.15	0.0	139.56	0.0	0.0	4.34	111.24	453.74	125.86	0.02	0.0	0.0	41.24	25.42	274.56	227.77	0.0	160.42	78.09	147.02	157.36	157.06	0.13	0.26	2.63	0.0	2.67	0.23	127.74	0.0	0.0	0.0	21.75	15.4	0.0	95.5	0.0	233.19	0.0	1.96	97.1	0.32	74.99	89.77	130.13	72.18	69.05	78.15
Map3k5	0.0	0.0	0.0	0.0	0.0	17.92	0.0	0.0	0.0	53.79	81.49	0.0	28.78	12.42	0.0	32.61	0.0	0.0	1.07	2.66	0.0	22.73	5.19	57.48	4.86	0.51	26.29	15.92	8.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.39	19.15	19.37	29.28	22.66	21.66
Mcl1	39.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	5.76	0.0	0.0	82.15	84.13	0.0	0.0	0.32	4.71	23.01	0.18	0.0	68.65	0.19	26.02	0.0	56.62	0.0	0.0	0.0	4.24	50.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.91	0.0	15.8	5.35	7.79	8.34	10.81	7.34
Mkl2	2.43	257.42	58.35	0.68	165.41	27.19	0.85	25.26	318.09	448.97	223.22	17.44	43.24	149.37	73.9	56.65	37.93	70.12	183.3	83.09	0.7	156.2	180.39	83.66	193.58	213.13	270.42	234.61	435.59	27.82	114.93	45.43	96.57	12.89	2.09	12.78	0.68	40.07	34.99	27.17	0.24	3.65	44.78	259.01	305.55	281.68	360.18	264.2	249.53
Mthfd1	0.0	185.77	0.0	0.0	0.86	0.0	0.0	0.0	0.0	27.82	68.38	0.0	0.0	0.0	0.0	119.84	66.16	21.04	0.0	0.0	0.0	0.0	66.43	0.0	0.0	8.2	1.76	97.3	46.26	2.75	0.0	27.39	0.0	0.0	0.0	0.0	0.15	0.0	0.0	24.51	0.0	0.0	0.0	13.3	22.76	20.58	16.0	11.96	16.65
Ncan	31.83	44.06	0.09	59.02	134.97	41.62	0.0	11.03	64.77	57.7	225.89	7.76	1.05	67.45	38.45	20.0	126.3	9.7	30.39	7.44	46.58	94.56	16.26	166.19	111.65	209.72	172.17	101.78	314.54	29.72	6.77	18.49	31.12	17.8	117.3	22.63	85.3	0.24	25.29	59.96	0.11	46.67	0.32	149.21	121.23	148.5	269.87	196.5	197.17
Nefm	11.18	73.27	0.0	0.0	248.31	0.0	0.0	0.0	21.48	49.11	797.8	0.0	0.0	0.0	9.08	73.57	0.95	0.0	226.68	23.06	0.0	16.96	78.33	60.35	2.86	16.13	190.47	225.39	201.2	2.48	36.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	37.23	95.2	36.59	55.91	50.93	45.95
Neurod2	0.0	1.22	0.0	0.0	0.41	0.13	0.0	0.0	0.0	1.33	2.08	0.0	0.0	0.13	0.41	0.0	0.0	0.0	0.0	0.08	0.11	0.0	3.23	1.39	1.04	0.22	21.57	19.46	3.99	0.0	0.14	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.15	0.0	12.75	10.31	7.72	10.98	8.64	13.14
Nrgn	0.12	509.36	0.0	0.0	430.12	0.0	0.0	0.0	251.68	377.2	269.34	0.0	7.13	27.13	24.32	3.14	29.06	0.0	103.58	15.45	0.0	459.78	296.03	330.49	298.85	278.63	225.58	233.35	424.88	0.75	0.0	3.93	4.15	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	162.68	189.8	297.95	267.46	286.83	289.37
Nup62	126.0	0.0	0.0	0.0	44.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	74.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	25.08	0.0	0.0	56.56	0.0	0.0	0.0	80.09	0.0	0.0	0.0	126.12	0.18	0.0	0.0	0.0	0.0	0.0	0.0	4.65	16.41	6.28	4.05	4.68
Pdk1	0.17	0.29	0.0	0.57	0.56	0.32	0.55	0.0	3.06	10.9	8.56	0.0	0.36	7.61	3.08	0.24	0.7	1.66	0.12	0.78	0.07	0.43	31.72	54.83	0.21	0.32	0.58	2.4	2.7	0.0	0.15	0.0	4.22	0.11	0.2	0.27	0.0	0.1	0.09	0.87	0.0	0.0	0.0	12.19	10.08	8.5	13.91	8.6	13.05
Ppp1r9a	20.75	88.57	8.67	0.68	0.44	13.69	0.05	0.21	20.95	18.94	81.93	7.66	17.95	7.9	0.0	34.01	8.03	0.04	53.06	17.48	0.07	42.44	183.75	199.26	58.06	41.95	13.66	118.61	90.28	1.19	34.45	0.51	37.86	0.11	1.84	0.07	22.69	34.08	0.0	0.33	0.0	0.19	37.82	54.53	59.63	48.43	71.24	58.61	56.6
Ppp3ca	20.6	1170.29	83.16	69.39	307.66	300.09	53.6	125.14	602.26	691.18	604.31	88.33	95.24	138.36	105.49	156.95	281.97	0.19	258.67	234.82	30.72	507.87	338.33	1094.06	481.19	259.28	443.4	860.64	972.59	144.84	138.35	97.35	95.29	36.17	27.57	54.12	101.85	142.18	35.32	108.75	255.92	229.07	69.16	379.9	423.56	683.34	960.82	747.74	778.86
Rab8b	0.04	0.0	0.69	0.47	5.1	3.18	0.14	2.59	86.1	10.43	0.99	0.06	93.45	0.34	93.54	63.86	0.08	105.15	2.27	1.24	0.22	1.75	3.19	1.04	0.13	79.27	0.34	57.69	33.44	0.27	2.48	79.72	0.24	0.0	1.42	0.36	0.7	116.68	2.78	0.74	305.43	120.62	1.65	14.77	19.79	23.27	32.33	17.06	14.18
Rad51l3	1.73	1.44	1.01	2.43	1.12	1.3	0.07	44.56	2.0	0.89	1.84	0.0	1.05	1.02	2.04	53.33	1.87	1.29	0.71	1.13	1.6	1.12	1.49	9.61	0.56	18.85	2.08	1.81	0.81	3.75	1.49	1.36	1.45	1.09	3.1	1.6	1.21	1.21	1.9	1.32	0.81	2.27	49.61	4.3	3.62	7.25	5.19	7.18	4.52
Rtn4	205.62	558.78	266.81	0.0	21.65	99.25	0.0	214.91	334.2	236.32	258.17	2.43	22.2	7.73	116.31	107.65	449.01	0.07	122.5	85.44	278.13	176.63	338.98	262.67	221.91	332.77	155.4	199.67	200.41	165.61	107.6	0.12	183.52	48.4	0.0	166.54	14.04	2.2	150.77	206.11	130.4	62.97	31.97	392.14	247.45	301.22	209.84	228.01	222.14
Sh3gl2	15.48	600.34	0.0	218.24	297.46	0.79	0.0	2.38	266.17	256.58	158.24	1.0	1.94	6.54	177.45	64.68	4.77	2.59	142.6	180.15	6.06	157.73	218.5	138.44	24.25	172.98	186.97	245.21	237.56	1.77	38.17	39.8	49.13	0.95	0.21	1.76	1.56	1.82	0.52	1.33	440.82	1.04	30.22	375.48	426.06	441.79	274.48	417.49	414.06
Skil	17.51	51.84	28.11	63.09	8.48	0.51	44.52	20.46	154.12	226.82	281.09	72.93	101.53	75.84	52.52	41.73	70.03	0.0	21.62	46.82	0.0	50.65	114.66	64.91	90.57	110.09	162.05	117.24	166.62	112.83	72.14	58.53	0.0	41.17	9.11	0.0	62.4	24.99	0.0	59.89	0.85	76.62	46.17	184.74	205.98	151.37	241.18	150.74	164.3
Slc17a7	0.0	34.09	0.0	0.0	20.14	0.0	0.0	0.0	1.06	19.68	61.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.56	0.0	0.0	48.32	51.37	28.79	26.62	8.57	0.57	22.37	34.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	20.49	38.26	38.24	20.06	39.4	44.22
Slc35e1	0.66	3.81	2.44	0.88	45.15	0.5	1.26	1.45	3.37	1.97	19.21	0.07	0.84	21.5	2.95	4.98	1.24	1.78	1.87	1.76	0.38	3.55	3.81	20.18	1.71	3.0	3.44	1.1	3.62	3.98	1.15	2.82	0.81	1.32	1.15	23.62	1.35	1.86	0.63	3.54	0.87	3.29	0.82	11.34	6.32	8.22	5.06	7.5	6.01
Sorbs2	80.92	11.79	0.0	0.0	108.92	57.17	15.42	21.89	95.88	270.27	159.59	18.6	23.92	15.82	5.86	112.84	84.86	0.0	0.05	52.99	0.88	35.61	219.36	57.55	6.5	112.32	138.95	114.59	214.84	0.0	5.9	115.39	25.27	56.49	0.0	28.51	6.77	14.31	13.9	19.07	0.19	1.51	8.02	25.93	20.91	27.37	30.75	30.26	32.68
Sox11	28.36	66.23	7.91	122.38	52.76	21.9	0.0	45.14	0.0	86.96	34.78	0.0	144.9	0.05	59.45	78.67	55.74	0.0	0.0	24.49	130.96	81.34	4.29	36.68	27.23	0.0	30.97	73.39	78.46	0.0	31.66	63.31	0.09	0.03	44.63	1.78	0.0	401.3	0.0	34.28	184.79	54.81	0.06	67.24	58.45	53.19	73.46	57.21	53.86
Sv2b	0.03	20.97	0.0	0.0	15.24	0.0	0.0	0.0	363.52	247.67	175.1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	108.2	0.0	0.0	12.72	154.63	161.77	260.15	87.72	165.13	141.08	44.88	0.0	0.0	0.0	0.0	0.1	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.19	122.66	142.8	168.44	249.69	166.21	194.14
Syt7	0.8	3.23	0.0	0.68	0.77	0.0	0.0	0.0	0.08	10.28	11.96	4.16	0.04	0.22	0.0	4.05	0.68	0.59	2.35	0.53	0.84	1.75	6.42	0.15	2.81	19.45	32.98	38.14	22.37	16.41	0.03	1.53	0.06	0.0	0.79	0.15	0.08	0.15	0.0	0.0	0.0	3.17	0.33	46.77	32.85	38.43	39.12	31.02	34.42
Tacc1	1.12	576.02	4.18	102.55	164.08	24.93	1.49	3.34	170.04	601.26	401.73	3.18	0.46	64.02	294.93	131.73	0.47	22.39	150.71	9.54	94.51	253.72	399.56	227.72	128.14	215.44	351.45	352.09	386.46	162.33	9.19	144.28	216.13	1.34	6.47	107.1	17.9	71.61	5.09	339.27	0.23	44.7	107.68	203.37	368.58	178.44	448.09	242.14	304.44
Unc13b	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	33.74	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.03	0.16	0.0	0.35	0.23	0.07	0.37	18.65	31.45	63.63	70.4	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	2.61	6.92	13.02	15.43	10.05	14.08
mt_AK136262	0.0	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.4	0.04	0.05	1.14	0.0	0.0	0.0	5.96	0.0	0.01	0.0	0.0	0.02	0.01	0.01	4.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	4.83	210.2	8.22	0.19	1.6
