	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_59	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_59	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64
Dpf1	0.0	19.59	0.65	0.0	9.23	3.21	0.0	2.52	14.46	0.0	14.33	0.0	0.84	0.62	13.68	1.89	23.67	24.58	16.02	0.24	0.0	15.97	0.0
Dync1i1	223.96	158.45	0.0	7.41	222.56	371.11	0.06	218.93	1691.45	0.0	219.21	0.0	395.1	13.33	109.52	147.61	240.11	0.35	360.14	561.37	338.53	1856.25	0.38
Fastk	0.0	0.84	0.0	0.0	0.77	46.62	0.0	23.44	0.0	0.0	0.27	0.0	0.0	0.96	0.0	0.0	0.0	0.0	132.13	50.46	0.0	0.0	0.0
Fkbp3	590.95	419.95	211.92	261.73	1108.74	591.1	229.86	1460.67	773.09	0.0	1498.05	0.0	387.6	385.4	801.55	820.84	1290.72	735.54	719.31	855.41	96.9	412.92	689.4
Gnaq	92.04	0.27	19.92	41.82	104.59	41.03	0.0	27.18	69.65	20.15	98.49	5.56	33.4	168.71	40.61	93.58	143.27	188.31	118.64	34.46	1.37	101.36	115.58
Hspa8	22360.42	19865.4	24473.49	26297.86	16179.5	22558.28	12392.88	23643.2	20789.46	11159.2	20908.03	12999.96	22280.51	21295.16	21156.27	17667.87	19485.43	17776.42	18482.25	21948.63	18127.58	20378.92	21321.96
Kcnc2	0.1	2.32	169.37	0.0	132.37	27.42	0.0	177.61	0.0	0.0	81.99	0.0	66.28	102.16	34.86	72.23	245.79	75.45	237.32	17.88	0.0	9.57	108.08
Kcnma1	0.03	3.58	0.29	0.11	72.46	48.12	0.0	2.35	0.0	0.0	45.92	0.0	111.59	379.16	57.7	30.5	55.46	92.22	25.21	0.0	0.09	8.38	0.31
Klhdc9	1.64	0.0	85.62	1.08	0.27	11.48	0.49	20.85	116.9	0.0	0.0	0.0	54.55	24.3	25.55	0.74	78.21	100.77	62.43	62.01	0.0	46.72	0.0
Mapk10	174.31	262.03	267.1	230.94	266.36	321.14	0.1	242.23	26.96	0.0	132.67	0.0	348.02	314.72	263.21	172.73	178.64	290.69	320.47	105.65	121.28	158.0	82.55
Matr3	985.75	765.65	906.31	334.92	380.23	616.46	433.44	532.31	351.64	197.67	590.8	0.08	739.94	771.14	501.77	317.11	229.96	366.11	667.31	374.36	757.75	489.9	700.38
Med27	0.0	176.23	0.0	220.52	0.7	142.71	0.0	100.12	0.0	0.0	120.05	0.0	0.0	17.21	0.0	0.0	0.0	0.0	163.81	0.0	0.43	0.0	0.0
Med4	3.35	0.0	269.93	0.0	193.19	75.31	0.0	5.18	0.33	0.0	1.96	0.0	390.93	353.93	240.71	0.0	229.08	69.88	357.56	147.69	0.0	0.0	265.17
Mical2	0.04	11.27	47.43	5.34	53.28	98.28	0.04	6.36	7.49	0.0	36.01	0.0	227.81	296.93	109.82	107.06	100.46	55.72	56.69	0.15	0.14	0.0	0.14
Msrb2	0.26	0.0	0.0	1.85	0.48	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.76	62.51	0.31	243.17	76.43	117.91	0.47	0.0	0.0	0.0
Myo1b	5.75	0.0	0.0	1.39	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	67.2	1.9	2.21	0.0	0.0	0.0	17.94	0.0	0.0	0.0	3.94
Ndufs3	141.12	189.49	532.94	365.87	116.47	128.22	9.28	335.36	442.61	0.0	119.85	0.0	197.84	259.15	430.06	159.29	499.06	250.73	437.85	28.49	453.75	0.0	705.85
Nrsn2	0.23	188.27	407.72	185.17	341.95	148.71	0.0	182.35	0.0	0.0	225.43	0.0	178.32	0.0	0.0	271.42	514.9	194.46	1018.57	0.0	0.0	0.0	0.0
Nsf	329.65	774.39	562.07	290.12	547.21	488.5	0.08	387.72	0.0	0.0	614.74	0.0	567.06	526.67	344.4	201.99	510.41	394.2	807.68	133.63	241.15	307.0	215.07
Pitpnc1	159.57	108.6	39.56	28.8	195.25	0.0	0.0	77.47	0.0	0.0	33.68	0.0	1.27	0.0	0.11	142.36	192.56	130.1	391.85	151.95	88.8	114.84	148.21
Prmt1	0.36	2.36	111.29	1.1	36.69	60.76	0.0	13.08	0.0	0.0	47.72	0.0	0.0	89.02	90.7	49.72	110.7	23.81	121.87	88.95	68.42	459.72	57.44
Psd3	0.56	23.94	9.81	0.15	29.22	54.71	0.03	0.19	2.72	0.0	0.44	0.0	0.23	1.13	13.3	3.28	25.89	1.37	44.56	1.9	0.15	0.44	0.38
Pxdn	0.0	0.0	0.0	0.0	0.08	70.85	0.0	0.0	299.69	0.0	0.0	0.0	0.0	25.36	61.98	0.0	0.0	39.55	78.83	0.0	0.0	0.0	0.0
Pxmp3	0.0	143.84	362.32	0.0	88.09	169.17	10.56	77.34	487.03	0.0	2.46	0.0	282.18	0.0	19.22	0.0	87.58	83.57	196.35	125.02	213.1	0.0	217.22
Rab8a	0.0	0.0	187.82	0.0	246.69	94.25	0.0	71.61	125.92	0.0	73.88	0.0	0.0	203.39	41.8	0.0	70.02	7.03	0.83	122.24	0.0	59.16	84.71
Rgs17	0.13	2.33	1.72	0.39	163.81	168.52	0.02	162.18	0.05	0.0	37.39	0.0	118.13	37.08	29.15	79.5	253.26	211.28	116.35	0.0	11.14	41.56	19.87
Satb1	0.02	7.3	0.0	0.17	72.37	0.0	0.0	0.28	0.0	0.0	11.08	0.0	68.86	10.32	0.0	0.22	0.11	7.54	113.95	0.0	0.0	0.0	0.0
Swi5	365.82	653.25	286.26	300.53	301.23	587.25	358.26	427.09	594.38	0.0	629.3	0.0	305.07	256.34	609.5	673.7	807.35	915.93	782.03	346.92	134.77	0.0	650.37
Syt4	6.36	763.07	244.59	213.5	406.18	653.05	0.0	1286.76	104.08	0.14	280.13	0.0	178.97	203.63	271.45	155.24	359.94	540.3	355.71	46.96	140.55	113.15	313.03
Tceal3	15.08	211.76	56.94	90.71	118.24	34.58	0.0	59.09	0.0	0.0	267.43	0.0	16.11	40.72	22.64	11.99	57.53	139.97	87.07	78.63	190.1	244.93	0.0
Tmsb10	329.65	60.56	396.75	238.79	408.91	34.67	0.0	15.28	297.54	0.0	10.48	434.87	286.64	234.27	212.25	678.53	932.43	946.32	660.89	634.72	169.49	623.19	0.0
Zwint	785.05	580.7	936.14	706.53	1480.19	959.1	0.0	2046.77	803.45	0.0	1549.05	0.0	808.75	783.68	932.15	1353.06	1665.7	2066.57	1892.1	1001.12	454.14	855.31	810.36
