	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
Cxadr	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	1.65	18.62	0.0	33.57	0.0	0.0	0.0	0.92	54.98	0.0	0.0	12.34	0.0	0.88	0.76	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0
Dram2	0.0	642.35	690.86	151.53	135.17	82.42	0.0	13.43	63.44	43.02	156.91	42.76	96.46	5.23	44.54	129.82	170.89	0.0	86.7	50.47	44.78	24.02	50.53	0.0	25.17	76.11	164.97	99.95	83.9	0.0	0.0
Ebp	0.0	0.0	103.45	20.97	29.98	39.13	0.0	23.62	0.0	0.0	0.0	0.0	22.27	0.45	0.0	0.0	135.46	0.0	0.0	23.91	40.38	0.0	0.0	0.0	0.0	0.0	1.05	61.66	10.06	0.0	108.38
Elavl4	0.0	0.0	0.0	191.17	193.73	130.28	140.18	80.5	228.84	75.15	224.63	110.7	122.87	276.7	210.36	191.38	320.52	119.7	140.62	161.32	94.91	146.81	46.32	46.57	165.36	106.4	134.2	188.1	198.77	0.0	0.0
Gabbr1	0.0	0.0	1.58	16.43	21.6	39.65	1.94	9.6	11.93	11.18	48.09	9.9	6.75	0.0	0.0	30.49	63.88	0.5	16.6	38.34	41.06	23.18	5.49	2.2	51.17	48.15	45.74	30.44	19.7	0.0	0.0
Gm8709	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.46	5.18	0.58	0.0	0.25	0.46	8.58	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	10.8	0.17	0.0	0.0
Htatsf1	0.0	0.0	0.0	73.35	0.0	78.44	24.42	21.74	41.02	19.33	22.45	51.57	19.39	0.28	0.0	29.68	167.43	0.98	4.63	29.79	37.92	25.37	0.94	90.72	79.96	69.37	32.19	120.38	1.4	0.0	0.0
Jhdm1d	0.13	0.88	0.45	23.94	21.46	9.34	25.64	15.65	35.62	15.78	4.6	11.49	18.5	22.64	0.57	49.11	28.99	7.64	30.91	15.19	16.21	3.39	13.07	5.86	8.62	1.42	13.41	16.65	30.09	0.74	0.47
Lars	0.0	0.0	0.0	1.42	3.25	32.76	33.2	23.35	75.04	51.58	0.0	80.82	32.22	0.2	26.4	27.67	93.55	30.17	36.97	2.9	3.63	2.87	1.36	17.98	23.52	17.58	55.69	59.81	14.83	0.0	0.0
Ldhb	3517.81	5274.92	5600.23	8752.31	8798.32	8750.45	10894.4	8525.9	8892.3	9220.91	9343.6	8223.21	10165.1	9166.61	7343.35	7785.08	7167.6	11261.44	9074.03	13571.31	12546.17	8513.41	9755.78	8904.1	11010.48	8275.76	10182.84	6251.75	11746.38	3251.53	5577.5
Lnp	0.0	0.1	0.1	10.82	72.58	38.32	51.15	27.98	63.49	62.79	35.79	51.5	28.35	41.6	31.36	61.14	105.65	36.64	46.38	49.82	32.93	39.71	72.05	6.02	68.07	54.34	31.56	94.09	28.15	0.04	0.02
Lsm6	3.03	1.28	3.37	87.58	44.14	55.73	48.91	60.83	23.61	81.95	26.28	19.11	71.84	111.56	4.43	60.04	122.42	14.65	76.21	73.4	34.63	92.64	110.08	64.51	63.06	86.7	71.4	121.99	44.41	6.62	16.99
M6pr	855.15	149.58	832.09	186.08	155.18	142.96	144.38	152.97	107.3	142.95	66.26	155.93	125.09	190.5	28.47	206.58	280.66	0.0	235.12	95.5	72.79	30.98	109.7	84.58	0.24	103.28	263.19	276.1	135.7	0.0	0.0
Magoh	0.0	0.0	0.0	40.29	109.56	0.0	0.0	91.0	149.14	119.63	14.5	155.11	77.31	0.0	0.0	83.6	179.74	50.37	49.62	98.35	40.65	98.71	47.22	39.83	0.0	65.83	98.85	179.35	0.0	0.0	742.84
Mecr	0.0	0.0	0.0	89.21	0.0	0.0	98.72	57.7	115.48	0.0	0.83	37.62	66.56	0.0	121.99	51.13	189.97	0.29	66.76	88.67	0.0	74.6	0.0	49.18	70.13	28.69	68.52	140.05	86.53	0.0	0.0
Myst1	0.0	0.0	0.0	0.28	0.0	70.74	0.32	19.64	117.87	0.0	0.0	0.0	0.0	0.0	0.0	109.61	124.43	0.0	0.0	0.0	0.0	0.0	8.26	0.0	27.75	107.12	0.0	12.14	56.07	0.0	0.0
Ncbp2	0.0	0.0	0.0	55.38	120.76	202.42	101.48	84.39	92.95	23.45	44.55	113.67	91.51	1.53	0.0	106.88	215.3	57.33	83.47	106.21	13.53	55.64	136.87	67.06	169.87	37.8	86.69	218.01	47.5	0.0	0.0
Ndufaf4	0.0	0.0	0.0	71.65	102.39	66.8	58.46	88.7	86.93	17.96	110.69	26.15	137.99	49.64	50.82	111.21	168.57	35.35	77.18	78.52	119.48	89.01	55.95	23.78	86.85	98.56	148.6	174.87	152.25	0.0	0.0
Nr1d1	0.0	0.0	219.6	55.13	28.23	68.36	49.71	50.33	0.0	0.6	0.41	2.74	60.36	0.0	0.0	53.21	175.54	0.0	0.0	3.81	12.3	30.29	89.42	2.21	39.86	63.93	84.87	127.86	61.87	0.0	0.0
P4htm	0.0	0.0	0.0	5.62	54.96	93.57	55.26	20.21	29.69	57.39	105.8	67.9	22.48	95.24	0.0	61.77	0.42	0.21	43.14	87.84	39.24	4.19	0.0	0.0	0.0	0.0	144.11	0.0	37.79	0.0	0.0
Pex11b	0.0	0.0	0.0	81.13	130.23	4.65	70.21	58.71	128.58	148.01	9.55	103.34	128.79	2.91	0.0	117.73	126.88	95.5	108.7	99.46	84.61	53.38	103.89	16.7	119.13	120.16	166.28	227.15	0.49	0.0	0.0
Pik3ca	0.41	0.05	10.52	13.61	6.61	29.38	11.36	10.22	29.89	50.16	27.78	33.38	48.12	7.54	40.47	30.29	57.77	76.34	18.82	32.38	17.4	21.55	30.74	31.34	13.56	11.57	1.49	70.83	28.38	0.42	109.33
Plcb1	0.0	0.0	0.06	12.5	41.22	22.37	37.88	32.89	18.26	26.25	18.52	38.2	2.2	57.99	9.45	22.97	56.73	14.04	44.61	19.64	14.35	27.44	24.95	25.5	31.64	0.54	2.99	70.5	46.15	0.0	0.0
Rab9	0.0	0.0	0.0	167.73	54.66	187.51	37.01	128.78	58.56	80.13	191.83	129.51	111.06	4.35	0.41	74.25	153.15	64.3	101.7	73.94	117.47	53.51	50.81	103.95	121.48	43.66	247.16	192.88	74.84	0.0	0.0
Repin1	0.0	0.0	0.0	7.08	7.2	13.01	7.74	17.29	25.49	12.0	8.43	12.5	18.63	7.55	0.0	3.0	19.73	0.63	11.83	4.6	15.03	1.52	2.06	25.48	27.13	1.3	11.29	16.75	15.96	0.0	0.0
Saal1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.28	13.16	0.0	0.0	0.0	5.61	0.0	0.06	0.0	90.92	0.08	5.13	0.0	17.49	0.0	17.54	0.0	0.34	0.0	34.4	55.1	0.0	0.0	0.0
Slc19a2	0.0	0.0	0.0	0.0	12.15	3.34	29.51	0.0	12.54	0.0	0.0	50.57	29.89	23.82	0.0	1.83	76.06	0.0	2.61	4.68	1.38	0.0	0.0	0.35	0.0	0.0	0.25	65.03	0.05	0.0	0.0
Slc25a40	0.0	0.0	0.0	0.15	57.76	1.26	0.0	0.0	53.18	62.5	0.0	41.53	43.66	0.0	0.63	66.63	92.8	2.28	43.97	19.38	0.0	20.86	0.0	0.0	0.0	0.0	14.46	120.87	0.0	0.0	0.0
Sms	31.71	5.56	0.0	80.42	45.05	131.1	30.87	23.74	100.33	100.42	8.19	164.61	43.98	1.82	134.1	73.42	185.76	4.65	129.61	60.09	55.82	117.89	17.27	68.16	48.14	71.05	44.01	245.04	36.98	0.0	0.0
Snrnp70	11.65	0.0	21.47	11.16	19.44	37.75	6.8	10.56	40.05	3.91	37.63	65.58	7.23	1.91	0.9	46.53	59.45	11.08	38.97	7.91	13.81	7.74	27.76	3.08	24.77	10.93	14.82	20.57	52.93	0.0	0.0
Star	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.84	0.09	13.82	20.18	0.1	16.36	0.0	0.0	43.68	0.0	0.11	0.0	18.17	0.0	0.0
Steap2	0.09	0.14	0.09	16.6	7.67	2.98	1.71	17.07	12.8	5.68	0.65	30.03	11.87	0.42	0.03	21.87	35.64	8.76	15.03	63.25	7.55	29.07	17.87	2.0	13.09	0.25	9.4	13.75	17.44	0.0	0.07
Stxbp5l	0.1	0.34	0.07	10.49	7.62	6.15	2.2	6.22	8.48	13.15	24.18	20.86	20.34	4.46	1.61	3.37	29.37	13.09	3.33	8.73	14.63	2.47	3.55	6.78	5.35	12.47	12.41	31.61	2.55	0.34	0.37
Tbc1d13	0.0	317.99	0.13	0.0	9.78	0.2	0.0	0.6	2.1	9.94	6.0	4.23	0.18	0.0	0.16	1.76	3.38	0.5	0.0	9.32	8.02	2.91	2.49	1.31	0.23	0.0	4.89	13.98	0.06	0.0	0.0
Tmem127	0.0	0.0	0.11	46.12	65.19	34.44	78.09	13.69	91.51	62.85	13.94	51.31	86.79	0.17	0.26	15.7	302.75	0.5	79.66	72.0	111.08	69.87	83.53	51.49	97.62	32.83	75.15	124.16	34.72	0.17	0.0
Tsc22d1	0.0	0.0	0.0	335.4	102.62	309.58	225.32	334.25	297.62	414.68	320.95	174.19	235.08	139.01	290.67	150.25	305.75	33.58	261.7	314.81	379.75	308.76	254.73	303.22	270.38	403.15	399.18	720.46	264.31	0.0	0.0
Tspyl5	0.11	0.0	0.0	0.0	74.91	72.06	29.24	30.53	28.63	0.0	69.75	85.43	21.72	59.43	0.0	35.24	92.23	40.63	33.48	11.91	18.12	47.07	66.67	31.64	15.23	30.49	123.01	0.0	83.19	0.0	0.0
Tubb4b	0.0	0.0	0.0	309.58	128.26	98.81	172.26	296.84	103.19	221.2	194.66	256.65	262.07	94.02	186.82	157.38	156.84	203.45	292.28	177.11	192.31	106.97	41.45	346.08	78.37	143.78	228.82	473.82	464.77	0.0	0.0
Vps26a	0.0	0.0	0.0	108.25	17.76	18.92	22.34	89.45	113.87	76.73	0.36	69.31	23.3	31.49	59.37	38.58	266.13	144.69	68.51	35.12	59.17	57.45	11.04	89.37	0.0	0.47	87.91	128.38	0.13	0.0	4.94
Whsc1l1	0.05	584.0	11.83	43.15	30.77	65.69	29.34	63.05	63.14	97.89	46.55	85.86	70.99	88.72	25.65	64.79	43.63	11.27	61.71	14.52	81.93	76.46	36.96	78.22	92.54	30.74	73.37	105.41	39.4	0.0	0.19
Wwp1	0.0	0.0	0.0	11.96	11.35	11.77	12.41	2.2	26.18	10.8	0.32	5.18	55.03	0.65	1.99	21.17	7.45	0.0	3.91	39.01	24.26	1.27	0.94	2.67	0.11	6.95	7.32	26.49	0.95	0.0	0.0
Xrcc2	1.39	0.15	0.7	21.54	18.96	0.0	0.23	16.19	0.92	0.28	0.7	0.26	11.65	1.1	0.62	0.29	107.02	0.0	0.13	28.72	0.53	0.0	0.84	0.23	0.68	0.0	40.74	70.36	44.07	0.83	2.6
Yif1b	0.0	0.0	0.84	95.29	0.0	0.0	93.78	152.46	107.03	0.0	39.46	223.82	60.74	0.0	0.0	51.75	158.34	32.24	29.89	143.89	99.44	71.33	163.78	0.75	0.0	54.6	85.39	60.84	0.35	0.0	0.0
Zfp644	0.0	0.0	0.0	3.06	29.16	42.76	8.39	11.09	19.15	9.34	0.28	15.18	31.26	7.78	5.32	30.89	62.59	0.65	8.2	21.6	15.91	9.04	35.12	3.75	2.25	17.88	54.1	8.9	9.1	0.0	0.0
mt_AK140174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.93	47.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.48	0.0	0.0	82.35	0.0	0.0	0.0
