	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_138	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dab1	0.0	0.0	0.0	23.35	17.49	35.46	42.42	17.92	15.38	150.71	175.62	0.0	79.8	75.45	0.0	0.0	0.14	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.56	0.0	0.0	0.0	0.0	0.0	103.18	75.33	0.05	40.08	0.0	1.91	0.0	0.21	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.04	0.0	66.4	11.38	49.93	25.69	2.93	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.41	0.0	0.0	3.43	44.49	26.23	24.47	56.31	51.9	51.74
Dusp6	7.78	0.0	39.61	170.25	72.19	63.95	56.28	197.21	14.96	34.75	97.23	13.31	4.31	100.02	0.0	2.75	0.34	63.6	0.42	3.85	0.26	0.12	0.0	0.0	1.08	0.28	33.14	176.9	15.31	45.39	46.76	0.0	0.0	126.77	29.81	48.9	41.06	0.0	2.74	0.0	4.66	0.0	3.55	52.77	0.0	0.0	0.0	1.3	4.89	38.36	0.26	158.69	225.05	420.01	222.13	40.11	839.02	44.39	0.0	0.16	28.47	53.9	0.0	4.11	0.11	141.84	0.0	1.16	219.34	120.29	80.79	82.43	88.77	75.96	53.66
Elmod1	0.0	0.0	0.31	45.72	0.29	89.76	29.98	158.6	87.63	15.93	36.05	15.86	50.52	16.1	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.0	3.15	0.0	8.58	0.0	0.0	23.07	0.0	0.0	0.0	0.0	14.23	46.26	28.88	0.0	11.8	9.8	0.0	0.0	3.16	0.0	0.0	0.01	0.0	0.0	2.11	0.0	0.0	0.71	0.0	96.22	51.4	18.29	43.38	199.89	407.77	0.0	5.72	0.0	0.26	0.0	0.0	2.45	0.12	25.8	2.36	0.0	17.07	24.81	20.23	26.02	230.43	232.42	217.1
Fam131a	0.0	33.9	0.0	264.42	13.08	2.32	31.98	59.29	37.4	86.48	78.3	103.88	8.2	135.51	19.15	9.57	9.99	20.74	6.16	43.14	28.93	19.62	16.99	24.36	8.78	2.57	0.0	394.12	49.52	0.0	1.05	4.85	8.03	60.96	58.94	0.0	104.93	0.0	37.97	6.23	64.34	0.0	0.0	34.87	6.14	0.0	0.0	0.07	0.14	0.0	0.0	316.2	250.81	480.71	134.92	188.15	143.38	18.31	0.38	17.81	1.04	0.0	16.52	23.38	7.79	0.82	8.13	2.44	76.23	229.67	131.91	155.73	317.46	331.18	308.03
Fam81a	0.0	0.17	0.0	258.48	287.77	241.81	89.77	169.27	538.87	226.03	191.75	160.63	223.48	170.25	0.06	0.38	0.34	130.26	0.58	0.46	0.32	0.32	0.0	36.42	73.96	0.13	0.14	321.86	0.21	13.5	0.0	0.02	0.09	204.75	217.12	14.72	340.54	4.36	8.57	0.0	136.78	0.0	0.0	0.0	42.95	0.0	10.18	188.97	12.4	0.0	17.71	302.54	1176.87	954.77	532.18	226.49	624.97	0.0	116.86	0.03	0.48	44.01	0.0	0.0	21.4	0.0	44.32	0.15	283.41	699.67	1003.42	735.46	152.09	141.34	148.58
Gabra1	0.15	0.0	0.0	339.54	631.46	388.87	221.25	634.72	392.4	509.91	519.16	755.75	403.23	625.18	0.08	0.18	0.28	77.76	0.24	0.16	0.25	0.37	0.0	0.3	0.0	0.09	0.0	280.63	0.0	0.0	0.0	0.07	57.29	648.41	478.11	0.0	513.62	0.0	0.86	3.88	347.36	0.0	10.13	0.0	0.2	0.07	0.13	0.04	0.04	0.0	0.06	486.19	279.87	392.04	251.8	324.5	368.71	0.0	0.0	9.0	155.71	0.0	0.05	0.0	0.07	144.72	1.05	0.13	392.28	253.05	251.98	210.67	255.65	237.2	255.05
Gabrb2	12.23	11.81	7.18	621.36	647.37	367.51	456.19	764.64	427.34	345.69	404.86	623.84	366.04	426.46	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	237.5	0.0	3.27	5.01	27.63	24.17	618.55	404.95	0.0	629.82	0.08	24.49	0.11	439.7	28.74	9.88	0.03	0.04	0.0	0.0	0.04	0.0	0.0	14.66	353.32	162.63	163.43	173.78	469.18	386.32	0.0	0.04	8.4	43.41	0.0	0.0	16.9	5.95	129.18	36.31	8.5	241.85	253.74	394.32	311.54	112.15	88.74	113.37
Gpr12	0.0	0.0	0.0	92.51	20.18	58.34	0.0	0.0	73.24	105.22	96.76	133.49	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.12	0.05	0.0	0.0	0.0	0.0	0.17	0.0	56.27	0.0	0.14	0.0	0.0	0.0	68.84	51.32	32.05	0.49	0.0	0.0	0.0	48.01	20.75	0.23	0.0	0.0	1.04	0.0	0.0	0.0	8.48	21.88	0.0	41.36	0.0	6.0	0.0	5.62	0.0	0.0	15.59	0.0	1.31	0.0	20.48	0.0	0.21	0.0	57.53	205.24	2.17	2.13	1.27	21.23	22.13	24.39
Grm5	0.0	0.0	0.0	67.97	97.2	118.18	130.37	185.7	228.58	182.6	229.51	99.9	115.48	106.03	0.0	0.0	0.06	0.08	0.02	0.12	0.04	0.27	0.0	0.0	1.61	0.05	1.42	62.17	5.68	6.89	0.03	0.03	0.0	38.65	141.59	1.33	80.59	0.0	0.03	0.0	140.24	0.0	0.0	0.0	0.03	0.0	0.0	0.0	8.18	0.03	0.0	174.24	46.6	151.01	94.14	95.7	110.88	0.0	4.79	0.0	61.37	0.0	0.0	0.0	0.07	57.74	52.12	0.02	69.11	28.67	26.03	21.0	79.71	69.61	78.48
Hhatl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.25	0.0	0.0	13.05	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.55	29.07	0.0	5.54	14.3	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	99.24	0.0	4.84	7.83	12.91	14.21	15.6
Hlf	0.11	0.0	0.0	143.86	3.67	47.94	226.59	93.98	58.69	196.96	100.85	0.09	49.11	28.43	0.09	0.06	0.04	0.04	0.06	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.55	5.64	0.0	0.0	0.15	0.0	81.23	32.32	0.0	36.51	0.0	2.85	0.0	63.22	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.24	26.54	18.9	31.92	31.53	2.02	0.0	0.0	0.0	36.96	0.0	0.0	0.03	0.0	22.54	0.0	0.0	38.14	22.48	26.4	24.61	109.73	107.52	97.85
Il6st	0.35	0.0	0.0	0.07	0.0	0.0	10.91	32.67	2.23	0.01	56.22	0.0	0.1	0.0	0.0	0.0	0.0	3.23	0.0	0.0	29.59	0.02	0.0	0.0	0.05	0.0	0.0	0.28	30.22	0.0	46.85	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	12.43	0.0	1.11	0.83	0.0	0.1	1.11	0.36	0.0	14.68	0.0	0.0	9.91	1.8	29.79	5.03	15.76	14.75	8.86	0.0	0.25	0.49	0.0	0.0	11.44	0.06	23.86	0.0	3.0	92.86	3.96	3.73	3.28	38.92	37.89	39.19
Kcna1	0.0	6.77	0.09	63.44	0.02	39.92	15.33	76.07	1.35	1.54	54.18	97.23	31.71	32.86	16.63	9.76	5.43	0.0	0.0	3.31	0.0	23.0	4.58	0.0	6.05	4.39	0.0	71.35	23.13	0.03	0.02	0.0	0.0	12.09	49.77	10.02	31.77	0.0	0.13	0.0	42.76	0.0	0.0	5.36	0.03	0.13	22.96	0.0	13.39	0.97	0.0	53.7	20.62	20.94	12.12	24.55	29.13	0.0	9.66	0.03	0.11	0.87	7.11	13.17	34.23	36.51	8.8	7.49	149.15	82.56	63.35	50.76	67.54	63.94	72.6
Kcnn2	16.07	0.0	0.0	117.16	93.4	94.0	192.77	90.12	58.88	10.45	117.24	146.29	35.24	172.76	0.0	0.0	0.0	0.0	0.08	0.07	0.05	0.0	0.0	17.04	0.68	0.0	0.0	52.78	0.0	0.0	0.0	0.0	0.0	80.57	101.21	0.0	25.23	1.43	0.0	0.0	69.11	0.0	0.13	33.07	0.14	0.0	0.0	0.0	4.53	0.0	35.48	199.93	0.24	43.43	71.12	34.25	15.0	0.0	1.41	86.4	2.83	0.0	16.11	0.0	2.09	25.94	12.72	1.87	132.92	25.85	11.23	15.14	42.19	43.41	41.94
Kcnq5	0.0	0.0	0.0	30.35	11.84	35.95	27.97	22.07	20.95	0.3	0.08	11.7	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	7.38	0.0	0.0	0.0	0.0	0.0	48.85	26.91	0.0	22.51	0.0	0.03	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.73	0.04	24.98	6.8	18.83	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.01	16.53	0.12	2.21	1.53	44.09	42.45	44.67
Krt12	0.0	0.0	0.0	0.07	50.38	43.26	8.58	0.0	13.92	0.0	71.45	17.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6	0.0	0.0	0.0	9.35	0.0	8.53	0.0	0.0	38.59	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.89	92.4	23.32	23.84	159.48	309.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8	0.63	1.46	0.95	34.44	34.2	38.21
Med11	0.0	0.0	12.52	0.0	0.0	150.52	0.0	0.0	0.0	0.0	162.16	85.36	0.0	0.0	0.0	0.0	0.0	155.97	122.11	0.0	141.29	45.18	0.0	59.11	0.0	0.0	31.94	48.57	0.0	47.76	0.0	0.0	41.01	94.36	41.68	0.0	0.0	23.2	0.0	0.0	97.88	9.97	0.0	0.0	39.92	14.8	6.44	0.0	0.0	0.0	61.64	115.11	75.16	141.99	39.14	0.41	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	67.04	0.0	1.27	191.04	49.04	17.59	26.17	13.94	15.84	14.03
Mphosph9	0.0	0.0	0.0	0.06	0.02	27.02	0.0	5.51	0.02	8.21	74.65	18.51	18.96	0.0	0.0	0.04	7.77	0.04	2.34	0.0	12.35	12.55	0.49	7.88	7.73	1.53	0.0	1.14	0.0	0.08	16.44	0.03	0.89	0.0	19.25	0.04	0.0	0.04	0.0	0.0	11.14	0.08	0.03	13.07	0.0	0.0	0.0	0.0	0.15	0.0	23.54	31.59	33.58	7.34	4.56	26.52	30.53	0.0	0.0	7.35	0.0	0.0	16.42	12.32	0.0	12.74	0.0	3.24	41.88	10.35	6.36	5.91	13.86	11.68	13.03
Necab1	0.62	1.37	0.32	14.91	234.78	38.77	102.47	139.77	370.88	229.79	28.67	1.6	52.12	46.15	0.41	0.41	0.88	1.89	0.67	0.52	0.89	0.76	0.57	0.33	0.19	0.43	0.53	86.64	0.09	0.79	0.54	0.62	0.57	75.1	41.59	0.75	26.19	0.84	0.23	0.21	124.3	0.59	0.58	0.63	0.0	0.42	0.32	0.72	0.76	1.09	0.53	1.44	213.37	82.62	27.52	349.36	7.42	0.31	0.17	0.29	0.8	0.95	0.64	0.18	0.06	0.54	0.26	0.32	1.46	99.37	128.72	79.88	77.53	66.55	73.48
Nek9	7.88	0.0	0.0	0.0	0.0	0.04	0.0	0.62	0.0	0.0	83.66	0.09	1.15	58.57	0.0	15.24	1.9	0.02	0.64	0.9	0.0	5.2	10.94	0.17	0.0	0.29	0.97	1.51	3.99	0.06	0.0	0.0	13.1	0.0	5.4	7.68	0.0	1.78	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.38	18.51	25.22	5.42	0.9	10.98	0.0	0.05	0.92	0.25	0.0	0.0	43.16	0.33	25.87	0.0	0.02	97.38	19.23	3.4	5.87	34.63	34.71	35.65
Nfix	0.0	0.0	0.22	434.17	110.34	160.99	247.83	110.6	62.23	237.75	241.06	118.92	81.98	360.09	0.01	0.0	0.23	0.02	0.13	0.1	0.19	0.08	0.0	0.24	0.0	0.15	0.0	161.87	2.86	0.09	0.0	0.0	0.0	171.88	214.34	0.0	126.93	0.0	22.78	0.0	259.16	0.0	0.07	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	59.02	120.32	57.31	58.42	197.06	254.95	0.0	0.0	0.0	0.19	0.05	0.0	0.0	0.12	0.18	0.0	0.0	102.93	139.27	94.58	125.29	105.07	107.16	113.44
Nov	0.0	0.0	0.22	0.22	0.0	0.16	0.0	17.18	32.39	19.46	79.99	108.1	0.0	0.0	0.07	0.0	0.1	0.21	4.7	0.06	0.15	0.07	0.0	0.0	0.0	0.0	0.0	22.09	0.0	0.0	0.0	0.0	0.0	5.74	9.97	0.8	0.92	0.0	0.0	0.09	0.0	0.36	0.28	7.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.86	0.12	32.33	20.64	21.32	0.37	0.0	0.0	0.0	0.15	6.45	0.0	0.0	0.0	0.0	0.0	0.01	111.78	8.28	4.66	4.13	124.61	128.44	115.44
Npas2	0.0	0.0	0.0	1.02	10.02	10.83	0.85	37.69	3.8	2.82	4.1	3.59	2.24	3.1	0.0	0.0	0.08	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.05	0.0	0.0	6.29	22.31	0.0	1.77	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.74	18.64	31.82	12.85	1.99	149.3	0.0	0.0	17.55	0.0	0.0	0.0	0.0	17.24	0.0	0.0	0.0	5.54	1.7	5.81	8.25	24.96	26.62	28.47
Npy	138375.8	173305.25	115124.65	43922.94	108594.8	96206.73	82245.2	67463.47	57444.26	77711.12	45335.24	125016.83	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	36041.21	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	18.35	110523.31	101137.64	151963.58	0.0	0.0	0.0	985.16	0.0	86.31	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93	0.0	0.6	0.7	214.21	196.57	200.76
Plk2	15.76	0.24	0.66	742.22	159.23	295.56	477.94	286.78	353.21	316.03	405.17	304.47	595.13	413.93	8.56	1.96	20.66	0.13	0.12	62.92	1.61	0.0	122.01	0.11	45.23	0.0	83.09	378.75	0.32	44.07	55.93	0.5	0.0	343.29	315.87	0.0	179.89	0.0	0.09	0.0	201.64	33.93	0.71	6.1	24.97	0.0	19.56	0.11	68.33	48.05	0.53	279.58	73.07	518.86	360.32	98.42	321.37	0.0	0.2	0.08	49.62	0.52	60.26	1.16	22.56	80.83	0.0	0.03	466.89	276.49	281.31	222.81	188.72	184.71	157.37
Prmt8	0.0	0.0	0.0	477.43	159.92	29.07	46.08	188.52	92.71	86.51	151.49	302.95	204.84	146.3	0.0	0.31	0.1	0.15	0.0	0.11	0.09	0.0	0.1	0.0	0.0	0.0	0.0	130.26	0.0	0.0	1.05	0.0	0.0	203.19	315.97	0.0	61.8	0.0	48.44	0.0	73.91	0.05	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.1	0.0	61.15	33.8	47.73	55.31	248.36	56.6	0.0	44.29	0.0	0.0	0.12	0.0	0.0	64.14	0.19	15.47	0.05	210.1	66.68	46.75	47.77	89.09	88.89	85.48
