	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20
Fbxl14	0.52	0.0	4.11	1.12	0.44	1.1	37.8	11.2	4.21	0.44	2.99	1.01	2.78	0.0	6.01	1.96	0.0	1.87	0.23	0.92
Fzd3	0.09	0.07	80.0	25.83	0.13	0.0	159.88	70.06	13.13	24.35	15.26	52.23	39.63	0.14	0.43	0.0	0.29	0.84	27.69	49.8
Gm13306	0.0	0.0	0.3	113.94	0.0	0.0	10.7	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Gm2506	0.0	0.0	0.3	113.94	0.0	0.0	10.7	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Gprasp2	0.0	0.0	82.25	267.14	0.0	0.0	0.68	7.82	43.91	106.83	71.39	3.61	9.93	0.0	0.19	0.0	0.09	0.16	89.07	16.8
Gucy1a3	0.0	0.0	147.42	74.32	0.0	0.0	0.0	5.47	17.24	43.79	44.75	0.0	30.06	0.0	0.0	0.0	0.0	0.0	0.0	256.95
Gucy1b3	0.0	0.0	749.54	2.42	0.0	0.0	29.39	81.57	210.44	199.26	116.11	210.63	198.72	0.1	187.27	0.0	0.0	0.18	30.96	261.08
Kalrn	1.14	0.0	78.14	144.75	0.21	0.91	41.4	34.42	69.74	25.35	36.87	34.91	39.04	1.05	1.33	0.81	0.37	2.65	15.51	129.08
Kcnma1	0.0	0.0	179.99	7.76	0.0	0.0	21.29	66.8	51.33	3.45	84.72	50.72	19.3	0.1	0.15	0.0	0.07	0.0	44.79	138.73
Lsg1	0.0	0.0	158.46	0.13	0.0	0.0	367.73	23.26	1.03	0.0	9.2	11.55	0.0	0.0	0.32	0.0	0.0	0.0	119.69	0.0
Mir690	18673.1	26828.41	15143.79	25738.25	15562.4	14765.71	30464.78	30528.33	39867.27	42000.18	37370.15	37614.4	32522.04	27509.93	44948.68	27759.51	17671.81	35532.88	48007.3	23496.94
Nufip2	16.76	16.1	195.26	206.47	22.31	0.18	217.46	177.13	101.11	92.76	158.75	160.52	114.61	207.23	265.05	0.17	0.28	25.28	72.52	130.36
Pip5k1c	0.0	0.0	24.7	144.31	0.0	0.0	63.67	62.57	12.34	27.19	31.24	29.88	64.92	0.08	0.17	0.0	0.0	0.0	69.15	526.13
Polr1e	0.0	0.15	49.17	0.41	0.0	0.3	0.77	0.46	26.43	0.12	0.0	39.63	36.63	0.0	0.96	0.0	0.0	2.42	32.03	5.52
Ppa1	0.0	0.0	608.6	230.86	0.0	0.0	258.83	167.94	490.77	206.99	140.74	133.15	220.17	0.0	0.58	0.0	0.0	0.0	175.45	4.74
Psma3	0.0	1612.72	811.43	313.45	0.39	20.8	482.03	287.62	391.12	560.46	754.8	750.04	404.39	0.71	557.7	0.0	1.01	412.54	447.2	1096.68
Rgs2	0.17	0.0	171.31	0.0	0.0	0.0	0.86	73.86	15.3	36.11	80.98	0.0	12.77	28.08	0.24	0.0	0.82	1141.33	0.0	241.66
Rnf5	0.0	0.0	432.4	246.83	0.0	0.0	4.86	144.2	40.58	223.36	3.8	81.65	0.0	0.0	0.0	0.0	0.33	0.0	53.81	885.2
Scn8a	0.0	0.0	40.63	195.96	0.0	0.0	42.54	70.85	98.95	42.57	45.7	17.47	20.84	0.03	0.19	0.0	0.06	0.0	20.74	100.92
Slc24a2	0.0	0.0	140.68	4.69	0.0	0.0	27.08	159.64	63.94	28.13	80.67	3.11	62.17	0.06	0.21	0.0	0.14	0.0	32.71	143.62
Snord116	0.0	0.0	2.14	8.03	0.0	0.0	35.0	5.77	12.39	3.1	21.53	0.0	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Snord116l1	0.0	0.0	2.14	8.03	0.0	0.0	35.0	5.77	12.39	3.1	21.53	0.0	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Snord116l2	0.0	0.0	2.14	8.03	0.0	0.0	35.0	5.77	12.39	3.1	21.53	0.0	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Sprr2a1	0.0	0.0	0.4	0.77	0.0	0.0	0.0	0.34	0.36	0.88	1.29	0.1	0.2	0.0	1.82	0.0	0.0	0.0	0.09	2.0
Sprr2a2	0.0	0.0	0.4	0.77	0.0	0.0	0.0	0.34	0.36	0.88	1.29	0.1	0.2	0.0	1.82	0.0	0.0	0.0	0.09	2.0
Srsf7	0.0	0.0	418.99	608.53	0.0	0.0	1.16	326.47	310.0	90.35	436.69	338.84	358.01	346.82	679.13	0.64	0.31	0.0	255.88	181.91
Wasf1	0.0	0.0	329.82	417.94	0.0	0.0	144.5	208.12	248.78	314.73	344.33	291.29	420.06	0.25	0.29	0.0	0.28	0.0	270.48	589.92
Zfp191	0.0	0.0	110.5	0.1	0.0	0.0	0.41	2.15	0.0	6.96	1.03	34.81	14.89	0.1	0.0	0.0	0.0	0.0	13.64	245.25
