	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Adat2	0.0	0.0	0.0	2.54	0.0	20.86	0.0	0.0	0.0	39.21	0.0	0.0	9.09	9.16	9.72
Agpat5	0.0	19.23	16.55	11.32	0.0	0.07	12.3	19.74	0.24	76.98	0.0	0.09	30.53	29.34	30.23
Alas2	0.0	0.0	0.0	2.72	0.0	3.77	0.0	0.28	0.0	11.01	0.0	0.0	2.36	1.46	2.46
Alg2	0.0	51.97	96.01	47.51	73.08	94.08	58.57	0.53	74.28	279.39	57.71	102.8	115.6	116.47	110.95
Ambra1	0.0	0.0	11.59	0.18	0.72	13.54	0.56	0.0	0.0	39.78	3.97	0.0	37.27	36.0	38.75
Apba3	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.29	0.0	0.0	17.6	19.89	18.64
Atf5	0.0	0.0	6.15	0.0	13.21	6.16	0.0	0.0	0.0	27.38	0.0	14.43	18.53	19.7	21.07
B130024G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.03	0.55	0.52	0.62
B3galt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.01	0.0	0.0	5.88	6.79	7.7
B430306N03Rik	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.14	0.16	0.09
BC017158	0.0	3.14	0.0	0.0	0.0	2.85	0.0	0.63	0.0	36.9	0.0	0.27	20.15	19.36	19.04
BC027072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.78	0.0	0.0	0.25	0.17	0.16
BC064078	0.0	0.0	2.81	0.88	0.0	0.7	2.56	0.0	0.0	6.51	0.0	0.0	6.69	6.66	4.87
Bcan	0.0	34.26	44.98	0.69	0.0	15.73	24.59	33.17	20.62	66.27	39.72	0.13	178.7	198.72	211.04
C2cd4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.88	0.0	0.0	7.9	8.39	7.45
Camk1	0.0	2.72	0.33	0.22	4.25	0.0	0.0	9.19	6.76	45.31	1.06	0.0	83.62	90.44	84.66
Car15	0.0	10.27	0.0	0.0	0.0	8.31	0.0	0.0	4.22	31.0	0.0	0.0	7.11	7.98	8.01
Casp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.45	0.0	0.0	5.01	5.3	4.95
Ccdc106	0.0	0.28	0.0	21.6	1.41	0.0	0.0	6.51	0.0	33.91	0.0	0.35	31.72	37.52	30.04
Cd6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	2.74	2.17	2.38
Cep170	0.0	7.49	14.76	8.7	21.7	12.78	21.24	2.07	3.99	61.96	14.49	54.63	36.49	32.62	36.57
Cog8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.34	0.0	0.0	26.93	30.52	31.31
Cpt1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	1.56	1.07	0.62
Creld2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8	0.0	0.0	19.36	19.49	16.81
Crlf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.06	0.0	0.0	18.3	21.11	20.21
Ctrl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.71	0.0	0.0	0.92	0.86	1.06
Cx3cl1	0.0	6.82	25.27	12.07	46.88	23.54	0.26	40.21	4.73	67.48	20.82	63.15	619.59	598.38	626.22
D10Wsu102e	0.0	9.89	0.0	0.0	1.5	1.89	0.0	2.45	0.0	80.5	7.61	67.03	15.84	15.63	14.99
Dem1	0.0	7.83	0.0	0.16	0.0	0.0	0.0	0.0	0.0	71.33	0.0	0.0	9.09	8.65	7.89
Diap2	0.05	0.17	0.21	0.55	0.61	0.35	0.21	1.67	0.16	16.03	0.38	0.13	11.58	10.44	11.07
Dmrta1	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.13	0.11	0.33
Efha1	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	23.96	66.05	29.32	0.0	23.4	22.71	21.26
Esyt3	0.0	0.0	0.0	0.47	0.0	0.0	0.9	0.0	0.0	14.56	0.0	0.0	2.88	2.92	2.89
F9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.14	0.1	0.15
Fam179a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	2.19	2.75	2.32
Fam186b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6	0.0	0.0	1.11	1.02	1.08
Fermt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.54	0.0	0.0	3.2	3.64	3.59
Fmnl2	0.0	13.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	34.74	18.52	0.0	24.37	22.36	25.34
Fpgs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	0.0	0.0	7.35	7.59	8.17
Gabrb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.97	0.0	0.0	32.51	26.05	33.46
Gadd45b	0.0	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.98	0.0	0.0	28.12	25.81	20.85
Gm10745	0.0	0.0	0.0	0.2	0.11	0.19	0.56	0.35	0.3	0.93	0.0	0.0	0.2	0.06	0.16
Gm11602	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	1.12	34.31	0.5	0.0	6.73	5.63	7.31
Gm1337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	0.0	0.0	27.73	28.82	26.18
Gm13845	1.33	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	79.69	2.82	0.0	5.25	5.54	5.42
Gm15412	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.16	0.0	0.0	0.09	0.0	0.0
Gm4301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0
Gm4312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0
Gm4340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	2.23	0.0	0.0	0.28	0.19	0.49
Gm4850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.79	0.0	0.0	0.0	0.0	0.0
Gm9897	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.31	0.0	0.0	3.99	3.36	4.3
Gm9961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Gmeb2	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	16.62	0.0	0.0	13.87	14.58	15.2
Gsg1l	0.0	30.82	0.02	0.0	0.08	49.03	39.2	0.71	0.0	50.92	0.1	0.0	68.85	61.79	72.47
Gtf3c2	0.0	1.46	16.99	0.07	1.66	10.17	0.84	2.12	20.57	36.67	0.0	1.75	37.4	36.75	38.16
Gxylt1	0.0	1.81	0.0	0.24	0.11	0.05	0.09	0.16	0.07	12.1	3.17	0.06	9.29	8.33	8.27
Iffo1	0.0	15.68	38.66	5.84	0.0	19.01	0.29	1.14	0.0	59.12	0.0	0.0	49.34	54.98	48.1
Igfbp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	10.12	9.95	10.49
Iqub	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	32.77	0.0	0.0	0.73	1.07	0.92
Ispd	0.0	0.0	0.0	0.0	49.23	0.0	0.0	0.0	0.0	66.21	0.0	0.0	6.93	6.26	6.36
Jag2	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.79	0.0	2.46	0.0	0.09	26.39	28.49	28.33
Klc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	1.79	3.12	1.76
Lhx9	0.0	0.0	0.0	0.0	0.0	6.72	0.0	0.09	0.0	104.32	0.0	0.0	1.29	1.61	1.31
Lig4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.91	46.85	0.0	0.0	8.14	7.01	7.21
Lrrc45	0.0	10.11	2.61	9.99	2.62	0.23	0.0	0.0	29.05	36.53	0.0	0.0	50.3	50.55	54.57
Mfsd4	9.16	4.59	23.96	14.33	10.39	36.22	38.83	5.61	8.18	189.89	9.8	3.45	56.06	58.28	54.29
Mgat4b	0.0	0.0	0.0	0.26	0.0	0.0	1.01	0.0	0.0	19.81	0.0	0.0	53.59	58.57	53.64
Mir5113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.09	0.0	0.0	0.0	5.38	0.0
Mlycd	0.0	0.0	27.94	22.07	2.3	0.0	44.43	0.0	0.0	93.67	0.0	0.67	24.25	28.0	28.09
Msi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	22.38	23.08	21.77
Mta1	0.0	22.04	1.15	7.3	11.32	0.0	0.0	0.0	0.0	24.69	0.0	0.0	51.69	54.19	55.54
Murc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.14	0.0	0.0	1.02	0.96	1.0
Myo19	0.0	1.11	0.24	0.0	0.3	1.85	0.0	0.0	0.0	14.13	0.0	0.09	7.05	7.18	7.28
Nav3	0.0	0.67	10.11	4.24	0.54	6.37	6.94	0.75	15.12	57.72	41.86	21.21	31.8	29.42	33.78
Neurl3	2.15	3.91	2.5	6.47	7.22	2.81	5.92	4.64	2.38	42.79	3.84	2.03	5.84	3.81	6.78
Nusap1	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	7.39	0.0	0.0	1.96	1.8	2.14
Olfr215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0
Oplah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	1.21	0.0	0.0	14.52	14.71	15.13
Pdf	0.0	0.0	24.29	0.0	10.07	13.43	0.27	0.0	0.0	57.48	0.0	0.23	47.66	44.06	37.05
Pdlim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28	0.0	1.65	9.95	12.68	11.43
Pfn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Plagl2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.0	6.0	2.46	0.0	5.55	5.21	5.26
Pmel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.24	0.68	0.3
Polrmt	0.0	0.38	0.0	0.16	6.6	0.0	0.0	0.29	0.0	55.38	0.0	0.0	18.4	21.44	20.42
Ppp2r5b	0.0	0.71	1.19	0.0	0.06	0.31	3.17	6.97	0.0	65.35	44.06	0.26	116.6	126.11	122.75
Pvrl2	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	28.08	46.11	0.0	0.0	5.96	7.7	6.95
Raf1	0.0	1.09	0.15	6.79	1.24	18.44	19.03	0.0	0.29	74.6	0.0	1.02	66.43	68.35	63.65
Ribc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.89	0.0	0.0	0.53	0.94	1.23
Rrm2	0.0	0.22	0.0	0.0	0.0	0.0	0.0	4.23	0.0	60.48	0.0	0.0	2.82	2.4	2.45
Sap30	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	22.69	0.32	0.0	6.29	9.36	6.34
Scd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	100.21	100.65	111.27
Slc22a13b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.22	0.0	0.0	1.51	1.22	1.17
Snap29	0.0	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	60.42	0.0	0.0	22.72	20.53	17.65
Sun2	0.0	0.0	2.09	0.0	2.7	0.52	0.0	0.0	0.24	11.97	0.0	0.0	35.57	40.71	40.21
Tfeb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.03	0.0	0.0	7.17	7.36	8.06
Trcg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.04
Trhde	0.0	0.0	0.0	0.0	3.2	0.0	12.78	0.0	0.0	17.89	0.0	0.0	18.34	16.98	17.46
Ttc25	0.0	0.85	0.69	0.19	0.08	0.09	0.43	0.0	0.8	25.39	0.34	0.0	1.26	1.6	1.2
Vldlr	0.06	0.0	5.51	18.19	0.21	29.47	4.51	3.49	28.05	65.14	0.88	42.99	36.0	32.4	35.55
Vmn2r57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.91	0.57	0.51
Vmn2r58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0
Vmn2r59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0
Vmn2r61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
Wdr25	0.82	0.61	0.85	0.12	1.33	0.0	0.46	0.46	0.0	31.3	0.86	0.13	5.68	6.33	6.35
Xylt2	0.0	0.0	0.0	25.08	0.0	0.0	0.0	0.0	0.0	49.17	0.0	0.1	18.34	21.39	18.84
Ypel1	0.0	0.0	0.0	0.0	0.0	0.0	4.3	0.0	0.34	5.05	0.0	0.0	25.96	28.29	24.98
Zbed3	0.0	0.0	0.0	5.73	0.0	0.0	0.0	0.0	0.0	24.23	0.0	0.19	11.48	12.15	13.15
Zfp282	0.0	0.0	0.0	0.0	0.0	4.63	0.0	0.0	0.0	15.25	0.0	0.0	9.84	9.67	9.87
Zfp574	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	40.28	0.0	0.0	20.24	21.56	19.83
c11_tRNA-Arg-CGG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13	0.0	0.0	0.0	0.0	2.79
c13_tRNA-Arg-CGG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13	0.0	0.0	0.0	0.0	0.0
mt_AF357461	0.0	0.0	0.0	13.36	101.6	0.0	0.0	0.0	0.0	177.03	16.48	0.0	0.0	22.12	5.95
mt_AK131586	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.94	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
