	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atp5b	721.2	644.6	0.18	1174.83	0.0	1010.38	311.91	657.4	338.72	947.15	678.82	900.29	687.22	754.94	825.32	928.59	646.13	207.35	673.63	278.74	451.19	850.13	520.88	849.41	639.19	0.0	358.32	221.16	563.66	609.08	304.8	118.5	268.44	630.59	923.81	862.56	630.45	633.4	1335.8	1460.35	1361.61
Atp8a1	24.77	23.25	0.04	61.99	4.84	17.12	53.05	23.69	58.07	12.34	13.42	37.58	15.3	17.25	85.33	24.96	11.94	10.27	27.46	46.06	39.19	10.52	10.72	8.2	48.99	9.75	35.74	17.09	0.46	9.92	0.0	15.85	26.01	9.56	30.42	37.33	43.61	39.21	95.39	93.01	98.58
Atp8b4	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.07
B3galt4	0.0	0.0	0.0	121.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.67	5.54	0.45	5.88	6.79	7.7
Camta2	8.63	4.34	0.0	113.07	0.0	2.98	0.0	0.07	0.05	0.0	0.95	0.96	2.14	0.0	0.0	0.82	0.07	8.44	0.25	0.82	0.0	0.0	0.0	5.17	10.36	0.0	0.0	16.89	0.0	0.0	0.65	0.0	0.13	0.0	0.71	13.86	8.1	8.28	170.0	169.56	174.78
Casp8ap2	2.41	0.0	0.0	46.38	0.0	0.0	0.01	0.05	0.05	9.51	0.0	0.42	40.87	0.0	1.76	33.71	0.0	13.37	0.0	0.0	2.3	0.0	7.91	2.1	0.94	0.0	0.0	14.39	0.0	0.0	6.26	4.88	0.0	0.0	3.77	4.83	9.07	8.05	5.9	4.26	5.42
Cenpw	0.0	0.0	0.0	176.78	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	50.74	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.43	0.0	12.78	0.0	0.0	0.0	3.68	0.0	0.0	0.0	0.0	24.84	19.92	18.93	4.29	4.48	5.79
Chsy3	0.0	0.0	0.0	14.22	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	7.58	9.51	12.18	11.49	10.64
Dgcr14	0.0	0.0	0.0	81.33	0.0	0.0	0.03	0.73	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.69	37.61	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	47.54	14.98	16.96	11.81	20.08	23.52	22.67
Dlk2	0.0	0.0	0.0	89.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.93	0.0	0.0	0.0	51.44	0.0	6.84	0.0	13.98	0.0	26.89	0.0	0.0	20.99	0.0	0.0	0.0	0.0	0.0	0.0	1.6	3.69	41.92	49.99	43.43
Drosha	9.17	0.45	0.0	68.79	0.0	2.78	1.72	0.07	1.95	2.04	7.74	0.57	21.24	23.63	15.7	9.33	0.91	34.47	34.23	0.46	42.89	2.41	13.78	0.0	19.41	0.0	32.98	0.44	0.0	49.57	0.0	9.73	0.2	0.0	56.55	25.78	14.04	20.88	72.26	69.27	68.76
Dyrk1b	1.27	1.37	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	31.4	31.23	33.79
E2f5	0.0	0.0	0.0	101.36	0.0	0.0	0.0	0.0	0.0	10.75	0.0	0.0	0.0	0.0	0.0	25.05	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	4.32	0.0	0.0	17.49	1.2	14.07	4.98	6.03	12.39	13.28	11.86
Eci1	0.0	0.0	0.0	98.14	0.33	0.0	1.06	0.23	0.1	0.0	0.0	0.0	0.0	0.22	0.0	57.92	27.23	0.0	0.0	0.25	0.24	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.51	0.0	0.56	3.41	0.0	0.0	0.68	10.81	5.9	1.68	23.8	29.27	25.54
Efhd2	46.4	81.34	0.0	135.51	0.0	31.82	14.57	25.07	118.12	48.16	14.23	58.48	60.98	37.7	3.88	2.97	40.65	32.09	0.0	0.0	1.82	61.8	34.12	15.55	61.85	0.0	52.04	18.63	0.0	91.31	88.3	75.05	44.42	0.18	42.36	183.35	108.17	112.36	252.09	258.98	262.64
Erc2	47.23	0.0	0.0	57.57	0.0	16.29	26.04	0.95	0.0	0.0	25.23	30.0	31.98	16.59	19.58	0.0	0.0	0.03	7.28	7.87	12.46	2.99	14.15	16.01	26.14	0.0	29.92	0.05	0.0	33.33	10.92	0.25	0.1	5.83	12.16	19.68	23.48	20.08	83.33	78.03	78.63
F2rl2	0.0	0.0	0.0	9.27	0.0	0.0	0.03	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.22	0.0	0.0	0.06	0.0	0.0	0.0	0.09	0.14	0.0	2.03	1.35	1.34
Fam43b	0.0	0.0	0.0	41.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	3.77	0.0	0.0	0.0	0.0	10.12	0.0	0.0	0.0	5.01	0.88	0.51	2.19	1.19	30.66	33.57	27.0
Fasn	1.02	2.24	0.0	35.96	0.0	0.03	0.13	2.41	4.29	8.7	0.4	3.9	10.14	1.67	0.0	3.71	4.89	10.68	0.31	1.63	7.12	0.03	2.47	3.45	1.0	0.0	5.08	2.85	0.05	1.84	0.0	0.0	0.0	5.03	1.53	4.01	2.63	5.61	77.8	80.97	82.98
Fgf23	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.77	1.24
Fnbp1l	1.97	5.13	0.0	28.84	0.0	0.03	3.46	0.04	0.04	3.98	0.18	11.69	3.77	12.69	14.03	4.21	25.39	0.0	0.87	0.0	5.92	21.04	2.05	7.49	37.61	0.0	0.97	6.41	0.0	0.72	1.34	2.58	0.12	0.0	1.33	57.32	22.8	21.81	70.63	59.91	69.07
Frat2	0.0	0.0	0.0	0.75	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.11	0.0	0.0	0.0	0.0	0.11	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.81	7.51	8.93	8.29
Gm10324	7.0	0.37	0.0	37.14	0.0	5.05	1.91	2.14	4.37	0.7	0.49	0.47	3.86	0.17	3.42	0.0	3.67	0.0	0.0	8.28	0.0	1.17	3.03	8.01	5.47	0.0	0.53	7.67	0.0	1.19	0.0	0.0	2.05	0.0	0.08	7.31	3.2	5.62	2.13	1.34	2.37
Gm9705	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.19	0.0
Hist2h2aa1	0.72	4.0	0.0	168.02	0.0	8.7	0.0	0.0	0.0	0.0	0.0	72.31	0.0	0.0	25.86	4.96	0.0	0.0	48.06	0.0	0.0	0.0	0.0	0.0	5.48	0.0	0.0	0.0	0.0	18.35	0.0	0.0	0.0	0.0	1.43	3.17	4.98	3.67	49.46	45.6	54.85
Ift122	0.0	0.0	0.0	107.52	0.0	0.0	0.0	0.0	0.0	0.0	0.08	7.68	94.55	0.0	0.0	45.83	0.0	0.0	0.0	0.0	0.0	0.0	12.64	0.0	9.87	0.0	0.0	2.56	0.0	0.0	0.06	0.0	0.0	0.0	0.0	17.22	11.35	10.86	22.09	22.15	23.12
Izumo4	11.39	49.41	0.0	223.28	0.0	32.01	4.57	9.9	49.53	85.83	17.57	18.11	36.29	65.24	7.19	26.68	43.1	62.49	7.26	73.03	49.6	209.25	89.73	0.0	23.3	0.0	0.0	13.51	0.0	0.49	0.0	46.18	8.78	0.0	84.08	29.05	24.49	24.33	36.06	38.39	31.56
Kat2a	15.73	1.57	0.0	98.68	0.0	0.0	2.33	1.21	0.0	15.41	0.1	0.0	0.0	0.0	48.46	0.0	0.0	0.0	0.0	4.47	15.35	0.1	0.0	0.0	8.23	0.0	0.0	0.22	0.0	27.13	0.16	0.13	0.0	55.76	7.1	2.36	12.18	11.14	57.33	61.26	58.57
Kif3b	14.94	0.36	0.0	82.3	0.0	5.7	0.04	0.05	0.49	0.0	0.0	12.88	23.41	10.23	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.05	0.0	0.0	25.38	0.0	0.0	0.0	6.05	0.0	7.74	0.0	0.0	0.0	0.22	21.28	12.45	10.86	47.95	45.71	48.37
Klf16	0.0	0.0	0.0	26.7	0.0	4.96	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	1.15	13.37	3.75	0.0	0.0	6.94	0.0	0.0	0.0	0.0	0.0	0.19	0.51	0.0	0.0	0.34	4.53	11.82	12.71	42.76	47.45	41.34
Klf3	0.0	23.46	0.14	88.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.04	0.0	1.64	1.51	15.86	16.95	20.25
Klhl8	53.88	75.31	0.0	85.35	0.0	0.0	31.02	0.1	0.0	0.0	26.77	0.0	0.6	8.6	15.28	16.87	0.0	4.98	0.0	6.82	0.0	0.0	45.2	0.0	11.35	0.0	0.0	53.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	3.97	3.17	26.65	26.2	24.88
Ltv1	4.03	14.88	0.0	115.36	0.0	0.0	55.31	19.52	0.0	0.0	51.44	24.92	0.0	59.75	0.0	0.0	92.92	0.0	0.0	0.0	0.0	0.0	0.0	58.47	19.26	0.0	0.0	0.0	0.0	43.65	0.0	0.0	3.13	13.54	0.0	0.0	26.59	21.07	19.48	18.96	18.34
Mapk4	0.0	0.0	0.0	4.73	0.0	1.0	0.02	0.0	4.31	0.0	0.0	0.77	1.09	2.29	0.0	2.45	0.0	0.23	1.71	0.0	0.11	0.94	1.59	0.0	26.88	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	1.12	6.64	2.22	3.81	39.26	38.73	38.99
Meaf6	116.36	121.83	0.0	410.81	0.0	119.02	175.72	81.25	97.88	134.16	15.94	48.51	53.07	158.61	138.99	98.01	99.32	122.2	0.0	194.75	48.78	82.51	140.37	66.1	116.96	0.0	0.0	110.19	226.2	40.72	85.69	90.19	219.69	145.2	73.5	118.91	114.84	103.51	90.77	86.55	81.44
Med13l	11.2	3.34	0.0	20.38	0.0	3.11	7.64	1.6	3.86	1.84	3.58	4.91	3.49	1.52	0.05	1.15	2.84	7.39	18.51	3.52	1.46	0.19	3.68	1.92	15.68	0.0	2.25	2.4	0.23	2.91	18.03	0.0	2.93	1.67	4.84	9.95	8.17	10.23	34.62	32.78	36.67
Minpp1	23.73	0.0	0.0	47.01	0.0	28.89	24.91	1.36	0.77	0.46	1.42	3.56	0.12	2.8	1.23	0.67	58.19	0.49	0.64	0.54	0.1	5.36	2.62	0.44	15.87	0.26	1.65	8.9	0.39	4.23	0.63	0.72	5.46	1.67	29.83	12.27	8.42	9.56	59.35	61.13	56.37
Mpdz	12.44	0.72	0.0	42.14	0.0	0.35	34.72	4.28	0.0	4.78	1.87	4.27	0.0	1.03	2.81	0.0	14.44	2.35	1.45	0.0	10.75	2.95	0.0	0.0	21.59	0.0	39.52	0.0	0.0	10.04	0.0	27.19	4.94	0.0	0.0	5.31	7.73	7.34	26.84	24.58	27.21
Ms4a15	0.38	0.0	0.0	0.94	0.0	0.39	0.08	0.0	0.2	0.0	0.18	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.15	0.52	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.0	0.0	0.11	0.0	0.0	0.01	0.18	0.0	0.0	0.59	1.46	1.14
Mtmr14	9.57	40.17	0.0	73.1	0.0	0.0	0.0	0.57	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.47	0.0	0.0	5.63	0.0	0.0	0.72	0.09	0.58	0.0	0.26	0.0	0.0	0.0	0.0	31.23	0.0	0.0	0.0	8.86	7.46	3.25	15.6	13.83	12.34
Nans	0.0	0.0	0.0	137.44	0.0	0.0	2.18	0.11	0.0	40.02	0.0	17.53	0.0	55.05	27.28	4.96	17.37	29.32	0.0	0.0	0.0	0.0	25.39	0.12	23.33	0.0	0.0	0.0	0.0	23.09	0.0	32.8	0.16	0.0	0.0	23.54	17.52	12.15	15.07	15.81	14.58
Neurl4	0.0	14.85	0.0	59.83	0.0	0.0	0.68	0.0	3.22	14.17	0.18	0.0	0.06	0.0	5.96	0.0	0.0	22.82	8.69	15.58	8.14	8.45	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	12.91	17.89	15.29	2.49	3.37	59.16	60.88	60.75
Nfil3	0.0	0.0	0.0	194.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	0.0	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	12.75	5.05	8.96	13.09	10.32	9.66
Noc3l	0.32	0.63	0.0	36.84	0.0	0.39	0.12	0.36	4.44	0.24	2.73	5.83	0.08	0.14	0.06	0.0	0.73	1.38	0.35	1.39	0.03	5.47	0.55	0.0	6.11	0.4	0.19	0.08	0.51	0.83	0.12	7.86	0.0	0.11	0.09	8.34	3.39	6.65	11.39	10.6	10.11
Npas2	0.0	0.0	0.0	40.2	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	12.85	0.0	17.55	0.0	0.26	0.0	0.0	0.0	17.24	0.0	0.0	4.84	5.72	8.25	24.96	26.62	28.47
Npy	138375.8	173305.25	0.0	59230.28	0.0	132042.44	149629.49	116117.28	120987.76	122165.94	132052.33	122154.33	98464.67	130527.91	173863.58	126989.03	166048.87	191162.16	108906.97	154857.31	124150.07	147732.76	141010.39	101137.64	985.16	0.0	180453.32	92572.95	8484.11	137945.15	49931.63	95298.15	137580.94	65353.97	120620.2	0.0	0.0	0.7	214.21	196.57	200.76
Nup205	0.0	6.73	0.0	38.41	0.0	0.0	0.0	0.0	0.0	22.23	15.15	0.0	0.0	10.53	11.87	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.13	0.0	3.66	0.0	0.18	0.75	1.87	14.87	0.0	0.0	1.64	7.99	9.41	0.62	3.11	2.75	15.31	13.61	14.92
Pcdhb14	18.17	0.0	0.0	87.56	0.0	0.0	35.53	0.0	0.0	0.0	0.0	0.0	0.0	6.6	0.0	5.59	11.02	0.0	0.0	0.0	0.0	14.38	0.0	0.0	0.0	0.0	5.05	0.0	0.0	2.69	58.97	30.0	0.0	0.0	0.0	0.35	6.0	2.37	6.62	4.89	6.76
Pkib	0.0	0.0	0.0	21.26	0.0	0.22	0.02	0.19	0.1	0.05	0.0	0.07	0.02	0.05	0.09	0.0	0.0	0.12	0.05	0.0	0.0	0.0	0.15	0.0	5.58	0.0	0.04	0.49	0.2	0.04	0.0	0.0	0.0	0.58	0.01	2.25	0.0	0.39	3.75	3.56	3.72
Pla2g12a	0.0	0.0	0.0	127.67	0.0	0.0	0.06	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.0	37.27	0.0	0.0	0.0	2.09	0.0	0.4	0.0	0.0	3.09	0.0	0.0	0.0	0.0	33.17	0.0	0.0	8.48	7.36	1.33	22.11	23.41	19.44
Pou6f1	22.89	0.15	0.0	109.99	0.0	0.0	0.12	14.56	0.12	0.0	0.0	0.18	0.07	0.0	0.0	20.02	25.31	0.0	0.0	0.0	0.06	3.1	0.0	0.0	4.38	0.0	0.0	53.41	0.0	1.2	35.12	23.75	51.34	0.09	0.16	4.61	5.82	2.18	75.93	74.16	76.43
Pphln1	0.95	30.59	0.0	138.56	0.93	66.66	49.89	0.34	5.03	19.28	2.72	22.06	58.44	3.63	34.13	0.0	24.49	3.84	0.85	79.52	0.05	5.04	0.43	2.78	16.81	0.52	12.15	0.04	1.91	2.77	7.55	3.07	0.41	2.51	0.21	19.76	27.67	18.81	29.13	25.73	26.27
Ppp1r3f	0.0	0.0	0.0	39.85	0.0	0.05	0.0	3.67	0.0	0.0	0.0	14.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.55	0.0	4.01	3.68	0.47	0.0	7.19	0.0	0.0	0.0	0.0	0.0	3.27	0.0	0.0	0.45	2.16	3.12	20.07	21.65	21.02
Pten	32.82	17.21	0.0	88.52	0.0	16.3	20.68	12.7	12.66	14.15	18.72	31.83	16.16	15.4	21.33	33.38	18.37	6.36	45.27	34.61	15.94	5.83	18.84	6.46	34.83	0.0	15.66	30.2	20.51	26.98	16.74	11.73	18.81	37.05	16.46	55.97	35.2	42.1	64.81	63.48	64.75
Rab12	80.88	27.79	0.0	158.36	0.0	8.76	42.14	13.44	35.15	35.91	20.98	42.42	14.95	16.79	54.72	108.56	12.97	6.64	19.34	13.21	50.34	10.4	16.46	10.59	81.39	0.0	52.89	27.49	1.35	24.82	3.49	54.65	2.13	0.44	18.82	41.67	38.48	50.51	112.99	122.88	106.48
Rad18	42.33	0.0	0.0	107.35	0.0	0.0	0.0	0.0	27.78	0.0	0.0	0.2	0.0	0.0	52.19	0.0	28.27	0.0	0.0	0.0	0.0	0.0	4.71	0.6	6.39	0.0	0.0	0.0	1.19	0.09	8.38	32.07	0.0	0.0	0.0	1.41	2.01	5.52	5.98	5.27	4.83
Rbbp7	85.19	93.57	0.0	213.78	0.16	102.99	0.22	54.79	73.15	34.82	0.0	70.65	51.51	20.9	3.63	38.66	120.11	0.1	99.79	7.59	58.81	1.42	10.52	24.73	125.63	0.0	102.67	92.38	0.0	6.16	14.74	128.23	39.75	18.58	78.03	110.88	127.27	102.39	130.84	128.69	120.66
Rbfox3	8.5	8.63	0.0	26.0	0.0	5.19	2.52	2.04	12.3	11.2	20.78	26.2	17.77	2.52	6.44	0.0	0.0	3.83	12.14	0.31	6.01	0.39	6.36	4.76	23.13	0.0	14.91	5.04	0.36	13.57	12.96	21.37	0.2	5.52	5.28	33.93	34.55	34.4	216.71	228.38	226.62
Rc3h2	1.97	1.87	0.0	38.34	0.0	7.45	0.32	20.15	15.58	0.0	23.51	20.77	0.55	21.3	12.26	5.11	0.64	17.54	0.37	2.66	0.0	6.97	46.43	0.0	28.8	0.0	0.85	7.27	0.0	0.22	20.38	0.06	0.57	1.35	0.82	28.34	12.66	13.93	22.94	22.03	22.2
Rnf10	1.64	0.22	0.0	72.41	0.0	1.01	29.53	31.67	0.75	10.54	18.28	48.4	5.47	12.08	2.47	0.56	0.62	30.37	20.08	2.3	20.91	15.73	0.53	2.46	5.81	0.0	11.88	12.98	0.0	48.95	39.49	40.68	2.53	0.14	17.31	8.46	20.63	15.36	191.64	200.37	195.73
Rnf113a1	0.0	0.0	0.0	108.35	0.0	0.0	0.0	0.0	18.96	0.0	0.0	21.51	0.0	0.0	0.0	0.27	64.68	0.0	74.03	0.0	0.0	0.0	96.45	0.0	14.74	0.0	0.42	0.0	0.0	31.48	0.0	0.0	0.0	62.4	17.99	33.93	22.45	17.87	9.32	10.64	10.18
Sephs1	0.0	13.76	0.0	66.87	0.0	0.0	0.0	0.0	2.7	0.0	28.79	0.0	0.0	0.0	0.0	0.0	18.79	0.0	29.49	0.04	0.0	0.0	0.0	0.0	8.04	0.0	0.08	0.0	1.4	0.0	5.05	0.0	0.0	0.0	0.02	1.0	7.81	7.37	13.29	12.28	14.35
Sh3bp5	33.99	0.55	0.0	108.35	0.0	1.65	0.0	0.12	0.05	0.0	3.77	0.0	29.24	0.11	0.4	1.9	1.73	0.0	0.0	0.0	0.0	21.44	0.11	0.0	17.94	0.0	0.28	0.14	0.0	18.86	0.0	0.0	11.09	0.0	0.0	9.24	8.53	5.76	50.55	55.86	51.64
