	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_1	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Cntnap4	0.0	2.65	0.0	0.0	0.0	0.0	151.17	25.78	0.0	0.0	0.0	12.47	64.3	21.11	37.69	0.0	0.0	25.91	41.23	26.6	10.89	24.19	51.78	53.64	31.41	51.92	38.12	33.72	83.66	85.94	73.07	56.11	62.93	33.19	99.12	116.58	15.11	104.07	121.95	49.43	73.72	109.18	58.52	71.65	34.91	33.08	105.12	63.15	82.12	104.72	61.73	49.84	42.06	21.05	166.01	25.83	0.0	64.34	41.18	38.4	4.89	35.18	79.94	4.23	44.83	73.93	31.82	1.24	96.26	29.07	73.53	11.59	36.07	134.88	114.07	30.68	0.08	0.08	0.0	74.25	10.43	0.73
Galt	0.0	404.96	12.72	0.0	0.0	0.0	0.0	0.0	0.0	286.47	66.75	148.33	71.95	19.98	63.83	0.0	0.0	21.8	110.73	0.0	11.32	33.88	62.88	0.27	123.2	25.63	45.71	22.7	43.76	18.65	50.02	125.84	0.0	6.13	3.31	12.76	24.27	130.67	98.76	9.17	28.2	4.47	131.79	0.0	36.83	148.95	45.5	53.02	4.64	34.33	64.33	0.98	24.15	132.45	145.06	40.75	0.23	104.8	94.0	85.74	106.65	50.63	57.26	73.64	39.54	108.71	33.44	21.91	81.81	1.59	49.96	22.84	26.28	23.5	182.87	90.56	0.63	0.0	0.0	2.41	5.81	0.0
Ggt7	0.0	0.0	0.0	0.0	0.0	0.0	51.75	88.0	0.0	0.0	46.03	38.58	131.64	13.32	105.96	0.0	0.0	12.27	45.68	25.1	9.34	67.13	45.18	53.26	53.55	167.89	25.57	29.69	66.35	8.97	48.52	0.25	75.59	40.25	79.04	90.5	36.78	241.87	10.65	52.8	20.57	97.76	22.12	35.44	194.87	70.01	96.23	210.26	32.71	36.49	51.33	117.49	59.48	20.45	66.7	111.49	0.17	134.2	44.94	0.0	74.96	60.29	35.13	115.68	113.37	12.2	112.8	145.53	150.76	36.55	94.71	25.0	107.57	77.02	39.6	176.11	0.32	0.0	0.0	52.65	63.73	31.27
Gm13306	0.0	0.54	0.0	0.0	0.0	0.0	9.27	2.09	0.0	0.0	16.88	0.77	2.51	0.6	1.67	0.0	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	1.08	0.0	4.51	0.0	7.64	1.16	0.0	0.0	0.68	11.35	0.0	24.17	0.0	0.0	0.0	3.31	2.97	0.0	2.97	3.28	0.76	5.49	1.44	0.31	0.0	0.0	11.61	10.04	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	0.0	1.65	0.3	0.0	0.74	9.34	0.46	0.23	0.0	1.25	0.79	0.21
Gm14430	0.0	0.0	0.0	0.0	2.78	0.0	21.67	7.02	0.12	0.0	0.0	3.6	4.65	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	9.82	29.72	3.22	0.84	12.83	12.31	1.56	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.32	5.42	18.55	13.57	1.28	6.7	0.01	4.08	11.25	0.0	0.32	18.48	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	31.83	0.11	7.54	23.53	30.75	2.38	0.24	0.08	0.0	8.51	12.2	8.24
Gm14434	0.0	0.0	0.0	0.0	2.78	0.0	21.67	7.02	0.12	0.0	0.0	3.6	4.65	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	9.82	29.72	3.22	0.84	12.83	12.31	1.56	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.32	5.42	18.55	13.57	1.28	6.7	0.01	4.08	11.25	0.0	0.32	18.48	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	31.83	0.11	7.54	23.53	30.75	2.38	0.24	0.08	0.0	8.51	12.2	8.24
Gm2506	0.0	0.54	0.0	0.0	0.0	0.0	9.27	2.09	0.0	0.0	16.88	0.77	2.51	0.6	1.67	0.0	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	1.08	0.0	4.51	0.0	7.64	1.16	0.0	0.0	0.68	11.35	0.0	24.17	0.0	0.0	0.0	3.31	2.97	0.0	2.97	3.28	0.76	5.49	1.44	0.31	0.0	0.0	11.61	10.04	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	0.0	1.65	0.3	0.0	0.74	9.34	0.46	0.23	0.0	1.25	0.79	0.21
Gm4724	0.0	0.0	0.0	0.0	2.78	0.0	21.67	7.02	0.12	0.0	0.0	3.6	4.65	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	9.82	29.72	3.22	0.84	12.83	12.31	1.56	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.32	5.42	18.55	13.57	1.28	6.7	0.01	4.08	11.25	0.0	0.32	18.48	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	31.83	0.11	7.54	23.53	30.75	2.38	0.24	0.08	0.0	8.51	12.2	8.24
Hapln4	0.0	0.0	0.0	0.0	0.0	0.0	41.38	59.93	0.0	0.0	0.0	0.46	92.86	92.41	104.79	0.0	0.0	65.14	55.19	24.87	43.61	23.79	103.96	69.88	26.6	52.52	0.0	11.88	0.76	71.64	68.58	5.34	107.81	67.19	27.6	55.46	44.85	17.67	59.67	0.17	24.38	66.3	0.42	30.7	31.52	37.89	5.02	56.97	44.5	30.51	108.62	112.74	76.99	34.79	9.9	33.23	1.88	10.92	37.32	32.28	45.07	137.16	44.07	43.76	36.94	59.55	83.37	23.35	10.78	43.62	49.85	38.51	28.31	18.52	16.58	60.25	0.0	0.0	0.0	10.46	35.37	1.17
Kcna1	0.0	0.0	0.04	0.05	0.05	0.0	129.7	58.68	0.0	0.0	29.47	29.55	74.68	111.65	109.21	0.0	0.0	218.51	203.62	67.88	155.4	214.98	258.51	120.88	231.33	194.23	83.41	255.22	281.96	237.12	175.41	53.8	198.9	245.4	209.54	455.33	193.33	96.38	33.81	55.56	151.11	167.48	31.55	159.56	126.88	28.07	81.48	229.17	158.39	203.93	147.2	121.61	254.23	229.92	28.71	114.35	157.09	186.92	175.67	169.76	275.53	204.13	173.91	195.32	61.55	140.07	97.29	130.18	124.46	83.12	175.44	45.32	96.21	255.31	267.03	247.3	0.0	0.04	0.0	183.93	93.58	67.55
Krt222	4.62	2.69	0.5	0.67	0.0	2.1	197.86	9.97	0.18	0.03	0.35	89.62	98.99	68.15	130.11	0.0	1.94	125.39	147.59	39.87	62.24	114.83	34.09	56.33	62.55	50.22	0.32	156.86	26.1	72.05	39.46	150.35	89.42	153.56	88.5	58.08	232.75	128.44	193.71	52.07	38.9	13.11	209.55	178.85	133.85	184.31	209.75	267.55	239.12	180.58	188.66	30.22	113.24	45.05	8.88	14.98	0.0	73.64	34.05	29.62	74.14	25.38	102.84	87.81	94.47	38.29	19.33	132.31	99.24	63.4	73.18	80.44	77.4	143.73	215.96	71.13	3.36	0.15	4.43	81.77	37.12	0.23
Ldhb	7486.96	8970.97	4107.23	5274.92	2732.22	1199.31	7692.96	8550.52	1744.47	5600.23	6393.76	6455.58	6832.63	7326.56	8752.31	2287.98	4338.23	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	5463.85	9220.91	9343.6	8808.99	6807.49	8620.64	7074.56	8223.21	8574.79	10165.1	6613.08	5594.14	9166.61	7814.88	9602.81	7785.08	7167.6	11261.44	7829.53	8285.69	6969.49	6159.05	10004.69	7259.91	6616.59	7112.99	9074.03	13571.31	7093.74	6421.98	3866.85	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	7551.43	6831.71	6728.17	7910.47	8351.44	11746.38	5217.81	3719.56	5577.5	6065.31	6577.4	7324.1
Lrfn5	0.0	0.0	0.0	0.0	0.12	0.0	0.0	5.2	0.0	0.0	0.0	0.0	9.1	0.71	5.48	0.0	0.0	0.0	26.18	0.0	0.64	0.18	0.0	1.74	6.43	5.26	1.2	0.0	1.16	31.65	14.93	0.0	47.76	0.0	21.85	1.21	0.0	65.21	0.0	0.0	11.63	0.0	24.81	6.57	0.0	0.0	49.47	0.0	9.5	0.0	0.84	25.71	1.14	15.35	30.13	0.0	0.0	29.98	26.22	22.68	5.93	12.99	0.0	0.0	0.0	0.0	0.0	1.08	0.15	6.75	1.27	0.0	0.0	0.0	46.08	12.3	0.11	0.11	0.0	5.53	0.0	0.0
Nme3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.92	0.0	0.0	0.0	34.92	46.47	0.0	59.84	0.5	0.0	0.0	69.81	15.0	6.63	0.0	34.41	77.66	78.5	0.0	32.66	0.0	0.0	0.0	0.0	159.57	0.0	0.0	0.0	49.63	40.85	0.0	31.72	0.0	27.49	1.09	35.74	0.0	73.09	67.8	22.13	24.56	85.43	0.0	0.0	45.71	41.93	0.0	59.02	82.75	58.65	46.25	0.0	0.0	57.37	0.0	42.57	0.0	52.34	56.2	22.46	38.36	71.89	0.29	0.0	0.0	0.0	37.57	37.94	0.0
Pvalb	0.0	0.0	0.0	0.0	0.0	0.0	1946.93	2914.72	0.0	0.0	0.0	1831.08	2258.23	2637.39	3332.67	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1185.42	1292.73	1298.9	649.51	1590.34	1199.86	1414.35	1417.67	862.9	1488.24	1662.23	1383.0	1316.24	1561.12	738.15	1251.83	538.76	1724.33	1917.82	930.94	1740.57	1346.22	1202.67	1275.46	1233.97	1769.21	841.9	825.05	1535.36	1815.89	1408.27	700.9	1300.19	1505.12	1731.8	1698.2	1628.71	1974.07	2136.15	1237.21	1344.6	1735.34	1295.74	1797.97	1199.14	1472.89	1914.29	1223.54	1915.25	1806.53	1689.22	1830.01	3516.69	0.0	0.0	0.0	2021.44	2070.85	1584.75
Rassf5	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.62	0.0	27.11	0.0	0.0	0.0	21.52	53.59	22.5	18.27	33.12	5.26	0.0	0.74	0.0	0.0	0.0	15.86	1.17	0.0	1.16	0.0	0.35	0.0	5.52	90.29	0.0	0.0	0.0	0.0	0.0	0.0	21.61	22.3	0.0	84.84	40.21	0.65	47.68	13.31	32.41	27.22	0.0	3.37	0.0	0.0	26.07	20.18	0.25	6.39	28.62	18.86	0.0	42.59	0.0	0.89	10.37	0.0	0.47	25.51	0.0	0.68	1.32	7.28	0.0	0.0	0.0	0.0	25.82	6.56
Scn8a	3.32	32.03	0.0	0.0	0.05	0.0	20.57	31.96	0.0	0.0	0.19	27.77	33.74	72.32	27.19	0.07	0.0	60.36	56.0	37.8	24.16	49.68	76.27	45.92	79.76	96.35	20.23	99.5	115.41	60.77	76.4	60.36	46.92	73.98	66.85	103.08	45.71	49.59	13.92	39.53	28.69	97.65	56.44	68.89	108.22	70.42	56.0	106.67	48.67	64.95	56.71	92.64	69.2	65.33	68.22	84.43	30.79	74.65	88.97	52.44	40.27	73.88	34.15	65.37	70.51	11.47	52.31	38.04	81.6	57.61	64.71	43.88	74.57	44.01	64.08	81.71	0.15	0.0	0.0	52.44	77.39	30.13
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	4.3	2.93	5.24	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	0.0	6.22	21.33	0.0	8.33	2.38	0.0	3.39	3.73	4.84	5.49	6.84	5.67	4.54	5.86	0.0	13.15	7.64	0.0	4.77	4.0	3.68	3.4	0.0	3.94	0.0	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	14.45	13.65	10.18	7.07	17.03	1.69	0.0	0.0	0.0	5.87	7.18	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	4.3	2.93	5.24	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	0.0	6.22	21.33	0.0	8.33	2.38	0.0	3.39	3.73	4.84	5.49	6.84	5.67	4.54	5.86	0.0	13.15	7.64	0.0	4.77	4.0	3.68	3.4	0.0	3.94	0.0	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	14.45	13.65	10.18	7.07	17.03	1.69	0.0	0.0	0.0	5.87	7.18	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	4.3	2.93	5.24	0.0	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	0.0	6.22	21.33	0.0	8.33	2.38	0.0	3.39	3.73	4.84	5.49	6.84	5.67	4.54	5.86	0.0	13.15	7.64	0.0	4.77	4.0	3.68	3.4	0.0	3.94	0.0	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	14.45	13.65	10.18	7.07	17.03	1.69	0.0	0.0	0.0	5.87	7.18	0.0
Snx16	0.0	0.0	0.0	0.0	0.18	0.38	0.0	39.34	0.0	0.0	50.66	0.0	84.65	47.9	31.15	0.0	0.0	69.08	3.6	0.0	89.55	16.57	103.19	17.67	1.57	18.69	72.34	0.31	19.95	26.06	17.64	111.63	14.71	0.0	91.05	50.67	33.36	104.15	0.0	0.0	47.55	0.83	14.17	0.0	19.92	0.0	38.55	57.24	3.28	34.45	68.45	0.0	10.18	24.93	0.0	57.49	3.03	0.65	17.77	15.42	8.26	26.12	10.65	0.0	24.77	63.32	33.54	0.6	26.73	17.89	40.97	34.48	61.23	27.87	25.0	0.0	5.8	0.0	24.67	4.72	3.97	1.8
