	Calb2_tdTpositive_cell_46	Cux2_tdTpositive_cell_117	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_1	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_45	Slc17a6_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1
Sh3gl2	1.4	437.42	0.0	0.93	1.0	1.31	0.84	0.0	0.87	2.56	2.63	0.0	0.47	4.85	119.68	69.83	83.53	375.48
Snurf	0.03	132.06	0.0	0.0	0.03	0.18	0.02	0.0	0.02	64.87	0.53	17.46	0.02	2.94	105.51	154.07	99.04	154.81
St8sia3	0.15	179.69	0.0	0.0	0.26	0.12	0.0	0.07	0.0	0.0	1.2	0.0	0.0	0.23	61.27	53.63	177.36	91.29
Trim2	0.13	62.25	0.21	0.17	1.4	1.01	0.0	0.0	0.06	5.71	0.22	0.31	0.24	2.19	80.22	41.06	45.33	23.66
Tyro3	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	42.84	0.08	184.64	23.34
Uxs1	0.0	8.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	579.48	0.0	0.0	0.0	0.0	90.37	29.19	53.27	19.04
Zcchc9	0.66	51.29	68.58	0.0	0.0	728.16	103.8	0.0	0.42	1.45	1.67	5.45	0.76	1.24	79.39	1.67	155.23	17.92
Zfp235	0.22	3.63	0.0	0.0	0.4	0.3	0.0	0.0	0.0	0.96	0.36	0.0	0.0	0.61	18.83	5.91	32.23	21.16
mt_AK136262	0.0	1.51	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.46	393.96	130.76	100.77
mt_AK142003	0.0	1.51	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.46	393.96	130.76	100.77
mt_AK166798	0.0	1.51	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.46	393.96	130.76	100.77
mt_AK166978	0.0	1.51	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.46	393.96	130.76	100.77
