	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_60	PvalbD.Slc32a1_tdTpositive_cell_9	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ribc1	0.0	0.0	0.0	0.0	96.72	0.53	0.94	1.23
Rnf122	0.0	0.0	0.0	0.0	0.85	3.66	4.15	4.44
Rundc3a	5.93	7.24	16.78	1.14	52.37	259.19	288.36	272.51
S100a6	0.0	0.0	0.0	0.0	0.41	22.69	24.87	26.37
Sec24b	0.0	0.0	0.27	21.17	21.94	36.07	34.4	34.96
Sh3pxd2a	1.54	0.0	0.0	0.04	13.68	19.99	19.21	19.26
Skap2	0.0	0.0	0.0	0.0	0.51	14.95	12.82	16.03
Slc22a6	0.0	0.0	0.0	0.0	0.01	4.78	5.29	3.85
Slc26a4	0.0	0.0	0.0	0.0	2.69	5.18	3.82	4.68
Slc47a1	0.0	0.0	0.0	0.0	0.11	3.15	3.07	1.74
Slc9a1	0.0	10.12	0.0	0.75	34.91	33.34	33.99	36.04
Snora35	0.0	0.0	0.0	0.0	39.66	0.0	0.0	0.0
Son	32.72	36.75	29.31	58.29	99.82	120.76	112.75	125.09
Spnb4	0.1	0.62	0.13	0.05	16.09	120.88	138.01	136.25
Stard10	0.0	0.0	0.0	0.0	21.36	84.76	84.9	82.82
Stmn4	38.28	0.0	144.09	36.85	184.82	296.95	326.33	304.73
Svep1	0.0	0.0	0.0	0.0	0.02	0.37	0.36	0.41
Synb	0.0	0.0	0.0	0.0	0.08	0.26	0.32	0.27
Tas2r139	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0
Tcf15	0.0	0.0	0.0	0.0	0.31	0.44	1.03	0.79
Tfam	2.12	2.03	29.23	0.0	116.66	20.22	20.62	20.25
Tfap2b	0.0	0.0	0.0	0.0	0.08	0.49	0.48	0.38
Thsd4	0.0	0.0	0.0	0.0	2.52	5.71	5.9	4.72
Tmco4	0.0	0.0	0.0	0.0	10.29	2.19	2.15	2.14
Tomt	0.0	0.0	0.0	0.0	41.55	9.67	7.27	7.96
Tpcn1	0.0	0.0	0.0	0.0	1.89	26.58	29.21	28.35
Trdmt1	0.0	0.0	0.0	0.0	71.44	4.27	4.27	6.28
Trim15	0.0	0.0	0.0	0.0	93.56	0.34	0.53	0.17
Tyro3	0.0	0.0	0.0	0.0	10.79	147.78	147.82	151.14
Uck1	0.0	0.0	0.0	0.0	79.0	41.96	46.95	41.68
Vmn2r37	0.0	0.0	0.0	0.0	1.03	0.1	0.0	0.08
Vmn2r42	0.0	0.0	0.0	0.0	6.73	0.11	0.1	0.35
Wdr89	0.0	0.25	0.32	0.11	113.94	2.76	2.3	1.9
Zbtb39	0.0	0.16	0.23	0.08	1.97	5.26	5.59	5.13
Zfp316	5.51	6.87	10.45	4.74	21.95	13.71	14.55	14.12
Zfp93	0.13	7.59	7.26	0.0	53.53	6.2	5.86	6.29
Zfyve21	0.0	0.0	0.0	0.0	117.05	19.72	20.37	19.42
Zim3	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0
Zkscan4	0.0	0.0	0.0	0.0	80.9	4.65	4.11	4.38
c1_5S	0.0	0.0	0.0	0.0	98.41	4.42	6.25	9.13
cm_LSU-rRNA_Hsa	0.0	0.0	0.0	0.0	42.22	95.86	58.43	8.85
mt_AK131586	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK131599	0.0	0.0	0.0	0.0	6.25	0.0	2.28	2.61
mt_AK166684	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
