	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_70	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21
Cpsf3	148.34	36.59	84.82	0.0	130.96	0.0	49.09	68.98	96.4	50.46	53.49	6.27	102.86	108.59	5.54	185.49	194.62	153.02	31.27	85.49	130.98	0.0	165.11	51.84	47.24	0.0	0.0
Dnajc19	0.0	0.0	35.03	0.0	123.96	0.76	20.3	28.04	212.98	71.77	215.32	268.21	122.49	219.26	24.31	399.46	381.29	57.06	112.95	159.06	2.84	44.15	208.47	78.12	73.64	235.81	0.0
Eif2ak3	0.0	0.0	0.0	0.0	38.04	0.0	0.0	2.0	0.0	0.0	23.93	0.0	18.76	1.92	37.0	9.0	13.33	1.29	2.4	0.0	0.0	0.0	0.78	0.0	0.0	0.08	0.0
Elavl3	0.0	25.46	0.41	0.0	3.0	2.24	34.6	47.89	18.22	9.19	25.54	38.43	41.96	74.83	13.37	78.12	33.64	37.76	49.85	15.48	28.22	33.47	31.98	14.54	38.14	0.21	0.0
Fam178a	0.0	0.67	0.05	0.0	13.1	0.14	0.0	11.34	7.12	1.72	25.41	7.3	9.97	25.89	9.64	24.07	5.67	17.84	15.63	21.11	10.38	13.4	34.4	35.78	10.41	0.0	0.0
G2e3	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	11.98	0.0	0.0	0.06	29.74	38.07	0.0	0.0	0.0	0.0	0.0	0.0	14.94	0.0	0.0	0.0	0.0
Gm14431	0.26	1.5	0.0	0.0	1.03	0.0	0.74	0.0	7.8	1.54	2.26	0.0	5.1	5.14	1.79	7.94	1.31	2.52	1.77	4.65	1.51	1.58	2.05	3.74	1.92	0.0	0.0
Gm4567	0.0	0.0	0.0	0.0	0.91	0.0	0.0	1.83	0.0	0.36	1.38	0.0	0.47	1.17	0.0	2.86	0.0	0.18	0.0	0.0	0.27	0.0	1.72	0.6	0.0	2.13	0.0
Gm8898	0.26	1.5	0.0	0.0	1.03	0.0	0.74	0.0	7.8	1.54	2.26	0.0	5.1	5.14	1.79	7.94	1.31	2.52	1.77	4.65	1.51	1.58	2.05	3.74	1.92	0.0	0.0
Hdlbp	0.0	2.91	0.0	0.0	50.52	0.0	10.21	13.1	34.49	28.57	19.16	6.74	23.55	68.48	59.99	104.53	92.64	49.11	13.47	22.65	55.87	15.24	55.64	10.46	44.13	0.0	0.0
Hif1an	0.0	0.0	0.0	0.0	17.31	0.0	0.0	27.24	10.95	4.28	25.72	5.73	3.84	0.0	7.85	37.94	5.93	9.62	6.15	0.0	7.81	0.0	15.33	5.09	2.02	0.0	0.0
Hspa9	0.0	0.08	3.62	4.6	99.62	0.15	135.57	67.4	130.77	25.1	110.51	9.61	89.24	115.96	82.78	190.93	83.45	92.4	130.4	39.53	112.84	45.11	283.61	156.5	31.45	0.0	0.0
Iws1	0.7	0.03	0.22	0.91	0.47	0.64	0.0	0.29	0.62	0.95	5.93	0.78	6.41	6.36	0.49	33.22	22.13	0.65	1.13	0.05	0.98	0.88	26.83	0.39	0.14	0.25	0.31
Jakmip1	0.0	0.05	0.0	0.0	0.0	0.0	3.15	0.0	6.76	1.44	0.0	9.31	0.0	14.85	0.0	3.98	4.91	0.0	2.14	0.52	6.42	5.0	24.05	32.08	24.65	0.0	0.0
Kcna1	0.0	49.93	0.0	0.0	219.47	0.0	67.88	155.4	214.98	191.86	281.96	245.4	455.33	123.08	159.56	229.17	158.39	229.92	210.97	186.92	275.53	140.07	130.18	255.31	247.3	0.08	0.0
Kcnab1	0.0	0.12	0.0	0.0	362.65	0.0	342.74	312.96	498.33	338.11	595.28	310.32	504.97	495.05	416.28	563.57	447.83	439.02	439.2	387.08	457.26	133.06	805.16	533.61	490.77	0.0	0.0
Kctd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.72	24.07	0.0	0.0	0.76	16.84	0.0	13.66	52.03	8.49	0.38	0.0	0.0	0.0	0.0	54.17	0.0	0.0	0.0	0.0
Klc2	0.0	27.31	0.0	0.0	0.0	0.0	0.91	23.55	3.63	0.19	20.64	8.23	2.15	13.13	4.32	42.97	10.66	0.64	8.65	36.67	0.0	7.85	16.05	7.84	0.45	0.12	0.0
Kpna2	57.33	59.99	8.47	0.0	78.66	0.0	0.25	29.53	81.98	0.0	93.07	170.14	161.1	109.74	88.44	214.11	7.88	64.82	50.3	113.7	59.84	5.33	14.97	47.83	267.04	0.17	0.0
LOC100861570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.91	0.0	21.78	0.0	0.0	0.0	0.0	30.46	24.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ldhb	7486.96	6607.22	8970.97	4317.46	9309.63	5600.23	10118.08	10894.4	8525.9	7735.26	9343.6	8223.21	10165.1	7061.15	11261.44	6159.05	10004.69	13571.31	7287.29	12546.17	9755.78	11010.48	6703.36	7910.47	11746.38	2798.49	2538.41
Ltv1	0.0	0.0	0.14	0.0	15.96	0.0	0.0	13.68	51.37	0.0	63.05	0.0	21.55	170.19	162.35	85.92	0.0	0.0	0.0	12.62	0.25	0.0	105.3	1.37	0.0	0.2	0.0
Magi2	1.29	16.61	51.62	0.0	7.67	0.1	0.0	6.0	6.45	3.12	0.7	33.96	8.76	25.05	1.18	38.14	7.75	13.72	4.31	0.06	10.17	9.69	50.88	4.27	2.68	0.0	0.0
Mboat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	39.74	0.0	8.17	0.0	0.0	47.08	0.0	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	0.13	0.0
Minpp1	0.0	0.16	0.09	0.0	0.0	0.18	0.19	4.0	1.04	0.21	0.0	0.87	27.3	44.62	0.0	65.97	0.56	3.5	0.83	0.62	1.41	0.62	0.0	0.15	0.87	0.19	0.0
Myo5a	0.0	57.94	4.61	0.0	42.77	0.0	11.11	69.14	40.3	25.89	73.9	47.35	65.61	68.54	41.79	105.49	55.97	55.96	60.56	9.71	28.13	36.2	75.14	63.26	42.52	0.06	0.0
Nr2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	4.37	0.43	0.67	5.71	0.0	20.9	0.0	0.0	0.0	22.49	0.0	1.68	0.13	0.0	0.0	0.0	0.0
Nrxn3	19.55	0.02	42.51	0.0	174.93	0.0	78.44	36.59	111.96	118.96	141.6	84.2	109.8	127.71	71.78	147.91	97.65	114.37	65.14	56.44	107.05	47.45	154.01	84.75	63.4	0.13	0.0
Nub1	83.48	54.61	75.06	1.49	42.02	0.0	94.83	60.45	15.74	93.25	57.21	24.07	40.6	121.95	67.78	88.02	90.99	34.18	39.79	5.25	22.96	2.18	92.96	0.0	33.74	0.1	0.0
Pmm2	0.0	0.0	0.0	0.0	18.86	0.0	38.0	40.49	27.2	43.88	0.0	72.24	1.82	0.0	0.0	173.75	0.17	0.0	0.0	56.38	0.0	0.0	86.23	54.08	55.31	0.0	0.0
Pmpca	0.15	0.04	17.06	0.93	15.6	0.0	14.05	4.58	71.35	0.26	132.07	25.51	55.5	106.0	50.71	193.96	136.56	83.62	70.48	63.44	13.56	64.66	214.21	0.63	55.07	0.11	0.42
Pnpla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.38	0.51	1.56	0.37	0.29	0.18	0.91	4.14	0.78	2.58	0.8	0.54	1.47	0.0	0.0	0.34	0.0	0.0	0.0
Preb	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.09	10.34	0.31	4.89	28.0	29.27	0.82	5.11	0.68	20.64	15.53	18.35	0.88	0.0	0.0	47.24	0.0	15.82	0.0	0.0
Prr14	0.0	0.0	0.0	0.0	8.67	0.0	0.0	10.11	0.0	0.0	1.67	61.87	6.3	106.47	0.0	0.33	0.0	0.0	0.0	34.22	11.64	3.57	84.01	0.0	0.0	0.0	0.0
Psmd12	148.05	225.06	273.29	0.0	395.36	219.1	304.82	347.47	241.73	177.46	207.98	246.47	211.79	439.31	239.26	404.92	246.82	329.71	235.86	209.82	447.4	381.63	319.68	371.58	273.31	0.0	0.0
Rrm1	0.0	0.0	0.0	0.0	0.0	0.0	16.02	39.67	10.35	2.27	0.0	66.05	0.0	0.0	49.93	136.83	29.82	20.71	0.0	0.0	98.15	46.51	5.15	0.0	0.0	0.0	0.0
Smarcc2	0.0	0.0	0.0	0.0	11.36	0.0	0.0	9.4	22.32	0.86	31.09	0.12	19.06	30.28	22.69	36.17	17.55	20.09	29.85	27.41	15.04	1.63	12.33	10.99	7.47	0.08	0.27
Snhg12	0.0	219.9	21.33	0.0	100.65	0.0	35.11	0.0	0.61	36.65	10.67	11.82	4.63	163.79	0.0	221.33	55.37	0.0	96.04	0.0	74.59	32.69	0.0	50.64	89.28	0.0	0.0
Surf1	0.0	47.18	0.21	0.5	53.17	0.41	188.78	60.12	77.43	65.81	145.47	64.18	87.34	108.79	143.4	285.68	216.72	167.74	159.41	98.11	71.9	0.0	345.34	45.84	58.89	0.0	0.0
Tatdn1	0.35	31.4	0.0	0.0	0.0	2.1	6.52	82.9	48.0	0.0	0.0	22.32	30.6	66.45	0.0	40.06	44.1	0.21	17.4	5.5	0.0	26.22	51.94	0.0	33.74	0.0	0.0
Tmed7	0.0	0.04	6.15	0.0	0.0	0.0	14.26	18.61	27.37	0.0	0.16	14.82	23.41	0.0	18.06	65.75	29.38	3.93	40.45	29.89	26.92	13.38	10.31	0.22	25.86	0.1	0.0
Tmem181b-ps	1.69	0.18	5.11	4.35	50.28	0.0	20.23	14.44	18.54	6.79	28.5	20.11	2.09	8.43	31.59	120.02	58.73	36.41	64.43	16.5	15.07	39.63	85.27	17.91	11.8	0.0	0.0
Tmem218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.77	20.83	0.0	44.18	65.73	0.0	147.76	11.62	312.33	0.0	69.81	82.07	29.07	62.44	0.55	126.98	57.71	0.0	0.0	0.0
Ttc19	120.71	1.91	13.79	0.17	50.6	1.35	0.0	44.43	87.95	65.53	54.66	56.16	59.18	100.59	114.8	103.35	4.24	22.32	144.28	15.05	42.99	55.32	136.62	79.63	0.06	0.0	0.0
Wdr55	0.0	0.0	0.0	0.0	72.38	0.0	0.0	0.0	60.07	0.0	0.37	0.0	24.27	130.58	0.0	248.86	0.0	44.18	0.0	0.0	75.16	135.22	124.69	64.44	0.0	0.0	0.0
Zfp882	0.65	2.7	0.41	0.55	2.06	0.18	0.04	1.07	1.47	1.41	29.48	0.72	1.15	0.83	42.35	14.25	1.75	45.35	1.97	1.29	3.24	1.69	6.09	1.81	25.14	0.45	1.21
Zfp91	18.78	0.21	0.13	0.0	0.0	0.0	28.67	15.34	5.18	19.23	32.33	14.33	30.23	0.07	23.47	59.54	25.43	21.75	21.53	47.91	9.29	7.95	0.0	5.69	2.0	0.06	0.0
