	Calb2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_68	Cux2_tdTpositive_cell_75	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_76	Gad2_tdTpositive_cell_78	Nos1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Ntsr1_tdTpositive_cell_63	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_51	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_90	Rbp4_tdTpositive_cell_113	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_117	Rbp4_tdTpositive_cell_143	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_164	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_168	Rorb_tdTpositive_cell_10	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_52	Scnn1a.Tg2_tdTpositive_cell_19	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTpositive_cell_83	Slc17a6_tdTpositive_cell_20	Vip_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
Arhgap32	0.22	20.71	81.06	56.8	1.76	0.0	0.0	0.0	139.12	2.08	0.05	0.0	20.3	71.4	94.95	55.19	0.0	7.85	0.0	22.69	37.39	20.49	3.79	19.9	28.76	53.21	38.08	9.0	0.28	2.39	30.23	24.05	55.68	50.06	16.96	20.05	26.18	86.58	29.07	54.09	13.19	18.22	49.41	11.2	59.46	79.66	26.0	0.0	12.02	38.52	44.87
Asap1	3.09	2.78	90.26	130.83	95.91	0.0	0.0	0.0	8.2	5.6	0.0	0.0	6.73	34.94	84.66	47.58	0.0	32.11	0.0	24.4	118.13	9.07	59.93	71.02	63.68	32.69	104.55	2.85	0.0	4.86	70.74	57.29	102.21	71.47	20.25	50.7	70.58	120.09	39.19	72.71	21.74	93.42	40.48	21.52	92.14	3.61	26.93	0.26	28.2	33.21	132.65
Atg12	0.0	131.82	294.21	0.0	31.35	0.0	0.0	0.0	0.35	136.5	0.0	226.34	186.58	80.21	69.62	111.72	0.0	18.94	1.51	170.53	238.1	169.12	0.92	130.62	0.1	36.98	0.0	147.5	0.0	136.66	139.34	46.05	120.19	77.15	163.46	86.05	235.53	51.13	170.45	38.96	52.47	104.65	27.62	158.08	259.68	79.88	88.12	0.98	90.46	0.0	41.26
Atp1a1	0.0	73.35	122.18	2.23	40.28	0.0	0.0	0.0	3.7	0.0	0.67	6.07	8.02	53.13	1.53	21.55	0.0	2.45	0.0	51.05	12.55	1.99	0.27	0.93	1.64	11.47	60.6	2.07	0.15	2.6	3.67	63.33	1.91	29.6	15.45	27.09	6.32	27.02	17.3	2.39	14.8	19.04	10.32	25.78	39.1	34.59	0.0	7.85	10.39	2.13	36.34
Atp6v0a1	230.6	164.09	234.19	174.07	215.2	0.0	0.0	177.56	97.01	32.04	25.66	362.62	435.04	205.87	249.2	308.53	9.93	180.31	0.0	99.36	346.71	354.86	158.5	215.81	200.65	105.88	171.46	117.35	37.83	59.22	121.42	258.82	128.2	250.16	109.59	167.66	50.23	32.71	162.55	231.08	165.93	166.52	144.22	118.28	138.51	102.42	91.81	172.66	111.58	98.97	185.15
B4galt2	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	23.62	0.0	0.0	61.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	8.81	61.71	0.05	29.28	0.0	69.47	0.0	0.0	111.53	0.0	55.57	0.0	0.61	0.0	64.23	0.0	20.5	78.03	0.28	0.0	10.46	0.0	0.63
Bag5	0.0	41.38	85.27	13.16	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	53.18	326.32	0.0	0.0	0.24	0.0	99.39	54.43	0.21	0.16	0.2	0.0	89.73	7.32	341.97	0.0	0.0	83.32	28.92	0.0	42.74	94.61	28.53	0.49	50.65	54.46	43.28	38.57	46.13	66.62	120.88	21.55	0.0	61.51	0.57	33.03	0.0	9.38
Brsk2	0.0	55.32	27.58	30.67	40.37	0.0	0.0	0.0	20.5	22.14	0.0	47.94	35.67	0.1	0.35	56.88	0.0	12.93	0.0	11.79	13.64	4.46	40.4	0.0	0.0	46.76	39.58	28.84	35.76	8.43	58.83	9.84	0.44	25.55	41.03	26.09	28.34	6.85	21.65	26.77	57.13	32.93	73.34	22.45	34.31	9.09	66.44	123.66	16.22	8.95	12.15
Bsn	0.1	8.51	17.89	7.45	7.6	0.08	0.08	0.04	1.69	0.02	5.94	4.69	32.9	1.71	25.11	28.66	0.01	31.5	0.08	37.63	38.61	33.61	14.84	0.37	23.17	7.29	2.63	18.52	47.12	9.39	6.2	22.37	27.78	16.69	75.67	10.89	79.13	56.25	28.6	46.92	6.24	50.1	38.6	20.47	54.75	4.98	0.38	56.84	12.76	31.44	23.42
C230004F18Rik	0.0	25.53	29.45	0.0	12.79	0.0	0.0	0.0	110.21	0.0	0.0	4.76	5.47	0.0	0.0	5.13	0.0	50.78	0.73	11.77	54.39	21.36	13.11	172.3	217.59	87.15	106.64	88.78	121.54	36.66	76.41	23.32	67.72	14.08	34.3	89.45	30.21	21.5	70.97	66.66	71.01	77.06	0.62	82.24	33.48	62.92	166.4	0.73	38.92	0.0	147.83
C530028O21Rik	10.71	18.29	15.49	20.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96	28.52	59.52	43.39	0.0	86.42	0.0	16.05	34.29	59.5	0.0	179.1	0.12	66.03	33.1	52.24	0.0	60.23	4.02	66.57	12.72	3.93	25.02	25.97	0.0	15.15	66.26	51.92	96.87	63.15	0.0	42.72	72.44	42.95	4.0	0.0	16.1	39.33	27.54
Camkk1	18.78	0.24	101.55	14.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	46.35	21.15	0.0	4.53	1.75	3.01	0.0	102.71	98.05	0.0	0.0	9.48	0.0	0.0	0.0	0.0	0.0	0.13	0.0	1.83	0.0	4.85	10.25	10.46	0.0	0.0	0.0	49.26	27.5	53.3	0.0	9.17	50.82	0.0	13.42	0.0	8.84
Camkk2	0.0	16.77	19.77	12.42	16.75	0.0	0.0	0.0	1.41	3.56	0.0	0.0	4.29	6.24	2.56	3.69	0.0	2.49	0.0	13.81	2.71	25.71	1.88	2.3	14.77	12.76	4.81	0.0	0.35	14.37	7.37	27.8	1.16	9.28	6.65	17.76	7.69	29.52	8.91	12.56	10.36	14.38	16.76	11.43	11.1	16.31	0.83	0.0	7.07	6.31	23.79
Car7	0.0	0.82	104.19	0.0	0.0	0.0	0.0	0.0	0.0	97.72	0.0	0.0	0.0	114.44	116.72	5.62	0.0	0.0	0.0	1.38	0.0	85.82	148.41	0.0	175.73	65.15	170.93	0.0	104.18	0.0	59.08	37.38	0.0	159.27	0.39	9.26	0.0	0.0	122.57	0.13	1.17	139.19	0.0	0.0	56.71	0.0	4.5	0.0	42.63	94.43	0.0
Ccl27b	0.0	19.47	23.99	109.39	129.8	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.28	141.26	52.82	293.11	0.0	0.0	0.0	0.0	107.82	0.0	0.31	122.19	56.83	23.53	110.14	43.11	8.68	58.33	42.87	52.86	25.58	70.46	241.92	25.16	21.44	97.33	163.17	3.32	212.05	293.64	201.44	199.95	153.72	42.53	157.88	0.0	61.27	201.41	11.63
Chsy3	0.0	75.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	83.12	0.0	0.0	0.0	0.0	0.0	0.0	0.92	6.91	0.0	0.0	3.32	4.77	3.65	0.0	0.68	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47	0.0	0.0	0.0	10.31	0.0	1.83
Cltc	241.97	15.8	236.38	159.24	133.98	41.21	0.09	10.09	93.89	118.28	201.77	399.78	211.96	424.99	316.56	334.04	0.65	154.38	0.1	202.11	206.71	348.2	154.31	125.01	187.55	226.15	165.07	262.01	109.4	96.56	219.6	195.76	124.86	402.33	203.01	123.61	266.18	327.97	179.09	143.88	172.91	472.01	403.23	238.16	170.46	228.76	175.56	194.84	187.32	379.47	112.87
Creg2	1.37	0.42	0.61	48.05	0.23	0.7	0.22	0.62	92.37	26.19	26.47	89.43	111.89	45.66	1.05	3.45	0.59	45.93	1.7	6.93	0.57	0.18	0.97	0.32	46.79	82.47	25.94	60.18	39.2	18.84	6.38	4.88	22.15	68.81	19.09	9.74	71.05	0.19	87.93	61.75	0.74	50.23	20.48	12.32	50.95	4.08	0.46	0.55	18.01	0.35	116.57
D430041D05Rik	9.2	16.49	54.26	32.59	0.26	0.0	0.06	0.0	47.65	7.0	0.0	0.0	39.3	34.01	53.28	32.35	0.0	39.56	0.0	25.26	26.44	5.77	0.03	3.67	23.87	32.27	39.35	15.11	48.15	38.45	31.23	35.58	24.83	30.77	21.69	52.75	28.87	22.93	43.7	5.21	17.58	76.82	63.27	22.85	86.24	1.62	0.0	17.6	9.51	8.26	67.26
Dclk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	24.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	6.37	0.0	0.0
Dlgap1	0.0	64.81	135.81	134.38	147.55	0.0	0.0	476.71	180.89	129.46	36.12	158.7	120.43	106.74	239.65	249.53	139.62	90.85	1.3	113.87	82.96	82.53	65.99	0.14	131.72	130.6	68.89	116.46	54.28	107.71	101.12	50.18	128.65	94.61	196.45	100.42	75.33	94.09	152.18	105.5	77.12	193.17	83.54	166.24	147.35	331.08	39.23	37.03	119.71	67.71	96.16
Dock3	4.8	9.68	66.7	23.08	19.32	0.0	0.0	0.07	7.96	35.3	6.37	4.5	16.75	4.15	27.82	46.47	0.0	2.57	0.0	27.39	57.91	21.06	36.21	51.48	63.43	76.07	18.15	73.65	75.23	51.97	18.08	29.37	19.33	17.34	41.3	24.29	12.56	20.67	3.59	3.15	3.73	39.1	47.64	0.2	21.38	8.67	16.19	0.79	17.56	17.57	51.77
Eftud2	0.0	146.03	109.2	0.0	13.83	0.0	0.0	6.97	135.63	3.63	0.0	4.13	187.49	64.18	131.67	103.61	0.0	0.0	0.0	0.83	70.12	1.81	8.08	57.83	0.23	33.41	79.51	117.44	0.17	89.28	114.45	44.78	257.46	96.92	27.77	206.66	0.47	2.49	126.86	41.3	53.5	99.86	2.91	47.25	0.0	152.54	208.91	80.5	50.68	19.29	80.4
Epha7	0.0	128.6	0.07	0.0	111.36	0.0	0.0	0.0	0.0	71.74	0.0	4.19	144.31	71.48	53.98	32.18	0.0	178.37	0.0	4.49	0.11	18.1	57.52	105.18	91.16	198.03	257.4	142.64	23.99	100.87	138.93	262.55	333.51	88.51	56.28	165.85	0.32	93.55	63.31	99.02	159.21	249.95	60.69	95.29	222.66	29.37	0.0	0.0	85.23	101.57	4.65
Erc2	0.0	94.73	45.44	76.57	5.69	0.0	0.0	0.0	44.9	0.0	0.0	5.44	89.16	12.23	35.26	20.67	0.0	6.01	0.0	124.18	17.75	96.91	38.36	61.13	222.17	99.27	5.48	0.0	22.21	26.24	47.66	101.66	36.33	21.74	85.17	0.28	140.76	116.72	120.58	97.7	78.48	211.91	136.05	82.53	96.7	88.85	211.16	0.1	22.5	29.6	39.48
Faim2	101.73	61.78	220.47	197.68	73.78	0.0	0.0	0.0	62.99	75.51	13.94	19.64	144.54	209.36	72.18	227.41	0.0	99.49	0.0	115.84	110.49	79.57	22.51	133.71	56.71	97.28	66.67	130.72	123.44	171.43	48.85	140.8	171.74	102.05	96.86	129.74	18.62	124.31	73.72	87.72	116.25	101.23	11.86	146.16	120.41	178.77	121.18	1.2	77.52	56.84	169.47
Fam160a1	0.0	0.0	17.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.99	0.0	0.0	56.69	9.48	0.0	23.89	51.37	0.0	117.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam168a	166.48	90.3	12.75	15.93	123.98	9.05	3.24	0.0	2.97	12.38	19.84	0.0	92.67	70.71	39.93	180.63	0.72	18.09	14.31	161.25	55.03	31.18	38.24	34.32	43.77	79.35	133.38	73.36	97.9	69.79	71.36	116.97	44.73	72.54	29.63	38.84	109.38	77.03	78.43	16.52	6.59	95.52	44.75	82.05	49.9	0.31	67.03	76.02	52.41	0.19	78.49
Fam65a	17.03	32.15	21.35	32.53	0.32	0.0	0.0	34.31	0.0	0.1	0.0	0.0	60.03	35.16	6.52	28.96	0.0	2.43	0.15	0.0	32.17	7.43	20.41	16.93	45.67	76.54	10.13	0.0	8.92	0.32	0.11	6.03	0.09	16.59	57.99	24.23	4.27	25.84	0.0	5.84	0.57	2.21	36.28	0.0	7.1	0.0	0.0	0.15	12.75	0.0	1.23
Fat3	0.0	0.2	17.44	31.29	39.97	0.0	17.96	0.0	0.0	0.0	0.0	22.43	26.24	21.15	0.0	0.0	36.15	0.05	0.0	0.04	23.42	52.35	31.5	62.96	8.76	14.67	0.0	21.34	18.72	6.22	22.31	21.79	32.28	0.02	1.59	4.74	41.3	8.54	34.74	7.42	41.47	68.06	40.25	4.63	9.43	51.4	39.53	0.13	3.79	42.75	15.04
Fdx1l	0.0	0.0	0.0	93.32	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	110.29	92.58	0.0	86.87	0.0	0.0	0.0	0.0	0.0	92.03	0.0	4.68	50.05	39.93	0.0	0.0	162.0	0.0	57.87	0.0	21.35	76.4	32.47	0.0	0.0	44.14	1.79	4.68	2.25	0.0	161.34	78.36	3.61	29.86	204.09	0.0	10.9	0.0	0.0
Fgf14	0.0	114.54	9.46	92.14	0.0	244.08	0.0	0.0	274.02	107.43	177.78	29.3	133.89	428.31	13.98	141.92	0.0	138.87	0.22	256.88	347.62	143.97	293.62	198.43	202.57	128.98	77.58	248.69	195.15	79.61	187.35	43.76	403.28	106.97	148.07	252.25	193.98	0.0	303.58	83.74	187.81	347.41	246.72	115.14	169.65	543.37	225.83	0.22	304.13	111.83	225.05
Fkbp8	0.0	1.97	30.06	128.47	0.79	0.0	0.0	0.0	6.67	13.98	3.25	0.0	170.4	49.96	113.58	8.82	0.0	0.0	0.0	1.24	17.32	0.67	70.49	7.34	0.15	33.26	179.79	87.17	206.42	137.45	51.4	58.6	65.5	7.35	110.54	1.04	4.96	50.51	36.02	140.5	43.25	285.16	186.64	30.71	187.68	31.99	0.0	0.0	30.52	42.31	90.13
Fut9	0.07	68.26	23.27	91.97	11.87	8.36	0.0	0.22	27.26	19.64	0.0	48.75	101.27	74.13	48.89	125.01	0.0	36.98	0.0	39.12	69.93	82.64	35.3	48.21	73.59	45.55	45.73	41.85	32.38	36.43	19.16	29.85	22.44	37.56	35.98	119.91	74.09	52.32	37.4	33.62	11.15	82.1	71.44	16.7	67.88	42.51	33.14	0.05	59.7	9.73	115.49
Gba2	0.0	147.23	0.09	0.25	0.0	0.0	4.72	0.0	0.0	0.0	0.0	0.0	73.48	0.0	0.0	122.56	0.0	133.87	0.0	0.0	109.37	0.06	8.36	0.12	97.49	0.0	99.81	0.0	0.16	119.4	63.39	19.92	0.0	0.0	0.17	66.2	10.61	31.89	44.14	11.72	73.77	26.29	0.0	32.97	0.61	0.3	73.83	246.25	31.2	6.63	0.0
Gls	157.31	73.88	68.01	97.69	52.84	5.72	1.79	1.87	304.75	0.16	7.63	104.36	31.83	80.37	13.46	98.26	2.27	27.96	0.11	108.61	25.59	0.84	148.05	1.17	2.44	29.07	125.55	71.93	18.56	130.04	14.4	140.77	132.3	96.96	100.23	116.6	91.9	34.67	56.41	171.73	83.51	37.19	80.73	93.53	169.95	108.65	43.31	18.52	83.83	31.37	195.15
Glt8d2	0.58	0.0	260.96	0.0	0.31	0.33	0.0	0.61	0.29	0.0	0.0	0.39	0.15	0.0	0.0	0.0	0.41	2.88	0.0	0.0	0.0	149.11	0.61	151.04	112.12	75.19	204.17	30.78	0.0	140.14	0.0	120.08	174.95	120.02	0.68	81.74	0.24	29.98	146.76	0.0	50.1	0.0	143.95	0.0	0.0	125.2	0.0	0.0	39.03	0.0	107.56
Gm13306	0.0	19.47	23.99	109.39	129.8	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.28	141.26	52.82	293.11	0.0	0.0	0.0	0.0	107.82	0.0	0.31	122.19	56.83	23.53	110.14	43.11	8.68	58.33	42.87	52.86	25.58	70.46	241.92	25.16	21.44	97.33	163.17	3.32	212.05	293.64	201.44	199.95	153.72	42.53	157.88	0.0	61.27	201.41	11.63
Gm1976	0.49	100.04	158.23	6.78	43.72	0.0	0.62	0.92	128.08	32.19	6.33	0.0	10.43	281.12	1.58	149.11	0.24	11.99	13.23	277.19	223.95	0.54	426.28	0.85	305.26	190.58	35.27	20.29	276.08	252.8	126.21	189.78	87.29	122.95	0.66	133.52	303.32	67.0	157.33	81.76	39.04	222.38	105.71	151.52	66.7	10.51	96.41	6.92	105.23	225.01	5.47
Gm2002	0.0	0.0	0.06	0.24	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.48	2.23	0.0	0.0	0.0	0.0	0.22	0.04	0.0	0.0	0.1	0.0	0.09	0.0	0.36	0.0	0.42	0.0	0.0	0.1	0.27	0.08	0.0	0.51	0.2	0.0	0.27	4.52	4.67	0.41	0.26	0.1	12.09	0.0	1.27	0.25	0.23
Gm2506	0.0	19.47	23.99	109.39	129.8	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.28	141.26	52.82	293.11	0.0	0.0	0.0	0.0	107.82	0.0	0.31	122.19	56.83	23.53	110.14	43.11	8.68	58.33	42.87	52.86	25.58	70.46	241.92	25.16	21.44	97.33	163.17	3.32	212.05	293.64	201.44	199.95	153.72	42.53	157.88	0.0	61.27	201.41	11.63
Gnai1	0.0	8.41	70.96	116.7	0.21	0.0	0.0	0.0	45.97	96.37	23.96	0.0	145.39	0.26	53.89	15.26	0.0	0.47	0.0	1.52	8.85	154.49	0.62	3.38	48.03	73.84	54.08	24.17	157.56	130.84	61.49	84.93	117.07	6.19	10.99	53.35	142.56	177.54	75.52	54.74	34.03	106.25	29.12	0.0	54.33	93.6	55.42	56.47	41.17	149.6	0.0
Grin1	0.14	2.91	11.31	4.06	9.73	0.0	0.0	0.0	2.24	5.39	0.0	1.03	10.31	0.91	24.08	1.38	0.0	31.73	0.0	8.42	35.98	9.67	0.27	2.95	10.3	50.92	12.39	21.96	16.55	24.16	20.18	30.26	15.73	13.03	8.4	10.67	78.4	57.48	36.16	9.1	28.3	26.53	33.62	18.14	19.13	19.56	43.02	10.38	5.86	1.94	27.07
Gtdc1	27.7	18.86	208.79	158.95	17.82	15.69	30.69	33.94	25.26	17.11	60.18	24.88	15.78	9.17	23.49	124.82	1.03	21.19	14.79	129.87	23.28	29.25	16.69	18.05	20.49	118.31	55.42	21.26	12.89	21.12	24.08	22.07	15.49	18.14	17.18	16.17	31.7	43.76	40.37	79.48	51.48	207.31	27.46	86.51	25.34	47.63	90.9	23.98	39.7	36.66	18.07
Herc1	38.56	10.14	16.56	37.97	5.88	24.39	9.61	0.0	28.89	2.53	41.67	47.12	47.74	22.73	39.49	86.65	38.07	62.13	0.04	95.98	28.53	62.46	34.9	23.19	12.59	40.17	37.02	17.15	88.07	48.5	30.34	9.76	8.58	8.42	25.88	36.08	47.08	26.09	22.34	22.7	34.86	76.52	79.97	40.81	60.58	43.16	23.35	90.35	26.54	13.96	24.04
Hk1	174.41	75.8	15.78	10.85	1.28	0.0	0.0	0.0	0.0	48.59	0.0	0.0	148.35	165.73	82.43	11.17	0.0	6.29	0.0	64.67	78.72	0.11	92.72	13.69	83.77	79.23	64.37	120.89	40.03	42.25	22.87	8.08	65.19	120.56	1.35	27.01	60.03	22.7	4.34	31.03	89.2	172.21	46.51	144.66	95.59	140.16	54.57	1.67	41.38	47.29	24.87
Il11ra2	0.0	0.0	0.06	0.24	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.48	2.23	0.0	0.0	0.0	0.0	0.22	0.04	0.0	0.0	0.1	0.0	0.09	0.0	0.36	0.0	0.42	0.0	0.0	0.1	0.27	0.08	0.0	0.51	0.2	0.0	0.27	4.52	4.67	0.41	0.26	0.1	12.09	0.0	1.27	0.25	0.23
