	Chrna2_tdTpositive_cell_54	Pvalb_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Prkch	0.0	0.0	0.0	6.56	6.74	5.85
Rab11fip4	0.0	0.0	0.0	127.04	122.04	128.94
Rnf8	0.0	18.34	4.94	36.51	35.78	33.56
Rps15a	31.4	15.05	31.18	51.8	52.3	52.1
Rtn3	151.19	269.3	217.26	912.78	919.98	888.17
Rtn4r	0.0	0.0	0.0	85.39	99.78	92.33
Socs3	0.0	0.0	0.0	3.01	3.65	2.58
Sp3	4.35	0.0	1.91	33.68	31.73	33.06
Srcrb4d	0.0	0.0	0.0	0.65	0.92	0.86
Sulf1	0.0	0.0	0.0	13.07	11.63	11.47
Syn2	130.6	62.38	159.71	385.63	397.76	386.53
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem110	0.0	6.35	0.0	17.89	17.99	16.13
Tmem132e	0.0	0.0	0.0	10.29	11.16	11.83
Tnfrsf26	0.0	0.0	0.36	0.9	0.53	1.09
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vill	0.0	0.0	0.0	5.99	5.32	5.03
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb39	0.14	0.0	0.0	5.26	5.59	5.13
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
