	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_53	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Sst_tdTpositive_cell_40	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29
Csrnp2	38.68	20.47	42.33	0.0	45.88	36.1	28.58	0.0	83.24	42.94	65.21	4.05	0.08	95.59	0.0	0.0
Dynlt3	565.05	295.64	123.09	420.47	447.76	0.4	743.78	0.59	581.75	505.2	512.13	8.9	78.83	149.82	64.14	397.73
Fam150b	0.0	0.0	0.0	0.0	0.0	0.0	130.77	0.0	35.16	2.5	155.21	0.0	0.0	0.0	0.0	0.0
Fam19a2	223.29	3.39	0.0	68.74	6.71	4.0	145.36	0.1	129.06	89.32	155.03	62.59	4.44	0.0	0.0	0.0
Gm5177	41.01	52.9	29.27	54.44	32.48	40.89	58.31	13.79	54.05	44.93	40.5	31.4	52.05	25.92	44.13	23.04
Got1	1718.69	492.87	706.2	1695.37	960.92	1035.97	2360.24	74.39	1668.93	1402.43	2529.78	1333.93	338.49	1090.86	338.49	1116.9
Gucy1a3	57.27	0.0	14.7	0.0	0.82	0.0	51.29	0.0	18.86	37.16	98.41	88.5	0.22	0.0	0.0	0.0
Hspa8	22360.42	24473.49	19469.9	26297.86	22558.28	20651.28	23643.2	20789.46	17416.84	20908.03	13504.88	22280.51	21295.16	20448.23	21948.63	20378.92
Mgst3	143.11	0.0	0.0	1065.09	328.39	150.21	699.89	0.71	177.09	364.71	959.2	1697.61	566.54	210.01	159.07	0.0
Mrps36	336.22	75.58	0.0	441.11	257.0	340.25	498.58	72.82	422.6	151.72	577.57	319.24	16.98	320.1	258.27	0.0
Mtss1l	1.12	0.0	0.0	29.14	0.0	0.0	25.92	0.09	2.55	14.41	37.51	0.0	0.0	0.0	1.04	0.4
Naa40	0.0	0.0	0.0	0.0	0.41	0.0	73.21	0.0	0.0	0.0	46.13	0.0	0.0	0.0	0.0	0.0
Nars	1311.91	346.18	306.76	1344.74	161.65	505.04	1207.72	35.09	1015.75	1114.98	1479.81	330.15	389.66	873.92	559.82	360.7
Ndufa12	1250.97	752.74	911.65	1091.64	471.54	520.89	1179.42	963.46	1169.07	1540.43	2006.27	654.6	661.99	890.62	878.44	1108.47
Ndufb5	701.28	276.01	351.0	1091.61	450.55	611.91	836.84	311.26	1195.62	1132.35	875.58	555.4	395.68	234.64	421.04	574.4
Nek7	0.56	0.64	0.13	0.24	0.25	33.94	148.83	0.78	175.71	129.31	235.53	0.25	0.5	1.72	10.87	0.0
Osbpl1a	131.79	0.0	3.31	154.83	1190.5	0.0	54.99	0.0	130.8	96.89	110.44	1012.17	537.62	9.27	0.43	0.0
Pdlim3	0.0	0.0	0.0	0.0	0.0	0.28	216.7	0.0	193.51	225.36	166.3	0.0	0.0	0.0	0.0	0.0
Phlda1	26.57	1.26	0.43	35.61	3.03	0.0	45.67	0.0	77.41	58.1	40.1	27.23	0.0	10.37	28.86	0.0
Phospho1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	1.56	0.0	0.0	0.0	0.29	0.0
Pvalb	0.0	0.0	0.0	0.0	0.0	0.0	211.45	0.0	249.8	203.28	584.75	0.0	0.0	0.0	0.0	0.0
Rgs7bp	15.7	13.7	2.98	19.04	48.25	10.64	83.0	0.68	63.82	72.79	105.38	36.73	1.37	38.37	13.77	6.7
Scg2	1568.06	3193.7	1161.3	1543.46	71.25	4316.17	6748.89	20.01	6371.6	4551.6	4278.23	1138.48	1315.92	1365.89	1296.48	1938.88
Scn1a	101.63	57.15	78.24	138.66	0.56	128.5	239.88	0.2	142.62	233.1	279.28	15.29	21.84	111.05	2.29	4.07
Scrt1	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.49	0.0	0.04	0.0	0.0	0.0
Timm8a1	47.73	0.0	0.0	0.0	0.19	0.37	118.26	0.0	117.2	226.63	638.39	190.51	0.3	198.87	0.0	258.84
Tkt	99.57	34.2	0.0	483.4	135.04	105.22	115.54	0.0	0.71	59.36	70.44	0.0	0.0	1.07	78.57	208.61
Tmem150a	0.0	0.0	0.0	0.0	0.0	0.0	42.4	0.0	0.0	0.0	20.18	0.0	0.0	0.0	67.44	0.0
Tmem50b	526.23	0.0	0.0	72.52	29.54	0.78	341.83	0.0	57.18	181.6	259.03	0.14	0.0	1.56	110.58	12.97
Tmx2	1181.54	1917.05	1227.18	1626.75	485.16	1236.91	2154.19	683.32	1368.51	1302.27	1748.29	924.37	1286.04	1275.82	302.66	1363.7
Ufsp2	0.1	0.33	425.33	13.5	7.14	26.49	577.7	0.0	292.4	277.92	841.12	447.71	227.31	17.15	237.37	482.34
Uqcrc2	884.5	710.41	831.11	668.75	515.61	551.37	1160.15	259.86	1243.55	369.16	827.9	153.0	643.07	39.09	253.82	824.05
Zfp597	0.0	0.0	0.0	0.0	35.42	0.08	49.33	0.0	0.0	0.09	56.27	0.0	3.64	0.0	0.0	0.0
Zkscan6	0.4	0.0	0.0	3.26	0.07	0.0	28.59	0.0	42.59	4.14	2.01	0.0	0.0	0.0	0.0	0.0
mt_AK131587	320.99	217.19	258.76	295.72	331.78	226.24	553.18	367.29	422.19	533.55	447.69	219.53	394.88	279.69	221.45	184.38
mt_AK136262	0.0	0.0	0.0	0.0	0.13	0.4	1.14	0.0	22.41	5.96	250.06	0.01	0.0	0.0	0.0	0.0
mt_AK138995	437.07	154.5	162.34	242.0	241.57	189.06	397.41	157.78	627.91	497.9	435.36	115.31	191.97	83.48	270.21	176.7
mt_AK142003	0.0	0.0	0.0	0.0	0.13	0.4	1.14	0.0	22.41	5.96	250.06	0.01	0.0	0.0	0.0	0.0
mt_AK154943	46.82	80.87	104.83	86.46	77.63	62.35	116.42	48.35	273.79	98.56	167.77	24.22	67.41	50.39	101.08	17.24
mt_AK166798	0.0	0.0	0.0	0.0	0.13	0.4	1.14	0.0	22.41	5.96	250.06	0.01	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.13	0.4	1.14	0.0	22.41	5.96	250.06	0.01	0.0	0.0	0.0	0.0
