	Gad2_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_66	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Mael	0.0	0.0	0.0	0.13	0.13
Mep1a	0.0	0.0	0.0	0.03	0.03
Mpz	0.0	0.0	0.0	0.1	0.1
Msh4	0.0	0.0	0.0	0.03	0.06
Muc4	0.0	0.0	0.0	0.02	0.02
Musk	0.0	0.0	0.0	1.04	1.04
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Naip6	0.0	0.0	0.0	0.38	0.38
Ncr1	0.0	0.0	0.0	0.07	0.07
Nkx6-1	0.0	0.0	0.0	0.17	0.17
Nkx6-3	0.0	0.0	0.0	0.04	0.09
Nlrp12	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.0	0.06	0.06
Nron	0.0	0.0	0.0	0.03	0.06
Nuak2	0.0	0.0	0.0	0.79	0.78
Olfr1419	0.0	0.0	0.0	0.1	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Oxgr1	0.0	0.0	0.0	0.24	0.24
Prps1l1	0.0	0.0	0.0	0.06	0.06
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.0	0.12	0.12
Raet1d	0.0	0.0	0.0	0.16	0.16
Rnase13	0.0	0.0	0.0	0.17	0.17
Rnf133	0.0	0.0	0.0	0.08	0.08
Rtp1	0.0	0.0	0.0	0.16	0.16
Sfmbt2	0.0	0.0	0.0	1.98	1.82
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc10a6	0.0	0.0	0.0	0.05	0.05
Slc22a14	0.0	0.0	0.0	0.05	0.05
Slc34a1	0.0	0.0	0.0	0.1	0.1
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
St3gal4	0.0	0.0	0.0	23.28	21.18
Stx11	0.0	0.0	0.0	0.14	0.14
Sypl2	0.0	0.0	0.0	2.67	2.44
Tac4	0.0	0.0	0.0	0.08	0.08
Tal2	0.0	0.0	0.0	0.18	0.18
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tep1	0.99	0.0	0.0	2.74	2.62
Tg	0.0	0.0	0.0	0.08	0.08
Tktl1	0.0	0.0	0.0	0.08	0.08
Trim75	0.0	0.0	0.0	0.2	0.2
Tslp	0.0	0.0	0.0	0.09	0.09
Tsx	0.0	0.0	0.0	0.13	0.13
Ttc39d	0.0	0.0	0.0	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.2
Tubb1	0.0	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.0	0.12	0.12
Ush1c	0.0	0.0	0.0	0.1	0.1
Usp26	0.0	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn1r45	0.0	0.0	0.0	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.09
Vrk2	0.0	0.0	0.0	2.24	2.24
Wdr38	0.0	0.0	0.0	0.17	0.17
Wfdc12	0.0	0.0	0.0	0.14	0.14
Zfp185	0.0	0.0	0.0	0.89	0.89
Zfp395	0.26	0.0	0.0	5.73	5.74
Zfp750	0.0	0.0	0.0	0.03	0.03
Zfp957	0.0	0.0	0.0	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.04
mt_AK143357	0.0	0.0	0.0	2324.22	1527.41
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
