	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTpositive_cell_124	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_42	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_38	Sst_tdTpositive_cell_77	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_10pg_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cx3cl1	0.0	0.0	0.0	218.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.1	0.0	0.0	0.0	138.64	52.54	494.29	0.0	0.0	0.53	0.0	0.0	0.0	0.95	0.0	0.26	0.11	0.41	0.08	0.23	0.34	0.36	0.23	0.13	23.72	142.19	171.74	148.34	89.52	102.77	196.43	619.59	598.38	626.22
Egr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.08	15.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	3.1	1.46	1.51	0.5	18.48	112.58	98.75	94.2
Faim2	0.0	0.0	0.16	41.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.18	35.1	137.76	100.61	0.14	0.0	0.18	0.0	0.0	0.0	0.53	0.0	0.09	0.08	0.19	0.11	0.77	0.59	0.12	0.32	0.09	4.99	124.52	77.31	98.21	77.52	66.84	338.97	264.04	282.31	267.78
Gas7	0.0	0.0	0.0	214.34	0.0	0.0	0.0	0.0	0.06	0.0	0.07	0.0	0.0	0.0	0.04	0.0	0.0	0.0	197.36	102.63	108.67	0.0	0.0	0.0	0.28	0.0	0.0	0.85	0.0	0.59	0.36	47.75	0.22	0.58	0.15	0.08	0.31	0.12	152.39	64.45	111.56	103.42	518.4	524.85	199.03	186.15	181.08	185.5
Gm13306	0.0	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.38	89.75	344.85	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.46	0.11	0.0	0.0	0.0	0.0	9.5	0.0	0.23	33.18	6.75	114.56	125.27	61.27	76.52	17.69	30.63	28.29	22.96
Gm14430	0.0	0.0	0.32	37.6	0.0	0.04	0.0	35.49	0.0	0.0	0.0	0.0	0.0	0.42	0.06	0.0	0.0	0.0	4.26	0.5	37.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	5.57	0.23	6.07	4.79	4.14	5.97	8.34	7.67	5.07	7.49
Gm14434	0.0	0.0	0.32	37.6	0.0	0.04	0.0	35.49	0.0	0.0	0.0	0.0	0.0	0.42	0.06	0.0	0.0	0.0	4.26	0.5	37.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	5.57	0.23	6.07	4.79	4.14	5.97	8.34	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.38	89.75	344.85	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.46	0.11	0.0	0.0	0.0	0.0	9.5	0.0	0.23	33.18	6.75	114.56	125.27	61.27	76.52	17.69	30.63	28.29	22.96
Gm4724	0.0	0.0	0.32	37.6	0.0	0.04	0.0	35.49	0.0	0.0	0.0	0.0	0.0	0.42	0.06	0.0	0.0	0.0	4.26	0.5	37.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	5.57	0.23	6.07	4.79	4.14	5.97	8.34	7.67	5.07	7.49
Grm5	0.0	0.0	0.0	72.64	0.74	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.03	0.0	0.0	62.17	86.88	170.2	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.05	0.12	0.15	0.15	0.17	0.06	0.0	0.08	0.05	85.84	28.92	28.08	24.13	26.03	23.51	33.88	79.71	69.61	78.48
Jph4	0.0	0.0	0.0	20.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	0.0	3.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.06	10.04	14.11	3.89	9.58	2.25	201.25	207.8	201.7
Klc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	4.42	21.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.16	9.28	7.49	4.74	4.55	34.27	196.16	207.95	205.42
Lpgat1	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0	0.0	33.32	10.66	51.51	0.0	0.0	0.23	0.0	0.0	0.0	0.25	0.0	0.29	0.27	14.48	0.14	0.21	0.0	0.04	0.3	0.11	8.89	100.66	102.38	111.77	155.56	109.32	36.71	138.31	127.47	133.8
Myt1l	0.0	0.0	0.0	121.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	61.67	72.24	216.16	0.0	0.0	0.12	0.0	0.0	0.0	0.16	0.0	0.23	0.12	0.06	0.14	0.36	0.0	0.04	0.0	0.06	13.97	63.3	92.07	127.1	99.27	74.38	71.69	108.73	92.4	106.64
Pcsk2	0.15	0.0	0.0	228.71	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	151.89	268.7	43.28	0.0	0.0	0.17	0.0	0.0	0.0	1.25	0.13	0.7	0.48	0.27	0.32	0.85	0.11	0.24	0.6	0.26	252.59	47.24	165.17	126.97	173.49	174.86	137.27	244.72	241.91	241.58
Plxna2	0.0	0.0	0.0	11.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.63	1.22	26.22	0.0	0.0	0.15	0.0	0.0	0.0	0.16	0.0	0.07	0.08	0.08	0.11	0.23	0.0	0.0	0.06	0.04	2.33	3.04	18.17	13.04	20.64	19.94	1.35	47.46	43.4	46.56
Ppp2r2c	0.0	0.0	0.0	195.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.65	247.71	176.5	0.0	0.0	0.41	0.0	0.0	0.0	0.15	0.15	0.41	0.13	0.21	0.38	1.0	0.53	0.0	0.35	0.2	9.65	20.12	38.18	65.98	58.28	60.62	69.98	446.28	420.01	458.99
Psd	0.0	10.73	0.0	41.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	20.37	0.0	19.69	11.43	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.22	29.1	0.47	0.27	0.07	0.18	0.0	24.03	25.19	21.43	20.91	13.22	15.78	8.9	244.15	283.01	270.01
Rbfox1	0.03	0.0	0.0	133.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.0	0.04	105.97	208.57	202.36	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.2	0.27	0.08	0.44	1.14	0.0	0.0	0.69	0.1	92.09	116.08	274.63	176.49	134.16	164.79	131.45	198.25	185.0	193.44
Scn2a1	0.09	0.0	0.15	261.2	0.11	0.15	0.0	0.04	0.0	0.15	0.06	0.12	0.0	0.07	0.12	0.16	0.05	0.17	83.6	132.56	223.07	0.08	0.06	0.32	0.39	0.0	0.16	1.14	0.0	0.38	0.39	0.32	0.24	0.72	0.07	0.2	0.69	0.14	88.53	97.48	121.38	101.79	142.15	100.15	75.7	128.76	111.81	126.47
Shank1	0.0	0.0	0.0	10.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.47	6.32	12.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.11	4.89	0.19	0.0	0.0	0.0	0.0	13.72	7.39	11.36	9.95	11.7	10.95	23.92	148.7	139.9	181.16
Slc24a2	0.0	0.0	0.0	31.69	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.91	38.07	71.04	0.0	0.0	0.0	0.09	0.0	0.0	0.28	0.0	0.31	0.1	146.47	0.24	0.48	0.05	0.03	0.0	0.08	141.94	143.69	90.7	91.49	144.15	111.97	52.16	186.31	165.34	192.36
Slc4a10	0.0	0.0	0.13	519.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.44	92.65	177.75	2.1	0.0	0.0	0.0	0.0	0.0	0.44	0.11	1.07	1.01	0.39	0.42	0.41	0.39	0.05	0.39	0.37	75.24	100.59	109.0	159.6	383.75	200.03	99.24	157.25	141.18	148.95
Slc8a1	0.0	0.0	0.0	2.15	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	11.47	33.57	73.06	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.13	0.08	0.05	0.05	0.1	0.08	0.02	0.08	0.11	9.16	29.59	29.12	49.0	33.96	29.78	13.29	45.22	37.06	47.99
Spock1	0.0	0.0	0.0	113.84	0.0	0.0	0.0	0.15	0.26	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	66.37	125.2	112.78	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.27	0.34	6.37	1.33	0.94	0.0	0.06	0.15	0.28	25.34	81.62	41.14	41.62	96.65	85.81	17.24	143.7	145.55	144.61
Srcin1	0.0	0.0	0.0	25.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	11.4	15.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	12.03	7.66	7.51	4.02	3.56	6.84	138.51	141.68	150.57
Tppp	0.14	0.0	0.0	196.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	46.87	20.7	292.82	0.0	0.0	0.0	0.19	0.0	0.0	0.58	0.35	0.81	0.48	16.82	0.15	0.29	0.31	0.06	0.14	0.4	83.1	209.97	103.11	110.37	190.78	162.58	193.76	324.41	303.85	324.15
Unc13a	0.0	0.0	0.0	62.27	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	10.95	41.75	66.42	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.05	0.0	0.0	0.03	0.18	0.0	0.0	0.09	0.1	38.52	29.46	8.82	7.02	14.56	13.86	2.72	173.28	162.24	184.32
Unc80	0.0	0.0	0.0	53.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	22.11	77.1	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.09	0.05	0.0	0.09	0.08	0.0	0.0	0.0	0.03	2.16	13.06	24.01	32.45	26.78	23.98	30.29	84.37	69.19	87.32
