	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_53	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_16	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_57	Pvalb_tdTpositive_cell_4	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_21	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_16
Brip1	13.29	8.38	4.34	2.4	11.34	7.18	7.1	1.47	3.37	6.46	4.67	28.21	7.64	18.9	6.89	10.64	1.3	3.34	7.01	15.02	4.45	3.7	5.37	1.78	0.98	1.12	8.17	15.57	14.57	18.18	3.41	4.58	15.57	4.73	17.61	4.77	56.73	2.36	1.96	64.81	78.81	3.45	8.84	7.86	10.1	17.14	25.03	5.34	12.33	20.64	12.16	1.41	11.89	6.5	33.52	4.38	3.65	1.86	5.79	0.39
C330011F03	1.88	2.55	1.81	0.61	0.94	1.47	0.36	0.0	0.0	1.28	0.35	1.57	2.78	0.61	0.85	1.38	0.0	0.0	0.58	0.94	0.48	2.19	0.0	0.0	0.0	0.09	0.0	0.0	0.0	1.61	0.66	0.0	2.56	0.49	0.39	1.74	6.24	0.0	0.0	0.0	0.81	0.0	0.08	0.39	1.32	0.96	0.73	0.0	0.65	0.82	1.03	0.92	0.31	0.36	0.8	0.0	0.0	0.0	0.0	0.0
Car5a	72.77	20.32	15.79	16.53	20.37	5.24	14.12	0.56	10.72	26.41	4.49	22.03	12.23	3.69	12.82	7.81	0.0	7.31	18.46	19.36	3.75	37.71	14.7	0.58	4.07	17.69	0.0	8.99	23.35	59.41	24.08	22.95	54.42	16.25	40.72	25.62	16.71	0.21	0.49	35.31	108.24	5.21	11.84	15.1	11.34	12.54	17.94	7.34	6.45	17.52	25.43	7.18	12.98	7.74	29.49	2.44	0.0	7.11	7.15	3.69
Crx	31.26	0.76	5.08	3.74	2.19	0.0	4.8	0.0	3.63	1.24	0.28	7.62	15.99	18.2	5.87	3.18	0.34	5.91	20.5	20.67	9.03	9.67	5.59	1.36	0.22	0.54	5.07	10.97	16.53	19.24	14.84	1.9	24.3	1.82	10.05	11.29	4.49	1.48	4.44	15.67	44.6	4.39	2.68	3.07	2.88	7.49	36.21	4.65	1.77	5.68	9.47	3.72	2.86	1.73	30.13	0.0	0.34	5.66	13.91	0.13
Gm17821	448.55	402.63	300.83	124.07	281.36	242.28	158.46	0.1	118.44	298.64	73.03	776.07	479.16	484.88	431.75	304.23	8.62	271.16	350.81	290.99	172.25	465.66	208.47	11.55	105.35	256.28	300.18	369.73	393.71	675.25	319.58	196.85	424.15	243.75	553.92	292.32	1348.42	7.38	14.67	1734.48	2668.83	166.66	153.85	253.44	418.17	230.88	785.03	223.56	307.47	458.2	384.28	245.59	562.72	308.0	1413.94	149.06	137.54	214.21	183.94	24.98
Gm20337	43.27	23.27	31.58	13.67	14.7	27.51	11.64	0.0	12.22	19.67	6.99	14.88	30.48	34.69	39.89	18.22	0.18	15.69	16.65	29.24	15.35	39.84	15.87	0.42	9.1	19.33	21.0	26.04	28.39	40.08	20.07	27.46	53.83	20.38	28.01	29.92	70.75	0.23	0.33	42.39	64.59	18.68	8.69	16.62	36.22	28.38	15.96	26.69	26.19	22.5	11.44	14.52	20.32	30.68	75.78	5.37	4.42	10.53	3.91	0.36
Itgb1bp3	19.4	16.5	8.73	12.39	7.29	2.9	6.82	1.32	2.12	15.13	4.9	15.22	13.02	29.6	60.53	10.95	0.22	3.8	33.38	10.92	12.84	29.07	8.94	0.1	0.72	1.78	20.31	20.79	43.47	32.62	23.07	13.01	35.53	16.44	19.14	12.05	56.77	0.0	0.0	55.08	34.69	5.06	5.84	14.85	14.89	9.52	11.73	18.81	10.34	13.72	7.58	14.42	8.13	8.18	17.09	2.7	1.22	1.9	0.06	2.57
Kcnq1ot1	105.66	91.25	73.89	26.41	58.17	57.76	31.87	0.45	20.37	69.49	18.89	184.01	112.51	88.88	101.49	89.98	1.7	61.37	63.37	68.62	37.86	73.99	77.72	1.2	21.34	43.22	66.41	79.36	77.75	188.18	79.9	44.1	112.92	49.35	131.78	74.98	362.6	0.7	3.59	465.29	644.25	36.63	30.85	53.4	99.1	52.46	193.24	53.87	61.07	129.21	122.43	70.78	161.59	74.76	306.38	41.22	106.36	50.91	32.86	6.01
Lrrn4cl	20.4	17.97	20.04	14.23	16.43	7.53	6.08	1.77	4.57	15.97	7.17	21.64	23.75	26.03	34.78	17.01	0.68	13.35	21.1	11.73	8.82	18.22	16.91	0.0	6.01	5.35	14.96	12.63	32.06	17.81	25.01	5.69	31.85	12.45	25.12	19.44	39.03	0.0	0.16	109.35	120.9	7.48	27.9	14.14	17.06	12.02	40.11	9.17	13.15	21.88	14.96	14.16	27.44	19.38	49.6	5.69	10.32	12.96	12.46	0.48
Mboat4	3.16	2.35	1.47	0.0	0.41	0.32	0.83	0.0	0.5	0.0	1.93	9.68	3.21	2.71	11.46	4.53	0.0	2.76	0.74	4.12	1.23	0.0	1.32	0.0	1.11	0.0	2.76	0.3	3.66	5.45	1.67	1.55	11.65	0.47	2.92	2.36	15.26	0.0	0.0	9.06	10.82	3.45	0.61	1.59	0.49	3.61	6.51	1.2	0.69	0.84	2.3	1.32	1.97	2.82	4.74	0.0	2.88	0.37	0.0	0.0
Pi15	44.26	54.59	52.58	20.1	19.26	9.92	19.68	0.1	8.76	46.9	9.62	75.95	44.77	55.62	35.16	74.25	0.06	42.88	47.04	31.56	50.8	70.61	54.08	0.04	2.18	4.59	39.07	58.19	67.79	58.9	35.24	12.14	59.3	55.63	37.43	40.44	83.11	0.58	1.22	147.8	216.91	7.79	11.01	32.34	70.88	30.85	117.47	16.48	12.94	36.31	7.9	29.74	59.15	20.69	119.68	5.52	12.71	21.97	3.5	3.61
Psg29	0.95	0.81	0.5	0.84	0.0	0.0	0.16	0.0	0.0	3.19	1.57	0.44	1.88	0.18	0.54	0.0	0.0	0.0	0.71	0.53	1.52	0.0	0.17	0.0	0.06	0.0	1.31	0.0	0.92	1.73	2.33	0.0	1.19	0.0	1.89	0.33	6.94	0.0	0.0	5.2	4.95	0.0	0.35	2.85	0.0	1.46	4.61	0.08	0.42	1.59	0.57	0.23	0.6	0.0	4.3	0.0	0.0	0.0	0.0	0.0
Rnd1	7.37	2.26	8.57	1.44	3.07	1.16	4.45	0.63	3.61	6.53	0.71	4.74	8.27	4.02	3.83	2.34	0.55	1.27	11.25	5.66	1.25	13.01	3.19	0.13	0.98	2.84	13.68	2.48	3.25	20.13	1.46	5.58	18.61	7.69	7.87	2.99	21.17	0.0	0.17	12.34	141.34	19.38	2.14	3.72	2.38	1.99	5.08	6.33	4.31	5.25	2.21	2.23	2.94	2.79	19.95	2.43	2.63	0.0	6.23	0.85
Soat2	48.91	35.05	30.29	16.42	32.06	26.78	14.94	7.85	27.13	28.82	24.4	91.91	37.3	46.86	28.65	10.81	2.72	39.28	58.04	30.41	22.05	42.21	45.69	3.17	11.34	6.55	30.95	29.4	44.75	91.63	46.67	20.2	60.95	30.16	74.93	22.41	101.22	3.8	0.0	184.18	207.28	10.97	9.29	44.8	22.95	25.71	69.21	25.03	26.67	34.86	29.58	20.56	50.99	23.44	86.65	12.49	3.73	23.65	26.73	4.92
Ube1y1	22.02	29.2	28.22	11.75	19.47	10.74	28.33	0.09	8.13	19.48	3.44	47.04	24.78	19.76	22.03	17.12	0.0	21.57	11.07	14.95	10.79	12.09	19.73	0.0	0.09	1.22	23.19	18.69	31.83	40.11	21.95	14.26	65.37	7.81	11.29	11.85	91.19	0.0	0.0	64.15	97.44	3.82	3.36	20.2	19.85	20.28	23.95	5.49	17.07	7.5	10.22	5.11	26.23	4.36	51.89	0.0	5.99	1.68	3.76	0.0
Xcr1	8.64	6.27	4.38	3.77	1.74	2.93	4.12	0.0	3.9	4.56	1.1	9.34	5.81	8.58	7.55	6.85	0.0	3.06	3.62	4.83	5.76	4.45	4.75	0.06	0.62	2.11	4.32	6.86	5.91	7.53	8.89	1.75	7.36	3.24	6.22	4.21	14.07	0.45	0.2	16.42	23.55	3.24	2.39	3.76	5.83	3.49	7.28	1.1	4.33	7.41	5.49	3.37	6.3	1.67	12.7	2.12	2.81	1.06	1.88	0.32
Zfp607	17.03	3.12	16.2	1.12	7.33	4.44	4.25	2.64	2.99	11.54	5.24	23.99	32.37	18.43	16.55	7.82	2.11	5.06	14.96	11.14	17.04	21.9	15.31	0.18	2.41	0.87	6.33	3.92	11.19	25.0	10.36	2.85	14.76	7.65	19.57	4.58	32.99	0.15	1.87	34.16	50.03	4.3	2.8	9.39	10.26	5.42	23.63	3.46	9.06	13.86	11.54	5.35	6.99	3.52	38.42	2.62	4.0	1.89	3.95	0.1
