	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930579G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	1.48	1.4	2.72
4933432B09Rik	0.2	0.0	0.7	0.67	1.15	0.34	0.59	1.31	70.49	0.18	0.0	0.17	1.26	3.29	0.16	0.48	3.64	1.15	0.35	0.62	0.4	0.71	0.93	1.4	0.09	1.4	1.14	0.74	0.69	0.38	0.69	0.21	0.59	2.64	0.37	0.55	0.33	4.56	4.69	1.72	0.52	0.94	6.0	1.14	1.16	2.3	5.87	4.74	5.87
6030458C11Rik	2.3	0.0	4.56	2.55	0.58	6.57	4.55	4.85	326.81	0.83	2.44	6.12	16.06	7.28	1.74	3.09	13.97	4.47	3.2	2.38	1.24	4.61	1.39	2.9	2.45	6.18	4.58	3.97	3.91	1.51	0.66	4.09	6.22	2.19	0.33	2.02	27.78	18.4	24.36	9.37	17.01	30.84	17.14	26.8	27.64	24.52	34.06	33.37	33.72
9130023H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.75	0.0	0.0	0.0	0.0	0.23	0.0	0.19	3.45	0.0	0.0	0.0	24.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.49	0.0	0.0	0.0	0.0	16.91	13.34	13.33	5.66	8.39	12.07	11.31	4.31	9.66	8.49	2.38	2.05	2.26
9330151L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	3.39	0.27	0.0	3.96	7.67	0.0	1.17	3.25	5.33	22.66	23.63	26.04
A630010A05Rik	0.9	0.0	0.0	0.0	1.46	5.16	0.0	0.0	41.59	7.12	0.0	3.49	3.94	1.55	0.38	0.0	3.02	51.84	0.0	0.0	0.71	0.0	0.29	0.83	6.33	0.0	0.29	0.16	0.15	0.0	0.96	10.24	0.0	36.95	31.99	0.0	1.43	2.88	1.05	2.15	1.47	2.79	1.24	1.51	1.72	0.44	0.57	0.12	0.1
AI846148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.54	1.27	0.0	5.09	1.09	0.0	1.96	0.43	1.09	19.74	21.08	18.17
Aco1	357.53	269.42	1.48	2.64	1.96	0.6	161.88	0.85	390.43	2.54	2.97	0.65	2.34	0.61	1.46	0.47	5.51	1.96	6.4	0.17	0.4	1.09	0.29	2.13	0.69	4.65	1.86	1.13	0.5	0.98	0.72	0.94	0.0	0.11	2.92	0.0	2.29	0.79	4.5	8.96	0.69	3.15	5.11	0.62	4.99	4.11	20.74	21.59	20.61
Aif1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	464.36	331.94	0.0	146.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.24	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	6.7	6.06
Akap17b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.21	83.41	0.0	0.0	0.0	0.0	0.0	0.0	5.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.92	0.05	4.7	8.2	0.91	3.33	3.78	3.7	3.85	11.75	11.3	11.6
Akr1e1	0.0	0.0	0.0	0.0	0.0	430.91	0.0	0.0	619.89	0.0	0.0	0.0	849.18	162.62	0.0	0.0	103.16	0.0	0.38	0.0	0.0	1.14	0.83	0.0	0.0	0.0	0.0	0.0	0.42	0.0	693.79	0.0	0.0	0.0	0.0	0.0	79.2	89.12	86.03	118.79	50.82	93.16	84.17	106.95	102.57	83.17	29.15	29.65	23.32
Alkbh7	0.0	9.08	0.0	0.0	0.0	0.0	0.0	0.0	525.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.85	2.83	10.57	6.34	0.0	11.26	7.33	17.66	12.79	21.35	23.28	20.7
Anp32e	3.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.02	0.0	0.0	50.85	0.0	0.0	9.77	0.0	13.79	0.23	0.2	153.77	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	57.23	49.66	65.57	60.02	57.92	46.9	50.38	75.41	70.99	76.39	85.52	81.08	87.83
Arhgap18	0.0	13.17	0.0	0.0	0.0	0.0	0.0	0.0	409.43	95.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	3.35	3.47	0.07	0.0	1.96	0.41	0.38	2.29	7.04	5.84	6.02
Arhgap21	192.5	0.0	0.07	0.0	0.0	28.49	0.0	0.0	254.76	0.0	0.0	0.0	0.0	0.12	0.0	0.0	12.96	0.0	0.0	4.27	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	30.61	0.0	8.3	11.57	8.69	10.68	2.57	11.73	5.67	5.62	4.06	5.83	77.97	75.97	80.34
Ascc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.26	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.38	4.86	4.41	7.83	0.4	0.09	4.63	8.83	4.5	5.47	18.34	16.82	17.46
Asnsd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	10.04	0.12	0.88	10.28	7.14	4.82	2.78	4.87	18.37	17.31	18.42
Atp4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.48	0.53
Atxn7l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	982.56	0.0	162.18	0.0	0.0	0.0	0.0	0.4	54.06	0.0	0.0	0.0	0.0	13.07	0.0	0.39	258.7	0.0	0.0	540.14	0.85	0.0	127.12	0.0	0.0	74.48	0.0	0.0	22.47	36.58	10.0	55.9	42.63	42.71	32.2	33.19	43.93	40.18	29.08	28.02	27.32
Bai3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.19	0.0	0.0	0.0	122.02	0.15	0.11	0.0	27.23	0.0	0.12	0.0	0.0	0.12	0.13	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.21	28.94	19.12	41.98	21.9	30.9	23.54	45.68	37.61	42.99	57.47	56.09	54.08
C030044B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	1.0	0.9	0.0	2.34	0.0	1.2	2.91	24.47	32.0	30.13
C1d	0.0	0.12	0.0	0.0	0.0	0.0	107.87	0.0	465.64	0.0	351.76	599.37	205.54	0.0	0.62	0.0	178.98	2.53	0.33	0.13	0.0	0.44	0.24	0.0	0.0	36.17	100.32	398.2	0.97	0.0	264.82	0.0	0.0	268.32	0.21	0.0	109.74	137.36	117.77	145.29	112.2	70.42	119.9	101.97	100.5	95.44	28.71	26.69	26.74
Cacna1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64	0.0	0.0	0.11	0.0	0.0	0.0	0.0	4.32	0.08	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.03	0.11	0.0	0.0	0.0	0.08	0.0	0.0	0.0	4.55	9.39	3.05	13.64	5.47	9.63	6.73	5.07	6.16	5.57	24.27	21.97	25.63
Cacybp	0.0	70.11	0.44	0.0	0.0	0.0	0.22	0.0	429.86	0.0	0.0	0.0	0.0	0.0	152.62	0.32	251.95	0.0	0.31	0.0	37.3	9.2	0.0	0.31	0.0	28.2	0.44	0.37	0.0	0.0	0.0	38.76	0.0	0.0	0.0	0.0	112.78	165.14	192.92	145.26	147.09	190.88	121.13	153.48	178.32	191.91	72.18	69.4	67.36
Capn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389.16	293.37	48.46	148.16	4.87	0.0	0.0	0.0	11.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	4.93	9.81	6.03	4.04	10.18	5.79	6.49	2.9	3.66	5.0	61.25	63.62	61.62
Carhsp1	111.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.61	0.11	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	9.29	0.0	0.71	2.11	0.0	2.51	0.0	0.73	1.45	5.36	35.55	41.12	40.06
Caskin2	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	200.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.07	14.94	14.1	14.84
Cc2d1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.39	38.08	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04	1.66	0.1	7.74	5.55	0.9	0.06	1.54	1.15	0.95	33.23	35.45	36.01
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	177.66	125.27	103.08	54.7	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Cdk5rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.07	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	25.61	11.42	22.18	7.93	7.2	3.44	22.61	16.73	17.95	8.51	8.06	9.06
Cetn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	7.03	6.28	15.44	15.38	15.94	29.58	4.96	7.06	1.7	11.71	11.39	12.09
Chd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67	0.0	0.0	0.0	0.0	4.36	4.44	2.81	4.27	8.47	6.37	7.41	6.12	5.62	5.06	229.08	240.27	248.23
Chrna10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.14	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.37	0.25
Chst11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.49	0.12	83.45	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	8.15	2.01	1.15	2.47	0.0	0.0	0.04	1.82	0.0	0.75	31.23	28.06	29.95
Clasrp	0.0	67.2	0.0	0.0	0.0	36.68	4.8	0.0	86.67	11.73	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.27	1.58	0.2	1.08	3.46	0.46	1.53	2.25	2.92	55.37	61.75	62.67
Clec11a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	50.18	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.92	4.0	2.61	2.81	0.0	0.51	2.45	1.69	2.48	4.12	5.07	5.78	6.39
Clic4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.17	0.08	0.0	0.0	0.16	0.17	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37	0.0	0.0	0.0	0.0	0.12	0.1	0.36	0.08	1.02	58.45	56.14	59.54
Clk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.91	0.0	0.14	0.0	0.0	1.68	0.0	0.0	0.0	0.0	0.4	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	3.38	5.25	13.86	4.94	11.59	4.13	6.36	5.4	5.13	28.78	30.63	29.43
Cnpy4	0.0	0.0	282.7	0.0	0.0	0.0	0.0	0.0	774.7	0.0	0.0	0.0	616.51	0.0	0.0	18.88	30.44	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	76.88	58.16	62.0	61.78	54.24	48.81	60.75	75.77	50.43	55.63	10.83	11.25	10.49
Cpeb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.63	0.1	0.0	0.0	0.0	0.0	0.0	0.0	32.78	0.22	0.0	0.0	0.0	0.21	0.11	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.14	13.87	13.6	29.35	23.4	50.04	24.18	50.9	23.62	36.76	60.2	57.93	53.81
Crtc2	0.0	0.0	0.0	124.77	0.0	0.0	0.0	0.0	250.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.77	0.0	0.0	0.0	69.36	0.0	175.37	0.0	0.0	0.0	0.0	0.0	0.27	0.0	12.84	0.0	0.0	0.0	0.0	0.0	4.36	3.5	5.02	0.33	8.25	4.12	3.99	0.8	4.72	3.3	20.45	21.33	22.04
Cst3	28136.64	11923.09	66199.78	54799.87	54350.96	6434.77	61505.62	10478.59	18986.87	25453.49	18275.3	11009.47	22838.83	22142.28	32676.97	64380.72	471.62	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	30854.58	61052.51	14121.09	18645.13	80478.24	68326.69	95318.24	42183.43	75159.39	84616.84	72517.08	369.21	435.78	360.58	390.02	475.27	352.13	638.95	353.49	361.27	348.24	1961.51	2186.93	2204.12
D630041G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.25	52.96	0.0	0.0	0.0	0.16	0.0	0.34	0.0	1.84	0.32	0.0	0.0	0.0	0.0	0.25	0.0	0.05	0.17	0.0	0.14	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.35	0.0	0.0	0.83	0.31	0.21	0.07	2.75	0.08	0.66	0.69	6.36	3.83	5.5
Dda1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.56	0.0	0.0	0.0	4.12	0.0	0.0	0.0	12.34	145.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	11.3	7.61	8.36	8.89	0.0	5.67	1.19	3.95	5.36	61.26	67.17	58.93
Dpf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	2.47	2.79
E130303B06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	62.12	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33	22.87	7.6	0.0	8.08	2.97	9.68	10.31	8.01	5.85	12.17	12.27	9.4
Efr3b	0.18	0.0	0.53	0.46	2.21	0.0	0.4	18.38	124.98	0.55	0.66	0.09	0.57	0.62	1.12	0.7	11.15	1.1	0.21	2.1	0.0	1.98	0.15	0.0	0.54	0.1	0.75	0.0	0.84	0.0	0.62	0.33	0.93	0.09	0.0	0.85	14.76	20.37	24.73	31.35	23.94	18.78	13.45	21.16	18.25	22.17	94.67	93.25	100.15
Exoc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.98	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	29.44	0.0	0.0	69.38	19.78	24.72	39.22	68.76	26.43	24.48	46.57	69.1	58.68	61.62	36.36	36.95	34.92
Eya3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.0	0.0	0.0	0.0	0.0	14.54	4.18	0.0	48.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.12	0.0	0.0	4.68	0.8	0.39	3.38	3.59	7.32	11.04	3.66	3.52	3.73	18.15	18.29	17.8
