	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bsdc1	62.8	0.0	0.0	0.0	0.0	14.92	0.0	14.22	34.89	0.0	0.0	0.26	0.0	0.0	0.0	41.27	0.0	0.0	43.29	121.89	69.32	1.75	50.23	51.49	49.17
Cacnb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	0.0	0.0	0.77	0.72	1.15	0.0	0.28	2.92	0.0	1.86	33.74	31.87	33.43
Calcoco1	10.06	0.0	0.0	0.0	0.0	0.0	0.64	0.0	29.75	22.76	0.0	2.22	0.0	52.49	0.0	1.37	29.49	0.0	35.25	61.72	0.0	9.25	65.64	68.73	64.28
Carns1	0.0	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	5.27	0.0	0.0	11.66	0.0	0.0	7.26	7.65	7.82
Chst15	0.12	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	1.07	0.0	2.97	0.0	5.57	0.0	0.01	3.81	0.11	1.69	29.18	28.82	29.43
Dnase1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.11	0.0	0.07	0.03	0.1	0.17
Eef1a2	15.57	1.69	28.7	7.33	6.67	13.01	52.9	99.2	1.22	19.72	1.66	1.03	4.1	25.91	54.01	20.94	27.65	1.68	63.86	62.54	23.85	24.47	919.63	958.3	943.69
Erap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	0.0	0.0	29.92	0.0	0.06	6.61	6.59	6.65
Fam108a	0.0	0.0	1.3	0.0	0.0	0.0	5.88	0.0	0.0	0.0	3.75	0.0	0.0	40.28	0.0	0.57	0.0	0.0	0.0	63.84	0.0	11.1	185.45	211.33	202.35
Fam160a2	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.07	1.29	27.36	1.77	9.89	6.76	4.75	23.54	1.93	9.85	24.28	25.16	25.64
Fam26d	0.12	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.09	0.12	0.15	0.14	0.0	0.1	0.38	0.0	0.07	0.04	0.08	0.08
Fzd6	0.11	0.03	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.08	5.97	0.15	0.14	0.0	6.8	0.3	0.06	0.13	8.48	8.13	8.54
Gripap1	52.49	30.59	0.0	30.23	0.0	0.0	12.66	33.26	40.14	0.0	98.36	1.66	16.15	10.9	47.69	49.48	16.08	18.81	15.81	71.62	0.0	22.65	84.58	88.63	88.46
Gsg1l	0.0	0.0	0.34	0.0	0.38	0.14	0.0	0.0	0.0	0.0	7.01	0.0	0.06	0.0	0.0	37.96	0.21	8.74	13.04	39.2	0.13	10.88	68.85	61.79	72.47
H6pd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.86	0.0	0.0	0.0	0.0	16.32	0.0	0.54	5.46	5.42	5.86
Htra4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.19	0.0	0.24	0.86	1.15	0.75
Ints6	1.63	0.06	1.01	9.86	3.69	0.75	3.46	0.34	0.49	17.67	3.76	1.0	1.74	1.69	27.1	8.68	4.11	4.8	2.13	25.25	0.0	7.94	11.18	9.78	11.42
Klc2	12.46	0.28	2.33	0.0	0.0	2.19	14.66	12.5	0.41	0.0	0.0	3.22	13.33	1.96	0.0	21.75	0.18	0.0	0.44	36.67	11.68	9.94	196.16	207.95	205.42
Maz	3.1	4.25	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.26	0.29	0.0	0.0	1.11	23.01	0.0	5.74	1.01	3.95	10.02	0.0	1.53	134.05	157.29	149.83
Mob1b	3.6	0.0	0.0	1.87	2.44	0.17	0.19	1.08	1.94	0.0	2.12	0.0	0.98	3.62	2.98	0.0	2.18	0.64	1.54	7.32	1.71	5.86	16.4	13.75	17.67
Nqo2	0.0	0.0	0.28	0.0	2.29	0.0	0.0	0.6	0.0	0.0	0.0	0.54	0.0	0.08	21.31	0.0	0.0	0.0	40.38	39.78	0.0	2.6	4.86	4.73	5.12
Ogg1	34.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04	0.0	28.97	25.54	0.0	0.0	37.68	0.0	10.06	5.97	7.62	7.21
Olfr658	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.08	0.14	0.0	0.0	0.07	0.06	0.14
Pcbd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.55	0.0	11.6	0.0	0.0	0.0	0.0	38.44	0.0	0.52	17.59	20.36	21.12
Pkd1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	2.38	0.0	0.04	0.86	0.74	0.89
Prcc	35.09	0.0	0.23	0.0	3.3	0.0	0.0	0.0	0.0	0.0	4.31	1.02	0.0	10.65	21.69	0.54	0.19	0.0	0.14	29.26	0.0	2.46	40.62	42.51	39.66
Rfng	11.11	10.63	0.0	0.0	0.0	31.92	25.96	7.89	0.0	0.0	0.0	0.0	0.0	0.0	24.74	0.0	61.56	12.83	6.2	43.69	15.26	7.5	81.25	85.04	84.63
Rtp3	1.12	0.47	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.49	0.0	1.29	2.93	0.0	0.14	1.82	2.39	0.5	1.68	2.72	2.32	3.2
Shank2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.07	0.09	0.56	0.0	0.0	0.61	0.0	0.87	66.62	61.5	75.84
Spen	6.56	0.23	0.0	0.0	0.0	0.88	0.78	0.23	0.0	0.0	0.0	0.75	0.02	1.47	1.37	2.1	9.61	1.48	4.37	4.38	3.37	1.62	19.23	19.39	20.09
Tac1	7648.19	5471.23	3159.38	2310.92	6618.42	1886.68	4203.43	5550.42	4137.98	5725.34	5716.55	8114.55	11032.51	6960.91	5289.34	3086.41	5303.3	5991.55	6135.38	219.43	4526.97	7.26	97.93	105.12	85.26
Tmem104	1.19	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.95	1.81	0.31	0.07	0.0	0.0	0.0	0.0	1.0	14.02	0.0	0.34	10.19	9.7	9.58
Tmem170	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.13	0.14	0.0	0.0	0.54	0.0	0.0	2.91	2.84	3.31
Tra2a	0.0	1.26	5.72	0.0	1.07	0.0	10.33	0.95	1.37	10.4	21.67	0.0	12.61	0.0	0.0	0.0	0.77	1.32	48.43	48.56	11.01	50.82	83.97	67.88	73.86
Trhde	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	4.31	0.0	0.0	12.78	0.0	1.7	18.34	16.98	17.46
Wbp1	0.0	0.0	15.89	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	38.36	0.0	0.0	63.44	0.0	0.87	32.71	38.27	34.9
c18_tRNA-Gly-GGG	19.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.63	34.34	20.38	0.0	0.0	16.52	13.31	0.0	14.54	21.37	35.39	19.79	10.25	25.49	15.42	46.86
c3_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.28	0.0	30.87	0.0	10.88	58.1	0.0	22.67	6.94	0.0	5.41
