	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_83	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_30	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_50	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Tac2_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ap2b1	0.0	0.99	11.73	0.0	18.01	9.3	6.41	13.09	0.0	17.17	19.21	28.86	31.71	10.71	18.63	17.06	32.24	4.96	8.41	23.28	29.44	30.08	86.95	17.11	26.83	16.72	64.33	40.31	27.65	42.15	12.27	80.54	16.14	91.93	19.99	48.12	9.12	18.98	27.34	8.44	42.98	26.63	168.78	170.81	177.32
B430212C06Rik	0.0	0.0	0.0	0.0	0.42	0.0	5.34	0.0	0.0	0.0	19.88	0.25	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.79	10.45	0.0	0.0	0.47	0.0	0.0	21.0	0.69	0.0	0.0	0.97	0.0	0.45	7.29	0.0	0.0	24.79	0.0	0.0	0.0	0.53	0.85	1.01
Bsdc1	0.0	0.0	1.75	0.0	27.01	0.0	0.0	0.0	0.0	0.0	14.03	0.0	0.0	0.0	0.0	45.5	0.0	3.51	65.01	66.98	2.96	0.1	165.94	0.0	0.67	121.89	42.14	0.16	1.83	0.0	0.0	0.0	30.86	0.0	90.2	0.0	0.0	0.0	18.3	0.45	0.0	0.0	50.23	51.49	49.17
Camkk1	0.0	0.1	0.0	0.0	0.0	3.22	0.35	12.99	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	1.14	0.21	7.05	104.35	0.88	0.0	0.0	0.0	0.0	27.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.29	0.0	0.0	20.93	1.33	0.0	101.21	102.79	94.75
Casc3	0.0	4.56	0.15	0.0	0.0	0.0	38.53	0.0	0.0	0.0	0.13	0.0	2.18	0.0	26.74	21.36	0.08	0.0	0.0	0.04	0.19	11.96	104.19	1.94	39.74	39.94	6.07	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	37.77	3.68	0.0	0.0	4.02	0.0	46.6	47.1	45.84
Casp8	0.0	0.11	0.14	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.12	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.18	0.0	0.08	0.0	0.0	0.0	2.4	1.97	2.08
Clic4	0.0	0.0	0.0	0.0	15.91	0.0	0.0	49.27	0.0	7.24	20.44	0.79	8.96	0.0	0.0	0.0	0.0	0.0	0.0	0.04	7.69	0.27	60.35	0.0	0.0	0.0	0.0	0.0	10.68	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.51	0.0	58.45	56.14	59.54
Csad	0.0	0.0	0.0	115.11	4.92	0.0	0.0	0.0	1.45	7.62	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.96	0.0	29.88	0.0	0.0	99.89	0.0	0.0	2.35	30.4	0.0	0.0	13.63	0.0	0.0	3.18	0.0	0.35	0.0	1.67	0.22	0.0	0.0	0.26	22.78	19.22	19.71	18.4
Cul4a	173.2	0.0	0.08	0.0	0.0	2.76	0.0	0.0	0.0	49.84	0.0	2.14	4.91	0.0	0.0	4.46	1.37	16.34	0.09	6.87	10.0	18.51	33.25	10.53	2.73	8.74	1.64	9.13	0.0	0.0	0.0	0.0	0.0	15.3	0.22	0.0	9.19	0.0	15.9	0.11	24.54	0.12	57.84	56.16	56.17
D730045A05Rik	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.1	0.71
Dcps	0.0	0.0	0.0	0.0	18.49	77.99	100.61	0.0	0.0	60.05	203.76	0.0	61.62	0.0	91.83	54.48	0.0	0.0	0.0	0.0	0.0	94.54	376.08	0.0	0.0	66.13	50.33	76.14	0.0	65.81	0.0	0.0	0.0	114.18	0.0	0.0	80.9	107.09	0.0	45.16	103.04	105.57	23.22	21.87	20.93
Eif2ak1	0.0	1.05	0.0	0.0	9.66	38.86	0.0	0.0	0.0	0.0	70.17	23.01	0.0	0.14	0.0	62.88	0.0	0.57	0.13	48.29	15.44	0.0	50.84	0.0	0.3	14.32	21.02	0.0	29.44	3.34	0.0	1.89	0.14	0.0	10.44	4.18	18.9	41.46	15.75	0.92	40.48	0.0	66.21	67.05	64.24
Ep400	79.17	6.97	0.0	0.0	9.88	11.49	0.0	0.0	202.46	0.68	12.45	13.33	0.97	0.62	23.89	9.24	0.92	0.39	1.77	3.18	10.6	4.63	20.39	8.53	20.58	7.34	8.67	8.57	2.88	0.0	0.0	0.08	18.73	3.29	0.04	1.09	0.03	15.5	13.71	7.98	1.15	26.82	26.54	25.34	29.25
Exd2	0.0	0.0	0.0	0.0	0.22	0.08	0.0	5.32	0.0	0.0	0.0	0.0	0.14	0.11	0.0	0.0	10.78	0.0	0.81	0.14	13.5	0.08	143.17	0.0	79.01	52.05	12.26	29.11	7.76	6.5	36.17	40.87	0.0	0.0	0.59	0.0	39.52	0.0	0.0	5.93	0.0	0.38	79.47	79.52	80.61
Fam122b	0.0	0.0	0.0	0.0	15.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.83	0.0	0.0	0.0	0.0	30.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	4.94	4.97
Fastkd1	12.26	36.17	0.47	4.84	16.94	47.33	6.42	0.9	1.12	0.09	61.84	2.7	38.23	44.68	2.08	45.1	62.74	14.71	4.11	3.83	3.59	29.55	101.15	1.19	76.08	2.42	16.62	1.22	7.2	3.17	1.99	2.04	6.78	1.87	3.07	3.32	64.0	1.48	11.36	2.41	74.91	15.25	14.56	12.68	11.06
Ficd	0.0	0.0	2.59	0.0	8.29	0.0	0.0	0.0	0.0	0.0	11.0	0.0	30.38	0.0	0.0	13.18	0.84	0.11	0.0	0.05	0.0	0.0	66.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.69	0.0	0.0	0.0	0.0	0.0	10.56	10.89	10.9
Gas7	0.0	63.94	54.97	42.87	4.76	2.14	21.71	0.09	0.0	0.04	0.0	1.3	31.18	3.77	0.16	0.04	7.32	13.17	8.45	18.3	0.0	21.63	119.43	43.48	73.75	22.87	16.0	13.0	6.28	21.49	0.23	9.52	7.37	17.91	27.49	32.92	0.27	12.45	16.98	18.08	16.55	2.35	186.15	181.08	185.5
Gls2	0.0	0.0	48.33	0.0	2.26	73.11	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	6.52	0.0	0.55	0.0	12.24	2.38	89.15	0.0	0.94	0.17	44.8	0.0	0.0	1.66	0.0	1.62	2.33	54.19	0.8	2.27	0.0	0.0	4.83	0.0	30.29	0.0	23.15	22.31	20.72
Gm10782	0.0	0.9	0.57	0.0	0.0	0.0	0.96	0.76	3.23	0.0	0.34	0.0	0.0	0.6	0.0	0.22	0.36	0.25	0.21	0.0	0.0	0.0	2.84	0.0	0.41	0.47	0.79	0.65	0.21	0.0	0.0	0.0	0.73	1.2	0.62	0.55	0.65	0.45	0.14	1.59	1.17	0.29	0.84	0.32	0.76
Gne	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	12.45	0.0	49.04	44.42	0.0	0.13	27.75	0.52	0.0	12.83	0.0	6.96	0.0	76.72	0.0	0.36	23.76	0.27	0.0	0.0	0.0	1.92	0.0	0.59	61.21	0.0	0.0	0.11	0.07	0.0	0.0	0.0	0.0	25.93	28.24	25.77
H1f0	0.0	0.0	0.0	0.11	38.31	0.36	4.85	92.07	0.0	0.0	9.64	0.57	11.86	5.1	0.16	35.56	24.84	3.31	68.52	31.48	28.55	30.71	83.39	21.79	4.6	13.8	36.88	4.39	7.81	33.49	20.41	12.78	38.17	43.46	35.45	0.7	22.84	1.93	52.47	42.2	9.52	42.09	107.13	118.43	108.08
H2-Bl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.96	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.11	1.4
Herc6	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.11	0.0	0.0	0.08	0.0	0.17	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.63	6.36	5.7
Hmbox1	0.0	0.0	0.0	0.0	19.03	0.28	74.89	29.59	0.0	0.0	35.0	20.57	0.16	0.0	16.38	32.41	0.0	0.0	55.01	0.0	2.68	2.16	90.23	0.0	0.17	0.28	14.8	0.0	0.0	5.08	0.0	0.0	8.91	90.93	40.28	16.13	0.0	0.0	6.69	0.0	1.79	0.0	27.51	23.7	33.14
Isy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.5	0.0	0.0	0.0	36.63	0.0	0.0	0.0	29.25	0.0	0.0	63.6	57.64	31.38	76.29	182.04	0.0	0.0	31.74	33.81	0.0	0.0	1.42	0.0	63.06	0.0	0.0	0.0	0.0	0.0	86.0	82.99	4.2	10.72	60.44	23.63	23.71	22.36
Itpkb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2	13.02	15.21
Kcna2	0.04	0.17	10.37	81.69	58.11	35.05	56.96	72.46	0.48	6.75	73.62	51.03	51.01	9.79	122.82	83.1	41.34	50.39	63.64	26.41	80.42	70.45	121.06	31.6	38.5	46.36	110.12	86.53	16.77	7.87	42.38	54.36	15.04	87.96	34.87	35.52	32.18	25.76	72.29	40.0	48.55	38.1	82.83	70.58	84.29
Kctd10	0.0	0.0	0.0	0.0	5.01	65.38	22.73	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.67	0.0	0.0	1.42	17.97	0.18	137.03	37.57	0.0	0.0	44.18	0.0	21.03	45.58	0.0	0.14	0.0	0.0	2.41	7.1	0.0	0.0	8.4	8.77	0.0	0.0	45.34	45.15	41.67
Kif16b	0.0	1.04	0.0	0.0	31.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	27.02	0.46	11.82	0.0	50.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	0.0	0.0	0.0	1.65	0.0	0.0	17.69	0.0	0.0	0.0	0.0	8.55	8.36	8.31
Kirrel	0.0	0.96	0.0	0.8	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	25.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.18	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.27	0.0	2.95	2.92	3.06
Ldhb	7486.96	5082.1	8138.08	8970.97	7028.63	7195.62	7241.68	9309.63	5600.23	10118.08	10894.4	10165.1	9602.81	8469.38	11261.44	10004.69	6844.62	6618.13	7266.47	4982.54	9074.03	13571.31	5038.84	5873.12	5104.03	12546.17	9106.97	9755.78	11010.48	10182.84	4690.77	5877.43	5994.56	6259.84	7493.59	8045.48	6971.5	8330.83	11746.38	7184.19	6038.57	6360.56	737.58	774.98	752.92
Leprel2	3.56	1.03	1.31	0.86	1.39	1.78	1.81	1.86	0.78	0.25	1.4	2.1	14.52	0.74	2.48	1.88	0.32	2.77	2.78	1.84	0.77	1.41	23.95	8.57	3.43	27.71	1.79	3.05	2.53	1.63	3.37	6.48	2.56	3.57	2.22	2.14	2.04	4.49	1.12	8.57	2.18	1.27	19.22	20.26	19.87
Lrriq4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.02
Mdm4	0.0	33.47	7.74	42.28	4.85	80.79	10.75	0.0	0.0	45.87	3.4	19.07	1.83	5.52	0.0	5.43	1.51	0.82	27.57	3.03	2.24	34.39	89.61	16.19	62.63	47.07	34.29	4.22	0.0	0.0	25.46	13.84	0.51	0.0	32.38	0.23	23.4	12.24	12.32	1.46	79.94	1.92	37.43	31.41	38.52
Myo1h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.78	1.0
Myof	0.0	16.61	0.0	9.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.55	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	1.78	2.09
Nbea	0.04	40.93	0.64	3.28	40.34	7.96	15.49	2.22	0.0	5.89	5.39	47.25	41.63	12.75	18.0	22.85	15.16	3.89	3.39	57.87	16.53	9.35	108.95	0.44	18.17	8.29	20.07	16.66	23.83	14.05	40.52	39.33	47.04	11.68	10.08	0.18	20.88	26.01	10.9	18.3	15.93	12.0	86.62	79.29	87.87
Nkx1-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.0
Pcm1	0.0	0.0	28.0	0.0	9.88	38.41	14.91	16.63	0.0	0.0	6.86	45.2	5.72	20.56	10.22	59.35	23.2	9.45	26.12	0.18	3.62	16.31	86.37	36.5	1.93	16.82	4.32	13.93	25.82	18.7	41.61	54.11	28.6	3.0	5.38	0.05	20.92	11.97	39.24	16.32	36.14	20.4	35.87	28.05	34.56
Pign	0.0	0.0	0.0	0.0	6.47	1.83	0.04	45.82	0.0	22.96	5.9	0.0	31.54	0.67	0.0	0.0	0.0	21.12	0.0	0.0	4.48	0.0	83.63	0.03	28.47	1.31	2.13	0.0	0.0	0.07	0.0	0.0	0.05	26.98	0.0	32.53	12.73	20.36	4.66	0.0	0.0	0.0	7.15	7.09	8.24
Plvap	0.0	0.17	0.0	0.0	27.0	0.0	0.3	22.82	0.0	4.85	0.0	10.71	8.25	0.0	0.0	0.0	0.15	0.0	0.17	21.46	0.0	9.17	36.26	0.0	0.0	1.02	25.46	0.0	0.0	3.16	0.0	0.0	0.0	58.23	0.0	0.0	11.16	8.78	36.25	20.89	14.47	21.89	8.56	9.31	7.36
Pomc	0.0	0.0	0.0	0.0	18.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.59	0.0	0.0	0.0	0.0	0.0	8.11	0.0	41.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	2.55	2.38
Ppp1r8	0.0	0.0	0.0	0.0	44.92	0.0	33.01	0.0	0.0	59.1	0.0	18.26	0.0	0.0	50.59	0.0	0.0	12.22	0.0	18.35	20.12	0.0	95.06	31.72	82.36	30.64	25.88	0.21	0.0	0.0	0.0	0.0	0.0	0.0	19.07	0.0	111.22	50.03	0.0	8.76	0.32	0.0	34.14	36.42	31.18
Prrt1	0.0	0.0	3.41	0.0	0.42	0.92	0.0	7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	11.78	0.0	2.03	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	99.55	104.6	118.51
Psip1	0.0	11.15	0.0	0.84	6.73	48.31	45.69	6.76	0.0	30.04	53.17	30.12	41.44	9.6	29.56	13.39	23.01	63.44	30.3	152.48	51.54	49.12	289.02	17.85	52.3	23.3	44.37	46.68	87.74	4.67	1.36	42.17	81.47	31.61	34.1	53.64	121.3	81.34	7.5	47.49	98.99	20.46	120.58	111.41	113.33
Ptges2	0.0	0.0	11.04	0.0	26.0	0.0	0.0	0.0	0.0	0.0	13.33	18.12	11.61	0.0	0.0	0.0	32.31	30.98	0.0	6.04	14.41	0.0	106.02	1.34	70.38	0.0	0.0	5.85	1.11	0.0	0.0	2.74	75.29	0.0	0.0	0.0	0.0	0.0	1.21	0.81	27.53	0.22	36.65	38.21	38.88
Rab22a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.79	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.0	0.0	5.76	8.13	0.0	0.0	36.5	36.78	37.73
Rbpj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.83	0.0	0.0	0.0	0.0	26.31	26.26	1.34	37.16	12.7	0.0	15.56	4.33	0.0	57.83	0.0	16.04	9.14	2.95	22.77	0.0	11.73	0.0	26.63	0.0	7.66	0.0	0.0	0.4	36.46	4.76	0.0	14.37	1.31	20.53	18.12	19.58
Rcc2	0.0	0.0	0.0	0.71	0.2	1.43	0.0	13.05	0.0	0.34	0.0	0.0	0.48	0.0	0.0	0.0	0.0	16.38	0.0	0.2	3.77	21.99	21.08	0.0	0.0	0.0	10.68	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.17	5.17	0.05	30.9	0.0	0.56	61.45	68.71	59.96
Rce1	0.0	0.0	0.0	0.0	36.78	0.0	72.47	0.0	0.33	66.18	0.0	32.04	35.24	0.0	0.75	0.0	0.0	0.25	0.0	0.0	61.01	0.2	92.54	0.0	1.26	40.31	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	37.24	0.0	0.0	50.26	51.11	0.0	0.0	0.59	24.72	23.88	24.17
Rnf111	0.0	5.53	49.45	0.0	24.78	35.98	0.0	25.23	0.0	0.0	0.0	27.68	22.44	0.0	15.44	0.0	47.22	3.28	0.0	29.82	15.47	19.96	61.62	0.0	0.0	18.9	0.0	0.0	26.5	40.99	22.18	4.3	0.0	0.0	20.41	0.0	0.0	0.41	12.35	0.16	6.68	8.98	21.87	20.72	21.22
Rnf39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	10.12	8.63
Rras2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.48	4.44	0.0	0.0	0.0	3.8	51.15	0.0	27.89	0.0	0.0	0.0	0.0	37.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.96	17.37	17.06
Sel1l	0.0	0.0	0.04	0.04	41.97	1.05	4.75	63.88	0.0	1.96	9.68	32.76	62.29	11.37	0.0	21.45	29.42	10.15	0.0	4.86	24.12	25.17	54.07	13.17	69.64	9.12	47.36	9.74	9.71	27.36	2.52	3.87	17.26	8.68	10.01	10.34	46.01	7.66	8.5	32.82	2.01	1.49	95.51	89.46	94.55
