	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rnf20	0.0	0.0	0.0	48.41	45.8	44.56
Rrm2	0.0	0.0	0.0	2.82	2.4	2.45
Sbf2	14.95	0.0	0.0	27.17	24.22	28.23
Scgb2b1-ps	0.0	0.0	0.0	0.2	0.0	0.43
Serpinb9c	0.0	0.0	0.0	0.0	0.0	0.0
Sh3bp1	0.0	0.0	0.0	13.9	14.26	13.38
Slc38a7	0.0	0.0	0.0	21.33	24.04	21.44
Smo	0.0	0.0	0.0	8.27	8.75	8.9
Smurf1	0.0	0.0	0.0	31.89	32.54	32.87
Snx20	0.0	0.0	0.0	1.05	1.18	1.29
Sos2	0.08	0.0	0.0	19.39	17.21	17.87
Spns3	0.0	0.0	0.0	0.05	0.15	0.39
Stard8	1.39	0.0	0.0	17.71	17.38	18.68
Tbc1d20	0.0	0.0	0.0	47.16	46.92	49.79
Tmc4	0.0	0.0	0.0	3.65	4.1	3.77
Tmsb15b1	0.0	0.0	0.0	7.6	10.23	8.22
Topbp1	0.0	0.07	0.0	12.18	11.59	11.46
Tubd1	0.0	0.0	0.0	7.21	6.25	6.65
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wapal	0.0	0.0	14.88	21.96	19.7	22.73
Wbp11	0.0	0.0	0.0	87.5	88.98	76.53
Yy2	0.0	0.0	0.0	1.89	2.01	1.78
Zbtb46	0.0	1245.28	0.0	7.15	8.78	7.45
Zfp236	0.0	0.0	0.0	16.94	16.03	18.45
Zfp839	5.23	0.66	1.5	8.11	8.6	8.5
c3_tRNA-Ala-GCA	0.0	0.0	0.0	6.83	9.6	5.76
c3_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	6370.03	4908.34	0.0	25813.35	24091.17	24561.45
