	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_15	Htr3a_tdTpositive_cell_101	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ftsj1	4.57	0.92	101.77	3.14	1.07	3.48	2.58	1.3	0.81	2.28	0.57	37.16	11.87	12.12	13.19
Fv1	0.0	0.0	88.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32	6.92	8.38
G630016D24Rik	0.0	0.0	6.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.69	0.85
Gabra5	0.0	0.0	318.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.5	69.6	74.39	68.11
Gck	0.0	0.0	46.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.93	1.2	0.82
Gm10538	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.05
Gm10560	0.0	0.0	59.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	10.39	11.72	9.23
Gm15706	0.0	0.0	47.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	11.92	10.58	13.62
Gm17801	0.0	0.0	36.03	1.91	0.0	0.69	0.69	0.0	0.0	0.0	0.45	0.54	0.54	0.54	0.35
Gm17830	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.19
Gm973	0.0	0.0	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	3.47	3.4	4.02
Gnaz	0.0	0.0	57.74	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	5.53	56.74	56.71	56.07
Gng4	0.0	0.0	213.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.44	39.85	46.87	35.07
Grid1	0.0	0.0	78.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	37.83	37.1	39.08
H2afy3	0.0	0.0	1.07	0.0	1.25	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.05	0.08	0.0
Hcrtr2	0.0	0.0	55.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22	1.32	1.42	1.29
Hdac11	0.0	0.0	47.42	0.78	0.0	0.52	0.28	0.4	0.0	0.0	0.25	23.23	163.09	171.47	168.04
Helq	0.0	0.0	26.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	10.46	10.37	11.64
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Il2	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Immt	0.18	0.0	617.77	436.82	0.0	0.0	58.97	0.0	0.0	91.03	0.0	211.51	106.37	109.7	100.87
Irf3	0.0	0.0	21.02	0.0	0.0	0.0	0.0	0.0	19.01	0.0	0.0	4.1	17.09	18.3	15.62
Ism1	0.0	0.0	28.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	6.93	9.57	7.05
Kank1	0.0	0.0	0.55	0.06	0.0	0.12	0.13	0.0	0.0	0.0	0.0	0.19	8.81	8.89	10.85
Kbtbd8	0.0	0.1	96.71	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	3.8	5.09	4.16	5.33
Kif20b	0.0	0.0	45.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.35	0.2	0.42
Klhdc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.95	21.44	24.74	25.14
Letmd1	0.0	0.0	175.86	0.5	0.0	36.03	0.82	0.0	0.0	0.23	0.0	69.08	49.4	51.4	49.6
Lmo7	0.0	0.0	44.74	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.77	50.59	47.25	46.44
Lrfn1	0.0	0.0	32.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.2	42.71	49.13	45.11
Mir5109	0.0	0.0	29.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53
Mthfd1	0.0	0.0	157.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.62	11.96	27.48	29.4	28.61
Mttp	0.0	0.0	36.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12	7.85	8.03	7.14
Mycs	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Myd88	0.0	0.0	80.19	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65	6.36	5.94	6.19
Ngdn	560.86	0.0	112.42	0.28	0.0	0.0	0.3	0.0	9.19	0.0	0.0	96.43	19.25	23.02	20.74
Ngf	0.0	0.0	227.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09	3.94	4.22
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Olfr424	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pa2g4	190.48	5.78	185.92	0.53	0.0	30.29	0.0	486.65	3.79	0.25	0.0	127.41	57.75	62.67	56.01
Parp6	0.0	0.0	30.81	0.25	0.0	0.5	0.0	0.0	0.0	0.0	0.0	44.99	110.81	103.98	113.03
Pcdha6	0.0	0.0	74.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	6.28	6.93	5.35
Phf21a	0.0	0.0	0.0	0.05	0.0	0.81	0.0	0.0	0.0	0.0	0.0	4.25	18.71	19.05	20.41
Phyhipl	0.0	0.0	153.02	0.12	0.0	0.47	0.13	0.0	0.0	0.0	0.0	42.37	162.08	156.56	157.41
Ppat	0.0	0.0	27.0	0.08	0.0	0.0	0.0	300.78	0.0	0.0	0.0	12.88	13.04	13.23	11.04
Pppde1	0.0	0.0	0.0	0.1	0.0	1.37	0.0	0.0	0.0	0.0	0.0	4.46	16.81	16.24	17.0
Rad54l2	9.61	0.0	29.5	163.22	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.4	11.32	10.45	11.72
Rexo2	0.0	0.0	68.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.71	69.59	77.82	70.24
Shc3	0.0	0.0	29.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.22	41.9	55.7
Slc1a5	0.0	0.0	94.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58	2.9	2.7
Slc25a29	0.0	0.0	67.87	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36	14.8	17.46	16.16
Slc35e2	2.47	3.95	22.61	11.02	3.11	8.22	3.87	1.58	2.69	5.97	2.03	13.51	19.38	18.85	19.92
Slc6a8	0.34	0.0	45.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	61.85	65.48	65.64
Snx24	0.0	0.0	114.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.16	13.72	14.81	12.96
Stk32b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	2.1	2.19
Tapbpl	9.21	1.69	176.08	284.09	4.3	5.19	65.63	7.81	4.58	19.08	2.85	19.66	9.95	9.09	8.95
Tbx4	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.16	0.17
Tdpoz1	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Th	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	4.32	4.26
Tmem132a	0.0	0.0	37.41	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	173.98	189.33	182.59
Trhr2	0.0	0.0	136.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	5.38	4.43	7.17
Ttc34	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	1.88	1.94
Ubr2	0.0	0.0	37.72	1.16	0.0	0.0	1.77	0.0	0.0	17.34	0.0	2.75	37.12	36.47	37.59
Usp29	0.0	0.0	41.34	0.45	0.0	0.22	0.0	0.0	0.54	0.08	0.0	10.02	14.49	13.37	14.7
Usp54	0.0	0.5	36.55	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	27.66	27.02	29.89
Vmn1r33	0.0	0.0	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn1r34	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn1r38	0.0	0.0	10.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.04	0.04	0.09
Wfdc3	0.0	0.0	42.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.99	1.17	0.13
Wnt4	1.44	7.76	48.13	4.87	10.08	6.93	6.08	0.53	1.25	0.64	1.09	1.68	12.67	14.34	12.46
Yipf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	33.54	0.0	21.36	21.82	24.06	23.67
Ysk4	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	2.07	2.55
Zc3h3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	14.15	15.64	16.44
Zfp174	0.23	0.15	30.54	522.02	2.27	0.22	1.03	1.02	3.18	1.12	0.08	1.68	4.55	3.91	4.73
Zmym3	0.0	0.0	203.48	0.0	0.0	0.0	0.0	0.27	0.0	0.65	0.0	13.8	86.55	84.03	87.79
c11_tRNA-Val-GTY	0.0	0.0	37.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c9_tRNA-Ala-GCA	0.0	0.0	81.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.66	8.09	29.31	32.99
