	Gad2_tdTpositive_cell_30	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_49	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Angptl3	0.0	0.0	0.0	0.0	0.79	0.0	0.22	0.0	0.0	12.63	0.0	0.25	0.12	0.32
Apbb1ip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.32	0.0	3.62	4.25	4.42
Aph1a	0.0	0.36	0.0	0.33	0.0	0.0	0.0	0.0	0.0	120.3	0.0	63.06	65.12	64.84
Arc	186.07	3.57	0.0	43.18	45.08	6.84	20.15	6.71	7.23	59.24	240.03	381.43	274.86	137.85
Armc5	59.37	0.0	7.07	0.0	0.0	1.73	0.0	0.73	0.0	12.47	0.0	9.42	10.04	10.31
Armc9	0.21	21.97	0.0	45.0	0.17	0.0	0.22	31.32	0.0	136.14	0.0	29.62	27.96	28.93
Aspm	0.0	0.0	0.0	0.0	0.02	0.0	0.18	0.0	0.0	27.13	0.12	0.21	0.27	0.19
Azi1	0.0	0.0	0.0	0.09	0.0	0.0	0.1	0.0	0.0	13.05	0.0	22.71	22.38	21.89
C130060C02Rik	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	33.1	0.0	0.61	0.33	1.44
C430048L16Rik	0.0	12.89	0.0	4.43	0.0	0.0	0.0	0.0	7.62	74.97	67.2	18.67	14.35	15.51
Catsper3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.15	0.08	0.17
Ccdc73	0.0	0.0	0.04	0.08	0.05	8.77	0.0	0.0	9.32	18.05	0.0	6.48	4.04	7.52
Ccl27b	0.0	9.17	0.0	177.13	20.98	11.75	11.59	0.69	1.74	2.76	389.64	30.63	28.29	22.96
Ccz1	0.0	0.0	0.0	0.0	0.0	0.0	22.19	4.66	67.83	137.4	0.0	41.75	42.4	40.26
Cd276	0.14	0.72	0.0	3.22	0.0	0.0	0.0	0.78	0.0	46.78	0.35	11.13	11.56	11.55
Cdc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.35	0.47	0.29
Cdhr2	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.45	0.22	0.22
Cep250	0.0	0.43	70.57	4.61	5.24	0.42	3.39	0.0	0.0	14.48	21.67	16.61	14.77	16.8
Clnk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.84	0.0	0.75	0.41	0.58
Cnot3	0.0	4.56	0.0	2.57	8.25	0.33	1.21	1.58	1.41	15.25	0.41	33.4	35.15	37.79
Cntnap5c	0.0	0.0	0.0	0.0	0.0	0.0	13.87	0.09	57.35	72.45	0.0	4.92	4.91	6.2
Coq3	0.0	87.62	0.0	0.0	0.0	0.0	0.0	0.26	30.82	183.82	0.92	15.72	17.26	17.01
Cox7a1	0.0	0.0	0.0	0.0	0.0	42.15	0.0	38.23	0.0	132.96	0.0	4.14	3.34	1.53
Cyp46a1	0.22	31.2	0.0	13.0	5.92	11.55	6.37	0.51	71.94	119.33	12.9	251.55	268.78	265.67
Cyp4f13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	73.66	0.0	8.9	9.75	12.47
D430041D05Rik	0.0	0.92	1.75	2.93	3.57	16.15	18.5	6.7	15.19	44.6	0.23	69.49	61.56	70.36
Dhrs13	0.0	0.0	0.09	0.0	0.0	0.28	0.0	0.0	0.0	62.45	0.0	6.73	7.73	7.59
Dhx58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.26	0.0	1.52	1.51	1.52
Dnase1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	4.66	5.65	5.08
Dpp4	0.29	0.0	0.0	0.0	0.05	0.01	0.0	0.0	0.11	17.11	0.0	2.9	2.44	3.01
Drap1	0.0	56.44	0.0	19.86	0.73	22.8	10.86	0.0	10.29	143.22	0.0	214.05	241.21	236.87
Dusp15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	2.49	23.93	26.66	21.46	25.05	20.83
Edf1	0.0	6.45	0.25	48.29	65.57	64.17	72.79	47.08	167.15	274.31	1.91	216.08	240.69	221.66
Elac2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.31	0.0	26.18	26.9	27.02
Ell	0.0	0.0	0.0	0.1	0.0	0.0	0.23	0.0	0.0	78.81	0.39	17.12	20.55	20.06
Esam	0.0	0.0	531.99	0.0	0.0	0.0	0.0	0.0	60.6	0.21	0.0	16.34	18.87	17.59
Fam59a	0.0	5.25	0.03	0.0	0.36	0.0	0.0	0.0	0.09	38.82	132.6	18.62	18.24	21.1
Fbxo10	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.17	0.09	12.05	0.0	25.53	24.77	25.14
Fkbp5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	23.77	0.0	21.92	23.35	22.8
Fndc3b	0.07	0.0	0.02	0.0	0.65	1.51	6.08	0.0	0.06	70.21	0.0	9.99	8.7	10.09
Fsd1	0.0	0.0	0.0	0.9	46.08	0.0	0.0	39.19	33.98	334.99	2.07	52.0	58.33	57.56
Gdf11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	8.01	9.06	6.85
Gm13306	0.0	9.17	0.0	177.13	20.98	11.75	11.59	0.69	1.74	2.76	389.64	30.63	28.29	22.96
Gm14124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	6.98	0.0	0.25	0.28	0.12
Gm14139	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.48	3.52	0.0	0.21	0.0	0.41
Gm15706	0.0	0.0	0.0	4.81	5.92	0.0	0.42	30.63	10.66	77.21	1.41	11.92	10.58	13.62
Gm2506	0.0	9.17	0.0	177.13	20.98	11.75	11.59	0.69	1.74	2.76	389.64	30.63	28.29	22.96
Gm2518	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.38	0.18	0.37
Gm5105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.42	0.68	0.8
Gm5475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.44	0.15	37.92	0.0	0.09	0.18	0.08
Gm6222	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	23.91	1.79	0.0	0.42	0.0
Gm7092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	40.89	0.0	0.0	0.21	0.12
Gm9767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	0.0	0.42	0.11	0.23
Gpr108	0.0	0.0	0.0	0.0	0.83	0.0	1.02	0.0	0.0	191.45	0.0	22.82	24.74	22.71
Gpr137b-ps	0.0	0.0	0.0	0.11	0.0	30.91	23.36	2.92	3.99	39.45	526.09	14.22	14.61	8.19
Gramd1c	0.0	0.0	0.0	0.09	0.0	0.0	0.11	0.0	0.0	0.12	2.15	1.35	1.44	1.77
Gtpbp8	101.87	8.06	0.0	0.0	2.87	11.15	0.0	18.91	46.48	91.61	0.0	19.93	20.59	23.03
Hlcs	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	41.96	0.73	7.75	7.35	7.59
Hnrnpr	0.0	1.51	0.0	16.75	58.46	0.36	6.6	48.01	49.89	90.85	20.95	77.34	78.1	70.54
Hoxb9	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.15	0.14	0.0	0.04	0.0	0.0
Ica1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.56	59.27	0.0	28.48	27.23	25.56
Igsf9b	0.0	0.0	0.0	2.18	0.08	0.0	0.0	0.0	0.0	4.1	0.0	20.04	16.04	26.03
Il1rl2	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.81	0.0	0.51	0.29	0.63
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.43	0.0	0.05	0.05	0.1
Kcnh1	0.0	0.0	0.0	3.7	0.94	0.4	4.14	0.0	14.86	45.27	0.0	41.47	42.25	45.66
Kit	0.27	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.54	0.0	26.97	27.58	27.96
Klc1	0.39	15.29	0.0	2.49	0.26	0.8	42.62	16.12	21.95	244.59	138.11	706.38	755.05	722.85
Lgals3	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.29	0.0	0.58	0.8	0.67
Lhfpl3	0.0	0.0	467.52	0.0	0.07	32.78	43.36	2.05	14.95	119.21	0.0	24.28	22.63	24.34
Lin7b	0.0	0.0	0.0	192.33	42.08	25.46	0.0	82.18	74.97	338.96	49.63	120.36	132.27	124.9
Lrrc26	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	14.33	0.0	3.68	3.92	4.12
Map2k6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.62	0.0	15.61	11.63	15.17
Map4k4	0.0	0.1	0.0	0.0	7.66	1.87	0.0	4.24	24.18	19.55	0.0	65.51	65.81	71.26
Mfsd10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.25	0.66	21.21	23.51	22.0
Miat	0.0	5.11	0.0	55.37	10.38	0.92	1.76	0.0	4.69	17.53	117.38	196.73	185.46	213.96
Mir297c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.21	42.73	0.0	0.0	0.0
Mir674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.25	0.0	0.0	1.46	0.0
Mlf1ip	0.0	0.0	0.0	1.26	0.0	0.0	0.14	0.0	0.0	17.64	0.0	2.13	1.07	2.18
Mr1	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.77	0.0	3.74	2.89	4.06
Myo1c	2.78	1.36	26.01	0.4	0.14	1.04	1.1	0.39	8.11	35.68	5.8	11.94	10.43	9.49
Nadk	0.46	15.33	0.05	0.0	0.07	0.0	0.0	4.34	22.47	132.38	0.41	50.13	50.36	49.79
Neil1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	0.0	70.58	2.1	10.82	14.47	11.97
Nrbf2	0.0	0.33	0.0	0.0	0.0	2.16	0.0	11.62	0.0	79.85	0.0	27.3	28.42	26.37
Nrg3	0.0	0.13	0.3	7.09	1.35	0.11	0.09	0.0	10.24	104.68	1.2	28.94	27.59	25.88
Nxf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.04	0.08	0.22
Ociad2	37.97	16.79	6.8	248.36	73.19	25.6	39.03	118.51	67.01	596.72	109.53	82.26	86.74	85.14
Olfr205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35	0.0	0.0	0.0	0.0
Ophn1	0.0	0.97	0.0	0.16	0.27	1.45	0.44	0.0	30.08	61.08	0.0	26.69	26.6	27.42
Osbp2	0.0	0.0	0.0	0.6	0.1	0.0	0.0	0.0	9.45	31.81	0.0	65.44	64.47	63.93
Pcdha12	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	70.33	0.0	10.93	11.99	10.53
Pcdhb18	0.0	0.0	0.0	0.0	0.08	0.0	22.43	0.0	0.0	70.39	0.23	4.13	4.15	4.47
Pdss1	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.32	0.0	52.38	24.41	7.59	7.12	9.97
Phc2	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	51.34	458.52	62.58	72.31	66.96
Phf14	13.52	6.48	27.64	18.95	11.36	0.52	0.98	1.83	3.22	42.39	66.6	26.83	23.97	25.63
Plcg1	0.0	0.0	0.0	51.13	0.58	0.53	0.16	12.36	0.09	36.78	0.0	47.58	47.21	51.72
Pldi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	0.0	0.0	0.0	0.0
Prss42	0.0	0.0	0.0	0.42	0.15	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.06	0.11
Prtn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	22.25	0.0	2.5	1.87	1.79
Pvrl4	0.0	0.0	0.05	0.33	0.0	0.0	0.0	24.14	0.0	41.97	0.0	2.71	3.45	3.13
Rab43	0.0	0.0	0.0	0.0	0.05	2.42	0.0	0.0	0.0	15.44	0.0	13.43	14.19	12.43
Rasal1	0.0	1.07	12.98	1.64	22.29	0.59	0.0	0.0	0.0	49.23	36.67	75.91	82.82	74.05
Rbm24	0.0	0.0	0.0	0.0	0.53	0.88	0.0	0.0	0.0	43.78	0.0	20.02	17.81	14.33
Rcvrn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	1.23	1.16	0.2
Recql5	0.0	0.0	0.0	0.0	3.56	0.0	0.0	0.09	0.0	40.46	9.21	15.6	16.02	16.36
Rpn2	0.0	2.12	1105.75	50.17	112.28	53.71	0.39	34.58	53.8	263.75	10.51	88.65	89.75	84.85
Rptor	0.0	0.0	0.0	24.49	0.41	0.0	0.45	0.0	2.28	36.38	0.34	33.5	34.93	36.88
Rwdd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.93	0.0	6.88	5.91	5.99
Sh3d19	0.0	0.0	0.02	0.0	0.0	0.0	15.33	0.0	14.42	11.51	0.0	8.76	8.5	8.98
Shank2	0.0	1.83	30.38	1.67	6.18	0.16	0.77	0.4	0.32	14.58	0.0	66.62	61.5	75.84
Shpk	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	31.22	0.0	4.01	3.37	3.22
Sirt1	0.0	0.66	0.0	0.0	0.0	0.0	0.0	1.95	0.0	64.91	0.0	11.7	11.08	10.6
Slc2a12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.68	0.0	2.38	2.15	1.92
Slit1	0.0	0.0	0.0	0.0	0.53	0.09	0.0	0.0	0.0	0.45	14.42	38.98	41.29	42.41
Snora41	0.0	257.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.59	0.0	2.56	2.41	1.32
Snord49a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.48	0.0	3.89	0.0	4.02
Snord64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.4	0.0	26.55	0.0	20.92
Spice1	0.21	1.32	0.0	0.5	0.34	0.0	0.4	1.13	0.0	41.83	0.0	7.86	9.26	7.98
Tapt1	0.0	0.33	0.0	0.17	0.0	24.21	0.0	0.91	0.23	87.94	0.0	42.6	39.79	41.19
Tbc1d10a	0.0	0.0	0.08	0.0	80.3	22.63	0.0	0.19	0.22	84.42	0.0	28.59	34.21	29.19
Tekt5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.56	0.0	10.63	9.69	11.67
Tgm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.04	0.0	0.0
Thoc5	0.0	101.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.23	0.0	33.57	32.99	32.59
Tmem146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.53	0.47	0.81	0.87	0.87
Trpv2	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	65.26	0.43	15.67	17.5	15.88
Tstd2	0.0	0.63	0.0	0.41	0.0	0.36	0.62	0.0	3.48	22.91	2.78	10.84	10.38	9.95
Ttll9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.95	0.0	1.45	0.97	1.46
Tymp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.63	0.0	2.31	2.95	2.93
Wbscr27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	36.27	0.0	6.03	6.44	6.61
Zbtb40	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.38	23.3	0.0	4.86	4.28	3.86
Zdhhc3	0.42	0.27	0.04	0.85	1.22	10.51	0.05	0.31	10.04	20.12	7.0	24.69	26.51	25.39
Zfp345	1.18	0.22	0.36	1.04	1.72	0.36	0.81	0.77	2.49	6.39	2.0	0.74	0.86	0.95
Zfp64	0.17	0.0	0.06	0.23	0.0	0.0	3.46	0.0	7.45	79.28	0.0	10.29	12.06	9.95
Zfp959	0.0	2.43	0.08	3.48	0.0	0.0	0.44	0.79	0.96	92.8	4.12	4.77	5.05	4.34
mt_AK131586	0.0	0.03	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK162500	12997.01	18017.62	16972.65	13510.06	31266.91	18115.72	13178.06	12142.02	13163.08	3642.11	16571.2	16158.33	15507.36	15898.39
