	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
Nupl1	0.0	0.0	0.0	0.0	0.0	0.0	16.24	26.36	0.0	3.25	34.12	38.73	11.33	34.12	0.0	13.28
Osr1	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.35	0.31	0.0	0.0	0.0
Plekha7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	0.09	0.0	9.62	0.0	0.0	0.0	0.0
Pnn	0.0	26.23	66.76	91.66	96.0	19.87	48.56	83.75	28.3	96.36	27.09	107.6	50.65	53.77	116.99	58.28
Pnpla3	0.0	0.0	0.47	0.0	0.0	25.53	0.37	15.25	5.9	14.21	1.32	37.48	21.22	0.18	2.74	0.3
Polr3gl	0.0	0.0	12.94	0.36	2.47	11.84	2.2	29.56	7.75	12.18	10.11	45.51	43.01	4.05	12.43	1.1
Ppp1r12a	0.0	2.33	42.07	0.0	11.33	32.68	4.91	12.3	7.32	61.31	29.56	91.95	72.17	11.47	8.36	0.0
Prokr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
Pvalb	0.0	211.09	2914.72	1319.97	2144.98	1316.24	1740.57	1769.21	1408.27	1731.8	1974.07	2248.99	760.46	1830.01	1749.01	3516.69
Pyroxd1	0.0	0.0	0.73	0.0	0.45	55.19	0.0	0.0	34.04	0.0	21.0	73.54	11.34	4.29	29.79	0.0
Rad17	0.0	0.0	0.0	0.0	2.46	4.54	0.0	17.16	0.0	0.0	10.57	84.34	9.61	6.66	0.0	22.32
Rfx3	0.07	0.0	0.0	0.0	0.0	0.77	0.08	3.01	0.0	0.31	10.82	21.95	0.0	0.0	0.0	7.63
Rgp1	0.0	0.0	9.52	0.0	0.0	0.0	0.0	0.0	5.66	0.0	2.13	20.62	0.0	1.21	0.89	0.2
Rhot1	0.0	0.0	0.0	0.0	0.0	43.49	1.79	34.05	27.73	6.67	9.61	62.85	13.42	90.56	27.84	12.88
Rnf113a1	0.0	0.0	111.66	26.77	0.0	29.82	0.0	87.44	0.0	60.78	0.0	155.71	0.0	0.0	0.0	0.0
Rnf207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.12	2.62	2.97	0.0	0.0	0.0
Sdc3	0.0	0.0	1.13	0.05	0.1	0.52	0.0	10.33	3.71	15.54	0.43	45.94	9.04	15.62	0.21	0.86
Sf3b1	0.0	121.29	86.12	53.54	24.71	95.86	90.89	70.73	51.61	55.81	1.18	205.18	36.25	67.56	95.46	72.92
Slain1	0.0	0.0	0.0	0.0	0.0	7.82	0.14	0.11	0.0	0.0	0.0	57.98	25.93	0.0	0.13	0.0
Slc24a6	0.0	0.0	2.23	0.0	1.12	0.72	1.2	1.15	1.05	0.64	0.24	1.28	0.19	0.58	0.3	0.4
Smug1	0.0	0.0	60.93	0.0	0.0	16.82	0.0	0.34	0.0	0.11	1.2	70.81	1.89	3.63	0.0	0.0
Snrpa1	0.0	0.0	340.04	0.0	258.13	87.4	62.73	75.86	75.73	172.32	129.75	432.18	121.22	162.77	4.05	115.16
Supt16h	9.25	49.99	56.44	57.99	53.56	69.82	31.2	43.44	18.27	38.43	40.67	102.14	34.86	104.47	36.99	40.21
Thpo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	11.6	88.16	38.48	32.31	1.72	34.97
Tnfsf10	10.13	2.18	13.51	1.39	7.73	10.18	7.4	6.58	4.3	6.49	8.54	32.5	6.27	6.3	14.46	5.23
Trappc9	8.05	98.36	102.76	14.19	26.33	44.89	119.33	69.27	80.92	99.09	108.28	112.9	113.29	35.66	24.68	64.22
Tubg2	0.0	0.0	0.0	60.29	0.0	0.0	80.22	79.19	0.0	0.0	146.25	94.26	160.49	0.46	0.0	0.0
U2af1	4.75	0.0	79.62	0.0	4.41	47.12	6.01	0.0	42.59	32.47	0.5	121.62	40.17	7.4	29.66	1.12
Ube2ql1	0.0	0.0	19.56	41.42	0.0	26.4	27.67	0.0	12.33	53.94	54.41	133.92	75.07	60.75	4.08	12.48
Uck1	0.0	0.0	0.0	0.0	6.92	0.0	0.0	24.44	4.88	3.17	0.0	41.64	0.0	0.0	0.0	14.78
Usp20	0.0	22.84	0.0	0.0	0.0	1.24	0.0	0.59	0.0	7.71	29.64	75.46	17.62	37.54	0.0	0.05
Ythdc1	0.0	0.0	1.96	96.87	43.71	77.73	0.0	0.0	0.82	11.02	89.46	101.35	41.92	5.08	9.39	40.62
Zbtb11	0.0	0.0	5.85	0.05	6.53	17.37	0.0	66.98	13.21	56.1	3.71	122.61	1.09	39.44	1.96	0.27
Zfp191	0.0	28.25	70.18	60.48	16.46	6.42	18.18	18.0	53.94	53.14	4.03	190.84	40.19	91.23	20.91	42.91
Zfp780b	0.0	4.64	56.05	6.1	22.42	42.62	1.16	23.36	11.42	32.65	41.69	87.5	47.59	65.29	33.12	53.16
Zfp871	0.0	2.47	18.44	0.05	9.63	36.18	0.03	52.03	3.25	13.17	33.12	73.69	23.98	11.69	6.93	13.78
