	Cux2_tdTpositive_cell_67	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Efnb2	30.0	0.0	0.0	0.0	36.52	40.54	35.25
Emb	150.38	0.0	0.0	0.0	22.37	23.13	21.03
Ezh2	2.37	0.0	0.0	0.0	4.76	4.28	4.59
F2r	0.17	0.0	0.0	0.0	4.05	3.35	4.01
Fam160a1	35.17	0.0	0.0	0.0	2.19	2.76	2.4
Fam83c	19.51	0.0	0.0	0.0	0.0	0.04	0.17
Fam83h	0.13	0.0	0.0	0.0	2.27	2.57	2.06
Gabpa	44.27	0.0	0.0	7.89	12.75	12.03	13.9
Gcap14	117.41	0.0	15.97	0.0	49.58	45.33	48.03
Ggta1	0.16	0.0	0.0	0.0	2.8	2.79	3.71
Gm3317	16.07	0.0	0.0	0.0	2.38	2.75	2.9
Gm3494	16.07	0.0	0.0	0.0	2.38	2.75	2.9
Gm6222	1.13	0.0	0.0	0.0	0.0	0.42	0.0
Gm6225	12.18	0.0	0.0	0.24	2.97	2.27	3.5
Gnai2	111.2	0.0	0.0	29.45	159.13	172.93	169.97
Gps2	161.62	0.0	0.0	0.0	29.19	30.46	29.64
Grhl2	7.28	0.0	0.0	0.0	0.2	0.13	0.18
Hgf	53.99	0.0	0.0	0.0	4.76	3.17	4.81
Hnrnpa0	125.55	0.0	0.0	0.0	126.2	144.89	131.58
Hnrnpa3	326.55	0.0	0.0	11.43	133.97	125.3	135.01
Hoxb9	0.21	0.0	0.0	0.0	0.04	0.0	0.0
Iws1	62.93	0.0	0.0	0.32	15.3	13.19	16.01
Kcnb2	108.38	0.0	0.0	0.0	7.42	6.12	7.86
Krt26	0.87	0.0	0.0	0.0	0.27	0.21	0.27
Lgi4	42.33	0.0	0.0	0.0	23.84	25.96	24.42
Lpcat1	93.75	0.0	0.0	7.12	31.04	33.54	37.1
Lrtm2	113.01	4.42	0.0	0.0	49.41	51.96	48.48
Lzts2	3.11	0.0	0.0	0.0	34.91	41.87	39.9
Mir5133	19.69	0.0	0.0	0.0	9.73	4.58	10.05
Mrps24	5.78	0.0	0.0	0.63	34.78	40.47	33.55
Ms4a4d	0.39	0.0	0.0	0.0	0.07	0.0	0.0
Murc	43.09	0.0	0.0	0.0	1.02	0.96	1.0
Nsun2	60.19	0.0	0.0	0.0	39.45	38.03	38.03
Ntn3	0.23	0.0	0.0	0.0	6.19	6.99	7.01
Padi2	26.05	0.9	3.53	7.88	19.35	19.34	21.61
Pcdhac1	161.27	0.0	0.0	0.0	6.1	4.83	5.35
Pdpr	26.17	0.0	0.0	0.0	18.98	16.36	19.21
Pnpla7	0.49	0.0	0.0	0.0	8.8	8.12	9.0
Ppp1r12a	136.89	0.0	0.0	0.0	56.86	50.73	59.08
Pramel1	0.23	0.0	0.0	0.0	0.0	0.04	0.0
Prss35	9.36	0.0	0.0	2.4	4.72	4.89	4.08
Rab3ip	145.48	0.0	0.0	0.0	30.77	29.14	28.1
Ralgapa2	18.85	0.04	0.54	0.96	10.55	9.66	11.81
Rapgef1	41.55	0.0	0.0	0.0	59.62	59.34	62.33
Rasa2	57.48	0.24	0.0	0.06	16.84	14.63	18.67
Rasl2-9-ps	0.59	0.0	0.0	0.0	0.34	0.5	0.64
Rgs3	55.44	0.0	0.0	0.0	17.25	17.99	19.24
Scyl3	62.98	0.0	0.0	0.0	20.83	20.68	21.52
Sf3b4	177.66	0.0	0.0	0.0	42.8	47.56	43.7
Sfxn1	230.41	0.0	0.0	0.27	51.37	52.53	49.9
Slc1a6	0.82	0.0	0.0	0.0	10.01	9.38	8.37
Slfn2	0.35	0.0	0.0	0.0	2.32	2.58	2.84
Smc6	34.28	0.0	0.0	0.0	17.29	13.92	17.53
Snord104	42.9	0.0	0.0	0.0	0.0	2.55	2.79
Srcin1	32.43	0.0	0.0	0.42	138.51	141.68	150.57
Sytl1	8.63	0.0	0.0	0.0	1.08	1.17	1.28
Tmem200a	160.96	0.0	0.0	0.0	12.37	12.34	12.3
Usp12	62.01	0.0	31.38	1.48	48.88	50.75	47.0
Usp53	32.19	0.0	0.0	0.0	11.95	9.78	11.32
Wfs1	0.16	0.0	0.0	0.0	94.55	92.85	94.87
c10_tRNA-Ala-GCA	54.84	0.0	0.0	0.0	6.57	8.86	4.78
c19_tRNA-Ala-GCA	47.72	0.0	0.0	0.0	3.74	0.0	0.0
c2_SSU-rRNA_Hsa	2.03	0.0	0.0	0.0	0.0	0.4	0.0
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
