	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dclre1b	0.2	0.24	1.07	0.9	18.54	0.3	0.0	27.14	0.15	56.12	0.0	0.0	0.16	1.79	0.57	5.18	5.02	4.38	4.91
Dennd1a	0.0	0.0	2.72	0.08	0.0	0.37	0.09	0.0	0.12	8.36	0.73	0.0	0.0	0.08	0.0	0.0	36.88	35.78	35.53
Deptor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.85	17.85	0.0	0.09	0.0	0.19	0.0	11.5	9.72	12.1
Dnajc16	0.0	0.0	13.95	0.0	0.0	25.31	10.31	4.97	17.09	65.88	21.16	0.0	0.0	1.22	7.24	0.0	44.57	46.18	45.21
F2rl1	0.0	0.18	0.12	0.0	0.07	0.0	0.0	0.0	0.19	0.26	0.0	0.0	0.0	0.0	0.0	0.15	0.69	0.37	0.41
Fam109a	0.0	0.0	19.2	1.28	0.4	1.58	1.4	0.0	0.46	35.87	0.79	1.34	0.0	0.0	0.0	0.17	11.56	10.73	9.53
Fdxr	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	43.43	0.0	0.0	0.36	0.0	0.0	0.0	12.4	12.67	11.92
Fermt1	0.0	0.0	0.13	0.28	0.0	0.0	0.0	0.0	0.0	0.69	0.17	0.07	0.0	0.07	0.0	0.0	0.61	0.59	0.63
Fsbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.84	0.0	0.0	0.0	0.0	0.0	0.0	1.64	2.08	1.4
Gdf9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.57	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.47	0.85
Gjd2	0.0	0.0	2.62	0.0	3.94	0.0	14.65	0.0	0.0	34.99	0.0	0.13	0.0	0.0	0.0	0.71	5.07	5.68	5.37
Gm10638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.09	1.57
Gm20125	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.12	0.0	0.9	0.27	0.0	0.0	0.11	0.23	0.0	0.75	0.33	0.66
Gm962	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	29.58	0.0	0.0	0.0	0.0	0.0	0.0	3.35	3.33	3.16
Gm9920	0.0	0.0	0.35	0.42	0.3	0.0	0.0	0.0	0.52	3.07	0.0	0.0	0.0	0.0	0.0	0.45	0.97	2.11	1.09
Gpatch3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.38	0.0	0.0	0.0	0.0	0.0	0.0	5.89	7.6	7.1
Gpr111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.72	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.51	0.87
Gpr115	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	1.8	1.46	1.66
Hnf4g	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.08	0.0	0.18	0.0	0.05	0.02	0.02
Il1rap	0.0	0.0	0.0	13.36	0.0	31.02	0.0	0.0	0.0	85.54	0.39	0.0	0.0	0.0	0.0	16.13	22.46	20.34	24.53
Kank2	0.0	0.11	0.06	0.3	0.11	0.25	0.17	0.31	0.0	12.79	0.0	0.16	0.07	0.08	0.08	0.33	5.72	7.31	6.18
Kctd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.91	0.0	0.0	0.0	0.0	0.0	0.0	21.12	16.29	20.48
Klhl7	9.49	0.97	44.05	117.91	105.39	55.49	70.12	42.9	1.58	114.24	3.56	1.2	5.72	85.07	0.62	2.21	76.93	72.88	74.02
Loxhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.06
Lrtm2	0.0	0.0	1.92	0.0	0.0	1.07	10.09	0.0	37.65	39.66	0.27	0.0	2.16	0.0	0.11	0.0	49.41	51.96	48.48
Lyve1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.26	0.0	0.0	0.0	0.0	0.0	0.0	1.23	1.07	0.98
Mbnl3	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.09	0.0	0.04	0.0	0.0	0.0	0.0	0.18	0.07	0.12
Mfap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.74	43.41	0.0	0.0	0.0	0.0	0.0	5.32	5.98	5.68
Mir5109	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53
Mlana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.22	0.24
Muc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.07
Nova2	0.0	0.0	0.04	0.21	10.62	1.15	1.53	0.0	2.3	10.27	10.33	0.0	0.0	0.04	0.0	0.01	30.97	30.36	32.68
Nrxn2	0.0	0.0	0.0	0.0	0.9	0.6	1.19	0.51	1.38	8.13	1.49	0.0	0.0	0.12	0.0	0.33	132.61	136.52	147.18
Oaz3	0.0	0.0	2.94	0.68	0.0	0.0	0.0	0.0	0.0	5.41	0.0	0.71	0.0	0.0	0.0	0.0	5.76	5.93	5.94
Pate2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.19	0.0	0.0	0.0	0.0	0.07	0.0	0.4	0.08	0.09
Pbld2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.44	1.18
Pcdhga10	0.0	0.0	0.0	6.76	0.0	0.0	0.0	0.0	0.0	68.83	0.0	0.0	0.0	0.0	0.0	0.0	10.6	11.04	8.09
Pde8b	0.0	0.0	51.83	51.26	9.94	39.02	2.31	18.37	1.81	57.99	35.79	4.26	34.54	43.48	0.0	6.95	56.6	55.22	53.0
Phf6	0.09	0.0	0.0	21.59	0.0	18.63	5.09	0.0	0.0	33.45	1.88	40.72	0.0	0.0	18.54	0.0	17.92	17.28	17.8
Pof1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.73	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.21	0.42
Ppp1r17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.49	0.0	0.0	0.2	0.0	0.0	0.0	0.13	0.12	0.25
Pramel5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.05
Prdm5	0.0	0.0	2.17	0.0	0.0	0.0	0.0	0.0	0.0	36.55	0.0	0.0	0.0	0.0	0.0	0.0	2.72	2.86	2.81
Rangap1	0.11	12.56	18.92	20.97	94.89	26.23	89.01	76.96	26.21	250.93	53.63	23.24	77.9	19.78	178.91	19.24	179.52	193.72	182.24
Rsph1	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.0	58.48	0.0	0.0	0.0	0.0	0.0	0.0	5.1	5.94	5.35
Sema4d	0.0	0.0	0.0	0.68	13.08	0.0	1.84	0.0	0.0	41.56	0.0	0.0	0.0	0.0	0.0	3.23	34.11	35.44	37.74
Sez6l2	0.0	0.0	71.63	41.5	26.92	47.6	77.21	63.26	65.67	164.26	23.05	28.22	128.11	19.57	58.6	46.28	200.78	204.89	199.02
Slc11a1	1.46	0.0	1.12	0.77	1.85	1.21	0.71	12.41	1.06	18.63	0.4	0.85	0.75	2.09	1.38	0.61	3.67	2.9	3.54
Slc35e1	4.74	2.29	4.44	1.23	3.03	1.45	11.56	1.43	2.44	47.28	8.86	2.6	4.0	2.42	1.39	3.37	32.57	31.4	29.98
Ssrp1	0.0	62.51	32.78	0.0	0.0	55.55	41.65	3.95	60.79	107.49	60.07	0.0	29.32	32.22	0.0	28.55	79.15	79.33	82.64
Synm	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.08	0.0	27.09	0.0	0.0	0.0	0.0	0.0	0.0	17.85	18.2	19.38
Tapbpl	31.53	1.61	4.4	5.65	2.72	7.52	7.94	8.14	8.08	105.99	3.61	3.74	4.39	20.37	6.67	9.98	9.95	9.09	8.95
Timp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.46	0.0	0.0	1.49	0.64	1.18
Tssc4	0.0	0.0	0.0	86.01	0.0	0.0	39.57	5.03	17.35	121.58	46.05	0.0	0.0	0.0	0.0	0.0	30.32	35.03	35.52
Ttc16	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	7.55	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.94	0.76
Upk1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.72	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.87	0.47
Urm1	0.0	0.0	0.0	16.1	26.51	15.72	12.39	18.36	14.43	47.13	5.8	17.53	20.3	1.04	5.14	0.57	32.86	34.78	32.35
Wdr59	0.1	0.01	0.12	0.25	0.1	0.0	0.08	0.3	25.47	26.92	2.41	0.08	0.13	3.07	0.04	2.91	17.12	17.33	18.0
Xlr4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.0	0.0
Zfp128	0.0	0.0	0.0	0.0	25.35	0.0	0.0	0.0	0.0	33.52	0.0	1.71	0.0	0.0	0.0	0.0	4.85	5.36	4.42
Zfp146	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.19	3.16	173.28	0.0	0.0	0.0	0.0	0.0	0.0	37.59	38.25	36.9
Zfp575	0.0	0.32	0.93	2.2	1.52	1.45	1.75	2.8	3.65	42.48	1.01	1.66	4.89	2.27	2.47	1.64	8.73	10.02	10.98
Zfp708	0.0	0.0	0.0	0.0	35.91	0.0	41.63	0.0	0.0	99.25	0.0	0.0	0.0	7.95	0.0	0.0	3.39	3.36	3.23
Zfp709	0.0	0.13	0.0	21.89	0.0	0.0	1.62	0.0	0.0	28.98	2.29	0.0	0.0	0.0	0.0	0.0	4.0	3.49	3.39
Zkscan2	0.0	0.0	7.96	0.08	0.13	0.0	0.0	0.0	1.03	36.45	0.0	0.0	0.0	0.0	0.0	0.0	16.42	15.07	16.88
Zpbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	6.45	0.0	0.0	0.0	0.0	0.0	0.0	0.89	1.18	0.9
c11_tRNA-Val-GTG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.13	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0
c13_tRNA-Val-GTG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.26	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0
c3_tRNA-Val-GTG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.13	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0
mt_AK131586	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.48	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	5.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	7.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1	9032.87	8417.95	8583.15
