	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Ccdc28a	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	2.65	5.47	75.06	57.0	47.25	23.19	185.71	119.38	30.95	27.77
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	11.75	29.61	11.59	0.69	1.74	13.22	0.85	30.63	22.96
Cdca8	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.27	0.3	0.0	0.0	0.0	0.0	0.25	0.0	1.23	1.77
Dag1	0.0	0.0	15.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	1.67	0.0	37.1	1.53	56.05	57.68
Depdc5	0.73	0.21	28.6	1.14	19.48	3.36	24.58	1.63	2.69	3.09	4.79	0.1	1.3	14.48	51.47	7.87	22.42	23.48
Dhcr24	0.0	0.0	0.0	0.0	0.0	0.0	37.79	0.0	16.1	0.0	5.52	0.0	0.0	16.7	15.64	5.21	79.84	78.98
Dnajc5	0.0	0.0	0.09	0.0	0.13	0.0	0.16	0.0	0.7	3.11	48.6	48.42	70.5	86.55	94.23	3.65	219.2	218.29
Epha10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	3.31	1.7	10.4	0.0	19.48	6.98	28.11	0.0	28.54	31.14
Fkbpl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.81	0.0	11.8	51.0	27.52	0.0	93.33	0.61	9.24	8.46
Gabra3	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	1.27	33.28	33.72	194.96	40.27	42.64	179.15	1.94	97.89	95.89
Gem	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	16.47	177.99	2.1	1.99
Glrb	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.05	77.25	64.81	150.5	62.18	56.47	116.68	636.76	252.13	208.98	199.66
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	11.75	29.61	11.59	0.69	1.74	13.22	0.85	30.63	22.96
Gm14420	2.26	4.1	12.91	2.2	23.2	13.45	11.29	12.63	5.63	25.1	34.38	13.62	15.48	29.14	63.25	24.08	36.23	35.68
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	11.12	6.94	7.67	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	11.12	6.94	7.67	7.49
Gm20139	0.22	0.0	0.0	0.0	1.27	0.04	0.1	0.03	0.09	0.14	0.2	0.06	0.21	0.07	0.28	0.27	0.15	0.23
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	11.75	29.61	11.59	0.69	1.74	13.22	0.85	30.63	22.96
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	11.12	6.94	7.67	7.49
Hif3a	0.12	0.0	0.99	0.36	0.11	0.29	0.0	0.0	0.03	0.03	0.06	0.24	0.05	0.11	0.43	0.17	2.52	2.1
Kcna2	0.13	0.04	0.27	0.51	0.77	0.07	6.05	0.67	1.43	28.15	43.0	7.76	11.26	59.71	86.66	35.34	82.83	84.29
Larp4	0.0	17.59	0.05	0.0	0.0	0.0	33.56	0.02	1.23	20.25	19.39	2.4	29.89	40.59	186.5	0.34	24.54	21.72
Lysmd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91	9.05	15.99	16.06	24.66	105.65	0.15	19.93	18.07
Mical2	0.0	0.0	0.0	0.0	0.0	0.0	15.54	0.83	11.89	8.51	33.39	9.23	38.98	21.85	57.45	0.81	226.64	243.34
Mospd3	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.17	9.63	10.28	0.0	0.0	0.0	44.03	0.0	22.61	27.17
Myo5a	0.07	0.0	0.04	0.0	0.07	0.0	4.37	0.04	20.66	12.08	29.89	74.42	41.02	55.38	141.99	45.28	147.23	154.8
Naa25	0.0	0.0	0.0	0.0	0.14	0.0	0.19	0.05	1.03	23.74	30.13	0.23	1.14	24.0	90.54	0.37	33.25	30.52
Pcdha1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.52	0.0	1.49	1.69
Ptplad1	0.0	0.18	0.0	0.0	0.0	0.0	256.79	0.12	6.54	146.05	177.82	124.72	234.41	164.13	230.26	117.42	157.29	152.77
Pura	0.0	0.0	0.0	0.0	0.0	0.0	48.95	0.0	3.4	4.9	9.78	12.98	10.34	4.17	39.73	18.43	34.85	36.75
Rassf4	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	40.41	9.21	3.87	3.09
Rcan2	0.0	0.0	0.1	0.35	0.56	0.09	1.24	0.1	10.98	275.63	201.27	13.32	490.92	264.82	1019.4	105.28	163.5	168.48
Rpp30	0.0	0.0	0.0	0.0	0.0	0.0	235.01	0.0	0.0	0.0	93.4	72.6	49.26	39.48	109.47	0.2	16.96	15.44
Scel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	1.96	0.0	0.54	54.23	0.0	2.03	1.97
Scn4b	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.0	11.95	4.29	0.0	0.0	25.58	0.05	172.59	164.66
Sdccag3	0.0	0.0	0.0	0.0	3.18	0.0	5.88	0.08	0.66	1.22	11.24	0.0	0.18	24.71	59.56	0.23	81.25	85.78
Sec24b	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.03	0.5	19.3	3.53	10.04	0.23	0.0	43.98	0.19	36.07	34.96
Slc10a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.69	0.0	0.0	0.85	80.3	0.0	3.48	3.51
Smpd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	4.82	11.3	39.19	92.99	56.33	15.54	231.33	41.54	89.71	99.65
Tia1	0.0	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.2	8.34	50.54	56.51	15.0	2.93	59.7	33.74	50.86	53.05
Tomm5	0.0	0.0	0.56	0.0	0.0	0.0	150.85	0.0	178.51	184.31	283.91	672.12	297.42	410.0	594.79	470.25	66.29	59.13
Trank1	0.0	0.13	0.0	0.12	0.04	0.14	7.29	0.74	19.05	1.35	11.33	13.99	6.5	11.04	49.43	48.2	140.49	159.33
Ttc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.17	4.02	14.37	104.93	11.2	44.03	41.23
Vps13d	5.18	0.0	5.11	0.0	0.0	0.0	0.13	0.02	4.03	1.0	3.64	0.34	3.46	8.58	8.22	1.54	28.71	31.22
Zfp273	0.0	0.0	0.0	0.0	166.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.89	0.0	4.27	4.89
mt_GU332589	15332.83	11899.79	28558.05	21230.38	17715.55	10623.15	22738.66	26493.16	28909.02	31086.28	16090.8	21460.06	22390.28	20242.91	4958.49	18187.79	3308.99	3155.88
