	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_84	Ndnf_tdTpositive_cell_15	Nos1_tdTpositive_cell_10	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_53
Impact	6539.77	5024.55	6891.15	7007.16	5040.02	5706.9	7392.12	5000.79	7253.7	6720.17	3936.93	6940.54	6228.26	5757.16	6867.61	6279.58	3111.53	5980.71	3375.6	7015.38	6662.18	4668.08
Jak1	96.05	9.07	84.62	9.7	52.16	11.51	28.79	4.1	1.67	14.27	139.22	74.67	79.23	28.1	75.32	54.54	109.88	105.4	2.73	14.42	0.09	114.9
Jhdm1d	0.77	0.73	1.04	0.66	0.55	0.12	0.97	0.2	0.52	0.38	20.76	0.48	0.24	26.5	0.54	0.4	32.02	15.81	0.0	0.41	67.19	40.55
Ndfip1	158.38	0.0	0.0	34.85	75.81	69.71	0.0	38.2	8.22	156.91	168.17	344.51	0.33	242.14	304.77	224.16	184.46	66.79	0.0	142.98	82.87	287.49
Neu1	0.23	0.0	0.33	0.43	1.05	0.0	0.26	0.0	0.37	0.28	0.59	1.02	0.79	1.62	0.79	0.97	78.35	63.57	0.0	0.45	0.46	67.02
Nrbp1	4.24	34.95	0.0	326.94	0.0	0.0	0.0	0.0	0.0	0.0	90.23	66.96	0.0	7.02	27.28	145.7	431.11	219.94	0.0	0.08	0.0	432.52
Paqr8	0.0	0.0	0.0	0.0	0.0	0.0	44.58	0.0	5.93	0.1	29.01	0.0	9.54	0.0	0.0	0.0	69.16	0.0	0.0	0.08	0.0	92.38
Pcnx	0.0	0.0	0.0	0.13	0.0	0.0	0.03	0.0	0.0	0.07	16.14	2.8	0.07	5.59	0.0	17.38	3.51	0.0	0.0	0.0	2.74	50.85
Phactr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.72	0.5	29.54	51.64	0.0	0.08	16.1	0.0	15.12	12.48	10.04	0.01	0.0	15.2
Phyh	0.0	0.0	177.44	0.0	6.63	0.0	0.0	75.66	0.0	270.11	444.45	0.0	149.89	402.93	124.21	0.0	345.49	0.0	0.0	325.99	0.34	755.62
Pi4k2a	59.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.64	0.0	78.98	0.0	0.0	64.02	30.1	0.0	84.01	0.0	0.0	0.14	0.13	127.97
Rab11fip5	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.62	2.5	59.85	65.21	3.41	0.0	0.0	0.0	25.75
Rgs11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.39	0.0	0.0	0.18	0.0	0.0	181.59	163.85	0.0	0.0	0.0	357.27
Rph3a	2.54	3.3	2.34	76.34	2.06	156.84	254.55	49.85	128.56	70.89	104.08	165.87	120.43	38.16	206.15	121.79	310.49	227.66	116.23	126.34	63.42	279.05
Sec61a1	0.0	150.85	145.11	226.48	165.92	103.21	228.5	18.98	0.0	388.58	275.81	159.01	154.47	86.03	187.03	0.19	579.74	0.0	0.12	0.0	140.85	427.82
Secisbp2l	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	84.76	1.26	7.57	3.95	2.88	54.2	0.0	26.99	34.86	2.76	0.0	17.23	0.14	55.04
Slc30a6	0.0	0.0	0.0	155.69	0.0	0.0	343.62	0.0	0.0	210.08	0.0	152.84	0.14	84.04	0.0	40.19	181.07	0.29	0.0	0.0	10.73	119.28
Slc6a7	0.0	0.0	6.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.09	0.0	0.0	0.0	43.43	0.55	0.0	0.0	0.0	75.26
Top2b	66.69	0.0	0.0	1.88	0.0	0.0	0.0	0.0	59.62	0.08	18.09	47.29	76.52	1.16	0.08	21.71	50.35	43.3	0.0	0.0	36.08	97.73
Trim46	5.74	0.25	0.24	0.0	0.18	0.0	0.0	0.0	0.0	0.0	75.41	11.81	0.22	51.48	0.0	0.64	1.75	0.45	0.14	0.13	0.0	98.33
Zfp157	12.39	0.0	0.0	0.0	0.0	0.32	83.51	0.0	61.04	0.0	5.44	13.63	0.06	45.44	0.0	0.0	80.71	0.0	0.07	0.0	0.0	102.44
Zfp608	0.59	0.0	0.63	0.0	0.0	0.55	28.22	0.0	0.0	0.0	9.71	35.8	2.2	0.39	0.21	2.95	0.0	3.41	0.0	1.03	11.21	17.24
