	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_92	Nos1_tdTpositive_cell_5	Ntsr1_tdTpositive_cell_25	Vip_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Dpcd	1.5	95.29	0.0	348.39	0.0	0.0	98.77	292.98	73.18	123.82	88.69	206.87	240.41	255.22	117.38	70.33	89.6	0.0	0.0	396.77	121.2	0.0	0.0	137.88	0.0	166.53	102.78	88.21	220.56	0.0	0.0	127.31	0.0	0.0	0.0	22.48	128.17	53.82	263.56	0.0	198.1	163.21	140.18	131.75	121.85	117.71	133.62	167.56	164.05	212.91	166.03	163.78	162.71
Dusp3	333.9	297.77	268.22	129.26	237.93	48.8	355.6	358.09	150.45	44.31	210.4	176.61	242.2	307.11	214.26	452.5	133.88	9.81	42.33	38.08	298.36	73.06	201.16	157.41	161.12	127.66	18.79	145.27	100.19	469.79	136.66	160.04	0.31	118.59	207.14	256.91	167.57	82.54	593.07	13.91	575.67	428.41	549.01	473.61	511.37	485.23	613.86	494.5	480.09	402.32	1299.55	980.92	1053.3
Fut9	0.01	13.94	0.0	0.0	0.0	25.24	0.0	0.0	6.14	0.0	15.56	43.25	0.0	1.21	0.06	41.98	0.1	22.46	0.02	0.0	0.0	0.0	0.0	0.0	0.0	31.05	0.0	33.55	0.0	49.62	0.0	3.51	34.69	33.17	0.0	0.0	58.12	25.9	61.68	0.0	74.92	56.25	63.31	58.22	61.53	59.84	62.85	40.78	55.73	38.33	59.7	44.78	40.12
Fxyd7	0.24	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.57	0.0	276.13	271.45	304.73	375.88	299.07	257.93	313.41	338.26	358.1	291.18	161.77	217.73	239.63
Gm13306	0.0	0.0	0.0	7.56	0.0	0.0	0.0	10.98	0.0	0.0	7.1	2.51	21.71	1.03	6.68	4.28	2.7	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	0.0	4.03	9.38	0.0	0.35	2.47	0.1	5.73	0.0	29.26	0.0	0.0	86.45	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.13	0.25	0.0	0.0	0.35	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.21	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89
Gm2506	0.0	0.0	0.0	7.56	0.0	0.0	0.0	10.98	0.0	0.0	7.1	2.51	21.71	1.03	6.68	4.28	2.7	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	0.0	4.03	9.38	0.0	0.35	2.47	0.1	5.73	0.0	29.26	0.0	0.0	86.45	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Gm5468	3.17	0.06	0.0	2.98	0.0	0.0	0.0	0.13	0.84	0.5	0.27	3.77	0.0	0.0	0.0	0.0	0.54	0.33	0.39	0.12	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.13	0.32	0.0	0.8	0.37	7.55	0.34	0.0	0.19	0.0	0.1	81.53	0.19	23.67	20.9	12.88	5.04	22.57	19.11	28.76	2.5	14.31	47.77	47.08	24.76	23.04
Hs3st4	0.05	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.17	0.17	0.0	0.09	0.0	0.0	0.0	31.04	0.02	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.26	0.0	0.18	0.37	0.0	0.15	9.48	0.0	91.0	98.35	77.27	141.22	93.83	147.06	118.2	119.5	100.45	103.83	149.32	140.89	138.75
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.13	0.25	0.0	0.0	0.35	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.21	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89
Ipcef1	1.02	0.28	0.36	0.34	0.0	0.09	0.0	0.0	0.0	0.0	0.48	0.16	1.62	0.0	0.22	0.0	0.01	0.71	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.17	1.48	0.0	0.0	0.0	59.61	0.09	81.64	73.61	97.45	73.93	80.62	67.64	100.4	48.24	56.94	57.92	115.53	75.37	71.52
Klf10	0.0	0.0	0.06	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	219.21	0.34	234.71	180.17	245.51	131.71	159.17	176.72	226.55	104.58	126.82	147.06	242.63	195.19	240.09
Lmo7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	0.0	0.0	0.04	0.0	0.0	0.0	0.0	19.35	21.87	0.0	0.0	0.0	0.0	0.0	0.51	0.0	3.91	5.27	16.76	11.03	11.48	18.74	22.71	14.62	10.43	6.53	12.01	11.77	9.44
Mkl2	2.43	1.0	0.98	58.35	0.68	30.53	1.16	0.85	0.44	40.34	1.41	41.84	71.95	24.15	6.15	43.3	0.65	26.58	100.86	37.93	1.83	36.63	1.46	1.33	2.01	17.39	89.15	40.91	31.65	5.14	30.94	0.47	16.12	27.5	44.07	111.05	0.76	46.19	225.86	34.99	259.01	249.08	305.55	250.28	226.81	281.68	269.64	190.75	248.52	202.76	360.18	264.2	249.53
Mtmr7	156.13	0.18	319.48	0.0	0.0	0.0	15.14	0.12	13.23	0.0	0.0	2.13	0.0	0.0	0.1	0.14	0.0	58.5	0.08	11.88	0.0	0.0	2.33	0.0	0.0	88.52	1.37	4.25	144.4	0.0	0.09	0.0	0.0	0.0	2.32	156.21	149.19	132.97	148.58	0.0	93.1	76.14	38.59	50.76	63.77	67.08	50.02	58.94	55.24	87.52	92.29	70.99	80.51
Myt1l	21.32	301.58	4.37	63.66	0.0	71.93	81.64	2.84	48.36	32.3	0.21	74.97	126.67	14.84	0.05	22.6	59.87	1.79	118.72	86.57	115.79	16.83	32.79	59.07	80.99	37.43	13.06	0.0	27.51	106.15	73.51	58.22	130.07	105.55	2.16	91.87	0.0	52.41	71.98	161.42	124.58	92.07	124.8	105.4	127.1	108.64	105.73	94.88	115.7	89.19	99.27	74.38	56.32
Nfia	5.82	18.5	0.02	28.72	0.0	0.0	17.79	0.0	0.0	11.23	10.42	3.43	20.29	11.48	0.0	33.67	11.03	9.03	7.5	0.0	16.8	0.0	0.04	8.89	0.0	0.0	0.03	6.33	0.93	0.0	0.0	5.81	0.0	57.15	0.04	0.0	0.0	0.32	235.5	0.0	142.97	134.97	131.56	131.48	113.28	108.45	111.67	97.54	118.15	94.09	178.6	150.54	154.44
Pbx1	0.1	43.42	0.0	0.0	0.0	36.72	0.0	0.0	0.0	0.0	0.0	36.8	10.6	2.33	0.05	52.04	8.47	0.0	4.53	0.0	0.0	16.85	0.0	0.09	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.09	0.0	3.37	6.13	0.0	128.28	0.48	53.22	34.13	56.24	52.27	49.35	70.44	79.07	73.0	55.33	45.05	103.95	81.37	84.12
Prkcb	178.39	62.8	70.55	36.05	24.55	0.35	21.24	54.11	79.08	43.68	135.68	37.78	116.23	51.43	32.52	35.32	41.91	182.47	0.27	22.23	2.48	46.02	52.61	69.85	44.17	45.08	52.95	232.71	33.89	40.2	0.38	128.93	112.91	44.64	33.71	131.94	58.4	196.93	269.14	1.65	309.5	267.34	322.54	387.42	298.74	313.34	329.4	217.93	257.9	281.09	279.7	261.35	235.19
Ptk2b	57.75	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.74	44.35	0.0	0.0	0.0	0.0	0.15	2.09	0.0	14.02	0.0	0.0	0.0	3.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	125.79	0.0	66.88	82.2	89.08	105.42	79.65	95.89	94.09	45.58	125.86	103.09	69.56	86.95	69.33
Sec22b	1.24	0.46	2.17	1.36	0.33	0.57	0.76	1.18	1.36	1.73	0.27	0.0	0.66	0.24	0.67	185.24	0.0	0.0	0.51	2.99	1.58	0.3	0.92	1.02	0.48	0.34	0.3	0.82	25.22	0.81	0.89	0.51	0.41	2.18	1.26	1.06	2.07	0.75	47.83	1.34	140.24	55.25	42.93	60.55	68.7	76.19	59.3	62.96	66.02	40.74	69.32	64.89	66.15
Sema3a	0.16	0.04	0.15	0.0	0.32	0.1	0.49	0.07	0.11	0.41	0.14	0.34	0.21	0.0	0.0	0.46	0.07	0.63	0.22	0.11	0.0	0.0	0.0	0.0	0.14	0.11	0.24	0.17	0.06	0.0	0.08	0.0	0.12	0.62	0.29	0.08	0.0	0.0	9.36	0.18	89.01	55.39	70.07	94.36	68.94	44.99	45.98	54.83	44.76	36.41	96.34	56.57	68.98
Sowahb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.4	0.0	3.84	0.0	7.96	0.73	4.6	9.74	1.38	6.72	11.03	8.15	1.82	2.12	7.75	1.32	9.57
Tubb4b	330.9	435.38	755.92	280.5	0.0	465.4	329.7	303.34	3.49	0.0	715.1	770.07	88.59	409.66	265.74	0.0	489.13	0.32	114.55	0.44	604.08	223.59	197.76	808.61	0.0	62.07	0.54	0.0	295.34	206.45	301.81	0.0	0.0	5.61	299.89	401.78	431.65	0.54	645.89	15.54	491.12	596.63	500.19	562.99	598.48	502.11	409.29	518.62	510.03	492.8	410.05	528.87	544.38
Vip	20048.18	17051.42	12646.82	26849.21	24688.7	27223.39	32658.1	48402.26	35690.76	21970.5	16914.67	22508.45	26835.38	24307.74	42738.55	23972.72	18697.63	20043.81	21062.13	25538.7	39789.49	29215.94	34420.5	22353.39	53179.5	32676.37	22309.91	46837.05	23764.13	32241.62	20890.09	26385.26	23582.35	19253.14	23865.54	19091.82	25309.04	24233.05	0.0	18390.47	0.0	0.0	0.22	0.19	0.0	0.0	0.19	0.0	0.33	0.0	0.4	0.0	0.0
Wipf3	0.0	0.08	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	43.85	0.0	14.09	35.68	19.11	12.25	8.67	11.48	18.47	7.71	9.02	29.55	9.17	16.66	17.32
Zmat2	60.37	309.05	162.6	298.6	96.26	102.6	117.51	47.19	0.0	108.0	171.48	78.54	154.86	161.49	11.66	0.0	26.12	4.96	243.33	17.49	47.72	78.75	128.07	16.54	279.02	67.25	8.75	20.94	71.17	9.21	0.0	0.0	172.23	142.21	120.6	158.4	52.27	19.44	234.27	1.16	273.36	255.12	268.59	334.69	240.57	256.88	250.47	226.94	290.4	282.21	238.25	264.07	243.89
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.0	0.72	3.55	49.42	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.0	0.72	3.55	49.42	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.0	0.72	3.55	49.42	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.0	0.72	3.55	49.42	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
