	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_109	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lpl	0.99	2.44	0.62	1.49	42.85	19.07	1.78	2.49	1.55	4.06	0.67	0.8	0.82	0.95	2.36	1.73	4.25	2.24	1.93	1.24	1.17	0.87	0.38	1.31	0.38	0.29	0.0	0.56	0.23	2.87	1.13	2.46	0.8	3.73	1.84	16.57	14.26	16.54
March3	0.0	0.0	0.0	0.7	0.0	0.35	0.41	0.0	0.0	0.11	0.56	0.0	0.0	0.0	0.06	0.06	0.2	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	1.92	1.85
Meis2	0.62	0.08	0.0	0.19	22.06	45.84	105.77	8.0	2.41	0.13	0.62	0.18	0.73	0.06	0.09	0.27	0.1	0.22	0.19	0.18	0.22	0.47	50.41	17.99	0.13	0.03	0.0	0.0	0.17	0.47	0.43	0.33	0.0	0.0	0.0	66.68	69.5	64.81
Nacc2	2.36	0.65	0.12	1.33	0.59	2.72	2.22	0.93	1.14	0.33	0.66	0.09	0.81	0.95	0.4	0.17	1.54	1.32	1.3	1.48	0.56	0.47	0.47	2.37	0.32	0.06	0.0	0.0	0.1	0.36	1.35	0.31	0.43	0.28	0.41	51.13	51.33	57.92
Nefl	408.33	139.1	6.53	2.15	595.37	1886.24	765.34	103.62	328.54	85.52	304.78	57.49	145.48	113.98	0.37	81.7	216.32	372.73	175.61	269.81	97.99	131.49	272.96	232.75	0.0	144.43	640.23	119.42	49.34	134.76	158.26	148.96	0.0	340.84	217.16	385.15	425.16	402.43
Prr12	3.47	0.0	0.0	0.0	0.0	0.18	8.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.0	3.01	0.0	0.06	0.0	3.81	0.1	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	24.08	25.31	25.2
Rab11fip2	4.42	0.0	2.58	0.0	6.11	50.44	55.08	53.16	0.0	37.04	0.0	0.0	8.28	0.02	0.0	0.42	6.07	24.77	2.44	0.0	0.08	0.07	7.87	13.17	0.0	11.76	0.0	10.61	0.0	0.0	44.49	3.31	0.0	20.26	31.56	41.52	36.24	39.33
Reep3	4.48	4.83	0.76	13.02	7.21	22.61	5.81	7.34	5.65	11.57	7.69	5.26	6.55	5.19	8.24	5.89	11.98	9.51	9.22	13.03	3.92	4.72	5.19	17.14	0.55	1.93	1.59	5.19	1.03	8.45	10.87	4.27	6.11	7.53	4.34	23.01	19.86	23.73
Rgs4	4969.56	5481.44	2297.98	5464.61	4201.26	237.72	2677.09	5873.8	4839.36	5539.67	3800.78	4595.67	5390.4	5399.11	5219.32	5037.98	5187.94	4921.82	4470.78	4495.9	3462.02	4065.31	6274.8	2900.44	5381.62	3036.8	3732.04	2898.03	1519.58	5420.33	3830.02	4227.76	4015.64	5598.27	6781.39	495.03	470.64	483.11
Sfi1	0.28	0.85	0.0	1.17	0.38	1.01	6.6	0.42	1.71	0.95	0.24	0.3	0.25	0.78	0.73	0.08	1.6	35.78	0.31	0.1	0.54	0.93	0.49	0.52	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.63	9.23	22.34	18.29	17.07
Slc27a1	0.7	0.74	0.0	0.32	0.72	2.15	9.06	0.63	0.32	1.21	0.63	0.42	1.12	0.07	0.75	0.55	11.92	0.7	0.81	0.76	0.13	1.92	0.53	0.81	0.0	0.23	0.0	0.04	0.39	3.19	0.22	0.0	0.0	0.81	0.47	59.69	63.37	60.96
Snrnp70	12.13	19.0	3.14	13.21	32.14	31.37	19.58	28.39	18.82	30.36	13.99	9.47	37.11	11.03	25.47	27.61	78.23	31.19	11.01	3.84	19.05	10.68	14.77	45.27	4.34	3.5	31.49	8.18	3.13	41.32	13.91	30.3	15.73	40.33	97.2	247.69	260.7	259.94
Strap	55.42	0.16	11.23	0.0	0.0	88.27	68.29	0.07	0.29	0.0	12.95	0.0	3.91	4.95	8.42	67.12	0.4	43.46	75.75	0.87	0.0	20.3	0.0	0.26	0.0	0.0	15.66	0.0	0.0	0.25	13.49	0.0	0.0	0.0	0.0	122.24	121.15	118.63
Sv2c	0.8	1.28	0.0	0.84	1.35	2.18	1.34	1.19	0.68	1.4	1.27	0.87	0.88	1.4	1.1	1.34	1.59	1.2	0.96	1.76	0.59	1.17	0.91	1.34	0.49	0.91	0.12	0.64	0.49	2.18	1.84	2.79	0.8	1.12	0.17	15.13	14.21	18.25
Thtpa	0.0	0.0	0.0	0.0	11.14	197.67	73.24	0.07	0.07	0.0	8.26	0.0	0.0	0.0	0.0	0.0	0.18	190.06	0.0	5.96	0.0	0.0	88.55	121.27	167.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.83	171.15	0.0	26.32	27.25	27.52
Wnt4	2.25	2.1	0.29	2.2	24.22	6.26	4.1	5.8	3.57	3.4	4.0	2.19	6.05	3.68	3.79	1.58	3.14	5.17	3.15	3.26	2.55	3.85	4.09	2.78	0.82	1.19	0.1	1.46	1.51	3.21	3.78	2.6	3.33	5.38	3.12	12.67	14.34	12.46
Zfhx2	0.0	0.0	0.0	0.0	1.47	12.27	7.23	0.0	4.45	0.0	4.76	0.0	5.17	0.02	1.82	0.03	0.0	1.76	0.0	0.65	0.0	0.0	0.07	1.85	0.0	0.0	0.0	1.25	0.0	8.62	0.0	0.0	0.0	0.0	6.96	24.18	22.92	24.02
Zmat1	0.0	0.0	0.0	0.0	1.03	141.53	80.31	149.73	0.0	0.11	54.88	0.25	89.88	0.06	0.03	48.95	0.05	0.0	0.0	0.0	0.0	0.0	0.0	100.63	2.5	0.0	0.0	0.0	0.0	90.94	0.0	0.0	0.0	89.67	0.0	11.4	9.63	11.68
