	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_23	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_31	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_61	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Brip1	3.02	5.5	4.55	8.19	5.49	2.39	7.82	9.61	8.26	4.84	8.99	8.08	7.14	2.63	16.47	3.51	2.01	4.46	2.99	11.58	6.04	0.39	5.23	6.97	6.22	4.49	5.16	6.0	6.72	20.68	8.87	3.84	6.84	6.32	4.42	2.28
C330024D21Rik	20.31	42.31	13.31	27.74	18.52	0.5	17.86	32.92	64.64	44.35	49.82	35.6	10.5	11.7	62.17	14.94	0.36	17.64	12.4	41.91	32.9	16.76	21.03	53.64	57.18	39.68	32.96	28.71	110.08	45.8	4.55	14.96	15.1	18.48	5.13	7.15
C920009B18Rik	1.83	2.59	0.23	3.46	2.3	0.0	1.54	1.69	5.29	5.17	2.0	1.98	0.0	0.2	2.39	0.41	0.0	0.46	0.07	1.09	1.47	0.0	2.04	3.78	0.9	3.27	1.7	1.49	1.78	8.72	2.08	3.1	1.67	0.72	0.74	1.5
Car5b	4.27	5.18	1.88	3.9	3.29	0.37	1.89	5.09	5.22	3.79	7.03	4.46	0.6	1.55	6.59	4.33	1.13	2.33	2.1	1.68	2.58	0.33	3.6	4.47	6.08	2.97	3.83	3.15	4.62	4.46	1.09	1.6	1.42	3.06	1.5	1.85
Ccbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc82	59.13	137.7	93.41	69.55	176.01	18.6	145.27	229.9	152.14	150.99	241.54	223.47	46.51	51.78	215.03	130.47	26.24	40.79	106.57	288.72	59.64	14.0	99.21	150.08	190.34	98.19	99.34	135.95	172.21	295.87	118.9	165.74	116.14	71.5	108.75	89.11
Ccr2	1.92	0.62	0.0	0.32	1.13	0.0	0.96	1.02	2.9	0.32	3.81	1.19	0.0	0.15	0.51	1.13	0.0	0.3	0.19	3.83	0.83	0.0	1.06	0.9	6.52	0.13	0.9	0.78	2.85	5.55	1.33	0.04	0.07	0.5	0.19	0.15
Cd200r2	9.44	10.75	1.82	8.85	3.76	0.0	5.39	8.38	5.61	15.61	36.91	18.66	0.26	2.78	35.88	5.44	0.0	6.16	0.64	11.47	0.0	0.0	10.84	18.45	21.64	10.79	13.75	7.98	22.16	17.3	3.84	8.0	3.73	6.93	2.94	6.74
Cd3d	2.22	4.76	0.6	1.5	4.68	0.0	0.85	2.51	6.45	5.38	0.52	7.79	0.76	4.12	2.83	2.46	0.0	3.15	1.53	2.62	2.27	0.0	2.85	6.91	10.12	6.51	9.35	1.49	9.1	9.4	0.73	1.22	0.25	3.2	0.74	1.2
Cnga3	2.05	2.37	0.91	2.98	0.0	0.0	0.66	3.8	0.64	3.87	5.82	3.25	0.66	0.56	0.37	0.95	0.72	1.38	0.82	3.17	0.0	0.21	5.2	8.14	1.09	2.94	4.52	2.15	6.07	4.25	2.09	3.66	7.4	2.52	0.76	0.84
Cnr2	3.83	17.69	3.34	7.59	3.07	4.03	3.73	5.41	9.89	2.48	11.98	17.36	7.52	1.91	9.48	10.63	1.35	4.72	6.78	4.64	5.63	0.69	6.49	17.32	11.56	8.79	4.81	5.42	12.18	15.59	7.36	5.17	2.31	5.0	1.65	4.49
Colec12	18.65	37.68	12.39	19.94	19.81	1.15	16.8	45.71	22.14	25.19	53.9	31.38	9.1	11.81	24.65	22.27	3.23	7.76	9.13	29.82	30.78	0.61	23.82	33.15	20.24	26.02	35.89	22.29	18.8	53.26	16.1	20.7	13.63	14.03	11.92	18.18
Crp	0.35	0.88	0.0	0.54	1.11	0.0	0.0	0.98	0.92	0.0	1.64	0.73	0.0	0.0	0.98	0.62	0.0	0.12	0.08	0.33	0.0	0.0	0.32	3.24	0.55	0.41	0.45	0.66	1.21	0.74	0.0	0.13	0.57	0.83	0.73	0.86
Ctla2a	118.94	90.43	32.07	93.87	115.41	1.7	56.48	230.05	110.46	156.53	405.91	178.27	33.38	27.73	199.72	58.94	1.55	38.99	44.61	139.22	57.67	0.0	112.91	120.91	120.66	132.64	209.34	190.88	175.1	240.09	43.16	63.68	63.56	53.15	48.19	8.39
Cyp2j5	3.21	3.77	0.88	6.15	1.58	0.0	2.41	5.26	4.73	4.96	8.83	10.71	1.01	0.44	9.19	4.96	0.0	0.69	1.82	10.72	14.07	0.0	6.42	11.35	2.34	14.27	5.4	4.28	11.9	6.19	0.54	2.27	2.68	1.19	5.06	1.95
Cyp4a31	0.66	0.95	0.0	0.68	1.46	0.0	0.0	0.24	0.47	0.28	0.15	0.57	0.0	0.65	1.0	0.31	0.0	0.02	0.13	0.59	0.32	0.0	0.28	0.0	0.44	0.0	0.19	0.12	0.51	0.0	0.0	0.14	0.3	0.18	0.25	0.0
Cytip	0.25	0.0	0.06	0.49	0.51	0.1	0.05	0.06	0.15	0.21	0.08	0.06	0.0	0.11	0.0	0.12	0.0	0.02	0.0	0.09	0.0	0.0	0.21	0.07	0.29	0.28	0.18	0.0	0.26	0.25	0.05	0.0	0.02	0.07	0.0	0.08
D630045M09Rik	4.61	11.97	2.98	2.29	8.77	0.0	3.91	3.15	9.26	10.58	7.6	6.55	1.44	2.31	10.79	1.89	0.2	1.1	2.27	6.95	2.99	0.0	3.88	5.22	4.21	11.14	5.08	1.55	24.37	5.27	1.35	3.99	3.29	2.55	4.74	1.16
D830005E20Rik	71.21	36.36	38.56	122.81	56.3	0.0	89.12	116.71	90.72	158.49	127.97	93.1	22.46	15.14	119.77	53.08	0.0	32.48	30.13	110.91	25.11	0.12	55.16	127.63	82.89	76.94	91.06	93.07	94.47	169.65	7.84	32.24	21.91	34.37	15.26	10.59
Depdc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dkk1	0.47	0.78	0.55	2.82	0.3	0.0	0.18	0.61	0.59	0.75	0.42	1.66	0.0	0.0	1.34	0.0	0.22	0.27	0.52	1.24	0.84	0.0	0.55	0.18	0.76	0.45	0.35	0.32	0.83	1.73	0.44	0.37	0.54	0.0	0.2	0.0
Dph5	298.11	275.38	130.43	147.83	169.32	39.57	134.01	198.46	252.1	158.49	197.59	173.66	88.84	87.13	229.74	220.44	143.56	133.99	196.07	125.23	258.85	33.91	108.11	303.54	319.36	646.33	376.65	117.0	188.68	285.35	564.2	126.49	174.69	162.37	124.72	275.78
Eif2ak2	42.55	27.34	12.83	48.56	14.06	1.01	18.41	57.35	109.62	42.34	98.21	72.88	4.63	7.17	42.04	23.72	0.11	20.31	15.19	32.78	41.73	0.08	63.01	54.32	60.19	65.79	58.83	46.88	132.13	110.74	15.29	16.75	7.93	38.83	17.05	28.41
Ermap	1.07	7.69	0.18	3.24	5.23	0.0	3.09	5.71	4.18	1.1	3.3	5.61	0.5	1.68	2.14	0.71	0.26	1.19	1.04	3.45	2.56	0.16	6.04	2.22	7.11	3.88	5.31	1.29	4.54	5.65	2.09	1.24	1.25	1.52	1.14	1.09
F830016B08Rik	6.03	24.08	16.42	31.41	18.38	1.35	22.78	68.61	41.03	40.4	54.55	41.91	3.54	2.58	39.36	13.37	0.0	13.34	4.48	28.42	2.42	0.36	61.1	26.5	18.77	21.34	21.34	21.62	31.44	43.6	3.94	49.33	13.0	22.74	9.98	1.96
G630055G22Rik	9.19	19.91	1.32	10.07	7.96	0.0	8.33	13.87	19.16	15.97	29.19	15.91	4.84	2.72	16.46	4.39	0.0	6.02	6.7	17.95	5.6	1.53	17.14	11.4	14.92	9.71	14.95	2.99	18.89	25.36	5.72	6.81	5.31	4.87	7.86	4.36
Gjc3	30.0	27.43	6.86	31.91	22.63	0.18	33.14	48.89	43.45	37.06	73.16	44.66	9.27	10.33	45.91	18.38	2.06	13.64	15.83	28.8	32.88	1.95	33.89	45.92	38.73	62.29	42.01	48.86	55.88	82.6	10.76	25.72	15.69	19.86	9.46	11.63
Glrx2	49.11	60.27	11.49	50.87	146.93	1.84	94.11	75.56	248.06	45.95	90.51	146.14	8.33	24.72	184.33	73.31	38.79	96.0	62.67	52.41	96.51	489.21	137.06	81.91	371.35	205.03	80.85	194.51	107.05	134.33	99.99	42.7	69.67	205.79	108.05	21.65
Gm10389	20.55	35.69	24.01	27.56	40.31	2.07	26.69	44.93	47.87	48.34	79.82	52.9	61.49	14.47	49.99	37.64	8.64	42.49	26.59	33.39	28.65	6.6	26.34	52.83	47.17	31.99	26.96	36.31	51.07	71.84	17.24	32.24	19.54	32.46	27.15	18.31
Gm10390	0.32	0.55	0.0	0.44	0.17	0.0	0.0	0.0	0.05	0.42	0.24	0.52	0.0	0.07	0.0	0.02	0.0	0.08	0.0	1.07	0.0	0.0	0.18	0.0	0.0	0.12	0.34	0.14	0.51	0.11	0.11	0.06	0.0	0.11	0.0	0.0
Gm10785	9.71	39.37	1.74	16.24	17.14	0.0	8.95	21.48	198.29	23.69	37.43	34.2	5.34	6.19	21.32	9.43	6.59	17.13	8.29	16.05	22.41	2.94	17.16	173.32	20.06	22.26	19.18	6.88	29.16	18.84	13.02	11.85	8.3	11.4	9.01	4.32
Gm16702	96.61	53.17	67.23	331.72	70.84	2.7	70.31	118.28	128.9	75.52	107.96	60.51	327.53	70.12	241.6	108.68	15.18	48.19	129.7	68.7	64.9	16.53	78.18	112.25	144.55	112.08	78.47	53.69	139.55	291.29	101.14	51.29	79.91	70.9	62.61	84.17
Gm17821	176.61	317.8	62.19	279.45	203.4	1.06	163.23	345.15	440.67	313.93	542.95	374.28	54.5	66.93	282.16	189.89	10.9	99.38	102.57	239.24	196.43	24.98	204.96	277.37	279.33	254.76	269.57	187.56	344.93	525.86	123.33	165.14	135.52	217.21	163.36	69.39
Gm19299	0.6	0.25	0.54	2.03	0.53	0.61	0.67	1.72	0.55	0.39	2.89	0.0	2.65	3.06	1.04	1.18	0.17	0.81	1.48	0.39	1.19	0.0	0.14	0.0	2.83	0.76	0.0	0.39	1.36	4.13	0.74	0.02	0.69	1.55	2.11	0.35
Gm19619	38.43	11.86	1.61	12.53	8.72	0.44	11.13	18.52	12.84	5.69	19.95	23.67	1.61	2.87	11.3	5.21	1.14	4.39	6.84	8.44	4.4	5.11	12.43	5.15	14.92	13.64	23.32	24.53	32.29	15.0	6.56	8.71	3.86	4.33	5.86	1.06
Gm2027	9.84	7.05	0.1	0.15	0.0	0.0	3.83	11.46	0.0	0.28	0.15	25.6	0.0	0.92	9.95	0.31	0.0	2.28	1.18	6.82	0.0	0.0	1.14	0.14	1.77	2.37	5.43	0.0	0.16	3.2	0.08	0.0	4.31	0.94	0.0	0.08
Gm20597	2.22	0.38	0.0	2.16	1.81	0.0	1.11	2.52	1.31	1.43	2.24	0.1	0.36	0.05	0.49	0.0	0.0	0.78	0.17	0.89	0.0	0.0	2.27	1.14	1.96	0.99	0.0	0.0	1.31	5.53	0.0	1.08	0.09	0.83	0.16	1.13
Gm4791	77.28	53.0	4.69	38.1	47.63	0.0	58.31	75.79	83.32	61.99	104.89	104.24	4.98	22.46	21.89	24.86	6.61	26.06	33.71	54.24	17.17	0.88	49.98	47.5	45.45	76.68	34.82	46.32	42.33	68.49	15.2	43.5	31.44	19.05	14.95	8.01
Gm4841	17.9	30.63	12.06	23.42	5.75	1.05	6.59	19.59	22.66	10.28	23.96	12.68	3.27	4.5	8.12	10.88	0.66	4.85	5.63	12.18	12.78	0.91	12.51	11.24	17.36	19.15	15.27	5.68	25.53	23.72	7.18	3.32	3.33	7.11	3.43	0.98
Gm5934	4.3	5.25	3.54	4.62	3.54	0.0	2.09	7.72	2.23	3.82	4.91	2.51	0.13	0.31	1.16	0.21	0.0	0.58	0.26	2.14	3.04	0.0	1.89	4.0	2.78	1.35	3.44	2.0	1.29	5.65	0.39	0.0	0.08	0.2	0.0	0.26
