	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_9	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_56	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ankle2	27.59	47.21	23.29	6.48	4.72	11.86	1.01	21.26	2.26	20.9	28.74	3.99	20.87	11.99	1.57	0.87	21.52	12.99	12.96	14.44
Atg10	0.0	79.27	147.83	0.0	0.0	0.0	98.9	1.97	0.0	103.04	13.92	117.53	0.0	0.0	0.0	9.22	51.12	53.69	31.05	40.1
B230378P21Rik	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.17	0.49	0.0	0.11	0.0	0.0	0.0	0.73	0.0
BC017643	0.0	71.48	0.0	0.0	0.0	0.0	33.83	0.0	0.0	0.0	0.0	0.0	0.0	168.49	0.0	0.0	4.71	17.76	15.42	19.55
BC060267	0.0	19.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.25	0.0	0.0	0.0	0.0	0.0	6.48	2.93	2.03	4.77
Bfsp1	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C920006O11Rik	0.54	47.36	0.26	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98	2.52	3.64	6.85
Cab39	1.0	78.86	0.21	19.29	0.57	23.69	1.63	6.95	1.66	54.99	32.47	42.49	0.99	1.28	0.0	133.97	15.06	32.85	31.86	26.07
Cenph	0.0	27.59	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86
Cflar	9.46	88.53	7.03	10.25	6.12	7.59	6.9	8.26	17.53	6.87	1.48	6.99	6.04	7.39	8.76	8.58	14.69	10.24	9.06	9.26
Ckap4	0.0	16.75	0.0	0.0	44.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.83	0.0	0.75	5.55	3.17	1.3	2.26
Clasrp	0.0	19.66	2.89	0.0	0.0	0.0	4.48	0.0	0.37	0.0	0.0	0.99	0.0	0.18	0.1	0.0	1.68	1.53	2.25	2.92
Creld2	0.0	36.63	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	3.77	47.18	11.36	0.0	0.16	0.0	9.0	1.79	1.03	8.07
D330012F22Rik	1.8	28.16	0.65	0.21	1.04	0.91	0.5	0.95	0.87	0.75	1.0	0.85	0.73	0.37	1.0	0.89	9.39	8.44	9.07	9.23
D8Ertd738e	250.95	451.68	110.43	278.5	0.0	240.72	79.08	326.73	262.2	566.11	434.26	362.71	325.62	313.84	121.44	171.5	303.19	353.04	353.39	359.11
Dpagt1	0.0	118.02	0.0	0.0	0.0	0.0	0.0	0.0	174.74	0.0	94.43	24.64	6.53	0.0	21.93	4.07	3.66	13.12	9.66	10.67
Dpy30	361.84	452.48	423.59	0.0	150.18	160.58	0.0	156.18	146.79	357.46	152.28	191.71	279.56	296.11	0.0	0.0	201.58	259.46	226.48	225.12
Dtnb	0.0	29.14	0.09	0.29	0.0	0.0	0.0	0.0	0.17	0.0	13.45	0.18	4.09	0.09	0.18	0.0	13.98	12.62	10.75	15.24
Eif3m	0.0	439.22	198.94	155.96	0.0	254.2	0.31	223.01	0.0	257.67	80.99	271.52	239.08	153.18	165.46	275.93	278.44	202.84	234.66	239.12
Elovl4	50.88	344.87	139.36	389.07	259.27	152.24	3.51	50.66	39.06	29.34	40.16	64.35	0.0	9.92	76.64	42.66	89.23	70.59	72.01	66.29
Epm2a	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Erap1	0.0	48.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.08	0.0	0.0	0.0	0.0	0.0	1.28	1.63
F13a1	0.0	5.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
Fam100b	0.0	11.14	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	3.74
Fbxo25	0.0	125.76	41.79	0.0	492.76	14.86	34.22	222.34	0.0	87.48	183.61	4.24	186.43	26.5	0.1	230.46	117.77	104.09	106.33	109.28
Fut1	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.12	0.0	0.0	0.0
Gm16367	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3317	0.0	3.99	0.0	0.0	2.07	0.0	0.0	0.16	0.0	0.09	0.18	0.0	0.0	0.0	0.0	0.0	2.59	2.65	0.88	0.92
Gm3494	0.0	3.99	0.0	0.0	2.07	0.0	0.0	0.16	0.0	0.09	0.18	0.0	0.0	0.0	0.0	0.0	2.59	2.65	0.88	0.92
Gm4745	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5901	0.0	66.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr27	0.0	9.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gstm7	0.0	59.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.63
Gtf2ird1	0.35	13.3	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.07	0.98	0.0	0.09	0.03	0.0	0.0	6.45	7.08	4.93	8.21
Gtse1	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hsbp1l1	0.0	57.83	0.0	0.13	0.0	0.0	0.0	0.0	34.98	0.0	8.2	0.0	0.0	0.0	0.0	0.0	0.33	0.0	2.09	0.51
Ifi27l1	0.0	184.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	26.3	1.73	186.84	0.0	1.46	1.72	0.0	47.68	72.28	85.71	81.4
Kcnab2	0.64	27.35	16.08	0.63	0.0	4.95	1.83	0.3	1.1	22.57	23.84	2.95	5.29	5.07	10.16	0.15	25.17	31.15	32.49	24.29
Kcnj16	0.47	37.9	0.21	0.07	0.58	0.0	0.17	0.0	0.0	0.38	0.48	0.0	0.0	0.23	0.35	0.3	0.16	0.35	0.0	0.19
LOC626049	0.0	2.73	0.0	0.0	0.0	0.0	0.38	0.0	0.9	0.0	0.0	0.81	0.0	0.0	1.12	0.0	0.0	0.76	0.0	0.0
Lepre1	0.0	4.32	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0
Lgr4	47.08	81.72	48.91	25.42	31.5	33.43	2.95	14.64	0.31	37.04	4.19	24.67	22.44	23.19	0.04	16.77	20.25	28.95	21.89	21.0
Map3k6	0.0	13.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.75	0.39	1.59
Mapk8ip2	4.09	28.07	28.61	38.1	56.5	0.0	9.27	0.0	1.22	0.0	0.0	87.78	0.0	26.37	4.62	19.66	13.75	15.1	12.48	17.68
Mul1	77.1	123.55	0.15	31.2	191.22	0.0	8.88	0.0	68.07	30.79	43.47	24.79	0.25	0.06	0.0	0.15	21.97	33.3	38.88	37.65
Nfe2l2	0.0	13.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.85
Olfr1428	0.0	9.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ormdl1	0.0	188.44	89.32	0.0	0.0	0.0	227.69	0.3	0.0	0.0	7.93	0.0	0.0	24.56	0.0	0.0	30.38	18.62	31.46	15.21
Pcdhb3	0.0	29.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.46	86.31	0.0	5.46	0.0	0.0	2.36	2.26	3.48
Pigl	0.0	49.87	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.86	2.92	9.69	5.31
Pogz	0.1	31.58	0.03	1.06	0.07	18.42	4.24	24.79	1.33	1.13	0.24	2.58	0.61	0.48	1.75	0.04	9.76	8.62	6.7	8.01
Prkar2b	0.0	70.09	0.0	0.0	50.83	0.0	0.05	0.0	14.55	45.75	48.19	0.0	0.0	0.03	0.0	0.0	65.65	44.68	41.44	43.05
Psip1	100.51	153.23	12.7	6.33	0.0	18.65	53.31	6.97	0.12	0.61	111.16	10.34	27.33	0.07	130.85	24.66	50.29	70.03	48.64	43.52
Psmc2	149.18	562.41	133.86	230.26	67.46	308.85	171.69	175.47	367.77	315.87	334.22	372.68	39.8	468.88	301.35	259.74	453.77	387.02	414.75	420.29
Rbm25	168.78	167.62	115.76	97.74	76.29	25.07	109.54	5.7	107.91	215.24	147.63	75.62	92.85	52.39	28.65	87.33	128.13	117.73	106.14	85.44
Rlim	0.0	62.71	83.39	15.96	147.75	0.0	197.84	0.0	0.0	13.46	3.68	1.57	0.0	69.09	56.13	0.0	29.72	24.06	17.54	19.58
Rnf168	8.73	42.77	10.32	7.91	14.55	22.06	8.54	8.14	9.55	30.73	6.02	7.15	16.41	4.66	10.41	4.94	13.55	13.06	12.94	11.39
Romo1	225.63	310.52	191.85	13.61	0.0	168.95	127.28	124.43	372.13	119.54	368.52	200.06	242.84	54.62	0.62	89.7	147.43	127.61	195.68	199.61
Rps6ka6	45.82	20.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.16	0.0
Sec23ip	81.31	130.06	26.29	38.27	30.19	51.91	27.01	149.76	51.17	37.64	64.21	43.47	32.05	71.2	38.42	16.97	51.42	61.61	45.05	61.64
Sema4f	0.0	21.56	0.12	0.0	0.13	0.0	0.0	0.0	0.0	0.08	0.0	1.14	0.0	0.0	0.0	0.0	2.32	2.22	3.78	1.78
Sept4	414.06	245.1	111.12	0.0	0.34	0.0	129.99	12.78	137.61	128.05	184.7	0.0	180.4	30.4	125.64	71.4	109.8	142.51	160.39	223.7
Slc26a3	0.0	14.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snap25	26182.83	15681.73	24880.43	23752.44	25194.29	21262.24	24000.2	20741.69	24648.02	21685.06	21550.85	22039.64	25542.47	21954.45	18118.7	19177.26	17485.78	20846.74	19146.26	18964.09
Snora5c	0.0	30.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snupn	0.59	183.78	0.08	0.0	0.0	183.68	0.0	0.0	0.6	85.47	0.0	0.0	0.0	0.0	0.0	0.0	109.46	86.96	72.88	72.48
Spcs2	99.56	257.46	107.16	28.68	0.0	77.75	76.29	170.71	0.28	55.22	127.03	73.87	0.0	67.42	140.14	256.48	163.87	116.61	109.23	118.84
Tasp1	0.0	132.61	0.05	0.0	0.0	0.21	0.0	0.0	28.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	45.93	39.12	38.16	37.11
Tcta	0.0	196.28	203.57	0.0	0.0	0.0	0.0	0.0	104.72	0.0	0.0	73.47	0.59	168.87	0.0	0.0	52.71	61.91	44.93	62.3
Tmem205	138.8	166.5	1.94	0.0	0.0	80.46	0.0	0.0	0.0	0.0	64.73	66.19	0.0	21.56	0.31	102.52	82.78	76.62	74.59	83.61
Tubg2	0.0	181.07	0.07	8.17	237.54	0.0	0.0	2.47	0.0	107.28	87.46	8.32	136.79	0.0	0.0	0.0	128.13	38.5	73.27	53.32
Ube2g1	0.0	87.06	101.02	72.91	0.0	1.18	0.05	1.54	1.43	2.83	65.9	27.28	240.57	67.29	0.11	0.0	16.7	19.62	19.7	23.01
Vps16	0.0	149.27	142.52	115.5	98.91	119.37	63.89	11.63	153.46	161.08	4.9	55.36	0.0	0.07	0.13	67.86	36.74	55.47	70.88	68.35
Wdsub1	0.36	16.0	0.24	0.0	0.0	0.0	1.58	0.0	0.0	17.98	0.61	0.4	0.0	0.1	0.0	0.13	7.26	6.46	2.98	4.01
Wrn	0.0	20.48	0.03	0.0	4.94	20.83	0.17	0.0	0.0	0.0	0.14	0.07	0.0	0.04	0.03	0.13	3.62	4.02	3.36	2.42
Zfp128	0.2	48.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.21	0.0	0.11	0.0	0.0	0.0	0.0	10.27	3.48	3.75	4.77
Zfp192	0.0	65.69	65.72	0.0	0.06	0.05	66.61	0.0	5.08	21.96	0.0	0.0	0.0	0.0	0.02	0.12	7.2	1.54	2.49	4.11
Zfp383	0.0	10.12	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.12	2.41	0.0	0.0	0.0	0.08	0.0	3.67	7.29	3.16	5.17
Zfp532	0.0	73.7	41.41	0.0	0.0	0.0	0.03	0.0	0.0	41.49	24.27	0.0	0.0	0.02	0.01	0.0	9.66	2.47	5.33	7.25
Zranb1	0.0	172.81	0.0	0.0	0.0	4.51	19.27	0.0	5.8	3.66	25.32	35.8	0.0	159.99	33.65	0.0	6.53	8.19	21.81	9.2
