	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bcs1l	0.71	270.8	2.65	0.0	116.63	0.0	0.0	0.0	4.61	0.0	201.14	0.68	0.0	0.0	134.28	64.54	0.86	69.19	37.11	16.61	0.0	46.96	0.0	0.0	17.66	1.07	48.3	53.75	0.0	38.49	145.77	49.36	1.19	140.73	3.3	1.62	54.22	0.13	65.01	0.0	60.0	0.12	43.15	51.24	102.81	0.0	0.2	0.0	4.86	32.12	20.17	0.0	0.0	0.56	0.0	0.0	0.0	0.89	119.79	0.36	0.73	151.3	1.53	0.0	1.01	36.01	47.29	32.85	42.44	16.99	50.57	31.23	51.99	29.19	40.89	26.1	18.75	20.93	22.71
Cblb	0.0	46.39	0.0	0.11	0.0	0.0	0.0	0.0	0.0	19.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	16.69	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.27	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.13	1.58	1.58	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	3.16	0.34	0.58	2.32	1.87	0.0	0.12	1.4	1.18	1.68	11.49	10.66	10.78
Ccl27b	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.67	0.0	0.0	11.32	0.0	0.0	0.0	0.0	17.1	31.22	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	92.75	29.61	40.26	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	38.65	4.36	0.0	7.83	1.88	164.03	114.56	177.66	125.27	74.98	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Dcaf8	25.68	167.68	0.0	0.0	0.14	0.0	0.0	79.55	0.0	16.65	5.64	26.06	58.17	0.0	22.34	59.91	0.06	0.93	71.94	0.92	0.0	8.79	1.87	0.03	0.03	0.0	0.91	6.73	28.95	31.09	2.54	8.75	4.29	35.05	32.61	47.3	25.88	4.65	10.77	5.37	0.14	4.21	3.47	22.43	0.58	52.78	4.19	24.51	29.41	29.01	14.72	0.0	0.0	0.0	0.0	0.0	6.62	29.48	18.71	35.29	21.55	0.0	7.23	38.38	66.96	6.9	19.7	14.35	23.29	20.83	20.39	10.0	31.14	19.1	25.05	24.07	104.22	105.32	101.18
Ddah1	136.59	310.73	0.0	43.24	0.0	0.54	0.12	193.62	0.0	42.91	0.06	49.28	0.0	155.87	0.11	0.0	0.0	7.47	82.89	10.98	0.1	7.55	53.86	0.11	34.6	20.22	0.16	72.7	25.53	8.27	0.24	68.23	82.55	58.3	19.52	42.67	22.43	27.74	8.1	84.21	56.19	15.5	6.42	30.0	66.77	25.07	26.55	3.47	479.99	153.66	28.03	0.0	0.1	0.0	0.0	0.0	96.38	16.03	2.65	113.49	10.09	63.39	45.92	3.78	18.62	6.66	365.66	365.64	254.93	323.76	352.14	421.15	449.98	343.88	234.48	243.16	65.29	65.73	76.84
Ddo	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.05	0.0	0.0	0.14	0.11	0.0	0.53	0.22	0.0	0.0	0.79	0.0	0.0	0.1	0.0	0.08	0.0	0.15	0.06	0.0	0.05	0.12	0.0	0.0	0.34	8.28	0.6	0.67	2.49	0.23	1.39	4.83	4.71	4.76
Dnajc2	0.0	100.58	0.0	0.0	0.0	0.0	0.0	11.09	0.0	0.0	29.09	0.2	0.0	0.0	14.92	0.0	1.98	0.0	0.0	1.45	0.06	0.0	3.99	0.0	23.16	34.23	0.46	0.0	0.0	15.22	23.88	8.46	0.0	0.0	27.42	0.0	22.59	0.0	0.11	0.0	0.0	0.0	16.36	2.31	0.0	0.0	0.0	0.0	0.0	1.52	19.07	0.0	0.56	0.0	0.0	0.0	13.89	9.73	10.3	0.0	0.0	0.9	17.11	0.0	0.0	25.98	16.86	10.27	2.56	10.03	14.99	19.02	13.67	10.48	6.47	11.33	32.21	27.9	27.99
Dsel	0.0	44.59	0.0	0.0	0.0	0.0	0.0	22.17	0.0	0.0	23.29	0.0	5.37	0.17	0.0	0.0	51.85	0.0	0.06	0.0	2.4	0.03	0.0	0.0	0.0	29.08	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.77	0.0	0.0	0.0	0.0	0.0	0.03	8.77	6.93	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.91	0.0	9.74	0.0	1.46	7.61	4.88	4.93	7.91	5.27	9.31	6.04	4.31	9.06	9.89	8.46	9.83
Ebf3	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.43	0.48
Exoc6b	24.57	61.58	35.36	38.15	0.19	0.0	0.0	10.95	0.02	10.75	0.0	5.63	0.0	2.48	4.25	0.0	51.77	6.51	0.4	2.23	8.4	2.94	13.63	0.04	5.33	0.35	0.62	0.55	2.47	30.64	0.0	32.71	0.08	1.79	38.37	25.05	7.8	0.0	0.47	22.34	31.75	5.35	25.63	36.35	0.75	22.85	2.36	4.67	7.99	20.83	10.69	0.12	0.0	0.0	0.0	0.11	0.16	31.92	8.33	1.36	22.39	0.14	0.0	1.57	4.92	17.6	5.81	14.52	7.69	11.3	14.89	11.26	9.96	10.14	12.02	9.16	51.27	47.35	48.54
Fbxw2	0.0	134.72	0.0	0.0	0.0	0.0	0.0	0.94	9.88	0.0	0.17	0.0	40.73	0.0	0.0	0.8	0.17	0.0	0.58	7.1	17.27	0.0	0.06	0.07	0.04	0.0	31.85	0.0	0.15	0.0	0.12	0.0	0.15	1.34	0.0	0.46	0.0	18.66	0.42	0.0	0.0	0.0	0.0	0.0	0.0	7.1	0.0	0.1	1.43	13.38	5.45	3.85	0.15	1.34	0.0	0.0	0.0	5.61	0.0	51.28	32.62	0.15	0.0	9.71	0.0	0.0	13.76	7.99	1.77	2.95	9.17	13.93	12.86	9.6	10.76	6.61	71.59	70.35	70.75
Fkbp1a	155.51	133.11	54.99	0.0	109.78	0.0	0.0	193.71	100.87	293.91	17.59	276.95	246.53	0.0	57.25	155.34	73.87	33.46	99.03	93.2	59.67	35.57	95.92	23.04	142.31	56.06	78.95	74.22	56.3	64.59	51.13	59.34	41.41	46.97	62.41	93.31	186.19	124.13	32.74	112.88	85.87	81.11	101.2	70.46	68.71	60.84	199.95	21.52	327.38	265.72	405.02	0.0	0.0	0.0	0.0	0.0	12.05	60.69	143.42	155.91	88.14	118.41	77.85	104.55	73.58	35.21	378.94	477.33	441.72	503.56	287.27	290.27	281.65	317.62	399.58	383.88	675.87	658.61	643.41
Flrt1	34.36	79.29	14.96	37.43	30.59	0.0	0.06	21.42	31.74	42.07	6.11	10.58	0.11	0.0	0.13	11.82	7.3	0.03	10.46	0.93	1.51	4.4	1.89	5.39	14.9	8.95	8.58	44.03	10.47	13.57	32.4	29.97	1.33	1.62	14.84	21.06	27.58	0.0	11.3	0.0	44.42	2.15	0.05	11.21	8.08	7.18	2.92	0.97	123.88	54.69	23.73	0.0	0.0	0.0	0.0	0.0	20.1	12.26	27.54	2.73	5.41	19.85	73.63	14.02	22.03	3.51	66.88	38.76	40.66	47.74	40.47	51.55	50.48	29.23	34.76	35.91	14.51	13.16	16.85
Gas7	6.59	60.33	8.02	1.31	2.62	0.29	13.48	18.88	86.76	11.19	38.14	37.9	6.79	63.91	79.48	68.02	14.62	12.61	5.66	3.27	1.68	2.26	0.19	12.46	47.41	22.17	15.54	22.56	0.39	18.69	32.09	85.43	44.78	2.21	16.04	0.79	15.85	19.0	1.19	0.0	0.29	14.51	0.91	15.07	22.75	23.34	4.58	0.92	72.12	35.61	30.92	0.0	0.0	0.0	0.0	0.0	9.6	0.23	13.92	66.99	23.62	46.72	58.29	1.75	2.82	0.01	120.27	111.56	116.74	103.42	129.82	113.85	133.52	518.4	524.85	524.32	186.15	181.08	185.5
Glul	0.0	171.36	1.48	12.6	28.94	698.83	40.89	8.59	0.04	0.0	37.75	3.26	1.57	0.0	1.98	52.46	0.0	0.12	15.56	0.26	1.93	38.07	0.1	1.24	3.31	0.09	1.0	24.26	0.14	11.64	21.14	10.13	60.69	1.21	40.28	4.1	0.58	8.44	2.99	8.03	5.04	36.42	57.12	14.7	5.01	0.68	0.08	4.79	139.94	165.84	20.38	2052.31	783.73	407.87	498.79	243.01	4.94	0.0	53.93	0.19	44.0	69.4	56.71	0.0	55.01	5.71	29.56	71.9	56.0	49.76	57.12	26.51	60.49	56.82	42.79	58.64	1091.38	1065.36	1142.56
Gm12505	0.0	5.08	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	2.08	3.11	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	1.23	0.72	68.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	2.92	1.04	0.5	0.0	1.88	0.41	0.0	0.35	0.0	0.0	0.0	1.39	1.35	0.91
Gm13306	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.67	0.0	0.0	11.32	0.0	0.0	0.0	0.0	17.1	31.22	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	92.75	29.61	40.26	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	38.65	4.36	0.0	7.83	1.88	164.03	114.56	177.66	125.27	74.98	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	28.87	8.68	0.0	0.0	11.67	0.0	0.0	11.32	0.0	0.0	0.0	0.0	17.1	31.22	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	92.75	29.61	40.26	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	38.65	4.36	0.0	7.83	1.88	164.03	114.56	177.66	125.27	74.98	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gpm6b	124.94	85.31	100.94	26.64	18.56	0.0	0.0	129.84	323.06	3.68	91.88	244.87	0.64	0.24	205.88	78.15	100.71	230.77	103.85	45.66	8.16	1.33	0.27	56.42	14.36	65.86	64.85	26.75	50.27	102.04	123.88	86.39	68.56	11.83	0.08	44.32	2.56	42.97	0.0	167.15	119.33	49.02	45.78	115.25	3.92	0.12	42.44	0.08	394.86	391.0	478.33	1.35	0.23	0.35	0.45	0.0	33.56	0.0	3.21	12.74	5.12	159.63	134.91	7.79	0.56	25.73	348.44	338.72	318.83	283.28	469.53	245.79	448.67	740.28	555.1	555.08	675.52	645.26	695.87
Grik3	10.42	47.97	0.0	5.34	24.27	0.06	0.0	0.0	0.04	0.0	0.05	3.94	0.0	2.1	0.0	0.0	0.76	0.06	20.16	13.04	0.34	0.02	0.48	10.33	11.87	0.61	0.6	4.7	1.21	25.4	16.38	0.0	0.33	0.0	17.47	18.78	0.04	0.05	0.0	1.04	0.94	3.82	0.0	0.93	0.0	0.04	0.39	0.71	18.52	0.72	0.55	0.0	0.1	0.0	0.0	0.0	0.67	15.74	14.71	0.24	13.45	26.7	12.67	0.67	11.31	0.94	17.99	14.72	19.57	15.01	6.86	6.51	6.85	10.33	12.09	11.47	37.3	36.28	36.36
Haus5	0.0	97.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.68	0.0	0.0	0.0	0.0	0.0	0.0	16.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.47	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	5.41	9.69	0.0	0.0	0.0	9.95	7.93	2.78	3.66	5.64	5.82	6.1
Hmgxb4	4.97	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	15.58	0.0	0.0	0.0	27.59	0.0	0.0	6.26	12.86	0.03	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	12.4	35.29	0.0	0.0	24.8	0.0	2.25	23.31	0.0	0.0	0.0	0.0	14.01	0.0	0.0	0.04	0.0	0.0	4.5	8.08	5.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.23	0.0	0.0	0.0	0.0	8.12	0.0	0.0	6.79	5.83	17.24	7.16	4.5	8.8	3.06	4.4	6.41	6.46	10.79	12.14	12.64
Hsd17b11	0.0	73.64	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.79	0.09	21.67	30.99	0.0	17.99	8.11	0.0	0.0	5.25	13.54	15.09	0.0	0.0	10.26	0.0	3.45	0.0	9.37	0.0	0.0	0.0	0.0	10.02	0.0	0.0	3.84	0.19	0.0	3.35	0.0	0.0	9.83	2.65	7.84	0.0	0.0	11.11	1.18	19.07	16.02	2.32	0.0	0.0	0.0	0.0	0.0	0.0	11.87	0.0	0.96	8.57	17.02	6.6	0.0	9.6	0.0	7.84	1.07	8.47	3.31	4.83	9.7	1.03	3.38	2.26	4.14	44.69	45.82	43.89
Hsph1	102.17	225.43	81.55	2.82	29.03	0.0	0.0	66.56	143.92	146.2	131.07	105.12	163.32	0.56	111.36	31.12	142.72	24.98	68.95	48.8	76.29	41.2	59.87	8.35	54.55	114.17	2.48	61.36	89.15	127.85	152.85	109.12	0.0	76.48	84.93	184.7	46.07	87.36	118.19	3.84	110.71	87.15	55.6	31.53	179.71	31.45	35.93	100.05	304.13	187.18	100.55	0.0	0.0	0.0	0.0	0.0	54.03	53.82	6.38	104.62	34.37	121.99	334.45	29.83	0.26	23.92	209.38	282.01	222.16	210.34	235.88	208.3	201.63	213.44	193.74	203.15	238.03	226.06	225.17
