	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_77	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_76	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Mkl2	2.43	38.78	0.44	60.69	196.65	58.37	210.94	219.05	254.44	163.98	76.51	121.33	217.68	243.94	4.22	23.73	22.01	23.44	15.66	8.76	21.7	28.27	12.75	19.17	34.57	309.86	62.5	86.16	144.43	250.26	169.99	113.21	102.43	126.41	204.86	251.05	135.44	0.7	270.6	83.64	231.64	35.8	36.55	35.07	2.62	190.75	202.76	175.54	179.72	285.95	142.51	276.04	192.52	220.38	140.68	77.15	206.77	151.79
Nfia	5.82	0.0	0.0	0.0	0.0	114.53	111.3	79.42	157.03	63.52	46.63	22.37	156.17	121.97	0.08	0.0	0.16	0.05	0.0	3.31	0.0	0.0	5.85	1.49	84.84	72.38	85.11	37.01	120.78	153.59	95.4	87.64	138.11	131.86	66.79	103.18	169.49	0.0	87.57	70.56	147.67	0.05	0.0	0.0	41.18	97.54	94.09	66.07	64.11	216.13	171.61	112.7	36.85	161.91	214.69	68.39	109.13	60.53
Pcp4	4167.1	2820.9	2965.65	5117.81	4955.04	5030.53	4639.95	5350.95	4871.0	4341.13	4787.42	4905.76	5130.46	5293.38	3355.21	3496.46	4184.47	4733.38	4414.79	3406.65	3369.7	5082.23	4231.51	4518.09	7467.74	5853.47	5178.03	6240.76	5498.56	6808.32	7407.1	5341.11	6583.41	5620.14	5456.32	4964.42	5251.38	3805.42	4770.47	7030.52	4796.79	5005.09	3469.96	4368.46	5492.66	4928.48	5219.57	7638.97	5202.71	5242.95	4439.21	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49
Phactr1	0.0	0.0	0.29	46.38	140.39	156.89	292.4	127.6	135.58	130.12	157.08	169.94	334.87	109.29	0.22	0.0	1.64	0.5	36.54	13.29	40.02	7.4	14.31	5.18	0.13	211.44	170.4	85.07	87.14	151.58	83.4	120.89	256.93	182.34	107.42	244.85	83.64	0.33	298.42	217.99	138.38	4.7	8.18	14.51	0.12	160.16	143.45	169.98	157.9	181.23	194.46	32.23	20.06	133.76	90.87	36.66	66.62	96.31
Prkcb	178.39	52.88	79.08	13.39	218.9	363.8	214.44	18.72	302.87	159.44	21.36	55.66	86.13	178.98	14.93	2.64	6.89	9.02	34.75	15.0	0.06	32.65	30.8	7.3	207.21	317.53	200.66	488.0	143.75	310.81	283.48	463.55	246.85	353.97	517.46	338.09	304.59	28.61	277.44	535.43	235.48	0.11	0.52	2.75	37.33	217.93	281.09	93.29	172.14	289.23	241.56	399.85	339.75	281.91	258.63	247.11	248.14	147.65
Psd	0.19	15.23	9.91	15.01	27.09	28.21	20.49	14.51	13.03	38.16	20.65	24.62	35.39	28.45	9.99	6.39	5.51	12.26	6.08	12.75	12.5	8.67	9.15	6.66	0.0	15.08	18.68	10.32	48.87	33.89	50.69	25.24	47.51	38.42	37.74	32.39	16.96	12.08	22.92	24.26	22.79	6.76	15.84	22.12	0.0	14.33	21.9	32.01	29.88	19.11	29.61	18.73	37.43	32.29	17.04	48.25	23.73	26.03
Ptk2b	57.75	0.0	0.0	0.0	119.13	404.95	90.25	5.33	131.58	78.98	71.48	30.93	125.65	85.76	0.08	0.03	2.65	0.03	0.08	0.0	0.0	0.0	0.0	5.2	0.0	69.53	125.08	150.56	63.75	145.89	209.97	291.96	75.15	156.56	112.11	298.7	66.57	0.0	103.11	280.13	78.6	11.71	0.0	4.95	0.23	45.58	103.09	183.01	76.6	52.35	54.62	122.14	184.49	165.28	11.54	137.06	42.47	56.63
R3hdm2	30.61	0.0	12.42	12.46	16.17	10.8	75.36	7.61	41.83	65.38	74.43	81.44	65.04	21.06	3.1	1.68	11.41	2.29	33.84	3.2	0.42	5.94	0.0	11.08	0.0	14.74	5.74	32.99	55.62	36.96	44.89	12.1	92.38	68.17	99.15	18.1	40.71	1.09	158.55	29.32	75.26	13.49	0.0	0.82	0.0	27.19	34.47	56.2	7.5	41.73	66.33	119.25	29.06	89.58	150.55	56.87	24.45	23.91
Rap2b	6.84	11.27	10.24	2.88	20.81	69.27	58.11	34.75	29.06	66.15	22.41	39.97	44.32	45.45	8.66	1.27	9.84	18.79	3.08	4.77	2.12	0.0	6.57	0.0	94.59	37.8	63.92	35.85	21.84	11.39	36.47	60.56	13.66	82.21	65.94	88.37	28.11	14.0	123.49	53.04	48.57	0.0	4.16	7.63	0.11	49.11	45.7	71.41	71.35	34.65	52.4	4.08	3.3	6.93	50.07	3.02	2.67	39.75
Slc17a7	0.0	0.0	0.0	0.0	22.17	11.39	55.64	44.63	61.1	46.29	33.19	65.9	61.54	53.84	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.97	13.74	0.53	0.91	13.93	7.73	16.52	60.83	16.54	34.86	69.46	54.21	43.79	0.0	30.4	37.29	17.8	0.0	0.0	0.0	0.0	29.65	24.02	0.0	10.9	37.68	46.62	17.85	5.06	27.5	15.55	31.85	9.22	32.3
Slc24a2	139.96	9.05	27.95	8.28	65.64	60.11	99.12	64.92	127.22	157.09	114.09	81.62	94.18	153.29	0.1	0.07	0.11	0.04	19.15	13.13	0.0	0.0	0.17	0.0	15.34	130.02	143.79	58.97	20.64	64.12	71.9	120.39	77.49	91.03	214.14	133.42	88.36	46.09	144.49	131.01	59.46	0.84	0.06	0.35	141.93	105.37	105.85	98.79	112.92	170.28	136.14	186.62	166.52	107.09	99.48	65.68	140.09	66.96
Slc8a1	0.04	18.9	0.0	0.37	0.14	160.98	145.96	36.0	113.69	70.49	69.26	117.08	71.44	79.45	0.03	0.11	0.01	0.55	3.05	20.95	2.99	0.88	0.01	2.62	0.04	19.61	37.91	6.88	18.79	85.66	28.91	42.44	15.97	40.86	49.16	72.77	97.82	25.25	63.76	145.18	43.43	4.8	7.98	1.09	0.02	43.58	22.68	31.49	64.58	57.45	63.96	28.82	20.64	23.88	24.39	40.39	76.32	34.19
Tbr1	0.0	0.0	0.0	0.0	18.59	0.39	26.73	0.0	19.48	10.22	18.81	45.9	1.47	6.34	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.18	7.81	14.6	34.59	103.25	39.66	0.18	4.42	6.08	42.11	88.6	69.3	12.98	0.0	0.0	2.92	48.32	0.0	0.0	0.0	0.0	27.71	39.15	16.2	0.5	42.67	59.43	59.04	2.34	43.87	227.45	78.61	11.32	0.19
Tle4	0.0	0.0	0.0	13.38	0.0	154.35	141.77	83.98	174.77	61.7	182.35	61.6	16.52	88.82	0.02	1.33	0.04	0.02	0.13	0.0	0.0	49.22	0.0	8.19	0.15	167.09	162.54	18.98	61.93	173.48	67.46	5.58	58.1	184.9	101.82	114.36	69.33	0.0	63.22	137.31	135.02	0.6	0.19	20.06	0.0	96.13	60.34	5.06	15.18	150.25	37.28	13.72	25.32	22.5	92.63	28.0	249.91	1.85
Unc80	10.58	0.03	7.43	4.51	11.1	64.96	63.53	34.04	45.05	88.0	86.26	9.79	36.87	115.0	4.08	0.02	16.84	0.28	16.96	16.9	0.26	0.07	0.19	0.86	0.97	73.43	16.93	9.69	7.58	26.43	49.47	14.08	38.38	34.93	73.61	108.29	57.1	0.47	72.52	44.09	37.39	1.83	10.96	10.12	74.33	30.52	18.79	21.01	43.93	42.11	70.32	53.61	5.86	57.02	42.93	40.92	6.85	21.14
