	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Csf2ra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	1.02	0.17	0.1	0.0	0.0	3.54	0.0	0.24	0.0	0.0	0.0	0.37	0.53	0.0	0.0	0.0	0.0	0.0	47.83	0.0	28.23	0.0	0.0	2.13	27.45	27.1	31.23
Cstf2	0.0	0.0	0.0	0.0	36.13	0.14	0.0	13.79	28.32	21.07	6.8	3.93	7.44	29.9	0.1	28.98	11.54	24.63	54.65	0.3	53.37	0.1	0.0	36.26	0.0	38.24	59.14	41.91	21.19	4.5	126.34	10.5	16.83	63.86	0.0	26.47	29.33	2.09	33.75	76.47	73.56	73.98
Cul4a	173.2	0.0	0.0	0.0	0.0	0.0	0.08	49.84	0.0	13.22	44.34	22.1	2.98	2.14	4.91	0.0	4.46	18.51	8.74	9.13	0.0	0.0	0.0	34.75	21.5	0.0	0.0	40.0	45.72	44.29	0.0	0.44	3.3	41.88	0.0	0.0	16.1	30.27	15.9	57.84	56.16	56.17
Cwc22	38.33	0.0	0.0	0.0	15.93	0.0	0.0	6.68	0.0	11.86	0.0	7.64	0.0	7.68	0.0	18.83	8.07	0.0	0.0	0.0	0.15	0.27	0.0	0.0	0.14	0.0	70.14	53.1	0.0	0.0	78.88	0.0	0.0	0.0	50.95	16.38	1.78	0.0	8.16	16.36	14.82	17.86
Cwc25	1.77	1.61	1.35	1.59	1.74	18.56	75.85	0.0	10.48	7.26	8.95	9.13	2.28	28.6	21.18	2.11	1.94	1.08	8.34	2.57	10.02	3.7	2.29	3.33	1.88	37.58	1.63	2.06	1.89	0.71	11.65	3.4	0.9	77.03	12.38	1.51	9.76	1.81	0.85	16.06	14.71	12.6
Cyld	9.21	6.67	19.94	0.85	36.64	23.38	26.04	8.55	7.64	30.85	15.02	17.4	9.07	46.87	48.33	23.83	35.08	8.68	29.45	42.27	13.83	13.24	44.53	26.56	10.29	16.83	81.58	20.27	9.98	31.3	73.83	30.08	9.32	73.24	15.13	8.97	18.94	36.01	54.61	65.88	57.37	62.1
Dbndd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.46	0.0	31.82	0.0	14.27	0.0	0.0	74.58	0.0	0.0	39.07	42.2	0.26	21.96	21.94	24.5
Dcdc2b	0.0	0.0	0.0	0.0	0.0	25.54	0.0	0.0	0.0	0.0	29.01	0.0	28.76	0.0	0.0	46.6	0.0	0.34	5.95	19.03	0.0	0.0	0.0	10.3	0.0	0.0	0.0	33.16	0.0	24.88	64.97	0.0	0.0	43.55	0.0	0.0	0.0	0.86	15.79	6.23	5.1	5.47
Ddx20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	29.13	0.0	0.0	0.0	0.0	51.63	8.56	26.02	13.64	0.0	0.0	11.94	12.9	10.53
Dnase1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	9.98	0.0	0.0	0.0	0.0	0.11	0.23	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.18	0.0	0.1	0.0	0.09	0.0	0.03	0.1	0.17
Dnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	2.78	2.45	0.0	1.56	2.71	0.55	0.27	0.0	0.0	0.0	0.0	0.0	0.0	1.7	2.5	1.75
Emd	0.0	0.0	0.0	0.0	13.45	0.0	0.0	47.56	1.88	39.76	0.0	0.0	1.01	0.0	9.01	0.0	46.09	0.0	0.0	56.13	0.0	1.07	0.0	1.25	0.0	0.0	15.23	0.0	0.0	0.0	0.0	0.0	55.29	97.28	1.28	0.0	7.97	0.0	0.0	43.59	44.11	43.02
Faah	0.0	0.0	0.0	0.0	16.18	18.73	0.02	0.0	0.25	1.85	4.95	0.0	0.67	0.68	24.01	3.3	8.71	0.0	0.0	0.0	27.82	26.48	6.42	0.14	16.24	0.1	44.27	19.59	20.65	23.83	39.6	0.41	17.61	77.93	0.0	10.21	0.0	18.55	1.52	61.41	67.27	64.45
Fam118b	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	3.33	100.97	5.14	130.27	0.0	51.0	0.0	3.78	100.89	0.0	0.0	135.68	0.0	0.0	3.31	19.08	12.51	79.17	0.0	0.0	59.22	55.49	85.76	0.0	90.21	0.46	0.0	0.0	76.29	0.22	168.87	18.93	18.39	19.04
Fam149a	0.0	0.0	0.0	0.0	0.0	21.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.82	0.0	0.0	14.6	0.0	0.0	7.79	0.0	0.0	0.86	0.0	0.0	30.81	0.0	4.08	0.0	0.0	0.0	1.12	30.73	0.0	0.0	0.0	0.0	1.23	11.59	10.95	11.58
Fam65b	5.87	0.1	2.28	0.0	22.17	1.53	0.51	0.0	0.62	0.79	5.9	16.22	1.57	0.41	1.03	1.18	0.93	1.29	2.27	0.48	2.84	15.46	0.57	48.52	0.97	2.27	32.58	24.87	0.4	21.0	80.77	1.99	40.61	2.61	0.57	1.14	0.41	1.4	0.46	37.06	39.46	37.17
Fbxl6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.59	0.0	0.0	24.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.12	53.02	0.0	0.0	0.0	0.0	0.0	32.27	35.56	34.69
Fbxo11	0.0	0.85	0.0	0.0	58.21	190.16	0.0	0.55	118.24	26.2	67.93	17.81	59.9	46.35	87.84	0.09	27.64	55.28	25.68	8.19	21.47	44.73	1.74	16.66	0.0	2.68	40.65	17.72	49.14	20.17	153.88	0.0	15.77	7.25	0.0	22.49	6.46	27.41	0.0	82.98	81.77	83.57
Gabbr2	0.0	0.0	0.0	0.0	3.15	4.68	0.0	2.72	14.72	10.4	17.52	12.21	0.0	0.0	11.62	0.0	2.97	6.18	7.41	50.96	5.63	2.81	11.81	22.39	18.33	6.59	67.7	30.74	5.8	43.48	7.19	0.37	8.88	28.38	25.76	6.18	15.31	4.91	15.85	156.54	138.94	168.37
Gm4922	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.51	0.39	0.16	0.0	22.61	0.19	0.19	0.0	1.92	0.0	0.23	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.15	0.08	0.8	0.46	0.52
Gm8787	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.42	0.0	0.0	0.0	0.0	0.15	0.48	0.4	0.91
Gm9926	0.31	0.08	0.0	0.77	0.13	0.63	0.44	0.05	0.0	0.0	0.2	0.3	0.25	0.0	0.34	0.15	0.19	0.0	0.42	0.49	0.51	0.56	0.15	0.56	0.4	0.0	0.54	0.16	0.21	0.38	0.98	0.08	0.32	0.86	0.0	0.25	0.52	0.0	0.34	0.13	0.25	0.35
Gp1bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.81	0.0	0.0	0.0	1.02	0.5	4.71	23.01	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	6.02	0.32	0.0	2.57	0.0	12.54	37.46	16.38	0.0	0.0	0.0	0.0	18.54	22.4	21.44
Gpsm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	0.16	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.16	0.0	0.0	13.3	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	11.04	11.1	11.11
Grlf1	0.0	0.63	0.0	0.0	30.58	3.28	0.0	16.46	2.49	11.13	23.82	15.42	2.78	18.98	4.13	30.68	47.35	26.11	0.48	27.36	19.77	1.11	8.17	13.82	5.76	51.13	55.26	4.23	15.05	7.25	7.02	9.62	8.12	48.51	2.2	0.35	50.74	8.66	9.28	71.07	67.29	71.92
Hipk3	0.0	0.0	0.0	0.0	0.0	1.28	0.0	2.36	1.2	3.85	22.21	1.2	0.51	19.41	0.0	0.25	0.0	6.77	7.42	0.0	0.99	0.0	0.0	4.82	6.75	1.42	36.59	59.41	0.0	20.57	3.09	13.55	21.13	70.49	12.25	3.03	3.34	7.1	0.0	44.09	41.78	41.53
Hnrnpa0	21.57	17.25	0.25	0.0	35.05	195.18	0.0	44.55	35.14	71.72	83.9	21.4	38.75	81.98	23.01	26.6	42.53	57.7	54.18	85.25	101.15	8.27	104.08	167.9	75.17	27.99	192.98	1.92	44.7	166.08	166.3	6.09	31.21	56.22	8.82	56.48	79.2	80.41	64.72	126.2	144.89	131.58
Hoxc8	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.15	0.0	0.75	0.0	0.0	0.17	0.0	0.15	0.04	0.04	0.09
Hsf2	0.0	0.47	0.0	0.0	15.73	56.2	8.79	10.45	16.78	21.1	38.09	22.44	45.2	50.29	15.05	7.4	16.63	13.15	37.56	27.58	13.79	6.38	44.51	59.88	40.24	67.46	76.77	32.87	21.63	64.2	77.55	23.05	36.03	60.78	19.24	17.69	35.81	35.39	26.27	23.08	23.46	22.05
Il17rd	0.06	0.0	0.81	0.0	0.1	0.08	0.0	0.03	0.04	0.0	0.07	0.06	0.0	0.08	0.0	0.05	0.0	0.03	0.0	0.05	0.06	0.0	0.11	0.21	0.0	0.12	0.21	0.03	0.0	0.03	0.14	0.04	0.0	0.13	0.07	0.0	0.0	0.0	0.02	2.68	2.44	2.51
Ints9	6.55	0.0	0.12	0.0	0.24	5.28	0.0	0.0	0.18	0.0	0.0	47.17	0.0	30.82	4.97	0.14	1.84	1.45	0.31	52.84	0.0	0.0	71.55	54.09	60.82	0.0	21.3	1.32	0.0	59.23	0.0	47.1	9.73	73.9	33.85	44.94	0.0	7.25	0.0	11.21	14.85	11.9
Itpr1	0.0	0.0	0.0	0.0	28.19	22.99	0.0	0.02	18.25	32.52	32.34	16.52	35.77	56.97	57.7	89.6	22.88	8.03	23.9	52.66	11.4	29.95	28.3	29.75	41.95	60.57	34.45	86.06	57.5	50.83	28.88	41.25	30.17	42.32	44.84	18.76	74.95	43.96	29.32	211.99	196.39	212.52
Kalrn	0.26	0.18	0.06	0.0	21.37	4.92	0.1	0.0	9.27	2.79	5.58	12.79	5.52	11.95	10.51	29.06	0.33	9.19	10.31	13.99	12.88	14.67	17.34	18.36	32.73	14.95	20.68	5.91	11.84	0.51	18.17	7.54	9.91	32.07	18.55	27.52	4.89	28.21	20.89	250.25	239.88	249.16
Kif5b	1.04	0.15	0.04	0.0	18.49	145.67	1.21	13.43	23.83	53.68	36.6	83.25	18.08	40.41	83.89	38.38	21.1	31.6	22.15	28.96	34.26	26.28	30.67	28.35	0.67	9.0	74.72	63.2	40.1	44.89	159.48	58.11	82.15	43.63	32.43	49.46	49.6	36.55	65.48	117.91	103.31	125.36
Ldhb	7486.96	8970.97	0.0	2593.67	9309.63	8550.52	5876.73	10118.08	10894.4	9220.91	9343.6	8808.99	8620.64	10165.1	9602.81	11261.44	10004.69	13571.31	12546.17	9755.78	11010.48	10182.84	7891.81	7551.43	7750.55	7739.08	7194.73	7205.83	7185.39	9082.37	7928.56	7199.93	7910.47	7322.67	7844.79	8351.44	7830.1	8111.86	11746.38	737.58	774.98	752.92
Map3k9	0.0	0.0	0.0	0.0	7.64	1.16	0.0	0.0	2.13	6.03	6.56	6.62	0.0	0.84	3.61	3.11	3.33	0.0	6.02	2.34	0.05	0.04	10.03	3.0	5.23	1.11	19.57	7.92	3.02	2.87	12.17	18.57	6.19	13.78	0.0	7.65	27.85	0.62	11.94	31.85	31.22	33.42
Med13l	14.35	3.95	0.0	0.0	4.57	4.96	11.96	7.68	1.92	1.42	15.63	3.55	10.38	14.04	8.04	2.21	0.1	1.62	17.23	7.66	3.83	0.05	7.23	23.91	6.79	1.78	24.12	20.33	10.17	2.44	14.96	3.33	2.55	3.96	20.38	6.83	18.42	12.89	10.16	34.62	32.78	36.67
Mettl15	0.0	0.0	0.0	0.0	82.59	0.0	0.0	0.0	0.0	0.0	46.07	0.0	0.0	0.0	73.46	0.0	13.27	0.0	0.0	0.0	0.0	0.0	33.37	0.0	0.0	0.0	79.29	0.0	0.0	0.0	92.43	0.0	0.0	113.48	0.0	78.5	13.01	0.0	0.0	5.3	5.49	4.93
Mipol1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.19	0.0	18.97	0.0	0.0	0.0	21.63	19.45	0.0	0.0	0.0	85.72	0.0	0.0	0.0	0.0	0.0	3.73	3.74	4.16
Mllt1	0.0	0.0	0.0	0.0	8.56	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.53	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	33.54	0.0	0.1	0.0	13.25	7.12	11.37	0.0	0.0	0.0	0.0	16.23	29.76	49.16	47.59	47.43
Mycbp2	0.0	32.45	0.0	0.0	11.66	13.59	0.0	9.35	2.99	31.33	31.42	27.83	19.25	21.25	14.02	32.69	25.8	23.73	12.24	40.73	18.17	20.66	32.36	20.22	40.39	33.47	35.2	41.86	4.49	29.66	55.42	25.44	34.26	58.78	40.48	41.25	19.01	31.32	50.09	86.57	73.79	88.98
Napsa	0.0	16.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6	0.0	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.16	0.0	0.26	0.0	6.06	0.0	0.0	4.49	1.7	0.0	1.12	0.83	1.4
