	Cux2_tdTpositive_cell_47	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1
Gm14322	2.6	18.7	7.28	1.6	9.21	6.69	22.66	130.47	131.28	4.31	0.41	19.04	12.74
Gm14430	0.0	0.94	0.0	11.42	0.04	0.01	0.0	13.09	18.0	2.35	13.98	0.0	7.67
Gm14434	0.0	0.94	0.0	11.42	0.04	0.01	0.0	13.09	18.0	2.35	13.98	0.0	7.67
Gm16897	15.41	0.0	0.0	0.28	0.0	0.0	0.0	0.0	56.06	0.0	7.53	0.0	1.95
Gm2002	0.0	0.0	0.0	18.81	0.0	0.16	0.66	0.03	4.52	0.17	0.0	0.36	1.73
Gm3086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.67	0.0	0.0	0.0	1.61
Gm3417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44	0.0	0.0	0.0	0.0
Gm3833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0
Gm4724	0.0	0.94	0.0	11.42	0.04	0.01	0.0	13.09	18.0	2.35	13.98	0.0	7.67
Gm8369	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.07
Hemgn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.04
Il11ra2	0.0	0.0	0.0	18.81	0.0	0.16	0.66	0.03	4.52	0.17	0.0	0.36	1.73
Ing4	0.21	0.0	15.83	167.5	0.0	0.0	0.24	0.17	189.89	0.18	0.0	0.19	47.79
Kcnc1	0.03	0.63	0.87	0.12	0.0	0.09	0.05	26.74	27.97	0.04	0.0	1.68	96.03
LOC433944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0
Leprel4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.56	0.0	0.0	0.0	11.07
Lgals8	0.0	0.0	0.0	0.0	0.14	0.0	0.0	150.13	109.35	48.01	0.0	0.0	19.48
Lmbr1	26.97	0.0	0.0	0.07	0.0	0.0	0.08	0.05	45.31	0.0	27.13	0.55	20.96
Mir467a-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mir467a-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mir467a-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mir467a-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mir467a-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mir467a-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Mpped1	0.0	0.0	33.91	0.11	0.12	0.0	0.82	73.25	158.35	7.23	0.74	12.47	162.63
Mtap2	34.75	152.94	82.23	19.17	0.14	23.02	37.49	53.93	232.74	85.03	53.51	23.94	353.37
Naa15	2.23	0.41	5.93	2.33	0.0	75.45	0.12	42.26	59.08	0.09	42.53	16.94	26.29
Nrn1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.75	0.0	0.0	326.67	2.91
Nsun2	0.0	0.0	3.7	0.0	0.0	0.0	0.0	17.24	59.36	0.0	0.0	0.0	39.45
Nus1	0.16	0.54	1.37	45.91	0.0	0.16	0.08	0.29	69.62	0.12	3.68	0.64	55.9
Olfr55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.09
Oplah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	63.22	0.0	0.0	0.0	14.52
Pak4	0.85	0.0	1.06	0.24	0.0	0.18	0.23	0.24	1.51	0.21	0.08	0.37	7.83
Pcdhb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	2.8
Pde4a	5.56	0.6	9.61	24.09	0.0	30.78	21.48	35.87	50.02	32.89	45.45	2.91	70.0
Pik3ca	0.23	0.27	8.02	1.65	0.0	0.29	1.36	6.02	74.56	0.45	1.14	0.0	22.54
Plekha5	0.0	1.0	17.25	0.07	0.0	0.36	0.0	21.22	60.94	0.0	0.0	25.38	35.88
Pold3	3.8	0.0	1.65	28.67	0.0	104.27	2.66	0.05	66.56	59.84	0.0	0.0	20.35
Polr1a	2.6	0.0	0.0	0.06	0.0	0.0	0.31	0.07	42.27	0.0	0.0	0.0	16.33
Ppp1r12b	27.82	25.08	18.94	8.86	10.89	113.69	10.7	8.28	72.64	19.06	3.06	15.87	52.73
Ptpn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	7.45
Rnf115	1.31	0.0	10.71	0.78	0.0	0.0	2.2	58.96	106.06	0.0	61.23	0.27	61.47
Rnf166	0.0	0.0	4.63	0.0	0.0	0.0	0.0	0.0	61.71	0.0	0.0	0.0	33.28
Rpp25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	19.41
Sec14l2	0.0	0.0	3.66	0.0	0.0	0.0	0.0	0.0	36.02	10.93	0.0	0.0	37.69
Slc24a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.13
Slc26a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91	0.0	0.0	0.0	4.96
Slc26a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.45	0.0	0.0	0.0	5.11
Slc34a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.05
Smarca5	93.63	0.0	20.6	0.3	0.0	90.52	32.44	52.73	109.6	72.29	24.84	0.0	39.16
Smchd1	10.31	0.0	0.0	0.0	0.0	0.52	0.0	12.0	39.39	0.0	0.0	2.64	17.6
Spa17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.72	0.0	74.2	0.0	5.41
Spg11	11.67	0.0	22.51	0.0	0.0	0.0	0.0	29.21	29.86	25.25	24.88	5.98	14.25
Stmn1	9473.65	10788.4	10862.63	12096.72	10015.46	13005.25	11961.92	10665.83	5477.06	10789.21	12161.23	11287.74	1203.28
Syt6	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	22.25
Tcerg1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5	0.0	0.0	0.0	9.76
Tcf20	0.0	21.67	15.51	31.3	0.0	11.72	8.96	0.06	75.79	5.63	4.5	3.71	41.58
Ticam2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.76
Tmco7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.35	0.0	2.92	1.46	3.87
Tmem189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.0	59.64
Tnfrsf21	0.0	0.0	0.32	0.0	0.1	0.0	0.0	0.04	100.63	4.68	20.58	39.78	63.85
Tnpo3	0.0	0.0	0.18	0.7	0.0	0.0	0.0	11.38	74.03	43.82	2.55	0.15	55.85
Trim3	4.37	0.0	107.23	0.36	1.67	0.0	0.0	158.46	143.13	0.0	58.36	0.0	93.7
Vash2	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	1.99
Vprbp	0.58	0.0	0.56	0.67	0.14	19.98	0.19	1.05	43.42	0.5	0.18	7.32	16.92
Vps37a	29.67	0.0	14.51	0.0	0.05	111.31	0.26	55.43	84.37	0.64	35.65	45.58	28.69
Wars2	4.96	18.26	2.6	3.52	0.41	7.49	4.65	5.09	70.26	0.91	14.9	3.68	5.34
Ylpm1	0.16	0.0	14.44	11.46	0.0	0.0	5.94	1.65	61.34	0.0	7.86	0.0	51.66
Zscan21	0.0	0.0	0.0	25.84	0.0	0.0	0.0	0.0	229.24	74.12	0.21	0.0	14.24
cy_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.89	0.0	0.0	0.0	0.0
