	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_73	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
Cep70	0.0	0.0	0.0	0.0	0.0	13.16	17.56	0.0	30.31	0.0	0.0	33.83	4.63	27.16	42.86	55.26	0.0	45.45	2.71	0.0	16.22	19.87	37.76	56.38	8.32	21.56	0.24	38.28	16.35	9.8	30.93	40.87	1.58	25.26	31.17	56.53	12.94	8.74	52.41	59.77	18.85	21.63	14.73	30.77	31.18	49.52	27.1	0.0	0.14	0.0
Chga	0.0	137.31	0.0	0.0	12.93	67.39	0.0	0.0	70.89	0.0	0.32	44.52	51.52	18.97	55.13	180.19	92.13	135.17	95.85	153.49	276.52	42.15	91.3	109.02	95.45	1.24	46.2	141.5	54.0	56.15	174.53	225.97	150.45	137.36	98.17	109.14	88.83	214.62	157.47	82.68	73.79	100.86	22.79	159.21	33.58	154.26	207.9	0.0	0.4	0.0
Cnnm1	0.0	1.32	0.0	0.0	70.89	6.72	0.0	0.0	26.45	0.0	0.12	33.53	11.15	25.63	41.51	55.6	87.49	59.13	39.08	17.69	30.69	41.34	28.56	29.59	37.38	0.15	1.55	18.12	4.61	6.2	20.94	30.63	0.4	37.23	14.25	24.8	54.02	33.8	10.44	16.12	18.65	44.86	12.87	72.25	30.46	48.71	21.87	0.0	0.07	0.0
Col19a1	0.0	0.0	0.0	0.0	101.9	0.0	0.0	0.0	49.36	0.0	0.0	15.72	22.58	10.51	22.09	25.02	41.01	31.64	46.75	44.0	23.85	16.27	18.16	18.47	23.67	0.47	0.06	21.54	73.69	39.57	36.39	115.44	0.0	0.27	0.0	13.05	40.04	10.7	25.13	49.78	1.86	21.68	7.47	57.32	17.78	78.59	17.76	0.0	0.17	0.0
Cpt1c	0.0	125.88	0.0	0.0	196.88	0.0	0.2	0.0	24.01	80.69	0.0	0.0	48.14	0.0	48.55	41.88	62.03	11.6	0.23	100.34	43.09	0.0	79.07	0.21	11.15	75.31	100.67	53.65	0.27	122.84	88.05	184.13	66.03	72.9	52.18	29.67	61.91	14.31	0.47	55.7	1.16	16.87	0.0	22.19	63.93	21.52	31.03	0.0	0.53	0.0
Crbn	0.0	3.52	0.0	0.0	95.97	363.0	0.0	0.0	95.32	0.0	0.33	144.23	55.79	189.12	39.79	208.62	122.52	96.87	148.17	139.59	166.34	126.7	65.77	115.01	199.18	118.27	23.25	119.16	130.51	127.22	187.89	129.05	103.99	157.38	143.31	158.81	209.86	193.29	101.63	33.89	110.17	79.9	315.11	123.88	82.99	88.51	66.97	0.35	0.82	0.0
Dagla	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.08	0.74	0.0	0.0	0.0	11.93	0.0	1.93	0.0	2.84	0.0	8.92	0.69	0.1	0.0	2.43	0.0	4.33	0.0	6.71	4.35	0.0	5.3	8.39	0.0	2.64	0.88	0.1	0.5	0.39	6.85	9.86	0.0	0.0	0.51	0.08	3.42	8.6	4.52	0.03	0.0	0.0	0.0
Dhdds	0.0	0.0	0.0	0.0	32.33	0.0	0.0	0.0	18.29	0.0	0.19	2.28	18.21	3.35	3.68	16.98	6.42	2.93	3.47	1.77	2.61	2.11	52.28	0.0	4.79	0.25	0.19	39.86	1.79	48.74	92.5	38.69	0.99	5.27	3.21	23.32	26.31	12.03	25.28	12.9	6.05	0.15	37.82	3.53	24.91	49.4	22.7	0.0	0.12	0.0
Dlgap2	0.0	0.11	0.0	0.0	49.63	18.22	0.0	0.0	21.13	0.0	0.13	14.0	26.48	4.05	5.45	2.71	27.55	58.72	40.39	4.97	4.15	6.95	54.94	25.0	8.62	43.55	6.27	26.3	23.56	36.78	72.65	167.8	12.99	47.12	11.62	42.08	86.15	20.69	57.1	87.14	10.19	12.87	10.77	27.83	58.42	18.35	35.26	0.08	0.0	0.0
Dnajc10	0.0	0.0	0.0	0.0	52.96	100.07	0.0	0.0	17.05	0.0	0.44	11.91	0.0	14.76	30.09	13.96	42.65	37.88	24.6	26.7	51.56	70.65	31.81	12.74	3.66	0.0	0.0	0.0	54.7	26.92	26.1	36.61	0.0	10.16	5.02	47.93	0.0	48.99	77.44	23.8	0.0	20.26	14.72	59.87	41.56	61.79	9.67	0.77	0.27	0.0
Dnajc6	0.0	12.2	0.0	0.0	89.07	213.6	0.05	0.0	49.08	0.0	0.12	72.47	84.57	48.8	51.87	51.48	98.57	44.09	53.6	31.7	53.05	21.92	32.3	40.3	44.01	0.15	8.32	23.03	62.44	53.83	199.17	91.72	5.68	54.9	25.59	34.17	52.43	61.17	26.02	23.56	30.19	70.11	36.68	68.57	88.3	19.56	29.94	0.0	1.0	0.0
Dpp6	0.0	46.45	0.0	0.0	154.51	71.84	0.06	0.0	44.91	0.0	0.0	96.22	17.17	18.69	18.37	92.07	81.1	125.07	60.49	46.67	88.08	71.26	66.76	54.75	17.19	53.69	11.94	95.8	36.95	92.31	240.84	145.3	101.8	104.8	73.71	122.42	210.95	101.03	32.8	119.48	101.45	77.21	31.74	65.59	115.16	104.45	58.24	0.0	0.32	0.0
Dync1li2	0.0	1.36	0.0	0.7	127.79	80.59	3.62	0.0	69.18	0.0	0.54	41.09	42.58	34.22	19.63	69.34	26.04	27.75	158.42	48.0	55.36	73.63	95.18	41.94	67.38	39.12	49.44	64.08	40.08	101.29	114.36	85.29	25.82	60.07	42.44	66.79	89.35	13.16	12.77	35.37	27.32	75.09	38.18	67.51	83.55	82.59	91.37	0.0	0.87	0.0
Eif1b	389.94	0.0	0.0	0.0	75.08	191.37	0.0	43.76	354.06	88.1	0.68	247.02	223.45	70.62	119.73	319.86	187.64	348.44	289.21	233.29	205.35	46.75	474.29	453.97	518.23	242.6	132.59	264.27	3.4	80.29	519.01	326.75	65.79	189.82	95.9	348.33	225.23	390.11	176.05	365.04	261.34	300.09	282.27	397.12	172.18	426.07	337.19	0.0	0.84	740.09
Eif2s3x	206.01	24.74	0.57	0.0	87.81	115.31	0.0	2.08	89.22	0.25	171.33	51.62	36.16	25.76	41.36	38.63	101.28	74.25	136.08	57.19	89.53	80.56	64.07	186.59	38.38	0.0	0.17	67.67	173.6	124.99	0.46	37.56	45.51	47.2	46.58	57.44	17.87	91.26	101.26	58.53	0.75	0.27	58.39	37.01	125.32	131.38	110.01	0.39	0.2	0.0
Entpd7	0.0	0.0	0.0	0.0	11.19	3.28	0.05	0.0	15.48	0.0	0.1	43.1	20.0	5.98	8.93	23.14	94.7	87.71	44.98	34.53	58.12	36.89	45.14	50.8	84.95	19.31	23.65	27.9	85.56	35.39	70.38	74.26	8.77	84.0	31.8	51.92	87.82	46.25	32.25	42.48	21.46	8.77	34.03	28.01	38.69	78.84	38.67	0.11	0.24	0.12
Epha7	0.0	0.0	0.0	0.0	29.76	0.0	0.0	0.0	98.57	0.27	0.26	53.27	52.33	21.21	13.83	93.43	51.32	53.81	32.49	42.05	121.44	16.88	85.08	61.84	0.0	0.23	0.0	0.14	92.63	87.46	109.0	93.31	11.66	7.19	2.12	8.46	64.12	0.0	0.0	81.26	0.0	5.64	0.0	49.04	10.53	13.47	17.06	0.11	0.22	0.0
Fam177a	57.42	1.48	2.15	0.31	9.25	6.19	6.31	8.35	15.39	5.52	38.66	6.82	24.53	3.54	29.66	11.16	6.7	6.99	21.56	10.97	13.82	12.74	10.92	13.08	7.94	0.58	9.27	13.56	1.24	24.09	25.46	24.24	19.03	10.75	15.55	5.43	1.71	1.54	16.29	44.52	9.58	0.75	6.62	10.55	3.22	9.73	3.78	0.4	4.55	0.26
Fam49b	0.0	15.0	0.0	0.0	52.08	3.29	0.42	0.0	41.8	0.23	0.31	66.3	28.23	40.05	12.25	68.33	11.69	0.22	54.19	88.24	88.97	99.31	54.06	28.61	2.04	0.0	0.63	37.07	0.78	84.45	173.23	60.29	53.83	32.94	71.0	59.63	32.82	40.42	6.04	73.12	18.48	48.43	22.1	45.92	77.31	79.44	44.35	76.62	0.0	0.0
G3bp2	0.0	282.39	0.0	263.89	281.14	123.06	0.0	0.0	230.39	3.73	0.28	232.66	197.54	139.48	116.4	227.6	160.49	270.4	214.66	270.55	328.89	210.91	190.65	250.17	284.41	115.66	158.83	249.82	332.16	220.21	349.3	155.78	137.05	138.42	150.23	131.35	203.18	127.12	227.53	225.24	27.53	270.6	226.01	141.47	288.56	193.26	157.73	0.25	294.66	0.0
Glt25d1	0.0	3.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.11	0.0	39.2	0.0	21.12	0.0	20.88	0.0	30.49	4.38	6.19	10.03	5.56	0.35	0.0	0.41	0.0	11.59	0.0	0.0	0.49	67.49	0.0	0.0	21.96	2.79	0.0	31.23	0.63	0.68	0.0	35.33	0.0	0.0	0.55	1.18	0.11	32.55	0.11	0.0	0.0
Gltpd1	0.0	65.94	0.0	0.0	44.1	0.0	0.0	0.0	107.83	0.0	0.0	81.32	66.91	53.15	1.08	80.18	99.6	180.0	215.25	68.6	200.06	207.66	88.89	246.85	0.73	0.29	0.23	117.04	101.02	118.2	252.95	62.07	35.97	163.67	163.73	111.47	69.55	119.35	57.12	181.84	0.0	131.01	76.08	108.34	109.25	54.76	50.95	0.13	0.14	0.0
Gm14322	3.13	14.95	0.0	16.33	25.74	24.72	3.47	2.09	7.75	13.98	11.44	80.98	15.53	39.08	37.72	51.36	29.86	6.38	33.21	33.51	32.12	30.77	62.36	76.87	36.17	18.82	2.53	32.22	15.69	21.48	103.02	15.39	18.86	58.52	4.53	4.02	16.61	26.02	35.01	41.97	4.11	9.74	43.87	9.55	9.75	18.33	9.66	0.0	7.36	0.0
Gm14430	0.0	0.0	0.0	0.0	17.66	7.02	0.0	0.0	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	10.3	14.72	6.05	13.5	14.04	5.35	16.5	13.46	3.22	0.84	12.83	3.07	2.82	10.17	11.03	10.87	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	6.88	8.34	13.81	30.75	25.3	2.38	0.12	0.0	0.0
Gm14434	0.0	0.0	0.0	0.0	17.66	7.02	0.0	0.0	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	10.3	14.72	6.05	13.5	14.04	5.35	16.5	13.46	3.22	0.84	12.83	3.07	2.82	10.17	11.03	10.87	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	6.88	8.34	13.81	30.75	25.3	2.38	0.12	0.0	0.0
Gm20362	0.23	0.12	0.0	0.67	0.57	5.05	4.21	0.0	1.89	0.0	0.58	0.51	2.04	0.0	1.63	5.74	10.2	8.63	6.36	3.37	16.89	12.17	12.76	18.44	6.07	0.75	12.48	9.37	2.92	28.43	13.09	7.01	6.54	1.64	7.64	5.44	3.59	3.8	8.55	18.98	16.04	2.09	12.41	4.25	2.01	7.31	4.52	0.0	45.5	0.0
Gm4724	0.0	0.0	0.0	0.0	17.66	7.02	0.0	0.0	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	10.3	14.72	6.05	13.5	14.04	5.35	16.5	13.46	3.22	0.84	12.83	3.07	2.82	10.17	11.03	10.87	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	6.88	8.34	13.81	30.75	25.3	2.38	0.12	0.0	0.0
Hscb	0.0	10.95	0.0	0.0	103.89	0.0	0.0	0.0	102.32	0.0	0.0	35.74	7.35	0.0	53.27	22.82	115.07	5.45	63.42	1.04	13.53	0.0	39.1	29.78	22.98	0.0	0.0	0.0	0.0	97.97	80.74	2.82	81.92	37.52	0.0	0.0	0.98	13.77	7.99	0.0	0.0	35.31	0.0	34.08	56.85	169.51	100.01	0.0	0.0	0.0
Immp1l	0.0	336.27	0.0	0.0	0.0	0.0	662.21	0.0	182.1	0.0	15.66	56.88	64.22	0.82	74.01	30.15	241.84	69.82	51.35	112.99	129.12	141.36	54.82	11.73	160.71	0.0	0.66	156.55	27.24	65.99	228.38	86.07	118.09	177.88	40.31	94.87	8.17	79.59	184.27	33.87	0.0	47.63	133.08	43.35	48.11	45.03	11.65	0.0	887.65	0.0
Itpr1	0.0	0.0	0.0	0.0	28.19	22.99	0.0	0.0	26.38	0.09	0.18	27.24	11.39	0.02	18.25	18.95	36.03	84.64	18.43	32.52	32.34	16.52	12.06	67.98	56.97	14.23	0.06	57.7	89.6	52.94	31.92	22.88	14.86	38.85	8.03	23.9	48.77	22.58	52.66	1.03	11.4	5.61	29.95	50.83	18.76	74.95	29.32	0.07	0.07	0.0
Kcna1	0.0	0.0	0.0	0.05	219.47	58.68	0.0	0.0	109.21	0.0	0.07	218.51	203.62	67.88	155.4	214.98	258.51	231.33	194.23	255.22	281.96	237.12	245.4	209.54	455.33	33.81	55.56	151.11	159.56	28.07	119.17	158.39	12.5	254.23	229.92	186.92	175.67	169.76	275.53	195.32	140.07	97.29	83.12	139.69	267.03	221.93	247.3	0.08	0.2	0.0
Klc1	0.0	1.03	0.0	0.0	64.13	30.56	0.0	0.0	34.46	0.0	0.5	19.48	52.56	20.66	78.73	15.82	1.96	51.43	10.44	26.97	42.52	19.0	45.44	26.94	50.54	16.25	1.28	70.37	24.31	33.23	90.94	66.15	3.89	18.67	18.56	6.71	16.41	46.98	12.66	31.71	15.98	7.9	21.27	62.4	51.46	65.55	34.74	0.0	0.59	0.0
Ldhb	7486.96	8970.97	2593.67	5274.92	9309.63	8550.52	5876.73	5600.23	8752.31	3963.33	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8583.06	8517.89	9220.91	9343.6	8808.99	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	11261.44	8285.69	5133.35	10004.69	8757.21	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8390.99	11010.48	8275.76	10182.84	9082.37	8351.44	7830.1	11746.38	2798.49	5873.38	5577.5
Lynx1	0.0	0.0	0.0	0.0	107.58	23.68	0.0	0.0	31.97	0.0	2.1	100.39	70.47	35.04	62.83	75.41	68.36	38.25	42.12	44.28	145.97	44.34	60.56	55.88	78.67	14.93	20.27	26.67	7.87	60.67	89.75	52.23	72.26	127.61	63.06	75.27	91.7	72.52	12.11	50.35	26.03	131.26	111.63	71.33	144.99	162.26	70.91	0.09	0.09	0.0
Map3k4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.61	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	12.41	0.0	0.0	0.0	0.0	32.68	0.0	12.72	0.0	0.0	0.0	0.0	13.83	41.3	0.17	0.0	0.0	4.41	0.84	0.98	7.37	0.0	7.65	0.0	12.56	6.15	0.0	11.68	16.77	19.2	0.0	0.0	0.0
Mettl11a	0.0	302.81	0.0	0.0	152.53	0.0	0.0	0.0	42.5	0.0	0.51	93.57	0.0	55.5	72.22	66.84	106.62	120.73	89.67	30.7	209.91	83.88	103.74	38.85	88.96	179.81	1.02	180.81	81.83	0.0	404.6	24.36	27.99	181.75	0.23	0.0	101.82	106.81	0.0	102.53	116.99	53.58	106.43	165.88	98.35	0.0	120.82	0.0	0.31	0.0
Mettl6	0.0	0.0	0.0	0.0	0.0	49.75	0.0	0.0	41.34	70.16	0.0	108.98	0.0	54.62	51.4	85.9	35.51	24.67	78.49	33.92	45.72	22.56	34.25	53.83	0.0	5.72	0.64	3.4	0.0	15.61	117.33	22.77	23.01	14.85	27.23	43.29	32.75	6.36	0.0	0.0	74.58	0.0	2.63	31.92	21.44	49.91	82.62	0.19	0.59	0.0
Mrp63	82.52	0.4	19.17	0.0	23.58	0.17	0.0	0.0	8.37	0.89	0.0	78.44	17.88	56.78	3.52	28.75	0.0	11.15	32.27	32.86	1.88	5.92	16.49	41.35	36.24	0.34	0.26	0.2	0.16	7.96	105.86	12.36	21.59	25.67	7.57	19.2	69.33	8.0	60.25	8.44	8.26	0.83	0.14	15.46	6.68	38.77	38.96	0.51	1.14	0.0
Mrps23	0.0	209.9	0.0	0.0	94.24	0.0	0.0	0.0	102.28	0.0	0.0	75.06	3.31	107.52	40.6	101.2	228.97	81.75	35.52	27.36	15.37	91.7	132.53	15.98	105.19	0.0	0.0	51.18	68.91	129.92	252.81	84.52	50.82	78.76	0.0	109.23	177.2	113.68	116.11	114.63	2.54	124.42	57.58	75.9	0.0	114.27	46.47	0.0	0.0	0.0
Mxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	17.66	0.0	102.14	4.37	21.92	25.82	31.77	9.7	0.95	0.0	9.62	0.0	3.44	26.75	14.02	0.0	15.28	0.0	0.0	15.11	2.06	28.51	89.11	24.8	22.59	0.0	14.15	0.0	0.0	31.51	24.49	20.77	0.11	20.64	15.6	33.14	15.54	18.55	22.88	0.0	127.92	0.0
Nup54	0.0	113.45	0.0	0.0	34.11	0.0	0.0	0.0	32.31	0.0	0.0	0.0	15.38	82.4	110.04	46.86	43.43	38.28	42.22	31.97	0.0	25.96	40.19	47.32	87.19	0.0	0.52	99.85	46.05	0.0	106.65	68.43	9.42	53.55	20.93	11.95	35.3	0.22	55.47	0.0	51.07	76.36	57.56	0.0	25.15	43.2	0.0	0.15	0.0	0.0
Pex16	0.0	0.0	0.0	0.41	66.88	0.0	680.59	0.0	54.21	0.0	0.53	36.47	41.9	0.88	108.81	86.41	74.47	0.0	161.41	74.37	29.96	54.37	91.3	77.75	39.38	0.0	0.53	69.34	55.06	52.72	194.94	56.3	0.0	86.14	0.0	127.82	126.44	0.44	64.31	153.28	0.0	2.03	0.79	26.37	0.0	47.77	53.97	0.0	0.0	0.0
Phf20	0.0	0.04	0.0	0.0	48.33	11.7	0.05	0.0	57.73	4.44	0.1	64.52	13.78	63.36	68.08	56.95	50.63	26.39	38.69	12.81	34.99	6.64	59.39	23.71	56.15	44.2	19.46	15.35	15.24	23.04	57.23	61.67	25.7	48.59	16.63	17.62	71.13	4.83	33.65	82.97	21.21	23.14	18.78	37.3	22.24	77.02	23.93	0.12	0.25	0.0
Pigm	0.0	0.44	0.0	0.0	7.02	0.07	0.07	0.0	0.76	0.12	0.0	6.8	4.94	0.0	0.69	0.13	2.81	2.05	7.96	13.38	16.76	0.4	19.16	1.71	15.91	4.42	0.0	12.55	0.23	17.33	31.18	0.96	3.07	0.34	11.63	1.06	1.52	10.81	6.19	4.88	1.15	7.64	5.6	20.38	0.24	18.29	1.38	0.05	0.1	0.06
Rab27b	0.31	0.09	0.0	0.0	73.2	0.09	0.9	0.55	3.49	0.7	0.47	34.95	55.01	67.41	21.09	45.0	38.44	16.48	89.09	46.5	28.12	9.98	51.61	90.8	0.0	0.0	0.34	86.97	39.05	48.25	92.02	40.59	0.16	32.54	7.82	14.37	22.28	9.48	4.71	46.25	0.0	13.67	7.72	17.13	38.34	46.35	15.17	0.11	13.55	0.0
Rab2b	0.0	134.79	0.0	0.0	47.61	0.45	436.47	0.0	39.26	0.32	0.0	100.85	74.73	88.95	76.25	53.64	164.88	35.01	61.83	66.5	32.48	60.57	87.18	248.69	76.81	24.63	32.0	70.54	0.0	185.81	49.98	120.9	81.43	67.44	28.55	105.95	83.7	84.89	237.75	28.65	0.0	68.02	41.3	106.55	99.51	148.02	87.23	0.0	0.0	500.33
Reps2	0.0	0.16	0.0	0.41	23.96	25.7	0.05	0.0	29.06	0.0	0.08	77.68	45.38	4.65	49.06	34.17	25.45	96.95	55.08	43.81	57.02	38.82	37.21	52.48	56.66	41.68	30.34	23.03	35.5	75.82	69.3	69.7	31.83	26.65	30.75	62.74	20.07	35.07	7.26	17.71	37.18	21.76	58.15	81.16	56.25	55.16	98.47	0.0	0.1	0.09
Rhobtb2	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	1.51	0.0	0.11	0.0	1.59	0.71	2.62	0.39	0.0	33.35	0.12	0.0	0.0	4.03	15.68	0.68	14.74	0.0	0.11	33.85	21.79	41.89	12.58	18.23	0.0	0.14	1.89	9.04	3.54	0.0	0.16	16.8	0.0	0.0	2.65	5.25	8.49	19.96	13.03	0.0	0.0	0.0
