	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tmem93	0.0	0.0	5.22	4.68	47.16	53.14	47.95
Tomm70a	0.0	0.0	48.34	33.66	162.49	155.46	154.23
Trak1	0.0	5.88	0.29	6.49	90.13	90.67	87.04
Trim37	0.0	0.0	30.04	33.18	216.02	201.17	202.32
Tsc2	0.0	0.0	8.55	11.66	54.95	54.1	55.36
Ttc39d	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ube2j1	0.0	0.0	8.53	20.42	79.49	82.59	77.99
Ubr4	0.0	0.0	3.08	4.92	45.95	42.73	49.32
Ubtf	0.0	0.0	10.2	11.92	78.31	78.64	80.03
Usp13	0.0	0.0	6.3	7.42	16.56	14.56	16.81
Usp47	0.0	0.0	14.37	14.13	50.06	49.08	47.58
Vax2os2	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Wac	0.0	0.0	43.66	32.57	58.03	57.36	55.33
Wbscr17	0.0	0.0	0.0	0.49	37.98	45.03	41.83
Whsc1	0.0	0.0	13.72	12.21	47.83	41.47	47.63
Wsb2	0.0	0.0	43.58	41.71	294.59	283.93	280.67
Zbtb7a	0.0	0.11	8.52	16.78	55.37	53.85	57.0
Zc3h18	0.0	0.0	2.76	1.1	30.0	31.22	31.72
Zfp827	0.1	0.0	2.72	2.91	19.14	18.31	19.24
Zfp91	0.0	0.0	8.67	15.78	72.51	70.41	73.83
Zp3r	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zyg11b	41.73	0.76	23.43	18.89	75.5	71.7	74.11
mt_AK131586	6370.03	4908.34	0.0	0.0	25813.35	24091.17	24561.45
