	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_76	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_15	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Arfgef2	0.0	0.09	0.0	46.44	0.0	0.0	0.0	0.0	0.0	21.31	0.0	41.3	0.0	0.0	15.03	0.0	0.0	2.81	0.0	7.21	6.72	0.0	0.0	0.0	0.0	0.0	0.1	14.19	0.25	0.39	0.0	1.35	5.26	0.53	3.09	3.56	5.85
Arl2bp	0.0	0.0	0.0	21.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76	0.0	7.0	0.0	0.0	7.95	3.88	0.0	0.0	1.16	0.4	0.0	0.0	0.0	0.0	0.0	0.0	3.57	2.65	6.98	1.9	2.37	4.23
Asl	0.51	171.98	0.0	352.99	0.0	0.0	0.0	1.88	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	163.99	86.06	15.33	2.89	0.0	98.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.39	73.86	40.25	63.55	61.13	53.83
Atp2b4	0.0	0.02	0.0	21.87	0.0	9.18	0.0	0.0	0.0	0.0	0.0	27.44	0.0	0.06	0.0	0.0	0.0	0.0	72.33	21.54	40.17	0.0	3.61	0.0	0.0	0.0	5.23	1.29	0.0	22.56	26.97	40.11	29.31	27.45	34.12	21.24	21.85
Atp5sl	0.0	0.14	2.86	0.14	96.07	0.0	0.0	0.4	0.0	0.32	0.0	86.04	0.0	39.26	0.0	0.0	0.0	61.52	0.0	40.55	1.01	0.0	105.34	20.45	0.0	96.12	3.84	91.86	0.0	0.19	0.0	12.97	26.76	30.2	24.43	35.84	29.16
BC016579	0.0	0.0	0.0	152.88	14.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65	0.0	0.0	0.0	0.0	0.0	0.0	98.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC048546	0.0	0.0	0.0	36.7	0.0	0.0	9.35	0.04	13.95	32.7	15.44	22.89	19.85	0.0	8.18	0.0	0.0	10.95	0.0	28.06	25.64	0.0	23.0	13.58	14.62	22.43	35.04	8.07	11.24	13.4	0.0	4.94	1.74	6.23	1.34	3.05	1.68
Bcat2	0.0	0.03	0.0	141.38	0.0	0.0	0.0	0.11	0.0	0.46	0.0	135.58	0.0	15.63	0.0	0.3	0.0	0.0	0.0	7.25	85.06	1.25	0.0	0.0	1.74	62.85	7.16	0.0	0.0	0.0	0.0	9.85	13.16	19.55	11.73	18.26	12.55
Bckdk	2.67	7.57	2.98	233.08	104.88	9.0	1.61	13.16	9.03	14.77	4.37	6.97	5.89	6.51	200.8	10.85	89.24	106.9	3.45	20.07	3.97	41.2	105.23	142.88	140.69	3.35	187.42	3.01	42.55	66.68	6.36	52.26	65.63	21.79	20.61	41.35	44.8
Brd2	4.76	0.02	13.36	62.39	0.28	0.14	33.11	35.44	0.0	0.0	0.37	0.0	75.06	20.16	0.22	7.43	0.0	5.29	0.18	6.39	9.29	0.0	42.65	1.25	0.0	0.0	0.42	65.47	1.52	5.8	0.18	7.75	15.97	5.83	7.49	10.59	5.76
C230081A13Rik	0.0	0.0	0.0	10.16	0.0	0.0	0.0	0.0	0.0	0.0	0.05	20.13	0.0	0.0	0.0	0.0	0.04	0.0	0.0	4.09	10.65	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	19.53	15.66	12.14	8.26	7.99	7.19
Cacna2d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.51	0.0	0.0	0.26	0.0
Capn5	0.17	0.0	0.96	77.82	0.14	0.0	0.0	36.43	0.66	0.0	0.0	50.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.51	0.0	0.0	61.08	0.16	0.0	0.0	0.0	0.0	0.0	0.17	4.23	6.2	0.0	5.84	2.71	1.72
Ccdc113	0.0	0.0	0.0	158.19	0.0	0.0	0.0	102.99	0.0	206.54	3.06	133.3	0.0	0.0	0.0	0.0	0.0	0.2	0.32	0.0	0.48	192.28	187.59	191.84	0.0	45.96	0.0	0.0	0.0	13.69	0.0	0.86	0.0	0.0	6.74	1.39	1.96
Ccdc159	0.0	0.2	0.0	1.1	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.84	7.33	1.09	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	6.19	6.96	2.97	3.2	1.38
Cd200r4	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdyl	0.0	0.0	0.0	52.9	0.0	0.0	21.06	0.0	0.0	0.0	0.0	0.0	35.35	0.0	7.87	44.85	0.0	0.0	0.0	3.89	0.26	0.0	16.47	0.0	0.0	0.0	51.41	0.61	0.0	0.13	0.0	0.0	0.0	0.0	0.86	1.89	0.4
Chst12	6.51	136.81	0.0	260.71	0.0	0.0	150.73	0.64	116.58	0.0	0.0	0.51	0.22	0.0	0.0	0.0	0.0	0.0	0.0	26.45	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	19.31	20.48	19.33	25.52	20.86	19.86
Clk3	44.02	27.52	125.59	440.73	0.0	0.0	0.0	99.44	0.0	0.0	0.0	28.89	0.16	1.77	4.53	0.0	0.0	6.25	114.53	70.22	3.73	46.45	91.5	143.32	152.39	2.14	120.52	176.66	249.91	0.18	113.95	73.6	38.98	53.48	69.05	69.0	58.18
Cnih	195.72	0.21	558.61	982.83	22.45	592.78	254.61	103.98	585.6	156.23	193.3	0.61	94.6	282.82	7.09	0.0	463.91	433.25	432.04	180.6	239.84	11.06	22.47	0.25	197.58	178.04	259.4	406.22	261.74	389.75	191.59	266.59	342.13	243.96	194.33	279.34	235.16
Cog3	0.0	1.39	0.0	75.96	23.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.1	0.06	0.0	7.79	13.4	0.0	12.25	0.0	0.0	0.38	2.15	14.23	0.0	61.09	0.0	0.33	6.65	0.48	8.27	5.18	4.33
Cox7b	289.24	605.74	390.75	429.52	250.69	94.32	203.49	743.45	221.16	336.03	231.93	310.08	583.63	393.5	487.93	402.55	398.06	456.04	450.04	916.31	847.14	441.28	631.74	537.62	251.39	282.89	517.35	337.13	298.27	283.59	275.82	517.82	486.32	564.23	495.95	534.74	508.23
Ddr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.61	0.87	22.28	0.0	0.0	0.0	0.07	0.0	1.42	0.0	0.0	0.0	66.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06	1.48	0.9	0.28	0.83
Dmrta1	0.0	0.07	0.06	0.0	0.0	0.23	0.0	0.0	0.38	0.41	0.0	0.65	0.0	0.0	0.04	0.0	0.0	0.06	0.19	0.08	0.0	0.0	0.24	0.0	0.17	0.07	0.0	0.0	0.0	0.23	0.0	0.09	0.0	0.0	0.0	0.1	0.08
Dnajc3	0.0	0.0	0.0	17.92	0.0	0.0	0.0	0.04	0.0	16.77	0.0	9.2	0.0	0.0	0.29	9.45	0.0	0.0	17.33	7.21	5.98	0.0	0.0	0.0	0.0	0.0	0.0	6.38	0.0	0.09	1.77	11.64	11.74	5.8	13.26	8.53	8.08
Dynll1	425.23	496.44	604.66	689.61	370.79	434.8	480.34	277.92	373.59	203.18	154.58	439.01	355.7	326.51	531.83	568.32	485.48	467.6	772.93	1031.08	1282.2	213.21	648.9	485.47	192.45	628.49	260.82	549.12	458.72	470.03	468.58	1145.81	1144.86	1187.28	731.94	923.72	817.25
Ehmt2	0.0	0.0	0.0	47.93	0.0	0.16	0.0	0.0	0.0	0.0	0.0	53.66	0.0	0.0	0.0	0.0	0.0	0.07	0.0	7.05	1.72	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.66	4.18	5.11	1.27	3.74	2.58
Eif2b4	0.0	165.25	0.0	167.88	25.52	0.0	4.8	195.63	14.91	0.45	0.0	0.0	275.68	55.76	16.61	0.0	0.0	112.99	0.0	26.19	0.17	0.55	22.54	0.0	176.42	38.86	105.2	201.55	0.0	153.64	0.0	21.15	67.88	82.96	30.42	30.55	46.56
Eif2s3y	14.57	0.0	86.32	48.55	11.98	17.49	0.0	20.33	7.56	0.0	0.0	0.26	322.73	234.6	10.65	248.75	20.22	154.46	30.01	255.21	279.91	160.78	414.01	16.41	83.21	27.28	94.57	410.16	9.47	9.44	18.15	77.1	95.95	74.14	86.09	102.83	80.95
Fam118a	0.98	1.02	3.3	3.24	0.0	0.27	0.0	82.53	0.88	2.26	0.31	213.14	1.51	1.66	0.52	1.2	0.0	1.98	0.74	27.79	0.93	10.19	0.48	1.08	1.45	1.14	47.59	0.64	0.0	2.1	1.17	9.64	0.26	5.13	21.83	14.61	11.89
Fam168b	0.3	0.8	0.13	55.44	3.4	3.29	0.0	54.6	2.61	11.43	131.3	105.4	4.76	0.0	36.95	2.49	2.02	12.0	11.82	9.22	10.3	1.68	0.0	61.9	172.19	0.0	29.87	6.28	48.21	0.16	20.9	23.58	26.25	33.02	25.23	23.27	28.04
Fam178a	12.96	0.08	30.96	49.26	0.11	33.88	14.37	27.76	22.54	34.83	0.86	85.53	1.96	7.57	10.7	20.45	33.13	11.97	9.97	31.27	14.05	0.0	71.86	22.98	10.98	10.99	0.0	0.0	44.26	44.93	26.21	19.76	14.8	8.03	18.59	18.54	17.49
Fam193b	1.19	1.36	0.0	63.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.56	0.0	0.0	0.04	0.16	0.0	0.0	4.04	3.48	2.75	0.0	0.0	0.11	0.0	0.02	88.14	0.0	0.69	0.68	0.24	8.64	1.67	3.06	1.49	3.11	2.28
Fndc3b	0.0	0.0	0.0	52.83	0.0	0.0	0.0	0.0	0.21	0.0	25.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8	0.02	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	4.38	3.24	1.26	6.0	4.55	4.19
Gm14322	1.55	39.87	4.27	3.89	3.9	6.28	9.11	14.96	37.61	30.56	11.78	107.65	6.34	3.2	3.24	4.71	4.9	9.32	4.43	25.64	8.95	2.58	6.44	25.88	18.04	17.09	32.97	0.38	5.98	8.52	23.91	31.29	9.43	7.78	23.05	17.69	14.9
Gm1943	0.71	226.92	0.0	227.92	1.15	0.0	3.06	306.9	0.68	1.44	0.0	0.81	0.0	1.51	0.0	0.0	1.56	1.09	0.0	41.58	0.0	19.36	5.34	211.87	0.0	0.5	0.0	4.94	0.0	66.63	1.52	36.17	43.82	31.36	24.27	19.87	23.75
Gm4636	0.12	0.12	0.04	44.04	0.0	0.18	0.0	0.02	0.46	0.12	0.08	0.07	0.0	0.07	0.0	0.0	63.84	0.02	0.0	3.33	0.07	0.0	0.0	0.0	0.0	0.0	17.94	0.0	0.0	0.03	0.0	0.27	3.73	4.18	8.75	2.6	3.79
Gm5523	0.0	1.69	0.0	5.06	0.0	0.0	0.0	0.25	0.85	0.0	1.76	4.21	0.75	1.24	1.3	1.33	0.0	0.0	0.0	1.59	2.23	0.0	8.34	0.0	0.71	0.0	0.0	0.9	0.0	7.28	0.0	1.25	0.33	0.34	0.63	1.19	0.95
Gmip	0.0	0.0	0.0	57.92	0.0	0.0	0.0	0.0	0.17	0.0	0.14	0.17	0.19	0.12	0.03	0.0	0.0	0.06	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.13	0.23	0.0	0.0	0.0	0.0	0.09	1.54	0.0	0.33	1.39	0.09
Gpr12	0.0	1.76	0.3	211.57	0.0	0.0	0.73	0.08	0.0	0.0	0.0	0.0	241.64	156.36	0.0	39.83	59.25	43.4	0.0	6.0	38.01	0.0	131.12	162.15	0.0	0.43	0.0	0.0	0.0	84.21	0.0	0.0	1.16	0.0	2.13	0.7	1.27
Grik5	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	3.7	0.0	0.0	0.0	0.0	0.0	0.08	0.71	1.74	5.08	2.7	0.0	2.92	0.75	0.0	2.84	0.0	0.29	0.0	0.0	6.25	1.02	1.57	2.7	2.32	2.16
Gstt1	0.0	0.1	165.0	673.47	2.47	506.54	0.55	81.67	0.0	0.0	0.0	38.39	0.0	201.63	0.0	0.0	178.25	194.0	0.0	54.05	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.85	0.0	67.84	24.71	11.49	11.34	14.1	23.6
Gtf2a2	136.84	25.47	449.02	176.29	269.38	19.21	99.18	216.69	155.11	74.88	103.56	333.8	532.51	78.08	298.51	0.0	227.71	125.7	136.21	272.32	343.77	32.95	492.79	207.08	0.0	17.87	205.09	127.41	100.66	21.46	6.5	121.91	180.04	156.56	167.28	144.42	173.43
Gtf2h2	0.0	0.08	0.0	156.44	1.1	0.21	0.0	0.0	0.0	0.69	0.0	89.3	1.88	180.48	0.08	0.0	0.0	0.18	106.79	44.71	89.55	43.86	0.0	224.33	0.81	0.0	134.41	49.2	0.0	37.71	145.43	25.85	53.98	33.24	77.41	41.05	45.14
Hccs	0.0	0.0	0.0	121.65	0.0	0.0	16.37	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.1	7.44	9.5	0.0	0.0	12.1	0.67	0.4	0.0	0.0	0.0	0.0	102.45	0.0	0.0	0.0	0.0	0.89	25.34	19.49	7.29	8.7	10.38
Hmgcll1	0.0	0.0	0.0	92.37	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.12	0.0	0.0	0.22	0.0	0.0	0.0	0.0	20.81	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	5.76	6.15	20.49	19.89	11.41	11.84	20.07
Ino80d	0.0	44.38	0.76	45.02	0.54	32.93	28.56	1.82	0.08	5.13	0.0	0.0	4.27	0.0	0.0	0.0	20.14	6.67	0.0	1.36	0.26	0.0	0.0	3.51	0.0	7.02	4.65	0.0	0.0	0.04	4.84	2.11	1.87	6.48	1.89	1.65	2.02
Irs1	72.55	0.01	0.02	55.51	41.36	0.0	0.0	0.02	0.0	0.0	36.71	59.68	0.04	70.98	0.01	0.0	0.09	10.12	0.0	12.75	0.93	0.0	70.03	0.0	74.42	51.33	53.97	75.26	0.0	44.91	70.64	7.09	10.0	8.42	16.51	6.96	11.24
Jmjd4	0.81	5.34	2.19	78.58	0.44	0.49	1.61	0.88	1.21	2.58	2.82	1.49	2.15	0.74	0.19	1.64	0.22	1.06	2.1	2.06	1.54	3.32	0.59	2.34	0.89	1.5	1.64	0.88	0.11	90.33	1.57	4.9	2.57	2.92	2.37	7.65	4.21
Kcnh2	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.25	0.0	0.0	0.0	0.32	0.0
Kcnj2	0.0	0.06	0.0	140.47	0.0	0.0	0.0	0.23	0.0	0.0	0.0	89.99	51.22	98.28	0.1	0.0	0.0	8.87	0.0	4.97	0.14	0.0	0.18	0.0	0.0	0.0	30.74	0.0	0.0	0.0	0.17	7.73	13.73	0.86	3.26	2.73	1.66
Klf5	0.0	0.0	0.0	118.31	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	75.71	0.0	0.0	0.0	0.0	4.59	3.78	3.17	8.59	5.46	7.75
Larp4b	0.0	0.56	52.68	114.35	0.0	0.0	3.59	0.04	0.0	55.77	33.0	274.62	0.08	0.0	63.83	0.96	0.0	63.11	21.23	37.06	15.44	0.0	65.69	69.96	24.24	32.08	8.89	3.59	0.0	0.15	39.48	40.74	34.13	33.2	37.33	28.59	28.19
Lekr1	0.0	0.0	0.0	87.42	1.69	2.66	1.34	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.73	0.0	0.0	0.0	16.61	0.06	0.0	0.0	0.0	0.0	0.0	0.0	3.88	0.0	83.19	21.59	4.33	6.75	4.03	11.23	8.75	6.4
Lig4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.49	0.0	0.0	111.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.27	11.06	2.47	6.89	4.77	9.38
Lsm6	8.01	121.67	2.64	156.49	3.77	8.59	134.58	6.05	11.59	105.19	4.28	23.65	85.92	5.46	18.7	5.68	104.34	29.96	136.6	34.67	49.04	2.85	11.48	7.07	4.71	5.48	91.9	8.73	8.54	116.28	22.37	53.44	40.1	52.21	47.07	43.59	39.84
Lypla2	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	32.45	0.0	0.31	0.0	0.0	0.0	0.0	5.75	0.99	0.29	90.61	0.0	48.92	0.0	0.0	0.0	0.0	0.0	0.15	0.0	24.91	28.31	9.7	8.18	14.48	19.04
Maoa	11.46	11.32	24.06	110.36	26.91	39.11	11.09	6.1	16.11	9.66	7.02	19.44	13.2	18.33	5.69	21.22	13.26	10.36	17.99	23.84	27.32	20.07	11.11	12.71	10.83	11.56	94.3	1.29	20.73	21.55	13.31	25.52	26.26	23.91	24.77	26.0	20.59
Mllt10	0.0	0.39	0.0	61.09	0.0	37.17	0.0	6.84	13.03	0.0	0.0	80.07	48.17	0.1	0.43	0.41	12.87	20.19	89.96	15.95	0.22	34.28	0.0	0.0	0.0	0.32	0.0	16.89	0.0	88.99	5.01	9.43	11.73	5.16	14.29	12.8	13.72
Mrpl43	0.68	141.63	153.44	241.1	287.17	0.99	2.11	113.51	1.4	55.74	224.56	98.41	209.36	0.81	1.17	0.44	2.21	1.52	2.87	74.57	8.6	334.92	151.7	21.25	22.17	4.31	189.33	5.48	5.23	1.32	1.81	68.79	95.58	111.31	60.84	67.07	51.74
Naca	691.76	657.12	235.04	937.5	873.79	299.45	585.32	337.89	608.49	459.87	253.03	295.18	1071.9	195.27	457.57	405.21	108.3	175.22	403.66	633.45	855.82	551.8	972.61	489.38	507.16	366.21	473.66	403.19	0.0	508.67	564.5	501.43	547.84	687.62	360.29	409.8	387.99
Narfl	0.0	9.89	1.84	151.7	0.0	0.0	0.0	114.66	0.0	0.0	4.39	136.83	2.69	0.0	2.74	13.86	113.45	23.98	120.39	24.1	12.92	0.0	173.23	101.81	0.28	1.72	0.0	3.22	0.0	0.18	110.86	28.74	19.24	27.09	29.77	27.93	30.37
Ndufa11	117.55	177.23	153.27	176.79	96.93	173.31	118.59	113.73	73.53	80.62	84.16	223.25	185.31	54.61	139.43	101.04	102.4	178.38	103.0	248.81	237.83	8.2	87.81	104.26	135.0	76.46	106.94	261.58	78.51	132.48	81.87	147.24	179.03	193.21	138.67	184.47	168.95
Ndufb4	434.79	544.06	709.21	1355.54	372.38	625.45	881.25	627.56	719.78	559.45	951.28	1280.38	488.69	870.82	1155.65	934.48	700.1	1198.68	824.81	1341.4	894.48	1147.23	850.24	414.72	457.61	938.79	860.84	400.91	867.08	356.93	702.48	650.18	829.88	836.15	753.39	880.3	789.24
Neurl1b	0.0	51.61	0.0	123.39	0.0	0.1	0.0	0.06	0.0	0.12	0.0	1.85	0.0	0.16	0.0	0.0	0.0	0.08	0.06	5.28	0.7	107.37	0.0	0.03	0.0	57.57	0.0	0.0	0.0	0.11	0.0	9.12	3.03	11.97	6.24	6.03	7.82
Nicn1	67.47	372.36	2.82	508.62	265.37	457.12	0.0	10.7	265.99	0.0	217.98	217.95	793.84	260.14	554.77	69.86	66.02	138.6	238.32	135.43	44.08	499.77	606.81	116.77	0.0	2.29	158.44	0.0	137.47	95.95	85.3	250.63	214.71	180.47	190.36	213.13	175.01
Nrbp2	0.0	0.04	0.09	110.92	4.46	0.0	5.06	0.95	0.0	1.86	0.0	0.18	144.77	2.75	0.05	0.0	0.0	0.0	9.45	43.46	2.53	0.0	17.84	0.0	1.16	26.05	0.0	0.0	0.0	133.85	3.42	16.26	33.34	9.09	12.11	11.05	19.67
Nudt21	0.0	0.0	0.0	110.74	0.0	0.0	0.0	130.17	0.0	0.0	0.0	1.25	0.0	4.1	0.0	0.0	0.0	6.77	265.09	42.8	0.42	0.0	0.0	0.0	0.0	0.0	52.7	0.0	0.0	0.0	7.2	33.02	27.97	59.07	9.43	29.4	35.82
Oxsr1	0.0	2.14	0.0	79.27	41.7	0.0	0.0	28.06	0.79	0.0	0.0	0.0	0.08	0.0	3.12	0.0	0.0	1.71	0.0	10.17	23.06	0.0	0.0	1.71	2.0	0.8	56.71	14.5	0.0	0.1	0.17	3.26	7.64	11.38	5.54	5.29	6.59
Papss1	193.53	74.27	25.73	131.67	207.77	0.23	0.0	119.29	0.0	106.56	0.0	160.04	188.06	79.95	0.05	0.0	235.19	0.09	0.0	5.08	73.76	10.51	234.07	0.0	0.0	0.0	104.58	212.65	0.0	116.94	0.0	24.06	59.0	44.49	44.57	41.87	62.57
Pcdhb14	0.0	0.0	0.0	104.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.79	0.0	0.0	0.0	0.0	2.26	9.33	0.68	4.41	6.0	2.37
